"Status","Year","Responsibility_level","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Dumfries and Galloway","Scotland","250","230","23780","22920"
"In post","2021","AA/AO","Durham CC","North East (England)","3340","2940","23210","21430"
"In post","2021","AA/AO","Ealing","London","70","60","24880","25110"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","Scotland","300","250","21870","21010"
"In post","2021","AA/AO","East Cumbria","North West (England)","340","310","21450","21050"
"In post","2021","AA/AO","East Derbyshire","East Midlands (England)","100","90","20350","20300"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","1370","1300","26510","22430"
"In post","2021","AA/AO","East Kent","South East (England)","1010","930","22620","21440"
"In post","2021","AA/AO","East Lancashire","North West (England)","160","130","20320","21010"
"In post","2021","AA/AO","East Lothian and Midlothian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Merseyside","North West (England)","280","240","20690","20320"
"In post","2021","AA/AO","East Riding of Yorkshire","Yorkshire and The Humber","1000","930","25270","24440"
"In post","2021","AA/AO","East Surrey","South East (England)","550","520","30380","33050"
"In post","2021","AA/AO","East Sussex CC","South East (England)","930","820","22480","21010"
"In post","2021","AA/AO","Enfield","London","70","60","23160","23130"
"In post","2021","AA/AO","Essex Haven Gateway","East of England","320","300","25510","21580"
"In post","2021","AA/AO","Essex Thames Gateway","East of England","340","290","23460","24180"
"In post","2021","AA/AO","Falkirk","Scotland","870","740","21550","21010"
"In post","2021","AA/AO","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Flintshire and Wrexham","Wales","1020","960","22300","21010"
"In post","2021","AA/AO","Glasgow City","Scotland","3820","3450","21070","21010"
"In post","2021","AA/AO","Gloucestershire","South West (England)","430","390","23040","21130"
"In post","2021","AA/AO","Greater Manchester North East","North West (England)","350","320","22930","21010"
"In post","2021","AA/AO","Greater Manchester North West","North West (England)","1060","940","21580","21010"
"In post","2021","AA/AO","Greater Manchester South East","North West (England)","690","610","20870","21010"
"In post","2021","AA/AO","Greater Manchester South West","North West (England)","1690","1520","20490","20140"
"In post","2021","AA/AO","Gwent Valleys","Wales","340","290","20910","21010"
"In post","2021","AA/AO","Gwynedd","Wales","410","370","21140","21010"
"In post","2021","AA/AO","Hackney and Newham","London","770","670","24260","25060"
"In post","2021","AA/AO","Haringey and Islington","London","700","670","27950","25450"
"In post","2021","AA/AO","Harrow and Hillingdon","London","610","560","25100","25630"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","North East (England)","810","730","23360","21010"
"In post","2021","AA/AO","Heart of Essex","East of England","440","410","25280","24510"
"In post","2021","AA/AO","Herefordshire, County of","West Midlands (England)","220","210","25050","21010"
"In post","2021","AA/AO","Hertfordshire","East of England","700","650","25330","24240"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","London","960","890","26830","25110"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","340","300","21770","21010"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","470","440","21660","21010"
"In post","2021","AA/AO","Isle of Anglesey","Wales","70","70","22240","21130"
"In post","2021","AA/AO","Isle of Wight","South East (England)","570","520","24850","24040"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","London","440","420","30330","31550"
"In post","2021","AA/AO","Kent Thames Gateway","South East (England)","970","920","27480","29120"
"In post","2021","AA/AO","Kingston upon Hull, City of","Yorkshire and The Humber","830","740","23400","21950"
"In post","2021","AA/AO","Lambeth","London","480","460","27900","25860"
"In post","2021","AA/AO","Lancaster and Wyre","North West (England)","480","440","22900","21130"
"In post","2021","AA/AO","Leeds","Yorkshire and The Humber","2740","2540","21880","21010"
"In post","2021","AA/AO","Leicester","East Midlands (England)","1200","1060","21120","21010"
"In post","2021","AA/AO","Leicestershire CC and Rutland","East Midlands (England)","960","890","23180","21580"
"In post","2021","AA/AO","Lewisham and Southwark","London","280","260","25980","25110"
"In post","2021","AA/AO","Lincolnshire","East Midlands (England)","1290","1210","22240","21010"
"In post","2021","AA/AO","Lisburn and Castlereagh","Northern Ireland","200","190","21360","21670"
"In post","2021","AA/AO","Liverpool","North West (England)","3650","3260","21460","21430"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scotland","160","140","23900","22920"
"In post","2021","AA/AO","Luton","East of England","140","120","20370","20650"
"In post","2021","AA/AO","Manchester","North West (England)","1930","1770","21690","21000"
"In post","2021","AA/AO","Medway","South East (England)","640","600","25150","24310"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","London","130","120","22290","22080"
"In post","2021","AA/AO","Mid and East Antrim","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","South East (England)","330","310","24280","23240"
"In post","2021","AA/AO","Mid Lancashire","North West (England)","2830","2470","21520","21010"
"In post","2021","AA/AO","Milton Keynes","South East (England)","870","840","25210","24380"
"In post","2021","AA/AO","Monmouthshire and Newport","Wales","1100","970","20930","20180"
"In post","2021","AA/AO","Na h-Eileanan Siar","Scotland","100","90","21520","21010"
"In post","2021","AA/AO","Newry, Mourne and Down","Northern Ireland","60","60","20470","20310"
"In post","2021","AA/AO","North and North East Lincolnshire","Yorkshire and The Humber","300","260","20880","21010"
"In post","2021","AA/AO","North and West Norfolk","East of England","500","470","24190","21240"
"In post","2021","AA/AO","North Hampshire","South East (England)","300","280","21290","20920"
"In post","2021","AA/AO","North Lanarkshire","Scotland","1460","1220","20910","20640"
"In post","2021","AA/AO","North Northamptonshire","East Midlands (England)","200","170","21220","21010"
"In post","2021","AA/AO","North Nottinghamshire","East Midlands (England)","420","400","24120","23240"
"In post","2021","AA/AO","North Yorkshire CC","Yorkshire and The Humber","810","770","23110","20920"
"In post","2021","AA/AO","Northumberland","North East (England)","90","80","20450","20920"
"In post","2021","AA/AO","Norwich and East Norfolk","East of England","630","570","22200","21010"
"In post","2021","AA/AO","Nottingham","East Midlands (England)","2080","1890","21190","20600"
"In post","2021","AA/AO","Orkney Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Overseas","50","50","22460","23000"
"In post","2021","AA/AO","Oxfordshire","South East (England)","1150","1080","24240","21500"
"In post","2021","AA/AO","Perth and Kinross and Stirling","Scotland","460","430","23480","22920"
"In post","2021","AA/AO","Peterborough","East of England","690","600","20990","21430"
"In post","2021","AA/AO","Plymouth","South West (England)","1000","910","22880","21100"
"In post","2021","AA/AO","Portsmouth","South East (England)","1350","1230","22540","20920"
"In post","2021","AA/AO","Powys","Wales","220","210","21090","20920"
"In post","2021","AA/AO","Redbridge and Waltham Forest","London","370","320","23780","25110"
"In post","2021","AA/AO","Sandwell","West Midlands (England)","60","50","20710","21010"
"In post","2021","AA/AO","Scottish Borders","Scotland","180","160","23700","24110"
"In post","2021","AA/AO","Sefton","North West (England)","2240","1930","20600","20660"
"In post","2021","AA/AO","Sheffield","Yorkshire and The Humber","1580","1390","20950","21430"
"In post","2021","AA/AO","Shetland Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shropshire CC","West Midlands (England)","450","430","23550","21710"
"In post","2021","AA/AO","Solihull","West Midlands (England)","210","190","21100","21430"
"In post","2021","AA/AO","Somerset","South West (England)","530","480","20540","20920"
"In post","2021","AA/AO","South and West Derbyshire","East Midlands (England)","340","310","24550","22850"
"In post","2021","AA/AO","South Ayrshire","Scotland","90","80","21360","21050"
"In post","2021","AA/AO","South Hampshire","South East (England)","1350","940","20270","19520"
"In post","2021","AA/AO","South Lanarkshire","Scotland","1420","1210","20610","20140"
"In post","2021","AA/AO","South Nottinghamshire","East Midlands (England)","350","330","24130","22160"
"In post","2021","AA/AO","South Teesside","North East (England)","440","390","20550","21010"
"In post","2021","AA/AO","South West Wales","Wales","480","440","21590","21010"
"In post","2021","AA/AO","Southampton","South East (England)","280","240","20860","21010"
"In post","2021","AA/AO","Southend-on-Sea","East of England","310","260","21420","21440"
"In post","2021","AA/AO","Staffordshire CC","West Midlands (England)","1740","1630","23700","22850"
"In post","2021","AA/AO","Stoke-on-Trent","West Midlands (England)","600","520","19620","18880"
"In post","2021","AA/AO","Suffolk","East of England","1690","1570","23030","21400"
"In post","2021","AA/AO","Sunderland","North East (England)","2380","1890","20740","21010"
"In post","2021","AA/AO","Swansea","Wales","5140","4400","21000","21590"
"In post","2021","AA/AO","Swindon","South West (England)","100","90","20080","19570"
"In post","2021","AA/AO","Telford and Wrekin","West Midlands (England)","460","410","21840","21010"
"In post","2021","AA/AO","Thurrock","East of England","110","110","21740","21430"
"In post","2021","AA/AO","Torbay","South West (England)","150","120","20650","21010"
"In post","2021","AA/AO","Tower Hamlets","London","490","450","23610","23500"
"In post","2021","AA/AO","Tyneside","North East (England)","6530","5600","20710","21010"
"In post","2021","AA/AO","Unknown","Unknown","240","220","22240","21010"
"In post","2021","AA/AO","Wakefield","Yorkshire and The Humber","760","690","25590","24740"
"In post","2021","AA/AO","Walsall","West Midlands (England)","260","210","20620","21010"
"In post","2021","AA/AO","Wandsworth","London","650","610","29480","30220"
"In post","2021","AA/AO","Warrington","North West (England)","760","690","23410","21300"
"In post","2021","AA/AO","Warwickshire","West Midlands (England)","490","440","20940","21010"
"In post","2021","AA/AO","West Cumbria","North West (England)","580","520","22240","21050"
"In post","2021","AA/AO","West Essex","East of England","90","80","20880","21430"
"In post","2021","AA/AO","West Kent","South East (England)","40","40","[c]","[c]"
"In post","2021","AA/AO","West Lothian","Scotland","180","170","22360","21010"
"In post","2021","AA/AO","West Northamptonshire","East Midlands (England)","550","500","21800","20320"
"In post","2021","AA/AO","West Surrey","South East (England)","750","710","24890","24370"
"In post","2021","AA/AO","West Sussex (North East)","South East (England)","150","130","22210","22360"
"In post","2021","AA/AO","West Sussex (South West)","South East (England)","390","350","21860","21010"
"In post","2021","AA/AO","Westminster","London","2540","2420","24410","24120"
"In post","2021","AA/AO","Wiltshire","South West (England)","1250","1190","22080","20920"
"In post","2021","AA/AO","Wirral","North West (England)","1000","860","21070","21010"
"In post","2021","AA/AO","Wolverhampton","West Midlands (England)","360","300","20320","21010"
"In post","2021","AA/AO","Worcestershire","West Midlands (England)","1110","1050","23760","22850"
"In post","2021","AA/AO","York","Yorkshire and The Humber","570","530","21530","21010"
"In post","2021","EO","Aberdeen City and Aberdeenshire","Scotland","600","560","29290","27570"
"In post","2021","EO","Angus and Dundee City","Scotland","490","450","27430","27570"
"In post","2021","EO","Antrim and Newtownabbey","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ards and North Down","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Barking & Dagenham and Havering","London","380","350","30980","31060"
"In post","2021","EO","Barnet","London","440","410","30040","31060"
"In post","2021","EO","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","940","820","28310","27570"
"In post","2021","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","2610","2480","24800","25750"
"In post","2021","EO","Bedford","East of England","280","260","27760","27570"
"In post","2021","EO","Belfast","Northern Ireland","820","770","26290","25560"
"In post","2021","EO","Berkshire","South East (England)","800","750","30940","29290"
"In post","2021","EO","Bexley and Greenwich","London","550","510","32070","31060"
"In post","2021","EO","Birmingham","West Midlands (England)","3310","3060","26620","27570"
"In post","2021","EO","Blackburn with Darwen","North West (England)","220","200","27500","27570"
"In post","2021","EO","Blackpool","North West (England)","1860","1680","27440","27570"
"In post","2021","EO","Bournemouth and Poole","South West (England)","330","290","27070","27570"
"In post","2021","EO","Bradford","Yorkshire and The Humber","950","850","26690","27570"
"In post","2021","EO","Breckland and South Norfolk","East of England","130","120","28750","27570"
"In post","2021","EO","Brent","London","270","260","30670","31060"
"In post","2021","EO","Bridgend and Neath Port Talbot","Wales","290","260","27980","27570"
"In post","2021","EO","Brighton and Hove","South East (England)","270","240","27590","27570"
"In post","2021","EO","Bristol, City of","South West (England)","1430","1310","26650","27250"
"In post","2021","EO","Bromley","London","240","220","31060","31060"
"In post","2021","EO","Buckinghamshire CC","South East (England)","490","470","28760","28350"
"In post","2021","EO","Caithness and Sutherland and Ross and Cromarty","Scotland","90","90","29660","28120"
"In post","2021","EO","Calderdale and Kirklees","Yorkshire and The Humber","610","550","27310","27570"
"In post","2021","EO","Cambridgeshire CC","East of England","710","670","27980","27570"
"In post","2021","EO","Camden and City of London","London","930","880","29720","29570"
"In post","2021","EO","Cardiff and Vale of Glamorgan","Wales","3320","3110","26860","26930"
"In post","2021","EO","Causeway Coast and Glens","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Central Bedfordshire","East of England","130","120","28060","27390"
"In post","2021","EO","Central Hampshire","South East (England)","720","680","27210","26670"
"In post","2021","EO","Central Valleys","Wales","550","500","27760","27570"
"In post","2021","EO","Cheshire East","North West (England)","240","220","27510","27570"
"In post","2021","EO","Cheshire West and Chester","North West (England)","180","160","27190","27570"
"In post","2021","EO","Chorley and West Lancashire","North West (England)","320","290","29650","27570"
"In post","2021","EO","City of Edinburgh","Scotland","2630","2500","28470","28130"
"In post","2021","EO","Clackmannanshire and Fife","Scotland","550","510","29470","27570"
"In post","2021","EO","Conwy and Denbighshire","Wales","170","160","27720","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","South West (England)","620","570","27220","27570"
"In post","2021","EO","Coventry","West Midlands (England)","580","540","27010","27130"
"In post","2021","EO","Croydon","London","2600","2450","29660","29370"
"In post","2021","EO","Darlington","North East (England)","190","170","26370","26000"
"In post","2021","EO","Derby","East Midlands (England)","300","270","27480","27570"
"In post","2021","EO","Devon CC","South West (England)","1330","1210","26930","27570"
"In post","2021","EO","Dorset CC","South West (England)","560","520","28090","27130"
"In post","2021","EO","Dudley","West Midlands (England)","480","420","27300","27570"
"In post","2021","EO","Dumfries and Galloway","Scotland","220","200","30370","29190"
"In post","2021","EO","Durham CC","North East (England)","1250","1130","27690","27130"
"In post","2021","EO","Ealing","London","350","330","31200","31060"
"In post","2021","EO","East Ayrshire and North Ayrshire mainland","Scotland","470","430","25690","27570"
"In post","2021","EO","East Cumbria","North West (England)","300","280","25240","25740"
"In post","2021","EO","East Derbyshire","East Midlands (England)","200","180","27320","27570"
"In post","2021","EO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","620","590","30790","28210"
"In post","2021","EO","East Kent","South East (England)","2380","2150","27420","27370"
"In post","2021","EO","East Lancashire","North West (England)","210","190","27280","27570"
"In post","2021","EO","East Lothian and Midlothian","Scotland","80","70","27370","27570"
"In post","2021","EO","East Merseyside","North West (England)","520","460","27490","27570"
"In post","2021","EO","East Riding of Yorkshire","Yorkshire and The Humber","600","580","28510","27160"
"In post","2021","EO","East Surrey","South East (England)","230","210","31570","29290"
"In post","2021","EO","East Sussex CC","South East (England)","740","670","27360","27570"
"In post","2021","EO","Enfield","London","250","230","30950","31060"
"In post","2021","EO","Essex Haven Gateway","East of England","510","480","29800","29290"
"In post","2021","EO","Essex Thames Gateway","East of England","410","370","29510","29290"
"In post","2021","EO","Falkirk","Scotland","690","620","29420","27570"
"In post","2021","EO","Flintshire and Wrexham","Wales","660","620","27990","27570"
"In post","2021","EO","Glasgow City","Scotland","3250","3000","27290","27570"
"In post","2021","EO","Gloucestershire","South West (England)","540","480","27450","27570"
"In post","2021","EO","Greater Manchester North East","North West (England)","590","560","27650","27570"
"In post","2021","EO","Greater Manchester North West","North West (England)","650","580","27420","27570"
"In post","2021","EO","Greater Manchester South East","North West (England)","410","380","27190","27570"
"In post","2021","EO","Greater Manchester South West","North West (England)","1720","1630","25860","25560"
"In post","2021","EO","Gwent Valleys","Wales","470","430","27490","27570"
"In post","2021","EO","Gwynedd","Wales","190","170","27520","27570"
"In post","2021","EO","Hackney and Newham","London","1090","1010","30850","31060"
"In post","2021","EO","Haringey and Islington","London","510","480","31130","31060"
"In post","2021","EO","Harrow and Hillingdon","London","2010","1780","29540","29080"
"In post","2021","EO","Hartlepool and Stockton-on-Tees","North East (England)","510","460","28070","27570"
"In post","2021","EO","Heart of Essex","East of England","330","320","28970","29290"
"In post","2021","EO","Herefordshire, County of","West Midlands (England)","140","130","28120","27570"
"In post","2021","EO","Hertfordshire","East of England","920","860","29990","29290"
"In post","2021","EO","Hounslow and Richmond upon Thames","London","940","890","30020","29250"
"In post","2021","EO","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","470","430","28650","27570"
"In post","2021","EO","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","380","360","28680","27570"
"In post","2021","EO","Isle of Anglesey","Wales","130","120","26910","27370"
"In post","2021","EO","Isle of Wight","South East (England)","220","190","28300","27570"
"In post","2021","EO","Kensington & Chelsea and Hammersmith & Fulham","London","270","260","32040","31060"
"In post","2021","EO","Kent Thames Gateway","South East (England)","400","380","30370","29290"
"In post","2021","EO","Kingston upon Hull, City of","Yorkshire and The Humber","710","630","27410","27570"
"In post","2021","EO","Lambeth","London","1280","1220","32180","31880"
"In post","2021","EO","Lancaster and Wyre","North West (England)","370","340","27570","27570"
"In post","2021","EO","Leeds","Yorkshire and The Humber","3010","2820","26470","26160"
"In post","2021","EO","Leicester","East Midlands (England)","750","680","27030","27570"
"In post","2021","EO","Leicestershire CC and Rutland","East Midlands (England)","550","510","27620","27380"
"In post","2021","EO","Lewisham and Southwark","London","570","560","30090","31060"
"In post","2021","EO","Lincolnshire","East Midlands (England)","750","700","27810","27570"
"In post","2021","EO","Lisburn and Castlereagh","Northern Ireland","100","100","27210","27240"
"In post","2021","EO","Liverpool","North West (England)","3050","2790","25710","25310"
"In post","2021","EO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scotland","130","120","28970","28120"
"In post","2021","EO","Luton","East of England","280","240","27590","27570"
"In post","2021","EO","Manchester","North West (England)","2430","2300","26450","26120"
"In post","2021","EO","Medway","South East (England)","410","390","30710","29290"
"In post","2021","EO","Merton, Kingston upon Thames and Sutton","London","380","360","31420","31060"
"In post","2021","EO","Mid Kent","South East (England)","300","280","29500","29290"
"In post","2021","EO","Mid Lancashire","North West (England)","1390","1260","27040","27570"
"In post","2021","EO","Milton Keynes","South East (England)","570","550","28320","27570"
"In post","2021","EO","Monmouthshire and Newport","Wales","1360","1260","25610","25040"
"In post","2021","EO","Na h-Eileanan Siar","Scotland","50","40","[c]","[c]"
"In post","2021","EO","Newry, Mourne and Down","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","EO","North and North East Lincolnshire","Yorkshire and The Humber","350","320","27130","27570"
"In post","2021","EO","North and West Norfolk","East of England","210","190","28450","27570"
"In post","2021","EO","North Hampshire","South East (England)","270","250","27220","27570"
"In post","2021","EO","North Lanarkshire","Scotland","850","770","28110","27570"
"In post","2021","EO","North Northamptonshire","East Midlands (England)","250","230","27640","27570"
"In post","2021","EO","North Nottinghamshire","East Midlands (England)","320","300","27800","27570"
"In post","2021","EO","North Yorkshire CC","Yorkshire and The Humber","530","500","28020","27570"
"In post","2021","EO","Northumberland","North East (England)","190","170","27250","27570"
"In post","2021","EO","Norwich and East Norfolk","East of England","560","490","27230","27570"
"In post","2021","EO","Nottingham","East Midlands (England)","2150","2000","26100","25860"
"In post","2021","EO","Orkney Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Overseas","Overseas","280","270","28020","27370"
"In post","2021","EO","Oxfordshire","South East (England)","560","530","28350","27570"
"In post","2021","EO","Perth and Kinross and Stirling","Scotland","570","530","30650","30160"
"In post","2021","EO","Peterborough","East of England","460","410","26910","27130"
"In post","2021","EO","Plymouth","South West (England)","900","830","27120","27130"
"In post","2021","EO","Portsmouth","South East (England)","1160","1080","27310","26670"
"In post","2021","EO","Powys","Wales","160","150","27610","27570"
"In post","2021","EO","Redbridge and Waltham Forest","London","540","500","30680","31060"
"In post","2021","EO","Sandwell","West Midlands (England)","270","250","27320","27570"
"In post","2021","EO","Scottish Borders","Scotland","190","170","28120","27570"
"In post","2021","EO","Sefton","North West (England)","1870","1720","26390","26410"
"In post","2021","EO","Sheffield","Yorkshire and The Humber","1800","1630","26350","26000"
"In post","2021","EO","Shetland Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","EO","Shropshire CC","West Midlands (England)","430","410","28350","27570"
"In post","2021","EO","Solihull","West Midlands (England)","530","490","26230","25560"
"In post","2021","EO","Somerset","South West (England)","730","660","26920","27570"
"In post","2021","EO","South and West Derbyshire","East Midlands (England)","370","330","27880","27570"
"In post","2021","EO","South Ayrshire","Scotland","180","170","27510","27570"
"In post","2021","EO","South Hampshire","South East (England)","980","920","26140","26520"
"In post","2021","EO","South Lanarkshire","Scotland","840","730","26240","26120"
"In post","2021","EO","South Nottinghamshire","East Midlands (England)","200","190","28130","27570"
"In post","2021","EO","South Teesside","North East (England)","420","380","26860","27570"
"In post","2021","EO","South West Wales","Wales","440","400","27590","27570"
"In post","2021","EO","Southampton","South East (England)","410","380","26830","27370"
"In post","2021","EO","Southend-on-Sea","East of England","390","350","27730","28130"
"In post","2021","EO","Staffordshire CC","West Midlands (England)","1070","1000","28260","27570"
"In post","2021","EO","Stoke-on-Trent","West Midlands (England)","410","370","26300","27570"
"In post","2021","EO","Suffolk","East of England","1230","1150","27320","27570"
"In post","2021","EO","Sunderland","North East (England)","1420","1270","27140","27570"
"In post","2021","EO","Swansea","Wales","1690","1560","27010","26780"
"In post","2021","EO","Swindon","South West (England)","170","150","27230","27570"
"In post","2021","EO","Telford and Wrekin","West Midlands (England)","560","510","26840","27570"
"In post","2021","EO","Thurrock","East of England","220","200","27350","27370"
"In post","2021","EO","Torbay","South West (England)","120","100","27310","27570"
"In post","2021","EO","Tower Hamlets","London","1020","980","29230","29570"
"In post","2021","EO","Tyneside","North East (England)","3920","3600","26250","25560"
"In post","2021","EO","Unknown","Unknown","590","550","28030","27570"
"In post","2021","EO","Wakefield","Yorkshire and The Humber","510","460","29400","27570"
"In post","2021","EO","Walsall","West Midlands (England)","250","220","27280","27570"
"In post","2021","EO","Wandsworth","London","180","180","33390","31530"
"In post","2021","EO","Warrington","North West (England)","1010","980","30460","28860"
"In post","2021","EO","Warwickshire","West Midlands (England)","440","410","25780","27570"
"In post","2021","EO","West Cumbria","North West (England)","270","250","27160","27380"
"In post","2021","EO","West Essex","East of England","420","360","27950","27370"
"In post","2021","EO","West Kent","South East (England)","110","100","28870","29290"
"In post","2021","EO","West Lothian","Scotland","180","160","28290","27570"
"In post","2021","EO","West Northamptonshire","East Midlands (England)","280","260","27210","27570"
"In post","2021","EO","West Surrey","South East (England)","550","510","29170","29290"
"In post","2021","EO","West Sussex (North East)","South East (England)","770","670","28080","27570"
"In post","2021","EO","West Sussex (South West)","South East (England)","450","400","27460","27570"
"In post","2021","EO","Westminster","London","6500","6330","29000","28700"
"In post","2021","EO","Wiltshire","South West (England)","1240","1180","26730","26670"
"In post","2021","EO","Wirral","North West (England)","750","660","27350","27570"
"In post","2021","EO","Wolverhampton","West Midlands (England)","380","340","27290","27570"
"In post","2021","EO","Worcestershire","West Midlands (England)","510","480","28020","27570"
"In post","2021","EO","York","Yorkshire and The Humber","510","480","26690","26670"
"In post","2021","G6/G7","Aberdeen City and Aberdeenshire","Scotland","130","130","66530","61010"
"In post","2021","G6/G7","Angus and Dundee City","Scotland","70","70","61750","61010"
"In post","2021","G6/G7","Antrim and Newtownabbey","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Ards and North Down","Northern Ireland","[c]","[c]","[c]","[c]"
