"Status","Year","Region_ITL1","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Vehicle Certification Agency","70","70","36000","34290"
"In post","2021","East Midlands (England)","Lincolnshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Defence Equipment and Support","210","200","35900","34880"
"In post","2021","East Midlands (England)","Lincolnshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Department for Work and Pensions (excl. agencies)","550","480","26440","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","HM Courts and Tribunals Service","100","80","23300","20100"
"In post","2021","East Midlands (England)","Lincolnshire","HM Prison and Probation Service","830","790","28790","26810"
"In post","2021","East Midlands (England)","Lincolnshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Ministry of Defence (excl. agencies)","920","890","26140","21130"
"In post","2021","East Midlands (England)","Lincolnshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Department for Work and Pensions (excl. agencies)","440","390","25140","27570"
"In post","2021","East Midlands (England)","North Northamptonshire","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Department for Work and Pensions (excl. agencies)","260","230","27900","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","HM Prison and Probation Service","620","600","28810","26850"
"In post","2021","East Midlands (England)","North Nottinghamshire","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Advisory, Conciliation and Arbitration Service","100","90","29690","30950"
"In post","2021","East Midlands (England)","Nottingham","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Crown Prosecution Service","270","250","37300","30130"
"In post","2021","East Midlands (England)","Nottingham","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Department for Education (excl. agencies)","220","210","41850","37100"
"In post","2021","East Midlands (England)","Nottingham","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Department for Work and Pensions (excl. agencies)","730","670","26050","27570"
"In post","2021","East Midlands (England)","Nottingham","Driver and Vehicle Standards Agency","300","290","35360","32230"
"In post","2021","East Midlands (England)","Nottingham","Education and Skills Funding Agency","60","60","42010","37100"
"In post","2021","East Midlands (England)","Nottingham","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","HM Courts and Tribunals Service","230","210","23850","19830"
"In post","2021","East Midlands (England)","Nottingham","HM Land Registry","560","510","31980","27130"
"In post","2021","East Midlands (England)","Nottingham","HM Prison and Probation Service","680","630","27830","25830"
"In post","2021","East Midlands (England)","Nottingham","HM Revenue and Customs (excl. agencies)","3320","3130","32690","31810"
"In post","2021","East Midlands (England)","Nottingham","Insolvency Service","70","70","31350","28130"
"In post","2021","East Midlands (England)","Nottingham","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Legal Aid Agency","180","160","23090","19970"
"In post","2021","East Midlands (England)","Nottingham","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Ministry of Justice (excl. agencies)","60","60","40150","36930"
"In post","2021","East Midlands (England)","Nottingham","National Crime Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Office for Standards in Education, Children's Services and Skills","170","160","44560","39850"
"In post","2021","East Midlands (England)","Nottingham","Office of the Public Guardian","420","390","21360","20280"
"In post","2021","East Midlands (England)","Nottingham","Public Health England","160","150","43540","36330"
"In post","2021","East Midlands (England)","Nottingham","Rural Payments Agency","60","60","25370","25100"
"In post","2021","East Midlands (England)","Nottingham","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Valuation Office Agency","160","140","33770","31100"
"In post","2021","East Midlands (England)","South and West Derbyshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Department for Work and Pensions (excl. agencies)","310","270","27940","27570"
"In post","2021","East Midlands (England)","South and West Derbyshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Health and Safety Executive","340","310","41420","39390"
"In post","2021","East Midlands (England)","South and West Derbyshire","HM Prison and Probation Service","460","430","29640","27380"
"In post","2021","East Midlands (England)","South and West Derbyshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Department for Work and Pensions (excl. agencies)","50","40","26930","27570"
"In post","2021","East Midlands (England)","South Nottinghamshire","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Health and Safety Executive","50","50","48210","44460"
"In post","2021","East Midlands (England)","South Nottinghamshire","HM Prison and Probation Service","420","400","29380","27380"
"In post","2021","East Midlands (England)","South Nottinghamshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Ministry of Defence (excl. agencies)","120","120","25900","22080"
"In post","2021","East Midlands (England)","South Nottinghamshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Department for Work and Pensions (excl. agencies)","180","170","27890","27570"
"In post","2021","East Midlands (England)","West Northamptonshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","HM Courts and Tribunals Service","340","300","21250","19570"
"In post","2021","East Midlands (England)","West Northamptonshire","HM Prison and Probation Service","470","440","28360","24560"
"In post","2021","East Midlands (England)","West Northamptonshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Ministry of Defence (excl. agencies)","60","60","30730","31000"
"In post","2021","East Midlands (England)","West Northamptonshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedford","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedford","Department for Work and Pensions (excl. agencies)","170","150","27950","27570"
"In post","2021","East of England","Bedford","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","East of England","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedford","Health and Safety Executive","60","60","43690","45100"
"In post","2021","East of England","Bedford","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","East of England","Bedford","HM Prison and Probation Service","370","350","29520","29920"
"In post","2021","East of England","Bedford","Home Office (incl. agencies)","120","110","28790","26160"
"In post","2021","East of England","Bedford","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedford","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedford","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","Department for Work and Pensions (excl. agencies)","60","50","27890","27570"
"In post","2021","East of England","Breckland and South Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","HM Prison and Probation Service","430","410","28250","25790"
"In post","2021","East of England","Breckland and South Norfolk","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Defence Equipment and Support","50","50","35010","34370"
"In post","2021","East of England","Cambridgeshire CC","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Department for Work and Pensions (excl. agencies)","230","220","28320","27570"
"In post","2021","East of England","Cambridgeshire CC","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","HM Courts and Tribunals Service","70","60","22670","19930"
"In post","2021","East of England","Cambridgeshire CC","HM Prison and Probation Service","1210","1140","29830","29810"
"In post","2021","East of England","Cambridgeshire CC","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Ministry of Defence (excl. agencies)","1040","1020","34360","33300"
"In post","2021","East of England","Cambridgeshire CC","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Office for Standards in Education, Children's Services and Skills","100","100","62230","64500"
"In post","2021","East of England","Cambridgeshire CC","Public Health England","310","280","42540","34620"
"In post","2021","East of England","Cambridgeshire CC","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","Valuation Office Agency","50","40","[c]","[c]"
"In post","2021","East of England","Central Bedfordshire","Defence Equipment and Support","60","60","36290","35210"
"In post","2021","East of England","Central Bedfordshire","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East of England","Central Bedfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Central Bedfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Central Bedfordshire","Ministry of Defence (excl. agencies)","310","300","29500","26670"
"In post","2021","East of England","Essex Haven Gateway","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","Department for Work and Pensions (excl. agencies)","310","290","30220","29290"
"In post","2021","East of England","Essex Haven Gateway","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","HM Prison and Probation Service","30","30","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","Home Office (incl. agencies)","140","130","25780","25220"
"In post","2021","East of England","Essex Haven Gateway","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","Ministry of Defence (excl. agencies)","520","500","34880","33000"
"In post","2021","East of England","Essex Haven Gateway","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","Valuation Office Agency","70","70","32490","28990"
"In post","2021","East of England","Essex Thames Gateway","Department for Work and Pensions (excl. agencies)","710","640","28200","29290"
"In post","2021","East of England","Essex Thames Gateway","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Thames Gateway","HM Courts and Tribunals Service","70","60","23640","20420"
"In post","2021","East of England","Essex Thames Gateway","HM Prison and Probation Service","110","100","26780","22920"
"In post","2021","East of England","Essex Thames Gateway","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Crown Prosecution Service","190","170","41150","35020"
"In post","2021","East of England","Heart of Essex","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Department for Work and Pensions (excl. agencies)","150","140","29830","29290"
"In post","2021","East of England","Heart of Essex","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","East of England","Heart of Essex","HM Courts and Tribunals Service","150","130","23230","20650"
"In post","2021","East of England","Heart of Essex","HM Prison and Probation Service","450","440","30460","30680"
"In post","2021","East of England","Heart of Essex","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heart of Essex","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Heart of Essex","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Crown Prosecution Service","170","150","42490","40000"
"In post","2021","East of England","Hertfordshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Department for Work and Pensions (excl. agencies)","730","670","29560","29290"
"In post","2021","East of England","Hertfordshire","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","East of England","Hertfordshire","HM Courts and Tribunals Service","170","150","24680","22080"
"In post","2021","East of England","Hertfordshire","HM Prison and Probation Service","550","530","30520","30290"
"In post","2021","East of England","Hertfordshire","HM Revenue and Customs (excl. agencies)","50","50","31110","29570"
"In post","2021","East of England","Hertfordshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Medicines and Healthcare Products Regulatory Agency","320","310","44060","41010"
"In post","2021","East of England","Hertfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Ministry of Defence (excl. agencies)","430","420","40710","37640"
"In post","2021","East of England","Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","East of England","Hertfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Hertfordshire","National Crime Agency","90","80","40390","40130"
"In post","2021","East of England","Hertfordshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Luton","Department for Work and Pensions (excl. agencies)","180","170","26760","27570"
"In post","2021","East of England","Luton","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Luton","HM Courts and Tribunals Service","120","100","22440","20530"
"In post","2021","East of England","Luton","HM Prison and Probation Service","90","80","26140","22920"
"In post","2021","East of England","Luton","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Luton","Home Office (incl. agencies)","150","130","28720","27370"
"In post","2021","East of England","Luton","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Luton","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","North and West Norfolk","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","North and West Norfolk","Defence Equipment and Support","100","100","34040","32750"
"In post","2021","East of England","North and West Norfolk","Department for Work and Pensions (excl. agencies)","120","110","27250","27570"
"In post","2021","East of England","North and West Norfolk","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","North and West Norfolk","HM Courts and Tribunals Service","30","20","[c]","[c]"
"In post","2021","East of England","North and West Norfolk","HM Prison and Probation Service","350","320","29310","28220"
"In post","2021","East of England","North and West Norfolk","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","North and West Norfolk","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","North and West Norfolk","Ministry of Defence (excl. agencies)","300","290","25190","20920"
"In post","2021","East of England","North and West Norfolk","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","Cabinet Office (excl. agencies)","90","90","46130","40250"
"In post","2021","East of England","Norwich and East Norfolk","Crown Commercial Service","170","160","35020","33340"
"In post","2021","East of England","Norwich and East Norfolk","Crown Prosecution Service","80","70","35640","28430"
"In post","2021","East of England","Norwich and East Norfolk","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","Department for Work and Pensions (excl. agencies)","570","480","26240","27570"
"In post","2021","East of England","Norwich and East Norfolk","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Norwich and East Norfolk","HM Courts and Tribunals Service","130","110","22930","20100"
"In post","2021","East of England","Norwich and East Norfolk","HM Prison and Probation Service","520","490","28090","25170"
"In post","2021","East of England","Norwich and East Norfolk","HM Treasury (excl. agencies)","70","60","29430","23780"
"In post","2021","East of England","Norwich and East Norfolk","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
