"Status","Year","Region_ITL2","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Unknown","350","340","30000","27850"
"In post","2021","Bedfordshire and Hertfordshire","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Declared non-disabled","130","130","27860","25390"
"In post","2021","Bedfordshire and Hertfordshire","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Declared non-disabled","100","100","41040","37640"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Declared non-disabled","110","100","47570","44230"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Unknown","80","80","48810","45140"
"In post","2021","Bedfordshire and Hertfordshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared disabled","200","180","29290","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared non-disabled","910","830","29340","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","60","50","30190","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","70","70","31800","29290"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Declared non-disabled","140","140","39670","37500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Declared non-disabled","50","50","33220","32380"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Declared non-disabled","190","180","42290","38330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Declared non-disabled","230","220","38190","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Declared non-disabled","100","90","39280","35590"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Declared non-disabled","60","60","35850","33630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Declared non-disabled","150","120","48060","51120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Declared non-disabled","70","60","46020","37890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Unknown","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Declared disabled","360","350","29170","27390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Declared non-disabled","2180","2060","29420","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Undeclared","350","320","31010","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Unknown","530","510","28900","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Declared disabled","90","90","27560","23130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Declared non-disabled","630","610","26410","22080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Undeclared","50","50","27250","23120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Unknown","150","140","27760","21870"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Declared non-disabled","50","50","41570","37560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Declared disabled","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Declared non-disabled","270","270","40700","37940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Declared disabled","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Declared non-disabled","290","280","35030","33410"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","Declared non-disabled","70","60","37220","31180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Declared non-disabled","190","180","40650","38580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","Unknown","100","100","48620","51240"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Declared disabled","70","60","36170","39070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Declared non-disabled","570","570","33710","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Undeclared","100","100","39370","41070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Unknown","230","230","33150","28890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","Declared non-disabled","110","100","38320","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Declared disabled","220","190","28660","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Declared non-disabled","920","850","28640","27650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","60","60","28940","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","140","140","32210","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","Declared non-disabled","80","70","42830","45990"
"In post","2021","Cheshire","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","Unknown","40","40","[c]","[c]"
"In post","2021","Cheshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","Declared disabled","180","170","29310","28840"
"In post","2021","Cheshire","Operational Delivery","Declared non-disabled","1260","1190","31460","30330"
"In post","2021","Cheshire","Operational Delivery","Undeclared","190","180","30630","31650"
"In post","2021","Cheshire","Operational Delivery","Unknown","830","820","32830","32770"
"In post","2021","Cheshire","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Psychology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Declared disabled","170","150","25430","27570"
"In post","2021","Cheshire","Unknown","Declared non-disabled","690","620","25550","27570"
"In post","2021","Cheshire","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Cheshire","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","Declared disabled","[c]","[c]","[c]","[c]"
