"Status","Year","Sexual_orientation","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","No function","770","740","32000","32600"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Unknown","330","310","31200","31060"
"In post","2021","Heterosexual / straight","Birmingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Commercial","50","50","45220","38370"
"In post","2021","Heterosexual / straight","Birmingham","Communications","110","100","32310","31810"
"In post","2021","Heterosexual / straight","Birmingham","Counter Fraud","350","330","32870","31810"
"In post","2021","Heterosexual / straight","Birmingham","Debt","180","160","22710","20140"
"In post","2021","Heterosexual / straight","Birmingham","Digital, Data & Technology","150","140","40810","37150"
"In post","2021","Heterosexual / straight","Birmingham","Finance","70","70","41430","38270"
"In post","2021","Heterosexual / straight","Birmingham","Human Resources","90","90","43070","39850"
"In post","2021","Heterosexual / straight","Birmingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Legal","420","390","38340","32370"
"In post","2021","Heterosexual / straight","Birmingham","No function","4070","3820","31010","26290"
"In post","2021","Heterosexual / straight","Birmingham","Project Delivery","200","200","42980","39850"
"In post","2021","Heterosexual / straight","Birmingham","Property","160","140","35320","32100"
"In post","2021","Heterosexual / straight","Birmingham","Security","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","Unknown","1430","1300","27580","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","No function","100","90","26220","23840"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Unknown","240","210","26990","27570"
"In post","2021","Heterosexual / straight","Blackpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","No function","120","110","27870","23840"
"In post","2021","Heterosexual / straight","Blackpool","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","Unknown","3120","2860","28960","27570"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","No function","190","170","25810","22920"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Unknown","290","260","26650","27570"
"In post","2021","Heterosexual / straight","Bradford","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Debt","160","140","25500","21440"
"In post","2021","Heterosexual / straight","Bradford","Digital, Data & Technology","170","160","36890","31810"
"In post","2021","Heterosexual / straight","Bradford","Finance","160","140","24700","21440"
"In post","2021","Heterosexual / straight","Bradford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","No function","590","530","27410","24000"
"In post","2021","Heterosexual / straight","Bradford","Project Delivery","90","90","41500","38630"
"In post","2021","Heterosexual / straight","Bradford","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","Unknown","560","490","25320","27570"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","No function","310","300","28140","26300"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","No function","130","120","27720","26150"
"In post","2021","Heterosexual / straight","Brent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","Property","70","70","37070","34810"
"In post","2021","Heterosexual / straight","Brent","Unknown","160","150","30680","31060"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","No function","190","180","29890","25810"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Unknown","330","290","25960","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Legal","80","70","44680","43160"
"In post","2021","Heterosexual / straight","Brighton and Hove","No function","150","130","27090","22420"
"In post","2021","Heterosexual / straight","Brighton and Hove","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Unknown","150","140","27650","27570"
"In post","2021","Heterosexual / straight","Bristol, City of","Analysis","110","100","40500","39070"
"In post","2021","Heterosexual / straight","Bristol, City of","Commercial","60","50","41920","39830"
"In post","2021","Heterosexual / straight","Bristol, City of","Communications","70","60","39640","36960"
"In post","2021","Heterosexual / straight","Bristol, City of","Counter Fraud","230","220","35040","31810"
"In post","2021","Heterosexual / straight","Bristol, City of","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Digital, Data & Technology","250","240","42440","39850"
"In post","2021","Heterosexual / straight","Bristol, City of","Finance","100","100","38810","36520"
"In post","2021","Heterosexual / straight","Bristol, City of","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Human Resources","130","120","41630","38650"
"In post","2021","Heterosexual / straight","Bristol, City of","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Legal","140","140","40460","38000"
"In post","2021","Heterosexual / straight","Bristol, City of","No function","2480","2320","37170","31810"
"In post","2021","Heterosexual / straight","Bristol, City of","Project Delivery","110","110","43090","39300"
"In post","2021","Heterosexual / straight","Bristol, City of","Property","120","110","39650","38630"
"In post","2021","Heterosexual / straight","Bristol, City of","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","Unknown","570","500","26420","27570"
"In post","2021","Heterosexual / straight","Bromley","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","No function","120","110","25310","22450"
"In post","2021","Heterosexual / straight","Bromley","Unknown","180","170","30960","31060"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Commercial","50","50","36110","36800"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Finance","110","100","38500","35300"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Human Resources","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","No function","510","480","30980","30400"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Project Delivery","110","110","39640","35300"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Unknown","360","340","28860","27570"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Unknown","60","60","27630","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","No function","140","120","26550","24800"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Property","70","60","26910","24500"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Unknown","460","420","27180","27570"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Commercial","90","90","35900","34710"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","No function","1270","1190","34160","30460"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Project Delivery","180","180","40190","40000"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Property","160","150","37190","33300"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Security","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Unknown","520","500","31280","27570"
"In post","2021","Heterosexual / straight","Camden and City of London","Analysis","140","140","70310","65470"
"In post","2021","Heterosexual / straight","Camden and City of London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Counter Fraud","600","580","37940","36160"
"In post","2021","Heterosexual / straight","Camden and City of London","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Digital, Data & Technology","80","80","51820","54700"
"In post","2021","Heterosexual / straight","Camden and City of London","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","Legal","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","No function","780","740","30770","25850"
