"Status","Year","Sex","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Unknown","60","50","26840","27570"
"In post","2021","Female","Calderdale and Kirklees","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","No function","140","120","26470","23840"
"In post","2021","Female","Calderdale and Kirklees","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Calderdale and Kirklees","Property","90","80","24820","21100"
"In post","2021","Female","Calderdale and Kirklees","Unknown","470","390","27100","27570"
"In post","2021","Female","Cambridgeshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Commercial","80","70","35530","33300"
"In post","2021","Female","Cambridgeshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","No function","920","840","33240","28400"
"In post","2021","Female","Cambridgeshire CC","Project Delivery","100","100","38830","35630"
"In post","2021","Female","Cambridgeshire CC","Property","100","100","34430","33300"
"In post","2021","Female","Cambridgeshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cambridgeshire CC","Unknown","330","310","29040","27570"
"In post","2021","Female","Camden and City of London","Analysis","80","70","67370","65470"
"In post","2021","Female","Camden and City of London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Counter Fraud","440","420","35630","34660"
"In post","2021","Female","Camden and City of London","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Female","Camden and City of London","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Legal","50","50","56490","55490"
"In post","2021","Female","Camden and City of London","No function","750","700","30230","25630"
"In post","2021","Female","Camden and City of London","Project Delivery","50","40","[c]","[c]"
"In post","2021","Female","Camden and City of London","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Camden and City of London","Unknown","270","250","33440","31060"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Communications","400","370","28990","25560"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Counter Fraud","180","160","29580","27230"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Debt","160","150","23090","20140"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Digital, Data & Technology","140","130","35090","34950"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Finance","60","50","29950","26670"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Human Resources","130","120","37660","31460"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Legal","180","160","38770","38180"
"In post","2021","Female","Cardiff and Vale of Glamorgan","No function","2470","2190","27590","23270"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Project Delivery","80","70","37510","32030"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Property","90","80","31700","28330"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Unknown","2590","2370","37040","30600"
"In post","2021","Female","Causeway Coast and Glens","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Causeway Coast and Glens","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","Unknown","110","100","28630","26670"
"In post","2021","Female","Central Hampshire","Analysis","90","80","38040","37320"
"In post","2021","Female","Central Hampshire","Commercial","120","110","35410","33300"
"In post","2021","Female","Central Hampshire","Communications","40","30","[c]","[c]"
"In post","2021","Female","Central Hampshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Finance","130","130","36210","33300"
"In post","2021","Female","Central Hampshire","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Central Hampshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","No function","370","350","33460","30850"
"In post","2021","Female","Central Hampshire","Project Delivery","430","410","36440","33300"
"In post","2021","Female","Central Hampshire","Property","60","50","37230","33300"
"In post","2021","Female","Central Hampshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Hampshire","Unknown","530","490","29030","26670"
"In post","2021","Female","Central Valleys","Analysis","[c]","[c]","[c]","[c]"
