"Status","Year","Region_ITL1","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Scotland","Digital, Data & Technology","Scottish Prison Service","30","30","[c]","[c]"
"In post","2022","Scotland","Digital, Data & Technology","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","120","110","40380","38500"
"In post","2022","Scotland","Finance","HM Revenue and Customs (excl. agencies)","660","560","25170","22080"
"In post","2022","Scotland","Finance","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Scotland","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Scottish Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2022","Scotland","Finance","Scottish Prison Service","70","70","33660","26900"
"In post","2022","Scotland","Finance","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Scotland","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Crown Office and Procurator Fiscal Service","50","40","[c]","[c]"
"In post","2022","Scotland","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Department for Work and Pensions (excl. agencies)","100","90","30520","27570"
"In post","2022","Scotland","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","38200","33930"
"In post","2022","Scotland","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","HM Revenue and Customs (excl. agencies)","200","190","30830","26820"
"In post","2022","Scotland","Human Resources","Ministry of Defence (excl. agencies)","430","400","24470","21830"
"In post","2022","Scotland","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Human Resources","Registers of Scotland","40","40","[c]","[c]"
"In post","2022","Scotland","Human Resources","Scottish Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2022","Scotland","Human Resources","Scottish Prison Service","130","130","35630","35000"
"In post","2022","Scotland","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Internal Audit","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Legal","Crown Office and Procurator Fiscal Service","720","690","54240","53490"
"In post","2022","Scotland","Legal","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Legal","HM Revenue and Customs (excl. agencies)","60","60","35410","33370"
"In post","2022","Scotland","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Legal","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Legal","Scottish Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2022","Scotland","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Advisory, Conciliation and Arbitration Service","80","70","30620","30950"
"In post","2022","Scotland","No function","Animal and Plant Health Agency","130","120","31880","27720"
"In post","2022","Scotland","No function","Cabinet Office (excl. agencies)","100","100","38470","32000"
"In post","2022","Scotland","No function","Companies House","40","40","[c]","[c]"
"In post","2022","Scotland","No function","Criminal Injuries Compensation Authority","320","300","27550","25120"
"In post","2022","Scotland","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Crown Office and Procurator Fiscal Service","1490","1390","28000","23230"
"In post","2022","Scotland","No function","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","110","50670","49080"
"In post","2022","Scotland","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Scotland","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Department for Work and Pensions (excl. agencies)","7300","6440","25310","27570"
"In post","2022","Scotland","No function","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Driver and Vehicle Standards Agency","270","250","28480","26780"
"In post","2022","Scotland","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Health and Safety Executive","220","210","60030","53360"
"In post","2022","Scotland","No function","HM Courts and Tribunals Service","220","200","23200","21410"
"In post","2022","Scotland","No function","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","HM Revenue and Customs (excl. agencies)","4140","3780","29460","26820"
"In post","2022","Scotland","No function","Maritime and Coastguard Agency","160","150","38390","36040"
"In post","2022","Scotland","No function","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","National Crime Agency","60","60","38640","36410"
"In post","2022","Scotland","No function","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Office of Gas and Electricity Markets","410","410","33320","30950"
"In post","2022","Scotland","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","No function","Registers of Scotland","920","870","32050","30840"
"In post","2022","Scotland","No function","Scottish Courts and Tribunals Service","1710","1550","27320","23780"
"In post","2022","Scotland","No function","Scottish Prison Service","3940","3680","32560","35000"
"In post","2022","Scotland","No function","The Insolvency Service","60","60","23220","21130"
"In post","2022","Scotland","No function","UK Health Security Agency","30","30","[c]","[c]"
"In post","2022","Scotland","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Defence Equipment and Support","450","440","29090","25670"
"In post","2022","Scotland","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","360","340","43730","39630"
"In post","2022","Scotland","Project Delivery","HM Revenue and Customs (excl. agencies)","360","350","41210","40180"
"In post","2022","Scotland","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Ministry of Defence (excl. agencies)","90","90","43090","40580"
"In post","2022","Scotland","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","Submarine Delivery Agency","80","80","42140","41480"
"In post","2022","Scotland","Project Delivery","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Ministry of Defence (excl. agencies)","210","210","29960","29430"
"In post","2022","Scotland","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Property","Scottish Prison Service","250","240","31870","29900"
"In post","2022","Scotland","Property","Valuation Office Agency","40","40","[c]","[c]"
"In post","2022","Scotland","Security","Cabinet Office (excl. agencies)","80","70","35390","32000"
"In post","2022","Scotland","Security","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Security","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Security","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Security","Ministry of Defence (excl. agencies)","1370","1320","30450","26750"
"In post","2022","Scotland","Security","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Security","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Unknown","Accountant in Bankruptcy","110","100","32650","30040"
"In post","2022","Scotland","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Unknown","Department for Work and Pensions (excl. agencies)","60","60","31290","27570"
"In post","2022","Scotland","Unknown","Disclosure Scotland","360","330","29150","23230"
"In post","2022","Scotland","Unknown","Education Scotland","330","320","57370","62170"
"In post","2022","Scotland","Unknown","Food Standards Scotland","300","290","35950","31540"
"In post","2022","Scotland","Unknown","Forestry and Land Scotland","1020","980","32870","31060"
"In post","2022","Scotland","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Unknown","Home Office","1170","1090","27760","25040"
"In post","2022","Scotland","Unknown","Ministry of Defence (excl. agencies)","1170","1130","29250","22330"
"In post","2022","Scotland","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Unknown","National Records of Scotland","460","430","36140","33070"
"In post","2022","Scotland","Unknown","Office of the Scottish Charity Regulator","40","40","[c]","[c]"
"In post","2022","Scotland","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","70","70","48470","49860"
"In post","2022","Scotland","Unknown","Revenue Scotland","80","80","39500","36130"
"In post","2022","Scotland","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Unknown","Scottish Forestry","190","180","36060","31060"
"In post","2022","Scotland","Unknown","Scottish Government (excl. agencies)","8810","8460","44030","39660"
"In post","2022","Scotland","Unknown","Scottish Housing Regulator","50","50","53340","51490"
"In post","2022","Scotland","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Unknown","Scottish Public Pensions Agency","310","280","30300","25930"
"In post","2022","Scotland","Unknown","Social Security Scotland","2450","2380","30730","27230"
"In post","2022","Scotland","Unknown","Student Awards Agency for Scotland","230","220","31560","27230"
"In post","2022","Scotland","Unknown","Transport Scotland","530","510","45450","43000"
"In post","2022","South East (England)","Analysis","Defence Science and Technology Laboratory","380","370","41800","42020"
"In post","2022","South East (England)","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","Ministry of Defence (excl. agencies)","60","60","34360","33000"
"In post","2022","South East (England)","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Analysis","UK Statistics Authority","520","490","38000","36840"
"In post","2022","South East (England)","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Cabinet Office (excl. agencies)","70","70","71600","68950"
"In post","2022","South East (England)","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"In post","2022","South East (England)","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","FCDO Services","70","60","43770","42370"
"In post","2022","South East (England)","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Ministry of Defence (excl. agencies)","230","220","35100","34800"
"In post","2022","South East (England)","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Ministry of Defence (excl. agencies)","190","180","32450","33000"
"In post","2022","South East (England)","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Counter Fraud","Department for Work and Pensions (excl. agencies)","790","700","27280","27570"
"In post","2022","South East (England)","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Counter Fraud","HM Revenue and Customs (excl. agencies)","410","380","33370","33080"
"In post","2022","South East (England)","Counter Fraud","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Debt","HM Revenue and Customs (excl. agencies)","70","60","28800","28920"
"In post","2022","South East (England)","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","42670","40750"
"In post","2022","South East (England)","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Department for Transport (excl. agencies)","40","30","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","FCDO Services","100","100","44270","41910"
"In post","2022","South East (England)","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","210","200","40790","40180"
"In post","2022","South East (England)","Digital, Data & Technology","Maritime and Coastguard Agency","100","100","37900","33890"
"In post","2022","South East (England)","Digital, Data & Technology","Met Office","70","70","35930","35670"
"In post","2022","South East (England)","Digital, Data & Technology","Ministry of Defence (excl. agencies)","450","440","32240","33000"
"In post","2022","South East (England)","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","UK Statistics Authority","170","170","41150","37190"
"In post","2022","South East (England)","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Digital, Data & Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2022","South East (England)","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","FCDO Services","50","50","38360","31890"
"In post","2022","South East (England)","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","HM Revenue and Customs (excl. agencies)","240","220","33000","28920"
"In post","2022","South East (England)","Finance","Maritime and Coastguard Agency","40","30","[c]","[c]"
"In post","2022","South East (England)","Finance","Ministry of Defence (excl. agencies)","510","490","37610","33300"
"In post","2022","South East (England)","Finance","Ministry of Justice (excl. agencies)","40","30","[c]","[c]"
"In post","2022","South East (England)","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Grants Management","Rural Payments Agency","180","170","28650","25210"
"In post","2022","South East (England)","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Department for Work and Pensions (excl. agencies)","60","50","30730","27570"
"In post","2022","South East (England)","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","FCDO Services","40","40","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","HM Revenue and Customs (excl. agencies)","80","70","29880","26820"
"In post","2022","South East (England)","Human Resources","Maritime and Coastguard Agency","40","30","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Ministry of Defence (excl. agencies)","220","210","31520","26670"
"In post","2022","South East (England)","Human Resources","Ministry of Justice (excl. agencies)","80","80","39230","36010"
"In post","2022","South East (England)","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Human Resources","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Internal Audit","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
