"Status","Year","Function_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","HM Treasury","HM Treasury (excl. agencies)","130","120","50460","52530"
"In post","2021","Analysis","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Defence Science and Technology Laboratory","460","440","40290","37360"
"In post","2021","Analysis","Ministry of Defence","Ministry of Defence (excl. agencies)","200","190","40460","38500"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","200","200","46620","45970"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Ministry of Justice (excl. agencies)","400","390","45200","40480"
"In post","2021","Analysis","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","150","150","39800","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","70","70","54970","52390"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","50","50","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","1700","1630","37100","35390"
"In post","2021","Analysis","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","40","30","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Cabinet Office (excl. agencies)","1420","1390","70640","64500"
"In post","2021","Commercial","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Met Office","190","180","42990","40140"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Department for Education (excl. agencies)","190","180","39780","38000"
"In post","2021","Commercial","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","50","50","32690","29640"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","39210","36970"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Driver and Vehicle Licensing Agency","160","140","32760","31040"
"In post","2021","Commercial","Department for Transport","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Health and Safety Executive","50","40","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","200","200","48750","40650"
"In post","2021","Commercial","Department of Health and Social Care","Public Health England","40","40","[c]","[c]"
"In post","2021","Commercial","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","FCDO Services","80","80","47060","41610"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","40260","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","140","130","36710","35000"
"In post","2021","Commercial","HM Revenue and Customs","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Defence Equipment and Support","280","270","44340","41300"
"In post","2021","Commercial","Ministry of Defence","Defence Science and Technology Laboratory","70","60","33600","35470"
"In post","2021","Commercial","Ministry of Defence","Ministry of Defence (excl. agencies)","1540","1480","35080","33300"
"In post","2021","Commercial","Ministry of Defence","Submarine Delivery Agency","150","140","40530","38240"
"In post","2021","Commercial","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","HM Prison and Probation Service","680","660","49260","48020"
"In post","2021","Commercial","Ministry of Justice","Legal Aid Agency","160","150","37690","38210"
"In post","2021","Commercial","Ministry of Justice","Ministry of Justice (excl. agencies)","210","210","32680","30920"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Crown Commercial Service","370","360","34050","34800"
"In post","2021","Commercial","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Scottish Prison Service","80","80","30640","25870"
"In post","2021","Commercial","The National Archives","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","UK Export Finance","190","190","53960","49790"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Crown Prosecution Service","50","50","41310","39750"
"In post","2021","Communications","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Cabinet Office (excl. agencies)","340","340","47060","42150"
"In post","2021","Communications","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Charity Commission","30","30","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Competition and Markets Authority","40","30","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","110","48940","45270"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Met Office","30","30","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education","Department for Education (excl. agencies)","240","230","37820","33510"
"In post","2021","Communications","Department for Education","Education and Skills Funding Agency","90","90","43280","40300"
"In post","2021","Communications","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","41570","37790"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Rural Payments Agency","110","90","28870","26030"
"In post","2021","Communications","Department for International Trade","Department for International Trade","100","100","42660","38540"
"In post","2021","Communications","Department for Transport","Department for Transport (excl. agencies)","120","120","47130","43360"
"In post","2021","Communications","Department for Transport","Driver and Vehicle Licensing Agency","70","60","29810","26740"
"In post","2021","Communications","Department for Transport","Driver and Vehicle Standards Agency","90","80","31290","30730"
"In post","2021","Communications","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","190","180","43490","38360"
"In post","2021","Communications","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","50","50","40790","34270"
"In post","2021","Communications","Department of Health and Social Care","Public Health England","80","70","47540","42630"
"In post","2021","Communications","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","130","130","48810","45840"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","4160","4000","29230","25560"
"In post","2021","Communications","HM Revenue and Customs","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Communications","HM Treasury","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Defence Equipment and Support","290","280","26940","22190"
"In post","2021","Communications","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Ministry of Defence (excl. agencies)","540","520","34600","33300"
"In post","2021","Communications","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","100","100","40960","36340"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Ministry of Justice (excl. agencies)","130","120","43830","39870"
"In post","2021","Communications","National Crime Agency","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","40","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","90","80","37320","36030"
"In post","2021","Communications","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Serious Fraud Office","250","240","45590","40000"
"In post","2021","Counter Fraud","Cabinet Office","Cabinet Office (excl. agencies)","90","90","47100","49700"
"In post","2021","Counter Fraud","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Insolvency Service","260","250","39230","39170"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Food Standards Agency","60","60","38850","37630"
"In post","2021","Counter Fraud","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","8830","8300","33150","31810"
"In post","2021","Counter Fraud","HM Treasury","Government Internal Audit Agency","40","30","[c]","[c]"
"In post","2021","Debt","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","4650","4200","23180","20140"
"In post","2021","Debt","HM Treasury","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","Crown Prosecution Service","120","110","39410","38180"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","Serious Fraud Office","50","50","41680","39270"
"In post","2021","Digital, Data & Technology","Cabinet Office","Cabinet Office (excl. agencies)","970","960","51340","54700"
"In post","2021","Digital, Data & Technology","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Charity Commission","Charity Commission","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","60","60","45550","43750"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Companies House","260","250","38840","38000"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","140","140","46550","40220"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Insolvency Service","50","50","42440","41060"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Met Office","870","830","40280","39650"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","210","200","44100","41600"
"In post","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Education","Department for Education (excl. agencies)","410","400","39140","36500"
"In post","2021","Digital, Data & Technology","Department for Education","Education and Skills Funding Agency","220","220","39740","36780"
"In post","2021","Digital, Data & Technology","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","670","650","43890","47550"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for International Trade","Department for International Trade","120","120","46700","43500"
"In post","2021","Digital, Data & Technology","Department for Transport","Department for Transport (excl. agencies)","130","120","41280","39040"
"In post","2021","Digital, Data & Technology","Department for Transport","Driver and Vehicle Licensing Agency","710","690","40340","39040"
"In post","2021","Digital, Data & Technology","Department for Transport","Driver and Vehicle Standards Agency","220","220","36270","33350"
"In post","2021","Digital, Data & Technology","Department for Transport","Maritime and Coastguard Agency","110","110","38310","34040"
"In post","2021","Digital, Data & Technology","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Work and Pensions","Health and Safety Executive","60","60","39240","33460"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","170","170","43630","36820"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","70","70","46880","41040"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care","Public Health England","110","110","45230","42180"
"In post","2021","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","FCDO Services","120","120","44710","40670"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","240","230","39640","36520"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Land Registry","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","2700","2590","39310","36160"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Treasury","Debt Management Office","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","HM Treasury","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Defence","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Defence","Ministry of Defence (excl. agencies)","700","680","32410","29670"
"In post","2021","Digital, Data & Technology","Ministry of Defence","Submarine Delivery Agency","60","50","37870","36500"
"In post","2021","Digital, Data & Technology","Ministry of Defence","UK Hydrographic Office","190","190","38770","35340"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","110","100","46850","45920"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Planning Inspectorate","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Justice","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Ministry of Justice","HM Courts and Tribunals Service","190","180","37810","32120"
"In post","2021","Digital, Data & Technology","Ministry of Justice","Ministry of Justice (excl. agencies)","880","860","48300","47000"
"In post","2021","Digital, Data & Technology","National Crime Agency","National Crime Agency","260","250","41070","37750"
"In post","2021","Digital, Data & Technology","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","80","80","45050","39850"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","60","60","51940","50000"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
