"Status","Year","Profession_of_post","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Female","SCS","110","110","88770","81830"
"In post","2021","Finance","Female","SEO/HEO","2080","1970","37440","36820"
"In post","2021","Finance","Female","Unknown","80","80","41270","39860"
"In post","2021","Finance","Male","AA/AO","360","330","21440","21130"
"In post","2021","Finance","Male","EO","580","570","26390","26670"
"In post","2021","Finance","Male","G6/G7","1120","1110","59870","58770"
"In post","2021","Finance","Male","SCS","170","170","91720","85100"
"In post","2021","Finance","Male","SEO/HEO","1740","1710","38220","37710"
"In post","2021","Finance","Male","Unknown","60","50","41440","40410"
"In post","2021","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","AA/AO","890","790","21650","21130"
"In post","2021","Human Resources","Female","EO","990","920","26910","26670"
"In post","2021","Human Resources","Female","G6/G7","1170","1120","57900","56610"
"In post","2021","Human Resources","Female","SCS","130","120","89020","82020"
"In post","2021","Human Resources","Female","SEO/HEO","2350","2210","36610","35990"
"In post","2021","Human Resources","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Male","AA/AO","320","320","21650","21130"
"In post","2021","Human Resources","Male","EO","390","380","27640","27180"
"In post","2021","Human Resources","Male","G6/G7","500","490","59280","57740"
"In post","2021","Human Resources","Male","SCS","60","60","89200","83690"
"In post","2021","Human Resources","Male","SEO/HEO","1030","1000","37380","36780"
"In post","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","G6/G7","300","300","74720","75500"
"In post","2021","Inspector of Education and Training","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","SEO/HEO","300","290","51010","51360"
"In post","2021","Inspector of Education and Training","Male","G6/G7","210","200","76280","75500"
"In post","2021","Inspector of Education and Training","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Male","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Female","AA/AO","80","70","23380","22600"
"In post","2021","Intelligence Analysis","Female","EO","790","720","27450","27370"
"In post","2021","Intelligence Analysis","Female","G6/G7","180","170","58180","56740"
"In post","2021","Intelligence Analysis","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Female","SEO/HEO","510","490","36310","36040"
"In post","2021","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Male","AA/AO","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Male","EO","780","760","28140","27370"
"In post","2021","Intelligence Analysis","Male","G6/G7","230","230","58900","57740"
"In post","2021","Intelligence Analysis","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Male","SEO/HEO","760","750","37440","36560"
"In post","2021","Intelligence Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","EO","30","30","[c]","[c]"
"In post","2021","Internal Audit","Female","G6/G7","80","80","58830","56150"
"In post","2021","Internal Audit","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","SEO/HEO","260","240","40010","39980"
"In post","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","G6/G7","110","110","58980","58470"
"In post","2021","Internal Audit","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","SEO/HEO","220","220","41090","40580"
"In post","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Female","EO","50","50","[c]","[c]"
"In post","2021","International Trade","Female","G6/G7","260","250","54720","51970"
"In post","2021","International Trade","Female","SCS","50","50","79670","74540"
"In post","2021","International Trade","Female","SEO/HEO","290","290","35220","34760"
"In post","2021","International Trade","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Male","EO","50","50","26910","26510"
"In post","2021","International Trade","Male","G6/G7","340","340","56290","54600"
"In post","2021","International Trade","Male","SCS","60","60","90530","76810"
"In post","2021","International Trade","Male","SEO/HEO","370","370","35590","34990"
"In post","2021","Knowledge and Information Management","Female","AA/AO","200","190","22130","21580"
"In post","2021","Knowledge and Information Management","Female","EO","320","290","26840","26670"
"In post","2021","Knowledge and Information Management","Female","G6/G7","220","200","56700","54540"
"In post","2021","Knowledge and Information Management","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Female","SEO/HEO","530","490","36340","36330"
"In post","2021","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","AA/AO","130","130","22070","21130"
"In post","2021","Knowledge and Information Management","Male","EO","190","190","27140","26670"
"In post","2021","Knowledge and Information Management","Male","G6/G7","190","190","58340","56720"
"In post","2021","Knowledge and Information Management","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Male","SEO/HEO","530","530","37340","37320"
"In post","2021","Knowledge and Information Management","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Legal","Female","AA/AO","170","150","21340","21440"
"In post","2021","Legal","Female","EO","980","920","27400","26060"
"In post","2021","Legal","Female","G6/G7","3660","3290","58870","57330"
"In post","2021","Legal","Female","SCS","210","200","86910","82500"
"In post","2021","Legal","Female","SEO/HEO","2010","1840","38830","38000"
"In post","2021","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","AA/AO","130","130","21720","21030"
"In post","2021","Legal","Male","EO","960","950","27400","25560"
"In post","2021","Legal","Male","G6/G7","2270","2190","60310","59160"
"In post","2021","Legal","Male","SCS","180","170","90200","83830"
"In post","2021","Legal","Male","SEO/HEO","1570","1520","37780","36240"
"In post","2021","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Female","AA/AO","320","300","22170","22640"
"In post","2021","Medicine","Female","EO","240","210","30900","30620"
"In post","2021","Medicine","Female","G6/G7","390","330","72620","74070"
"In post","2021","Medicine","Female","SCS","260","220","105080","98890"
"In post","2021","Medicine","Female","SEO/HEO","540","480","38460","37890"
"In post","2021","Medicine","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Male","AA/AO","30","30","[c]","[c]"
"In post","2021","Medicine","Male","EO","90","90","29660","30620"
"In post","2021","Medicine","Male","G6/G7","280","250","76690","78980"
"In post","2021","Medicine","Male","SCS","170","150","109440","106750"
"In post","2021","Medicine","Male","SEO/HEO","190","190","39200","38490"
"In post","2021","Medicine","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Female","AA/AO","44890","38440","22040","21430"
"In post","2021","Operational Delivery","Female","EO","23190","20940","27120","26570"
"In post","2021","Operational Delivery","Female","G6/G7","3310","3190","57250","54440"
"In post","2021","Operational Delivery","Female","SCS","290","280","91300","82500"
"In post","2021","Operational Delivery","Female","SEO/HEO","15790","14830","35770","34510"
"In post","2021","Operational Delivery","Female","Unknown","9420","8610","29650","28200"
"In post","2021","Operational Delivery","Male","AA/AO","36050","34240","24100","22080"
"In post","2021","Operational Delivery","Male","EO","21900","20890","28430","27370"
"In post","2021","Operational Delivery","Male","G6/G7","3230","3170","60320","57740"
"In post","2021","Operational Delivery","Male","SCS","360","360","94350","90530"
"In post","2021","Operational Delivery","Male","SEO/HEO","14880","14370","37970","36720"
"In post","2021","Operational Delivery","Male","Unknown","2780","2680","30840","30210"
"In post","2021","Operational Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","G6/G7","170","150","54780","54540"
"In post","2021","Operational Research","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Female","SEO/HEO","220","210","36130","37020"
"In post","2021","Operational Research","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","EO","40","40","[c]","[c]"
"In post","2021","Operational Research","Male","G6/G7","340","330","54110","53550"
"In post","2021","Operational Research","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Male","SEO/HEO","340","340","37200","37320"
"In post","2021","Operational Research","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","AA/AO","4620","4300","21330","21130"
"In post","2021","Other","Female","EO","2340","2200","26230","26670"
"In post","2021","Other","Female","G6/G7","850","810","59930","57680"
"In post","2021","Other","Female","SCS","130","120","89200","83510"
"In post","2021","Other","Female","SEO/HEO","2610","2480","35860","35190"
"In post","2021","Other","Female","Unknown","210","210","34760","33570"
"In post","2021","Other","Male","AA/AO","3230","3150","21150","20720"
"In post","2021","Other","Male","EO","2810","2710","26550","26670"
"In post","2021","Other","Male","G6/G7","1100","1080","63040","59970"
"In post","2021","Other","Male","SCS","140","140","98840","90100"
"In post","2021","Other","Male","SEO/HEO","2780","2720","36340","35720"
"In post","2021","Other","Male","Unknown","1850","1850","38680","35380"
"In post","2021","Planning","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Female","SEO/HEO","50","40","38800","39800"
"In post","2021","Planning","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","G6/G7","40","30","[c]","[c]"
"In post","2021","Planning","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Male","SEO/HEO","50","50","38580","38660"
"In post","2021","Planning Inspectors","Female","G6/G7","130","110","57420","58810"
"In post","2021","Planning Inspectors","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Male","G6/G7","220","190","57960","58810"
"In post","2021","Planning Inspectors","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Female","AA/AO","520","490","23310","23350"
"In post","2021","Policy","Female","EO","1630","1570","28320","28410"
"In post","2021","Policy","Female","G6/G7","5740","5490","58070","56620"
"In post","2021","Policy","Female","SCS","880","830","83510","76700"
"In post","2021","Policy","Female","SEO/HEO","6930","6680","36990","36660"
"In post","2021","Policy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Male","AA/AO","270","270","23730","23830"
"In post","2021","Policy","Male","EO","1050","1040","28270","28500"
"In post","2021","Policy","Male","G6/G7","5630","5570","58890","57460"
"In post","2021","Policy","Male","SCS","960","950","87550","78460"
"In post","2021","Policy","Male","SEO/HEO","5440","5380","37450","36800"
"In post","2021","Policy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","AA/AO","230","210","21650","21130"
"In post","2021","Project Delivery","Female","EO","1200","1130","26530","26670"
"In post","2021","Project Delivery","Female","G6/G7","1960","1890","56310","54540"
"In post","2021","Project Delivery","Female","SCS","190","180","88080","84130"
"In post","2021","Project Delivery","Female","SEO/HEO","4320","4120","36370","36070"
"In post","2021","Project Delivery","Female","Unknown","170","160","38410","36480"
"In post","2021","Project Delivery","Male","AA/AO","90","90","21970","21440"
"In post","2021","Project Delivery","Male","EO","710","690","26550","26670"
"In post","2021","Project Delivery","Male","G6/G7","2380","2350","57360","55120"
"In post","2021","Project Delivery","Male","SCS","240","240","95060","86700"
"In post","2021","Project Delivery","Male","SEO/HEO","4160","4090","37410","38080"
"In post","2021","Project Delivery","Male","Unknown","380","380","45260","41920"
"In post","2021","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","AA/AO","440","400","20210","20920"
"In post","2021","Property","Female","EO","740","660","27040","26500"
"In post","2021","Property","Female","G6/G7","370","360","56840","54990"
"In post","2021","Property","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","SEO/HEO","1190","1120","36470","35000"
"In post","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","AA/AO","580","560","19240","18760"
"In post","2021","Property","Male","EO","770","750","27010","26670"
"In post","2021","Property","Male","G6/G7","790","770","58710","57130"
"In post","2021","Property","Male","SCS","40","40","[c]","[c]"
"In post","2021","Property","Male","SEO/HEO","1980","1920","37610","36460"
"In post","2021","Property","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Psychology","Female","AA/AO","70","60","21300","21300"
"In post","2021","Psychology","Female","EO","360","350","26920","26330"
"In post","2021","Psychology","Female","G6/G7","90","90","63910","65520"
"In post","2021","Psychology","Female","SEO/HEO","720","690","37380","32350"
"In post","2021","Psychology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","EO","70","60","26730","26850"
"In post","2021","Psychology","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","SEO/HEO","80","80","36990","33710"
"In post","2021","Psychology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","AA/AO","510","470","22130","21570"
"In post","2021","Science and Engineering","Female","EO","610","570","26150","26560"
"In post","2021","Science and Engineering","Female","G6/G7","1010","930","55940","53830"
"In post","2021","Science and Engineering","Female","SCS","40","30","[c]","[c]"
"In post","2021","Science and Engineering","Female","SEO/HEO","2240","2060","36320","37080"
"In post","2021","Science and Engineering","Female","Unknown","80","80","38580","33740"
"In post","2021","Science and Engineering","Male","AA/AO","890","870","21490","21930"
"In post","2021","Science and Engineering","Male","EO","1400","1370","25750","26370"
"In post","2021","Science and Engineering","Male","G6/G7","2120","2050","55510","54890"
"In post","2021","Science and Engineering","Male","SCS","90","80","96770","92370"
"In post","2021","Science and Engineering","Male","SEO/HEO","4370","4270","37420","37320"
"In post","2021","Science and Engineering","Male","Unknown","730","720","39420","37190"
"In post","2021","Security","Female","AA/AO","800","770","24970","21130"
"In post","2021","Security","Female","EO","310","290","29390","27070"
"In post","2021","Security","Female","G6/G7","110","100","59360","56800"
"In post","2021","Security","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","SEO/HEO","470","460","38570","37320"
"In post","2021","Security","Female","Unknown","50","40","[c]","[c]"
"In post","2021","Security","Male","AA/AO","4620","4540","27170","22650"
"In post","2021","Security","Male","EO","790","780","34170","31980"
"In post","2021","Security","Male","G6/G7","240","230","59820","57460"
"In post","2021","Security","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","SEO/HEO","880","870","41520","38630"
"In post","2021","Security","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Security","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","EO","30","30","[c]","[c]"
"In post","2021","Social Research","Female","G6/G7","210","190","56350","57430"
"In post","2021","Social Research","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","SEO/HEO","550","520","37960","37020"
"In post","2021","Social Research","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","G6/G7","110","110","56350","56190"
"In post","2021","Social Research","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","SEO/HEO","230","220","36090","36770"
"In post","2021","Social Research","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","EO","110","100","27640","27850"
"In post","2021","Statistics","Female","G6/G7","310","280","56420","56200"
"In post","2021","Statistics","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","SEO/HEO","490","460","36670","37020"
"In post","2021","Statistics","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","EO","140","130","27970","28270"
"In post","2021","Statistics","Male","G6/G7","350","350","57680","57850"
"In post","2021","Statistics","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","SEO/HEO","530","520","36980","36820"
"In post","2021","Statistics","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Female","AA/AO","2010","1850","20290","20140"
"In post","2021","Tax","Female","EO","2020","1810","26690","25560"
"In post","2021","Tax","Female","G6/G7","1010","960","56330","52580"
"In post","2021","Tax","Female","SCS","50","40","[c]","[c]"
"In post","2021","Tax","Female","SEO/HEO","3340","3120","34440","31870"
"In post","2021","Tax","Male","AA/AO","1780","1720","20230","20140"
"In post","2021","Tax","Male","EO","2040","1960","26420","25560"
"In post","2021","Tax","Male","G6/G7","1700","1640","57270","52580"
"In post","2021","Tax","Male","SCS","40","40","[c]","[c]"
"In post","2021","Tax","Male","SEO/HEO","3810","3660","34720","31940"
"In post","2021","Unknown","Female","AA/AO","22160","18220","21230","21010"
"In post","2021","Unknown","Female","EO","34670","30560","28050","27570"
"In post","2021","Unknown","Female","G6/G7","4920","4690","59110","56640"
"In post","2021","Unknown","Female","SCS","740","710","87950","79930"
"In post","2021","Unknown","Female","SEO/HEO","12260","11580","35280","34290"
"In post","2021","Unknown","Female","Unknown","110","100","[c]","[c]"
"In post","2021","Unknown","Male","AA/AO","12190","11640","21430","21010"
"In post","2021","Unknown","Male","EO","18560","17890","28110","27570"
"In post","2021","Unknown","Male","G6/G7","4720","4640","60100","58850"
"In post","2021","Unknown","Male","SCS","920","910","94200","83230"
"In post","2021","Unknown","Male","SEO/HEO","9270","9070","36090","35110"
"In post","2021","Unknown","Male","Unknown","150","140","[c]","[c]"
"In post","2021","Veterinarian","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Female","G6/G7","80","70","54390","54150"
"In post","2021","Veterinarian","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Female","SEO/HEO","170","160","40310","37530"
"In post","2021","Veterinarian","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","G6/G7","80","70","57380","56760"
"In post","2021","Veterinarian","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","SEO/HEO","120","110","40980","37910"
"In post","2022","Commercial","Female","AA/AO","170","150","22420","21640"
"In post","2022","Commercial","Female","EO","560","520","26440","26350"
"In post","2022","Commercial","Female","G6/G7","590","570","56840","54110"
"In post","2022","Commercial","Female","SCS","50","40","[c]","[c]"
"In post","2022","Commercial","Female","SEO/HEO","1940","1840","36770","36650"
"In post","2022","Commercial","Female","Unknown","100","90","37610","37400"
"In post","2022","Commercial","Male","AA/AO","150","140","22720","21640"
"In post","2022","Commercial","Male","EO","340","340","26520","26520"
"In post","2022","Commercial","Male","G6/G7","640","630","59030","56240"
"In post","2022","Commercial","Male","SCS","60","60","87180","81040"
"In post","2022","Commercial","Male","SEO/HEO","1510","1490","37610","37400"
"In post","2022","Commercial","Male","Unknown","100","100","42150","39860"
"In post","2022","Communications","Female","AA/AO","120","110","22280","21790"
"In post","2022","Communications","Female","EO","350","330","27670","27270"
"In post","2022","Communications","Female","G6/G7","660","630","58280","56710"
"In post","2022","Communications","Female","SCS","60","60","87050","81850"
"In post","2022","Communications","Female","SEO/HEO","1290","1240","37800","37710"
"In post","2022","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","AA/AO","90","90","22350","21830"
"In post","2022","Communications","Male","EO","250","250","27830","27350"
"In post","2022","Communications","Male","G6/G7","430","420","59100","57460"
"In post","2022","Communications","Male","SCS","50","50","90930","85000"
"In post","2022","Communications","Male","SEO/HEO","860","850","38180","38160"
"In post","2022","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","EO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Corporate Finance","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","EO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","AA/AO","1000","810","22530","21260"
"In post","2022","Counter Fraud","Female","EO","2190","1920","28110","27570"
"In post","2022","Counter Fraud","Female","G6/G7","60","50","58240","54760"
"In post","2022","Counter Fraud","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","SEO/HEO","660","620","34940","33720"
