"Status","Year","Organisation","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for International Trade","Heterosexual / straight","London","1500","1480","47160","42430"
"In post","2022","Department for International Trade","Heterosexual / straight","North East (England)","30","30","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","Overseas","100","100","55920","53750"
"In post","2022","Department for International Trade","Heterosexual / straight","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Heterosexual / straight","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","London","180","180","44860","39430"
"In post","2022","Department for International Trade","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","London","130","130","46890","46530"
"In post","2022","Department for International Trade","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","London","690","680","44720","38540"
"In post","2022","Department for International Trade","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Overseas","60","60","53220","51970"
"In post","2022","Department for International Trade","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","East Midlands (England)","40","40","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","East of England","80","70","43070","37380"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","London","1570","1530","49000","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","North East (England)","80","70","42250","36580"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","North West (England)","150","140","38290","36340"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","South West (England)","130","120","41410","38310"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","West Midlands (England)","250","240","37320","36340"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","Yorkshire and The Humber","80","80","43880","37300"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","London","210","210","46380","42330"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","West Midlands (England)","30","30","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","London","150","150","47810","44000"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","London","280","270","48690","42980"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","London","1980","1930","51210","54110"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","South East (England)","180","170","47070","38650"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","Wales","40","40","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","West Midlands (England)","110","100","37750","31040"
"In post","2022","Department for Transport (excl. agencies)","Heterosexual / straight","Yorkshire and The Humber","90","90","39510","38650"
"In post","2022","Department for Transport (excl. agencies)","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","London","200","200","49690","46310"
"In post","2022","Department for Transport (excl. agencies)","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Undeclared","London","250","240","50590","47060"
"In post","2022","Department for Transport (excl. agencies)","Undeclared","South East (England)","30","30","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Unknown","London","580","570","43920","42470"
"In post","2022","Department for Transport (excl. agencies)","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Unknown","South East (England)","30","30","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","East Midlands (England)","3060","2730","26080","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","East of England","3120","2830","28420","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","London","6600","6240","34180","31060"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","North East (England)","7100","6380","28450","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","North West (England)","12260","11160","27850","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","Scotland","5990","5330","25740","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","South East (England)","4440","4010","27650","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","South West (England)","3730","3270","26610","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","Unknown","410","380","31540","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","Wales","3880","3510","26390","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","West Midlands (England)","5100","4540","26470","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","Yorkshire and The Humber","6510","5850","30290","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","East Midlands (England)","210","190","25810","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","East of England","190","180","28160","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","London","430","410","36360","31060"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","North East (England)","420","410","27290","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","North West (England)","750","720","27440","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","Scotland","330","320","25640","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","South East (England)","340","320","27280","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","South West (England)","280","260","26680","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","Unknown","30","30","[c]","[c]"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","Wales","260","250","26390","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","West Midlands (England)","250","230","26170","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","LGBO","Yorkshire and The Humber","420","400","29320","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","East Midlands (England)","380","330","25450","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","East of England","380","330","27730","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","London","770","710","32620","31060"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","North East (England)","740","660","28660","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","North West (England)","1410","1270","27420","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","Scotland","760","670","24970","27010"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","South East (England)","550","480","27120","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","South West (England)","500","440","26160","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","Unknown","60","50","30340","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","Wales","460","410","25440","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","West Midlands (England)","630","550","25580","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Undeclared","Yorkshire and The Humber","780","680","28750","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","East Midlands (England)","890","760","25530","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","East of England","810","680","27610","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","London","2170","1960","33370","31060"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","North East (England)","1910","1660","27600","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","North West (England)","3920","3450","26760","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","Scotland","1560","1320","24570","21260"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","South East (England)","1020","880","27290","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","South West (England)","1000","820","25340","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","100","90","30970","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","Wales","1120","960","25030","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","West Midlands (England)","1670","1410","25610","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","Yorkshire and The Humber","1790","1560","29630","27570"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","London","1420","1370","49700","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","North West (England)","50","50","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","South West (England)","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","West Midlands (England)","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","Yorkshire and The Humber","610","580","44910","42480"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","London","200","200","47930","40650"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","LGBO","Yorkshire and The Humber","60","60","38780","36820"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","London","1060","1030","47370","41990"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","North West (England)","30","30","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","South West (England)","40","40","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Undeclared","Yorkshire and The Humber","290","280","42570","36930"
"In post","2022","Disclosure Scotland","Heterosexual / straight","Scotland","220","210","30850","25930"
"In post","2022","Disclosure Scotland","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","Unknown","Scotland","100","90","25670","23230"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","London","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","Wales","3910","3520","27150","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","West Midlands (England)","90","80","23850","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Heterosexual / straight","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","Wales","180","170","24560","21840"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","Wales","1380","1150","25480","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Unknown","Wales","730","660","24410","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","East Midlands (England)","340","320","32510","28240"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","East of England","240","230","29420","27810"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","London","210","210","32580","30780"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","North East (England)","190","180","28000","26780"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","North West (England)","270","250","28470","26780"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","Scotland","160","150","29640","27930"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","South East (England)","290","270","30110","27930"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","South West (England)","390","360","33130","29590"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","Wales","310","290","30180","26830"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","West Midlands (England)","240","220","29080","26780"
"In post","2022","Driver and Vehicle Standards Agency","Heterosexual / straight","Yorkshire and The Humber","260","240","28220","26780"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
