"Status","Year","Sexual_orientation","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Barnet","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","AA/AO","980","870","23010","21010"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","EO","620","550","28210","27570"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","SEO/HEO","240","220","37490","35570"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Unknown","170","150","29480","29200"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","510","470","22820","21010"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","2000","1890","24740","25560"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","1510","1480","57290","55130"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","120","120","99810","91980"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","4970","4800","36470","36460"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","1180","1140","41170","39100"
"In post","2021","Heterosexual / straight","Bedford","AA/AO","190","180","26140","27850"
"In post","2021","Heterosexual / straight","Bedford","EO","200","180","27580","27570"
"In post","2021","Heterosexual / straight","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","SEO/HEO","120","110","38260","36740"
"In post","2021","Heterosexual / straight","Bedford","Unknown","50","40","28620","26500"
"In post","2021","Heterosexual / straight","Belfast","AA/AO","540","480","20780","21420"
"In post","2021","Heterosexual / straight","Belfast","EO","530","490","26370","25560"
"In post","2021","Heterosexual / straight","Belfast","G6/G7","170","160","55030","52580"
"In post","2021","Heterosexual / straight","Belfast","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","SEO/HEO","560","540","34410","31810"
"In post","2021","Heterosexual / straight","Berkshire","AA/AO","620","600","27420","25540"
"In post","2021","Heterosexual / straight","Berkshire","EO","540","510","30760","29290"
"In post","2021","Heterosexual / straight","Berkshire","G6/G7","190","190","56780","54540"
"In post","2021","Heterosexual / straight","Berkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","SEO/HEO","450","430","38100","36690"
"In post","2021","Heterosexual / straight","Berkshire","Unknown","140","130","31850","31980"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","AA/AO","530","510","28230","27240"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","EO","360","340","32080","31060"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","SEO/HEO","130","130","41530","39670"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Unknown","110","100","33550","34020"
"In post","2021","Heterosexual / straight","Birmingham","AA/AO","2090","1900","21110","20140"
"In post","2021","Heterosexual / straight","Birmingham","EO","2050","1900","26620","27570"
"In post","2021","Heterosexual / straight","Birmingham","G6/G7","780","750","57420","53500"
"In post","2021","Heterosexual / straight","Birmingham","SCS","80","70","95950","91190"
"In post","2021","Heterosexual / straight","Birmingham","SEO/HEO","2030","1950","35560","33400"
"In post","2021","Heterosexual / straight","Birmingham","Unknown","330","300","30540","28200"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","AA/AO","100","80","21130","21010"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","EO","150","140","27490","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","Unknown","60","50","28060","26500"
"In post","2021","Heterosexual / straight","Blackpool","AA/AO","1130","1020","20870","21010"
"In post","2021","Heterosexual / straight","Blackpool","EO","1140","1020","27430","27570"
"In post","2021","Heterosexual / straight","Blackpool","G6/G7","270","260","55420","52190"
"In post","2021","Heterosexual / straight","Blackpool","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","SEO/HEO","680","640","34520","34290"
"In post","2021","Heterosexual / straight","Blackpool","Unknown","60","50","28610","29200"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","AA/AO","150","130","20290","20100"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","EO","230","200","26980","27570"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","Unknown","80","70","29360","28200"
"In post","2021","Heterosexual / straight","Bradford","AA/AO","640","540","20420","20140"
"In post","2021","Heterosexual / straight","Bradford","EO","580","520","26700","27570"
"In post","2021","Heterosexual / straight","Bradford","G6/G7","130","120","54470","52580"
"In post","2021","Heterosexual / straight","Bradford","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","SEO/HEO","340","320","34020","31990"
"In post","2021","Heterosexual / straight","Bradford","Unknown","120","110","30530","30210"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","AA/AO","210","200","24230","23240"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","EO","90","90","28750","27570"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","SEO/HEO","60","60","39150","38160"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","AA/AO","90","80","23650","23500"
"In post","2021","Heterosexual / straight","Brent","EO","170","160","30730","31060"
"In post","2021","Heterosexual / straight","Brent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","SEO/HEO","50","50","40290","37380"
"In post","2021","Heterosexual / straight","Brent","Unknown","50","50","32720","28690"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","AA/AO","190","160","20440","21010"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","EO","210","190","27920","27570"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","SEO/HEO","60","60","37170","35310"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Unknown","50","50","33830","31420"
"In post","2021","Heterosexual / straight","Brighton and Hove","AA/AO","90","80","20330","20650"
"In post","2021","Heterosexual / straight","Brighton and Hove","EO","150","140","27420","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","G6/G7","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","Unknown","60","50","29140","28200"
"In post","2021","Heterosexual / straight","Bristol, City of","AA/AO","830","760","21460","21010"
"In post","2021","Heterosexual / straight","Bristol, City of","EO","900","820","26720","27530"
"In post","2021","Heterosexual / straight","Bristol, City of","G6/G7","1020","970","56840","54940"
"In post","2021","Heterosexual / straight","Bristol, City of","SCS","60","60","88850","82300"
"In post","2021","Heterosexual / straight","Bristol, City of","SEO/HEO","1470","1380","35540","34740"
"In post","2021","Heterosexual / straight","Bristol, City of","Unknown","130","110","29930","30210"
"In post","2021","Heterosexual / straight","Bromley","AA/AO","110","100","22360","22080"
"In post","2021","Heterosexual / straight","Bromley","EO","150","140","31050","31060"
"In post","2021","Heterosexual / straight","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","AA/AO","410","390","24960","23030"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","EO","350","340","28530","27860"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","G6/G7","60","60","63750","59540"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","SEO/HEO","340","320","38940","37280"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Unknown","80","70","30140","31980"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","AA/AO","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","EO","60","50","29010","27570"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","AA/AO","140","110","20580","21010"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","EO","380","350","27320","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","SEO/HEO","60","60","34110","32700"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Unknown","90","80","28490","28200"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","AA/AO","750","690","25230","23240"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","EO","500","470","27700","27380"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","G6/G7","240","230","61180","57540"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","SEO/HEO","790","770","37280","35480"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","Unknown","80","80","30940","30880"
"In post","2021","Heterosexual / straight","Camden and City of London","AA/AO","530","500","23660","23270"
"In post","2021","Heterosexual / straight","Camden and City of London","EO","570","540","29540","29570"
"In post","2021","Heterosexual / straight","Camden and City of London","G6/G7","360","350","67820","59990"
"In post","2021","Heterosexual / straight","Camden and City of London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","SEO/HEO","670","650","38370","36240"
"In post","2021","Heterosexual / straight","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","AA/AO","1990","1800","21470","21010"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","EO","2200","2050","26980","27460"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","G6/G7","1030","990","59730","60830"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","SCS","150","140","90050","81760"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","SEO/HEO","2540","2410","37230","37410"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Unknown","210","200","31590","30210"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","AA/AO","50","50","20470","20310"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","AA/AO","110","110","20780","20920"
"In post","2021","Heterosexual / straight","Central Bedfordshire","EO","100","100","28050","26930"
"In post","2021","Heterosexual / straight","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","SEO/HEO","100","100","37230","36300"
"In post","2021","Heterosexual / straight","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","AA/AO","580","560","22790","20920"
"In post","2021","Heterosexual / straight","Central Hampshire","EO","550","530","27030","26670"
"In post","2021","Heterosexual / straight","Central Hampshire","G6/G7","660","630","53230","53500"
"In post","2021","Heterosexual / straight","Central Hampshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","SEO/HEO","1240","1200","35770","34800"
"In post","2021","Heterosexual / straight","Central Hampshire","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Valleys","AA/AO","230","210","21800","21010"
"In post","2021","Heterosexual / straight","Central Valleys","EO","400","370","27860","27570"
"In post","2021","Heterosexual / straight","Central Valleys","G6/G7","120","120","62210","60830"
"In post","2021","Heterosexual / straight","Central Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Valleys","SEO/HEO","420","400","40000","37410"
"In post","2021","Heterosexual / straight","Central Valleys","Unknown","70","70","29500","28750"
"In post","2021","Heterosexual / straight","Cheshire East","AA/AO","130","120","23510","21940"
"In post","2021","Heterosexual / straight","Cheshire East","EO","150","140","27600","27570"
"In post","2021","Heterosexual / straight","Cheshire East","G6/G7","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire East","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire East","SEO/HEO","80","70","38810","37340"
"In post","2021","Heterosexual / straight","Cheshire East","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","AA/AO","120","120","20700","21010"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","EO","130","110","27240","27570"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","Unknown","60","60","28380","28200"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","AA/AO","430","400","25160","24590"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","EO","220","200","29530","27570"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","SEO/HEO","150","140","39170","38160"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","City of Edinburgh","AA/AO","1220","1170","22330","21490"
"In post","2021","Heterosexual / straight","City of Edinburgh","EO","1450","1390","28260","27570"
"In post","2021","Heterosexual / straight","City of Edinburgh","G6/G7","1510","1440","61890","61010"
"In post","2021","Heterosexual / straight","City of Edinburgh","SCS","130","130","91390","83230"
"In post","2021","Heterosexual / straight","City of Edinburgh","SEO/HEO","2720","2610","38490","38450"
"In post","2021","Heterosexual / straight","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","AA/AO","240","220","21770","21010"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","EO","330","300","28590","27570"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","SEO/HEO","200","190","37800","36460"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","AA/AO","110","100","22030","22160"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","EO","130","120","27810","27570"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","G6/G7","50","50","61400","60830"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","SEO/HEO","210","200","40130","37410"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","Unknown","60","50","30140","28200"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","AA/AO","470","430","20830","21010"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","EO","410","380","27250","27570"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","G6/G7","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","SEO/HEO","160","150","35670","34290"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Coventry","AA/AO","180","150","20840","21010"
"In post","2021","Heterosexual / straight","Coventry","EO","390","360","26880","27400"
"In post","2021","Heterosexual / straight","Coventry","G6/G7","330","320","54990","50630"
"In post","2021","Heterosexual / straight","Coventry","SCS","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Coventry","SEO/HEO","570","550","35150","36500"
"In post","2021","Heterosexual / straight","Coventry","Unknown","50","50","30570","30210"
"In post","2021","Heterosexual / straight","Croydon","AA/AO","1200","1090","24590","25630"
"In post","2021","Heterosexual / straight","Croydon","EO","1850","1740","29570","29370"
"In post","2021","Heterosexual / straight","Croydon","G6/G7","1170","1130","63480","61030"
"In post","2021","Heterosexual / straight","Croydon","SCS","60","60","89950","82690"
"In post","2021","Heterosexual / straight","Croydon","SEO/HEO","2500","2420","39410","37640"
"In post","2021","Heterosexual / straight","Croydon","Unknown","80","70","35620","34100"
"In post","2021","Heterosexual / straight","Darlington","AA/AO","70","60","20870","21000"
"In post","2021","Heterosexual / straight","Darlington","EO","140","130","26280","26000"
"In post","2021","Heterosexual / straight","Darlington","G6/G7","150","150","53930","50630"
"In post","2021","Heterosexual / straight","Darlington","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Darlington","SEO/HEO","360","340","34600","36500"
"In post","2021","Heterosexual / straight","Darlington","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Derby","AA/AO","280","240","21580","21010"
"In post","2021","Heterosexual / straight","Derby","EO","200","180","27330","27570"
"In post","2021","Heterosexual / straight","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derby","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derby","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Derby","Unknown","110","100","30340","28930"
"In post","2021","Heterosexual / straight","Derry City and Strabane","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derry City and Strabane","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon CC","AA/AO","1220","1090","22190","21010"
"In post","2021","Heterosexual / straight","Devon CC","EO","760","700","27060","27570"
"In post","2021","Heterosexual / straight","Devon CC","G6/G7","120","120","57850","55610"
"In post","2021","Heterosexual / straight","Devon CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon CC","SEO/HEO","430","410","36720","35900"
"In post","2021","Heterosexual / straight","Devon CC","Unknown","70","60","32120","31420"
"In post","2021","Heterosexual / straight","Dorset CC","AA/AO","670","630","23710","21710"
"In post","2021","Heterosexual / straight","Dorset CC","EO","380","350","28280","27380"
"In post","2021","Heterosexual / straight","Dorset CC","G6/G7","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset CC","SEO/HEO","320","310","37560","36410"
"In post","2021","Heterosexual / straight","Dorset CC","Unknown","50","50","28270","30210"
"In post","2021","Heterosexual / straight","Dudley","AA/AO","310","260","20760","21010"
"In post","2021","Heterosexual / straight","Dudley","EO","300","270","27310","27570"
"In post","2021","Heterosexual / straight","Dudley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dudley","SEO/HEO","60","50","34330","34290"
"In post","2021","Heterosexual / straight","Dudley","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Dumfries and Galloway","AA/AO","80","70","23080","22220"
"In post","2021","Heterosexual / straight","Dumfries and Galloway","EO","110","100","29500","28120"
"In post","2021","Heterosexual / straight","Dumfries and Galloway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dumfries and Galloway","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Durham CC","AA/AO","2130","1870","22850","21430"
"In post","2021","Heterosexual / straight","Durham CC","EO","860","780","27690","27130"
"In post","2021","Heterosexual / straight","Durham CC","G6/G7","80","70","58950","56750"
"In post","2021","Heterosexual / straight","Durham CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Durham CC","SEO/HEO","560","530","37040","35910"
"In post","2021","Heterosexual / straight","Durham CC","Unknown","120","110","30690","30880"
"In post","2021","Heterosexual / straight","Ealing","AA/AO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Ealing","EO","230","210","31150","31060"
"In post","2021","Heterosexual / straight","Ealing","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ealing","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ealing","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","AA/AO","190","160","21680","21010"
"In post","2021","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","EO","350","320","25920","27570"
"In post","2021","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","SEO/HEO","140","130","34300","33180"
"In post","2021","Heterosexual / straight","East Cumbria","AA/AO","220","200","21530","21050"
"In post","2021","Heterosexual / straight","East Cumbria","EO","210","200","24880","25200"
"In post","2021","Heterosexual / straight","East Cumbria","G6/G7","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Cumbria","SEO/HEO","140","130","33830","32320"
"In post","2021","Heterosexual / straight","East Cumbria","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Derbyshire","AA/AO","80","60","20340","20720"
"In post","2021","Heterosexual / straight","East Derbyshire","EO","140","120","27380","27570"
"In post","2021","Heterosexual / straight","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Derbyshire","Unknown","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","900","850","26310","22220"
"In post","2021","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","EO","390","370","30640","27570"
"In post","2021","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","G6/G7","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","SEO/HEO","240","240","40700","39500"
"In post","2021","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","60","60","39570","43290"
"In post","2021","Heterosexual / straight","East Kent","AA/AO","680","630","22370","21430"
"In post","2021","Heterosexual / straight","East Kent","EO","1730","1570","27240","26920"
"In post","2021","Heterosexual / straight","East Kent","G6/G7","70","70","55680","52280"
"In post","2021","Heterosexual / straight","East Kent","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Kent","SEO/HEO","470","450","34700","33300"
"In post","2021","Heterosexual / straight","East Kent","Unknown","80","80","29070","25900"
