"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","London","National Infrastructure Commission","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","London","National Savings and Investments","110","110","51860","47480"
"In post","2021","Heterosexual / straight","London","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Office for Standards in Education, Children's Services and Skills","350","340","56610","51360"
"In post","2021","Heterosexual / straight","London","Office of Gas and Electricity Markets","260","250","48600","44430"
"In post","2021","Heterosexual / straight","London","Office of Rail and Road","100","100","52010","54890"
"In post","2021","Heterosexual / straight","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Public Health England","1970","1810","45190","40070"
"In post","2021","Heterosexual / straight","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Serious Fraud Office","330","320","46470","41080"
"In post","2021","Heterosexual / straight","London","Standards and Testing Agency","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","The National Archives","220","210","36510","34220"
"In post","2021","Heterosexual / straight","London","UK Export Finance","320","320","52510","47230"
"In post","2021","Heterosexual / straight","London","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","UK Space Agency","70","70","48580","40220"
"In post","2021","Heterosexual / straight","London","UK Supreme Court","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","London","United Kingdom Statistics Authority","220","220","43560","32540"
"In post","2021","Heterosexual / straight","London","Valuation Office Agency","380","350","41880","37380"
"In post","2021","Heterosexual / straight","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Advisory, Conciliation and Arbitration Service","80","70","31310","30950"
"In post","2021","Heterosexual / straight","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Cabinet Office (excl. agencies)","310","290","28550","23850"
"In post","2021","Heterosexual / straight","North East (England)","Crown Prosecution Service","240","220","38110","33310"
"In post","2021","Heterosexual / straight","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Education (excl. agencies)","470","440","38290","36780"
"In post","2021","Heterosexual / straight","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","40070","36970"
"In post","2021","Heterosexual / straight","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Work and Pensions (excl. agencies)","6380","5690","27360","27570"
"In post","2021","Heterosexual / straight","North East (England)","Driver and Vehicle Standards Agency","190","180","27860","26700"
"In post","2021","Heterosexual / straight","North East (England)","Education and Skills Funding Agency","170","160","38000","36780"
"In post","2021","Heterosexual / straight","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Health and Safety Executive","60","50","42270","43830"
"In post","2021","Heterosexual / straight","North East (England)","HM Courts and Tribunals Service","560","490","23940","20100"
"In post","2021","Heterosexual / straight","North East (England)","HM Land Registry","410","370","28820","27130"
"In post","2021","Heterosexual / straight","North East (England)","HM Prison and Probation Service","2360","2220","29230","27380"
"In post","2021","Heterosexual / straight","North East (England)","HM Revenue and Customs (excl. agencies)","5940","5310","29060","25560"
"In post","2021","Heterosexual / straight","North East (England)","Home Office (incl. agencies)","1080","940","25180","21430"
"In post","2021","Heterosexual / straight","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Legal Aid Agency","220","200","24780","21170"
"In post","2021","Heterosexual / straight","North East (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Ministry of Defence (excl. agencies)","180","170","23770","21130"
"In post","2021","Heterosexual / straight","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","60","50","40060","36340"
"In post","2021","Heterosexual / straight","North East (England)","Ministry of Justice (excl. agencies)","80","80","36650","33690"
"In post","2021","Heterosexual / straight","North East (England)","National Crime Agency","80","80","35330","36410"
"In post","2021","Heterosexual / straight","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Public Health England","100","80","43420","36950"
"In post","2021","Heterosexual / straight","North East (England)","Rural Payments Agency","160","140","27920","25100"
"In post","2021","Heterosexual / straight","North East (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Valuation Office Agency","240","220","30540","26000"
"In post","2021","Heterosexual / straight","North West (England)","Advisory, Conciliation and Arbitration Service","80","80","31330","31140"
"In post","2021","Heterosexual / straight","North West (England)","Animal and Plant Health Agency","200","190","27590","24920"
"In post","2021","Heterosexual / straight","North West (England)","Cabinet Office (excl. agencies)","170","160","44130","37300"
"In post","2021","Heterosexual / straight","North West (England)","Charity Commission","170","160","32590","29160"
"In post","2021","Heterosexual / straight","North West (England)","Crown Commercial Service","290","290","39320","35290"
"In post","2021","Heterosexual / straight","North West (England)","Crown Prosecution Service","710","660","38810","33310"
"In post","2021","Heterosexual / straight","North West (England)","Defence Equipment and Support","120","110","28320","23510"
"In post","2021","Heterosexual / straight","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Department for Education (excl. agencies)","670","650","41130","36780"
"In post","2021","Heterosexual / straight","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","220","210","41080","36970"
"In post","2021","Heterosexual / straight","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Department for Work and Pensions (excl. agencies)","11130","10080","27190","27570"
"In post","2021","Heterosexual / straight","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Driver and Vehicle Standards Agency","250","240","28560","26780"
"In post","2021","Heterosexual / straight","North West (England)","Education and Skills Funding Agency","150","140","38730","36780"
"In post","2021","Heterosexual / straight","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Government Internal Audit Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Health and Safety Executive","660","620","40810","36780"
"In post","2021","Heterosexual / straight","North West (England)","HM Courts and Tribunals Service","1590","1420","24110","20650"
"In post","2021","Heterosexual / straight","North West (England)","HM Land Registry","480","430","30590","27130"
"In post","2021","Heterosexual / straight","North West (England)","HM Prison and Probation Service","4560","4280","29860","27380"
"In post","2021","Heterosexual / straight","North West (England)","HM Revenue and Customs (excl. agencies)","6970","6460","31740","28130"
"In post","2021","Heterosexual / straight","North West (England)","Home Office (incl. agencies)","5990","5550","26980","24890"
"In post","2021","Heterosexual / straight","North West (England)","Insolvency Service","160","150","34680","34820"
"In post","2021","Heterosexual / straight","North West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Legal Aid Agency","190","180","26040","22570"
"In post","2021","Heterosexual / straight","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Ministry of Defence (excl. agencies)","1250","1180","28070","26350"
"In post","2021","Heterosexual / straight","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","120","120","36540","34690"
"In post","2021","Heterosexual / straight","North West (England)","Ministry of Justice (excl. agencies)","180","180","38620","35820"
"In post","2021","Heterosexual / straight","North West (England)","National Crime Agency","1000","980","36140","35950"
"In post","2021","Heterosexual / straight","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Office for Standards in Education, Children's Services and Skills","390","370","40700","32010"
"In post","2021","Heterosexual / straight","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Public Health England","390","360","37110","31220"
"In post","2021","Heterosexual / straight","North West (England)","Rural Payments Agency","360","320","26280","25100"
"In post","2021","Heterosexual / straight","North West (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North West (England)","Submarine Delivery Agency","120","120","42440","41000"
"In post","2021","Heterosexual / straight","North West (England)","Valuation Office Agency","210","190","36010","32110"
"In post","2021","Heterosexual / straight","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Food Standards Agency","60","60","37860","37910"
"In post","2021","Heterosexual / straight","Northern Ireland","HM Revenue and Customs (excl. agencies)","1170","1090","30420","28130"
"In post","2021","Heterosexual / straight","Northern Ireland","Home Office (incl. agencies)","430","390","25200","24890"
"In post","2021","Heterosexual / straight","Northern Ireland","Maritime and Coastguard Agency","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Ministry of Defence (excl. agencies)","770","750","24350","20560"
"In post","2021","Heterosexual / straight","Northern Ireland","National Crime Agency","90","90","39540","37970"
"In post","2021","Heterosexual / straight","Northern Ireland","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Department for International Trade","90","90","57150","55650"
"In post","2021","Heterosexual / straight","Overseas","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","FCDO Services","90","90","39560","39410"
"In post","2021","Heterosexual / straight","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","1490","1480","52540","53640"
"In post","2021","Heterosexual / straight","Overseas","Home Office (incl. agencies)","240","240","28200","27370"
"In post","2021","Heterosexual / straight","Overseas","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Ministry of Defence (excl. agencies)","410","410","40940","34620"
"In post","2021","Heterosexual / straight","Overseas","National Crime Agency","100","100","66640","63280"
"In post","2021","Heterosexual / straight","Overseas","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Accountant in Bankruptcy","80","70","32700","29190"
"In post","2021","Heterosexual / straight","Scotland","Advisory, Conciliation and Arbitration Service","70","60","31930","30950"
"In post","2021","Heterosexual / straight","Scotland","Animal and Plant Health Agency","100","100","31330","26520"
"In post","2021","Heterosexual / straight","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Criminal Injuries Compensation Authority","190","180","26650","22710"
"In post","2021","Heterosexual / straight","Scotland","Crown Office and Procurator Fiscal Service","1740","1610","35150","29040"
"In post","2021","Heterosexual / straight","Scotland","Defence Equipment and Support","400","390","29530","26010"
"In post","2021","Heterosexual / straight","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","70","49200","40200"
"In post","2021","Heterosexual / straight","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Department for Work and Pensions (excl. agencies)","5800","5160","25560","27570"
"In post","2021","Heterosexual / straight","Scotland","Disclosure Scotland","180","170","29580","24910"
"In post","2021","Heterosexual / straight","Scotland","Driver and Vehicle Standards Agency","160","150","29370","27680"
"In post","2021","Heterosexual / straight","Scotland","Education Scotland","180","170","58600","66290"
