"Status","Year","Age","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Enfield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwent Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","No function","40","30","[c]","[c]"
"In post","2021","16-19","Leeds","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lewisham and Southwark","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medway","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Kent","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Na h-Eileanan Siar","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North and North East Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Hampshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Lanarkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Lanarkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Lanarkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Norwich and East Norfolk","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Norwich and East Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Orkney Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Perth and Kinross and Stirling","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Peterborough","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Peterborough","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Plymouth","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Plymouth","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Plymouth","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Portsmouth","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Portsmouth","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Portsmouth","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Portsmouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Redbridge and Waltham Forest","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Borders","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sefton","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sefton","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sheffield","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sheffield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Solihull","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Somerset","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Somerset","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South and West Derbyshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Hampshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Hampshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Hampshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Lanarkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Lanarkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Lanarkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Teesside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southampton","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southend-on-Sea","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Staffordshire CC","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Staffordshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Staffordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Stoke-on-Trent","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Suffolk","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Suffolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Suffolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sunderland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sunderland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Swansea","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Swansea","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Swansea","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Swansea","No function","40","30","[c]","[c]"
"In post","2021","16-19","Swansea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Thurrock","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tyneside","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tyneside","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tyneside","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tyneside","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tyneside","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tyneside","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Wakefield","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wakefield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Cumbria","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Lothian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Surrey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Surrey","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Sussex (South West)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Sussex (South West)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","No function","40","40","[c]","[c]"
"In post","2021","16-19","Westminster","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wiltshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wiltshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wiltshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wiltshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wiltshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wirral","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wirral","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wirral","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wolverhampton","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Worcestershire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Worcestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","York","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","York","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","No function","100","90","25200","24450"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","Unknown","90","90","28330","27570"
"In post","2021","20-29","Angus and Dundee City","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Angus and Dundee City","No function","40","40","[c]","[c]"
"In post","2021","20-29","Angus and Dundee City","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Angus and Dundee City","Unknown","170","160","23490","21150"
"In post","2021","20-29","Antrim and Newtownabbey","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Antrim and Newtownabbey","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ards and North Down","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barking & Dagenham and Havering","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barking & Dagenham and Havering","Unknown","70","70","30380","31060"
"In post","2021","20-29","Barnet","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnet","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnet","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnet","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnet","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnet","No function","250","240","30270","27520"
"In post","2021","20-29","Barnet","Unknown","80","80","31260","31060"
