"Status","Year","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","420","410","41560","36970"
"Leaver Dept.","2021","Department for International Development","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Department for International Trade","Heterosexual / straight","120","120","45500","38540"
"Leaver Dept.","2021","Department for International Trade","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Department for International Trade","Unknown","120","120","41200","38300"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","130","130","47150","42460"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Department for Transport","Unknown","50","50","40850","42460"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","860","820","30300","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","70","70","29820","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","80","80","29180","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","350","330","29840","27570"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","150","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","70","70","26170","21590"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","40","40","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
