"Status","Year","Organisation","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Heterosexual / straight","160","150","25480","24330"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Unknown","150","140","24450","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Heterosexual / straight","390","360","36190","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Undeclared","90","80","36820","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Unknown","90","80","34270","30950"
"In post","2021","Animal and Plant Health Agency","AA/AO","Heterosexual / straight","590","550","21820","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","LGBO","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Undeclared","70","70","21500","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Unknown","110","100","22440","21050"
"In post","2021","Animal and Plant Health Agency","EO","Heterosexual / straight","530","500","26620","25730"
"In post","2021","Animal and Plant Health Agency","EO","LGBO","50","50","26360","25190"
"In post","2021","Animal and Plant Health Agency","EO","Undeclared","90","90","26460","25660"
"In post","2021","Animal and Plant Health Agency","EO","Unknown","100","90","26420","26270"
"In post","2021","Animal and Plant Health Agency","G6/G7","Heterosexual / straight","150","140","54380","53870"
"In post","2021","Animal and Plant Health Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Heterosexual / straight","610","580","35810","35900"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Undeclared","140","130","37260","36970"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Unknown","100","100","36890","36610"
"In post","2021","Attorney General's Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Heterosexual / straight","320","290","21880","20920"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Unknown","170","170","21450","20920"
"In post","2021","Cabinet Office (excl. agencies)","EO","Heterosexual / straight","570","550","27130","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","LGBO","60","60","26950","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","Undeclared","60","60","27560","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","Unknown","190","180","27410","27500"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Heterosexual / straight","1640","1610","58780","56340"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","LGBO","170","160","58020","56340"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Undeclared","190","190","58830","56680"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Unknown","1030","1010","61310","56340"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Heterosexual / straight","400","400","96830","87750"
"In post","2021","Cabinet Office (excl. agencies)","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Unknown","500","490","88640","73450"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Heterosexual / straight","1480","1450","36340","35590"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","LGBO","160","160","36180","34640"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Undeclared","170","170","36590","35040"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Unknown","2210","2200","31450","29250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Unknown","60","60","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Unknown","70","60","52640","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Heterosexual / straight","110","110","32940","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Unknown","180","170","32770","30220"
"In post","2021","Charity Commission","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Heterosexual / straight","60","50","24590","24440"
"In post","2021","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Heterosexual / straight","130","120","32710","29300"
"In post","2021","Charity Commission","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Unknown","100","90","33600","31500"
"In post","2021","Companies House","AA/AO","Heterosexual / straight","240","210","21770","22490"
"In post","2021","Companies House","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2021","Companies House","AA/AO","Unknown","140","120","21660","22490"
"In post","2021","Companies House","EO","Heterosexual / straight","190","170","27670","27460"
"In post","2021","Companies House","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Unknown","70","60","27910","27460"
"In post","2021","Companies House","G6/G7","Heterosexual / straight","50","50","57540","56390"
"In post","2021","Companies House","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Heterosexual / straight","230","220","38540","38000"
"In post","2021","Companies House","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Unknown","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Heterosexual / straight","60","60","28520","28160"
"In post","2021","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Heterosexual / straight","350","330","65870","62890"
"In post","2021","Competition and Markets Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Heterosexual / straight","90","90","107200","99920"
"In post","2021","Competition and Markets Authority","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Heterosexual / straight","160","160","38010","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","Heterosexual / straight","70","60","20200","19930"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","Heterosexual / straight","50","50","23200","22570"
"In post","2021","Criminal Injuries Compensation Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Heterosexual / straight","60","50","29520","27980"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Heterosexual / straight","80","70","23810","22640"
"In post","2021","Crown Commercial Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Heterosexual / straight","150","140","52870","50060"
"In post","2021","Crown Commercial Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Unknown","40","30","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Heterosexual / straight","300","290","33610","34800"
"In post","2021","Crown Commercial Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Unknown","100","90","31590","30180"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Heterosexual / straight","620","550","21930","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Heterosexual / straight","290","280","27330","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Heterosexual / straight","170","160","66260","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Heterosexual / straight","640","600","41270","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Undeclared","50","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Unknown","50","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","Heterosexual / straight","1020","940","22320","21950"
"In post","2021","Crown Prosecution Service","AA/AO","LGBO","60","60","22080","21950"
"In post","2021","Crown Prosecution Service","AA/AO","Undeclared","50","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","Unknown","320","280","22050","21950"
"In post","2021","Crown Prosecution Service","EO","Heterosexual / straight","940","880","27780","28430"
"In post","2021","Crown Prosecution Service","EO","LGBO","60","60","28050","27440"
"In post","2021","Crown Prosecution Service","EO","Undeclared","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","Unknown","320","290","28460","28430"
"In post","2021","Crown Prosecution Service","G6/G7","Heterosexual / straight","1970","1840","56950","55610"
"In post","2021","Crown Prosecution Service","G6/G7","LGBO","100","90","60690","58040"
"In post","2021","Crown Prosecution Service","G6/G7","Undeclared","90","80","56700","55000"
"In post","2021","Crown Prosecution Service","G6/G7","Unknown","710","640","59230","55610"
"In post","2021","Crown Prosecution Service","SCS","Heterosexual / straight","70","70","95840","89220"
"In post","2021","Crown Prosecution Service","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SEO/HEO","Heterosexual / straight","770","740","36130","36240"
"In post","2021","Crown Prosecution Service","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SEO/HEO","Unknown","150","140","36100","34480"
"In post","2021","Crown Prosecution Service Inspectorate","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Unknown","60","60","71740","67260"
"In post","2021","Debt Management Office","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Unknown","50","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Undeclared","50","50","21140","21000"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","EO","Heterosexual / straight","70","70","27330","27460"
"In post","2021","Defence Electronics and Components Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","EO","Undeclared","190","180","28310","28750"
"In post","2021","Defence Electronics and Components Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","Undeclared","50","50","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","EO","Heterosexual / straight","2050","1960","22300","21380"
"In post","2021","Defence Equipment and Support","EO","LGBO","90","90","22180","20450"
"In post","2021","Defence Equipment and Support","EO","Undeclared","210","200","22590","21830"
"In post","2021","Defence Equipment and Support","EO","Unknown","260","250","21580","20450"
"In post","2021","Defence Equipment and Support","G6/G7","Heterosexual / straight","1330","1300","56820","55140"
"In post","2021","Defence Equipment and Support","G6/G7","LGBO","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","G6/G7","Undeclared","220","220","57370","55910"
"In post","2021","Defence Equipment and Support","G6/G7","Unknown","70","70","57000","54450"
"In post","2021","Defence Equipment and Support","SCS","Heterosexual / straight","100","100","103120","94470"
"In post","2021","Defence Equipment and Support","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","SEO/HEO","Heterosexual / straight","4980","4820","35530","34900"
"In post","2021","Defence Equipment and Support","SEO/HEO","LGBO","150","150","33050","32260"
"In post","2021","Defence Equipment and Support","SEO/HEO","Undeclared","810","770","36850","37400"
"In post","2021","Defence Equipment and Support","SEO/HEO","Unknown","380","360","35360","34940"
