"Status","Year","Region_ITL3","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barnet","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Undeclared","50","40","[c]","[c]"
"In post","2021","Barnet","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","White","290","290","44270","40830"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Undeclared","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Unknown","140","130","24370","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","White","1610","1370","26260","26300"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Undeclared","50","50","27350","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Unknown","130","120","25920","26300"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","White","940","890","29230","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Asian","140","130","33650","30420"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Black","120","120","32070","31340"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Mixed","100","90","34550","31680"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Undeclared","190","170","37430","34340"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Unknown","330","310","34400","30130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","White","4470","4140","34730","32710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Asian","220","220","37130","33900"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Black","150","150","35480","35630"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Mixed","110","110","36020","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Undeclared","580","570","41670","40550"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Unknown","560","560","35060","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","White","6330","6210","40310","38760"
"In post","2021","Bedford","Female","Asian","50","50","26280","26570"
"In post","2021","Bedford","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Female","Unknown","50","50","28130","22890"
"In post","2021","Bedford","Female","White","310","280","29650","28480"
"In post","2021","Bedford","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Male","Unknown","60","60","29180","27850"
"In post","2021","Bedford","Male","White","260","250","32440","30400"
"In post","2021","Belfast","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Female","Unknown","270","240","25710","21430"
"In post","2021","Belfast","Female","White","1120","1010","29530","25560"
"In post","2021","Belfast","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Belfast","Male","Unknown","330","320","26320","24880"
"In post","2021","Belfast","Male","White","1000","960","29880","25560"
"In post","2021","Berkshire","Female","Asian","200","180","29910","29290"
"In post","2021","Berkshire","Female","Black","60","60","31190","29290"
"In post","2021","Berkshire","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Female","Undeclared","60","50","31780","30600"
"In post","2021","Berkshire","Female","Unknown","180","170","31470","29290"
"In post","2021","Berkshire","Female","White","830","770","33930","29780"
"In post","2021","Berkshire","Male","Asian","100","100","31220","29290"
"In post","2021","Berkshire","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Mixed","40","30","[c]","[c]"
"In post","2021","Berkshire","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Male","Undeclared","110","100","36060","37240"
"In post","2021","Berkshire","Male","Unknown","260","250","34050","30170"
"In post","2021","Berkshire","Male","White","1040","1030","36610","35200"
"In post","2021","Bexley and Greenwich","Female","Asian","60","60","30190","31060"
"In post","2021","Bexley and Greenwich","Female","Black","150","140","30940","31060"
"In post","2021","Bexley and Greenwich","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","Female","Unknown","110","110","29350","30150"
"In post","2021","Bexley and Greenwich","Female","White","520","480","30530","30330"
"In post","2021","Bexley and Greenwich","Male","Asian","40","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Black","120","110","31090","31060"
"In post","2021","Bexley and Greenwich","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","Male","Unknown","140","140","31000","31590"
"In post","2021","Bexley and Greenwich","Male","White","470","450","34690","34750"
"In post","2021","Birmingham","Female","Asian","1340","1190","26720","24320"
"In post","2021","Birmingham","Female","Black","540","500","27610","25560"
"In post","2021","Birmingham","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Female","Mixed","160","140","28460","26820"
"In post","2021","Birmingham","Female","Other ethnicity","60","50","29480","26470"
"In post","2021","Birmingham","Female","Undeclared","290","250","30130","27570"
"In post","2021","Birmingham","Female","Unknown","940","870","27660","25560"
"In post","2021","Birmingham","Female","White","3270","2930","32970","27570"
"In post","2021","Birmingham","Male","Asian","1100","1070","27520","25560"
"In post","2021","Birmingham","Male","Black","220","210","30500","27570"
"In post","2021","Birmingham","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Male","Mixed","70","70","29960","27570"
"In post","2021","Birmingham","Male","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Birmingham","Male","Undeclared","270","260","32140","27570"
"In post","2021","Birmingham","Male","Unknown","870","840","30070","25860"
"In post","2021","Birmingham","Male","White","2430","2350","35740","31810"
"In post","2021","Blackburn with Darwen","Female","Asian","70","50","24870","27570"
"In post","2021","Blackburn with Darwen","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Female","White","190","170","27390","27570"
"In post","2021","Blackburn with Darwen","Male","Asian","70","60","26170","27570"
"In post","2021","Blackburn with Darwen","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Male","White","100","90","27930","27570"
"In post","2021","Blackpool","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Female","Undeclared","100","80","28560","27570"
"In post","2021","Blackpool","Female","Unknown","210","190","27990","27570"
"In post","2021","Blackpool","Female","White","2850","2510","28420","27570"
"In post","2021","Blackpool","Male","Asian","60","60","29820","27570"
"In post","2021","Blackpool","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Male","Undeclared","90","90","31480","27570"
"In post","2021","Blackpool","Male","Unknown","180","180","29910","27570"
"In post","2021","Blackpool","Male","White","1560","1510","30250","27570"
"In post","2021","Bournemouth and Poole","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Female","White","370","310","27160","27570"
"In post","2021","Bournemouth and Poole","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Male","White","240","230","26610","27370"
"In post","2021","Bradford","Female","Asian","350","290","24850","21440"
"In post","2021","Bradford","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Female","Undeclared","70","60","26040","22180"
"In post","2021","Bradford","Female","Unknown","240","210","25150","21440"
"In post","2021","Bradford","Female","White","1150","970","27910","25560"
"In post","2021","Bradford","Male","Asian","340","320","25420","24000"
"In post","2021","Bradford","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Male","Undeclared","60","60","27210","27570"
"In post","2021","Bradford","Male","Unknown","250","240","25110","21010"
"In post","2021","Bradford","Male","White","550","520","30000","27570"
"In post","2021","Breckland and South Norfolk","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Female","White","200","180","28190","26500"
"In post","2021","Breckland and South Norfolk","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Male","White","270","260","29620","27570"
"In post","2021","Brent","Female","Asian","100","90","29840","31060"
"In post","2021","Brent","Female","Black","100","90","29280","31060"
"In post","2021","Brent","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Brent","Female","Unknown","50","40","[c]","[c]"
"In post","2021","Brent","Female","White","90","80","32760","31030"
"In post","2021","Brent","Male","Asian","40","40","[c]","[c]"
"In post","2021","Brent","Male","Black","40","30","[c]","[c]"
"In post","2021","Brent","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Brent","Male","White","70","70","36160","31060"
"In post","2021","Bridgend and Neath Port Talbot","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Female","White","450","390","26540","27570"
"In post","2021","Bridgend and Neath Port Talbot","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Male","White","190","180","28710","27570"
"In post","2021","Brighton and Hove","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Female","Unknown","50","40","[c]","[c]"
"In post","2021","Brighton and Hove","Female","White","340","290","30850","27570"
"In post","2021","Brighton and Hove","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Male","Mixed","[c]","[c]","[c]","[c]"
