"Status","Year","Region_ITL3","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Antrim and Newtownabbey","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Ministry of Defence (excl. agencies)","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Ministry of Defence (excl. agencies)","90","80","25460","21670"
"In post","2021","Ards and North Down","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Ministry of Defence (excl. agencies)","90","90","21100","20310"
"In post","2021","Ards and North Down","Unknown","Ministry of Defence (excl. agencies)","60","60","26460","22330"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","HM Courts and Tribunals Service","70","60","23470","22450"
"In post","2021","Barking & Dagenham and Havering","No function","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Department for Work and Pensions (excl. agencies)","460","420","30980","31060"
"In post","2021","Barnet","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Public Health England","40","40","[c]","[c]"
"In post","2021","Barnet","Finance","Public Health England","40","40","[c]","[c]"
"In post","2021","Barnet","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Barnet","No function","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Barnet","No function","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Barnet","No function","Public Health England","980","920","42830","38930"
"In post","2021","Barnet","Property","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Department for Work and Pensions (excl. agencies)","300","280","30710","31060"
"In post","2021","Barnet","Unknown","Home Office (incl. agencies)","150","150","44640","42170"
"In post","2021","Barnet","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Driver and Vehicle Standards Agency","60","50","27410","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","HM Courts and Tribunals Service","70","60","21130","19970"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","HM Prison and Probation Service","1310","1220","28270","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","HM Prison and Probation Service","80","80","39250","40190"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Work and Pensions (excl. agencies)","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Ministry of Defence (excl. agencies)","60","50","40630","38530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Defence Equipment and Support","220","220","45770","41790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Ministry of Defence (excl. agencies)","270","250","39740","40000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Submarine Delivery Agency","110","110","40830","38240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Defence Equipment and Support","60","60","39960","36380"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Submarine Delivery Agency","50","50","37900","36500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Defence Equipment and Support","410","390","37230","31550"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Ministry of Defence (excl. agencies)","210","200","44000","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Defence Equipment and Support","190","180","39450","35000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Ministry of Defence (excl. agencies)","160","140","28280","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","National Crime Agency","60","60","30990","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Submarine Delivery Agency","200","190","37890","32710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Government Legal Department","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","HM Courts and Tribunals Service","70","70","22950","19570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","HM Prison and Probation Service","610","550","30280","28520"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","National Crime Agency","290","280","36120","34370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Defence Equipment and Support","6850","6620","37830","35630"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Ministry of Defence (excl. agencies)","490","480","42380","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Submarine Delivery Agency","970","950","42610","39990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Defence Equipment and Support","210","210","39690","37080"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Ministry of Defence (excl. agencies)","70","70","38000","38230"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Ministry of Defence (excl. agencies)","110","110","27420","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Defence Equipment and Support","120","120","37590","36360"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Department for Work and Pensions (excl. agencies)","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Home Office (incl. agencies)","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Ministry of Defence (excl. agencies)","630","610","37910","35480"
"In post","2021","Bedford","Analysis","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","Health and Safety Executive","60","60","42850","45100"
"In post","2021","Bedford","No function","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Bedford","No function","HM Prison and Probation Service","360","350","29200","29920"
"In post","2021","Bedford","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Department for Work and Pensions (excl. agencies)","170","150","27950","27570"
"In post","2021","Bedford","Unknown","Home Office (incl. agencies)","120","110","28790","26160"
"In post","2021","Bedford","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","HM Revenue and Customs (excl. agencies)","390","370","31230","28130"
"In post","2021","Belfast","Debt","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","No function","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","No function","Food Standards Agency","60","60","37830","37910"
"In post","2021","Belfast","No function","HM Revenue and Customs (excl. agencies)","1490","1370","27210","25560"
"In post","2021","Belfast","No function","National Crime Agency","90","90","39600","39200"
"In post","2021","Belfast","No function","Northern Ireland Office","60","60","37970","34990"
"In post","2021","Belfast","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Project Delivery","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Belfast","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
