"Status","Year","Region_ITL1","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Human Resources","100","90","37480","35820"
"In post","2021","East of England","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Legal","140","130","37500","38000"
"In post","2021","East of England","SEO/HEO","No function","1470","1380","37770","36480"
"In post","2021","East of England","SEO/HEO","Project Delivery","580","560","36480","36210"
"In post","2021","East of England","SEO/HEO","Property","250","240","36760","34610"
"In post","2021","East of England","SEO/HEO","Security","100","90","45350","41370"
"In post","2021","East of England","SEO/HEO","Unknown","1270","1230","35840","34290"
"In post","2021","East of England","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","No function","1010","920","28550","28200"
"In post","2021","East of England","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","AA/AO","Analysis","60","60","24430","24120"
"In post","2021","London","AA/AO","Commercial","100","90","24160","24370"
"In post","2021","London","AA/AO","Communications","80","70","24330","24290"
"In post","2021","London","AA/AO","Counter Fraud","140","130","25000","25630"
"In post","2021","London","AA/AO","Debt","390","340","24870","24670"
"In post","2021","London","AA/AO","Digital, Data & Technology","60","60","24460","24310"
"In post","2021","London","AA/AO","Finance","80","80","24060","24040"
"In post","2021","London","AA/AO","Human Resources","90","80","24150","24090"
"In post","2021","London","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","AA/AO","Legal","450","420","23460","23520"
"In post","2021","London","AA/AO","No function","6780","6400","26290","24440"
"In post","2021","London","AA/AO","Project Delivery","90","90","24750","25290"
"In post","2021","London","AA/AO","Property","140","130","23830","24960"
"In post","2021","London","AA/AO","Security","310","300","27620","24220"
"In post","2021","London","AA/AO","Unknown","3940","3550","24630","25110"
"In post","2021","London","EO","Analysis","260","260","28790","28650"
"In post","2021","London","EO","Commercial","160","160","29020","29000"
"In post","2021","London","EO","Communications","400","380","26290","27350"
"In post","2021","London","EO","Counter Fraud","730","710","30120","29570"
"In post","2021","London","EO","Debt","130","120","30940","32310"
"In post","2021","London","EO","Digital, Data & Technology","330","330","29190","29200"
"In post","2021","London","EO","Finance","330","320","28620","28840"
"In post","2021","London","EO","Human Resources","410","390","28540","27850"
"In post","2021","London","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","EO","Legal","770","730","28920","29280"
"In post","2021","London","EO","No function","5990","5780","29880","29300"
"In post","2021","London","EO","Project Delivery","410","400","29300","29570"
"In post","2021","London","EO","Property","290","270","29850","29630"
"In post","2021","London","EO","Security","150","150","31590","30410"
"In post","2021","London","EO","Unknown","10940","10200","30400","31060"
