"Status","Year","Region_ITL1","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Northern Ireland","Male","Undeclared","120","120","30050","26750"
"In post","2022","Northern Ireland","Male","Unknown","660","640","28090","24880"
"In post","2022","Overseas","Female","Declared disabled","100","100","47850","51500"
"In post","2022","Overseas","Female","Declared non-disabled","920","920","48580","47900"
"In post","2022","Overseas","Female","Undeclared","50","50","[c]","[c]"
"In post","2022","Overseas","Female","Unknown","440","440","50650","46600"
"In post","2022","Overseas","Male","Declared disabled","140","140","47750","43440"
"In post","2022","Overseas","Male","Declared non-disabled","1430","1430","49390","47340"
"In post","2022","Overseas","Male","Undeclared","110","110","47200","41960"
"In post","2022","Overseas","Male","Unknown","500","490","52450","53000"
"In post","2022","Scotland","Female","Declared disabled","2850","2540","30740","27570"
"In post","2022","Scotland","Female","Declared non-disabled","16700","15160","32690","27570"
"In post","2022","Scotland","Female","Undeclared","790","710","30850","27570"
"In post","2022","Scotland","Female","Unknown","7340","6780","33090","28920"
"In post","2022","Scotland","Male","Declared disabled","1990","1890","32490","27570"
"In post","2022","Scotland","Male","Declared non-disabled","12740","12370","34980","30040"
"In post","2022","Scotland","Male","Undeclared","750","720","33150","27570"
"In post","2022","Scotland","Male","Unknown","7850","7530","34000","32170"
"In post","2022","South East (England)","Female","Declared disabled","2730","2440","30130","27570"
"In post","2022","South East (England)","Female","Declared non-disabled","15100","13670","31130","27700"
"In post","2022","South East (England)","Female","Undeclared","1340","1210","30620","28000"
"In post","2022","South East (England)","Female","Unknown","2950","2680","31280","27570"
"In post","2022","South East (England)","Male","Declared disabled","2000","1900","31580","29230"
"In post","2022","South East (England)","Male","Declared non-disabled","13610","13110","34140","30820"
"In post","2022","South East (England)","Male","Undeclared","1730","1640","33230","31650"
"In post","2022","South East (England)","Male","Unknown","3180","3020","32670","28170"
"In post","2022","South East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Female","Declared disabled","2740","2470","31060","27570"
"In post","2022","South West (England)","Female","Declared non-disabled","15900","14400","32880","29180"
