"Status","Year","Disability","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Ministry of Defence (excl. agencies)","150","140","25810","21580"
"In post","2021","Declared disabled","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Office of the Public Guardian","70","70","22070","21170"
"In post","2021","Declared disabled","East Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Crown Prosecution Service","50","40","[c]","[c]"
"In post","2021","Declared disabled","East of England","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Declared disabled","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Department for Work and Pensions (excl. agencies)","850","760","27990","27570"
"In post","2021","Declared disabled","East of England","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","Declared disabled","East of England","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","HM Courts and Tribunals Service","130","110","22850","20100"
"In post","2021","Declared disabled","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","HM Prison and Probation Service","570","530","29810","29300"
"In post","2021","Declared disabled","East of England","HM Revenue and Customs (excl. agencies)","180","160","31740","28130"
"In post","2021","Declared disabled","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Home Office (incl. agencies)","160","150","25300","25040"
"In post","2021","Declared disabled","East of England","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Ministry of Defence (excl. agencies)","320","310","32510","30750"
"In post","2021","Declared disabled","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Cabinet Office (excl. agencies)","490","480","48060","43890"
"In post","2021","Declared disabled","London","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Declared disabled","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Crown Prosecution Service","170","160","46850","40800"
"In post","2021","Declared disabled","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","440","430","47670","41750"
"In post","2021","Declared disabled","London","Department for Digital, Culture, Media and Sport","110","110","47390","40690"
"In post","2021","Declared disabled","London","Department for Education (excl. agencies)","180","170","49060","41320"
"In post","2021","Declared disabled","London","Department for Environment, Food and Rural Affairs (excl. agencies)","250","240","41990","38750"
"In post","2021","Declared disabled","London","Department for International Trade","170","170","44700","38540"
"In post","2021","Declared disabled","London","Department for Transport (excl. agencies)","170","170","47100","44250"
"In post","2021","Declared disabled","London","Department for Work and Pensions (excl. agencies)","1540","1420","33160","31060"
"In post","2021","Declared disabled","London","Department of Health and Social Care (excl. agencies)","80","80","49290","40650"
"In post","2021","Declared disabled","London","Driver and Vehicle Standards Agency","50","50","31220","30780"
"In post","2021","Declared disabled","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Foreign, Commonwealth and Development Office (excl. agencies)","400","390","45930","38940"
"In post","2021","Declared disabled","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Government Legal Department","180","170","53010","52040"
"In post","2021","Declared disabled","London","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","HM Courts and Tribunals Service","450","420","28250","23500"
"In post","2021","Declared disabled","London","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","HM Prison and Probation Service","730","710","35410","34100"
"In post","2021","Declared disabled","London","HM Revenue and Customs (excl. agencies)","700","650","42360","37240"
"In post","2021","Declared disabled","London","HM Treasury (excl. agencies)","180","180","46530","43030"
"In post","2021","Declared disabled","London","Home Office (incl. agencies)","1200","1110","37940","34630"
"In post","2021","Declared disabled","London","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Declared disabled","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","London","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Ministry of Defence (excl. agencies)","380","370","41210","37640"
"In post","2021","Declared disabled","London","Ministry of Housing, Communities and Local Government (excl. agencies)","200","200","45550","40980"
"In post","2021","Declared disabled","London","Ministry of Justice (excl. agencies)","330","330","42440","37040"
"In post","2021","Declared disabled","London","National Crime Agency","60","60","40420","36950"
"In post","2021","Declared disabled","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Declared disabled","London","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Public Health England","130","120","41180","33880"
"In post","2021","Declared disabled","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","The National Archives","30","30","[c]","[c]"
"In post","2021","Declared disabled","London","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Declared disabled","London","Valuation Office Agency","50","40","[c]","[c]"
"In post","2021","Declared disabled","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Cabinet Office (excl. agencies)","60","50","28220","23850"
"In post","2021","Declared disabled","North East (England)","Crown Prosecution Service","50","40","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Department for Education (excl. agencies)","60","50","37290","36780"
"In post","2021","Declared disabled","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Department for Work and Pensions (excl. agencies)","1530","1330","25890","27570"
"In post","2021","Declared disabled","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","HM Courts and Tribunals Service","110","90","22910","20100"
"In post","2021","Declared disabled","North East (England)","HM Land Registry","60","50","28310","27130"
"In post","2021","Declared disabled","North East (England)","HM Prison and Probation Service","340","320","29920","30210"
"In post","2021","Declared disabled","North East (England)","HM Revenue and Customs (excl. agencies)","880","760","26550","21440"
"In post","2021","Declared disabled","North East (England)","Home Office (incl. agencies)","130","110","24370","21430"
"In post","2021","Declared disabled","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Legal Aid Agency","30","30","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Animal and Plant Health Agency","40","30","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Crown Prosecution Service","110","100","39930","32680"
"In post","2021","Declared disabled","North West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Department for Education (excl. agencies)","90","90","37370","33350"
"In post","2021","Declared disabled","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Department for Work and Pensions (excl. agencies)","2940","2580","26020","27570"
"In post","2021","Declared disabled","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Health and Safety Executive","130","120","36160","33450"
"In post","2021","Declared disabled","North West (England)","HM Courts and Tribunals Service","290","250","23310","20650"
"In post","2021","Declared disabled","North West (England)","HM Land Registry","80","70","28510","27130"
"In post","2021","Declared disabled","North West (England)","HM Prison and Probation Service","760","710","29640","28200"
"In post","2021","Declared disabled","North West (England)","HM Revenue and Customs (excl. agencies)","1180","1060","29900","25560"
"In post","2021","Declared disabled","North West (England)","Home Office (incl. agencies)","640","580","26710","24890"
"In post","2021","Declared disabled","North West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Legal Aid Agency","30","30","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Ministry of Defence (excl. agencies)","180","170","27070","22130"
"In post","2021","Declared disabled","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Public Health England","30","30","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Rural Payments Agency","80","70","25360","21050"
"In post","2021","Declared disabled","North West (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","HM Revenue and Customs (excl. agencies)","180","170","28210","25560"
"In post","2021","Declared disabled","Northern Ireland","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Ministry of Defence (excl. agencies)","80","80","24020","21670"
"In post","2021","Declared disabled","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","160","160","49630","53000"
"In post","2021","Declared disabled","Overseas","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Criminal Injuries Compensation Authority","40","30","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Crown Office and Procurator Fiscal Service","100","100","37590","33550"
"In post","2021","Declared disabled","Scotland","Defence Equipment and Support","40","30","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Department for Work and Pensions (excl. agencies)","1380","1200","25050","27570"
"In post","2021","Declared disabled","Scotland","Disclosure Scotland","30","30","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","120","110","36410","33930"
"In post","2021","Declared disabled","Scotland","Forestry and Land Scotland","40","40","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Government Property Agency","[c]","[c]","[c]","[c]"
