"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Submarine Delivery Agency","70","70","37150","33680"
"In post","2021","Female","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Female","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","49280","46680"
"In post","2021","Female","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department for Education (excl. agencies)","160","150","37610","33510"
"In post","2021","Female","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","170","160","41020","37360"
"In post","2021","Female","Communications","Department for International Trade","80","80","42390","38540"
"In post","2021","Female","Communications","Department for Transport (excl. agencies)","60","60","47470","43360"
"In post","2021","Female","Communications","Department of Health and Social Care (excl. agencies)","110","110","43120","36070"
"In post","2021","Female","Communications","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Female","Communications","Driver and Vehicle Standards Agency","50","50","30590","26780"
"In post","2021","Female","Communications","Education and Skills Funding Agency","60","50","41660","39840"
"In post","2021","Female","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","48480","44880"
"In post","2021","Female","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","HM Revenue and Customs (excl. agencies)","140","140","44240","38980"
"In post","2021","Female","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Home Office (incl. agencies)","110","100","48340","44200"
"In post","2021","Female","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Female","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Ministry of Defence (excl. agencies)","260","250","35440","33300"
"In post","2021","Female","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","40680","34200"
"In post","2021","Female","Communications","Ministry of Justice (excl. agencies)","60","60","46080","45880"
"In post","2021","Female","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Public Health England","40","40","[c]","[c]"
"In post","2021","Female","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","United Kingdom Statistics Authority","50","50","36130","30500"
"In post","2021","Female","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Welsh Government (excl. agencies)","90","80","39270","37410"
"In post","2021","Female","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Home Office (incl. agencies)","110","100","25620","25310"
"In post","2021","Female","Counter Fraud","Insolvency Service","110","100","38790","39170"
"In post","2021","Female","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Serious Fraud Office","110","110","42550","35480"
"In post","2021","Female","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Companies House","80","70","36690","36440"
"In post","2021","Female","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Crown Commercial Service","40","40","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Crown Prosecution Service","60","60","39230","38180"
"In post","2021","Female","Digital, Data and Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Defence Equipment and Support","100","90","36080","33200"
"In post","2021","Female","Digital, Data and Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Department for Education (excl. agencies)","260","240","41960","39090"
"In post","2021","Female","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","280","260","42320","39810"
"In post","2021","Female","Digital, Data and Technology","Department for International Trade","60","60","44730","43000"
"In post","2021","Female","Digital, Data and Technology","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","90","90","42970","36820"
"In post","2021","Female","Digital, Data and Technology","Driver and Vehicle Licensing Agency","200","190","34730","32100"
"In post","2021","Female","Digital, Data and Technology","Driver and Vehicle Standards Agency","60","60","35330","32180"
"In post","2021","Female","Digital, Data and Technology","Education and Skills Funding Agency","140","130","37240","36500"
"In post","2021","Female","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","FCDO Services","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","40370","39630"
"In post","2021","Female","Digital, Data and Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","HM Courts and Tribunals Service","50","50","36070","31210"
"In post","2021","Female","Digital, Data and Technology","HM Land Registry","240","210","37460","38450"
"In post","2021","Female","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","700","660","40000","38630"
"In post","2021","Female","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Home Office (incl. agencies)","380","370","48730","44970"
"In post","2021","Female","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Maritime and Coastguard Agency","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Met Office","90","80","35140","33860"
"In post","2021","Female","Digital, Data and Technology","Ministry of Defence (excl. agencies)","280","260","30370","26930"
"In post","2021","Female","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Ministry of Justice (excl. agencies)","330","320","46450","43960"
"In post","2021","Female","Digital, Data and Technology","National Crime Agency","110","100","38090","36740"
"In post","2021","Female","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","The National Archives","40","40","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","UK Hydrographic Office","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","UK Intellectual Property Office","60","60","44290","39540"
"In post","2021","Female","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","United Kingdom Statistics Authority","200","200","40370","36310"
"In post","2021","Female","Digital, Data and Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Welsh Government (excl. agencies)","60","60","40330","37410"
"In post","2021","Female","Digital, Data and Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Female","Economics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","110","46560","39570"
"In post","2021","Female","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","44940","48990"
"In post","2021","Female","Economics","Department for International Trade","50","50","42710","34110"
"In post","2021","Female","Economics","Department for Transport (excl. agencies)","60","60","48160","54110"
"In post","2021","Female","Economics","Department of Health and Social Care (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Female","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","80","70","48460","52840"
"In post","2021","Female","Economics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Female","Economics","HM Treasury (excl. agencies)","60","60","44310","34320"
"In post","2021","Female","Economics","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Economics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","United Kingdom Statistics Authority","60","50","34210","32290"
"In post","2021","Female","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Companies House","40","30","[c]","[c]"
"In post","2021","Female","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Crown Prosecution Service","50","50","30600","30110"
"In post","2021","Female","Finance","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Defence Equipment and Support","240","230","38890","33250"
"In post","2021","Female","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","80","52890","56380"
"In post","2021","Female","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department for Education (excl. agencies)","240","230","42530","40940"
"In post","2021","Female","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","200","190","40290","36970"
"In post","2021","Female","Finance","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Female","Finance","Department for Transport (excl. agencies)","80","70","45070","43130"
"In post","2021","Female","Finance","Department of Health and Social Care (excl. agencies)","200","190","38000","34000"
"In post","2021","Female","Finance","Driver and Vehicle Licensing Agency","80","80","31300","26780"
"In post","2021","Female","Finance","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Female","Finance","Education and Skills Funding Agency","170","160","40690","37100"
"In post","2021","Female","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","110","100","42250","38500"
"In post","2021","Female","Finance","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","HM Courts and Tribunals Service","120","110","35880","31150"
"In post","2021","Female","Finance","HM Land Registry","40","40","[c]","[c]"
