"Status","Year","Region_ITL1","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","30-39","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","40-49","60","60","38610","33350"
"In post","2021","East Midlands (England)","Finance","50-59","80","80","39020","34600"
"In post","2021","East Midlands (England)","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","20-29","70","70","30140","29700"
"In post","2021","East Midlands (England)","Human Resources","30-39","100","100","35660","31810"
"In post","2021","East Midlands (England)","Human Resources","40-49","150","150","38080","33840"
"In post","2021","East Midlands (England)","Human Resources","50-59","140","140","39850","38630"
"In post","2021","East Midlands (England)","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","20-29","70","70","26570","24000"
"In post","2021","East Midlands (England)","Legal","30-39","120","110","38040","37500"
"In post","2021","East Midlands (England)","Legal","40-49","160","140","40840","40650"
"In post","2021","East Midlands (England)","Legal","50-59","220","200","39390","34480"
"In post","2021","East Midlands (England)","Legal","60-64","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","No function","20-29","1810","1780","24890","24000"
"In post","2021","East Midlands (England)","No function","30-39","2370","2220","28200","26370"
"In post","2021","East Midlands (England)","No function","40-49","2460","2290","30770","27380"
"In post","2021","East Midlands (England)","No function","50-59","3230","3010","31550","27690"
"In post","2021","East Midlands (England)","No function","60-64","860","710","28230","25560"
"In post","2021","East Midlands (England)","No function","65+","210","150","28550","25560"
"In post","2021","East Midlands (England)","Project Delivery","20-29","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","30-39","100","100","35510","33300"
"In post","2021","East Midlands (England)","Project Delivery","40-49","180","180","40580","38630"
"In post","2021","East Midlands (England)","Project Delivery","50-59","260","260","39550","37060"
"In post","2021","East Midlands (England)","Project Delivery","60-64","50","50","38090","37300"
"In post","2021","East Midlands (England)","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","20-29","60","60","22850","18760"
"In post","2021","East Midlands (England)","Property","30-39","70","60","31560","26580"
"In post","2021","East Midlands (England)","Property","40-49","100","100","32190","31590"
"In post","2021","East Midlands (England)","Property","50-59","210","210","36430","33300"
"In post","2021","East Midlands (England)","Property","60-64","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","30-39","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Security","40-49","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Security","50-59","50","50","29710","25370"
"In post","2021","East Midlands (England)","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","20-29","540","530","25090","27570"
"In post","2021","East Midlands (England)","Unknown","30-39","950","870","26310","27570"
"In post","2021","East Midlands (England)","Unknown","40-49","1320","1180","26980","27570"
"In post","2021","East Midlands (England)","Unknown","50-59","2160","1970","26480","27570"
"In post","2021","East Midlands (England)","Unknown","60-64","620","510","25730","26930"
"In post","2021","East Midlands (England)","Unknown","65+","170","140","24270","21010"
"In post","2021","East of England","Analysis","20-29","50","50","26380","24920"
"In post","2021","East of England","Analysis","30-39","120","120","33240","30220"
"In post","2021","East of England","Analysis","40-49","100","90","37420","35900"
"In post","2021","East of England","Analysis","50-59","90","80","38510","37280"
"In post","2021","East of England","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","20-29","40","40","[c]","[c]"
"In post","2021","East of England","Commercial","30-39","90","80","37950","34800"
"In post","2021","East of England","Commercial","40-49","110","100","41310","38500"
"In post","2021","East of England","Commercial","50-59","130","130","47010","42080"
"In post","2021","East of England","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","50-59","30","30","[c]","[c]"
"In post","2021","East of England","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","20-29","50","40","[c]","[c]"
"In post","2021","East of England","Counter Fraud","30-39","70","70","26220","25560"
"In post","2021","East of England","Counter Fraud","40-49","120","110","29620","27430"
"In post","2021","East of England","Counter Fraud","50-59","170","160","29450","28130"
"In post","2021","East of England","Counter Fraud","60-64","30","30","[c]","[c]"
"In post","2021","East of England","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","40-49","40","30","[c]","[c]"
"In post","2021","East of England","Debt","50-59","70","60","25360","25560"
"In post","2021","East of England","Debt","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","20-29","50","50","28030","26670"
"In post","2021","East of England","Digital, Data & Technology","30-39","70","70","32840","31810"
"In post","2021","East of England","Digital, Data & Technology","40-49","150","140","38720","35390"
"In post","2021","East of England","Digital, Data & Technology","50-59","200","190","38140","35250"
"In post","2021","East of England","Digital, Data & Technology","60-64","50","40","36760","34820"
"In post","2021","East of England","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","20-29","60","50","30450","30200"
"In post","2021","East of England","Finance","30-39","70","70","35850","33300"
"In post","2021","East of England","Finance","40-49","110","100","36730","32210"
"In post","2021","East of England","Finance","50-59","190","180","35930","32020"
"In post","2021","East of England","Finance","60-64","30","30","[c]","[c]"
"In post","2021","East of England","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","30-39","40","40","[c]","[c]"
"In post","2021","East of England","Human Resources","40-49","40","40","[c]","[c]"
"In post","2021","East of England","Human Resources","50-59","80","80","36840","33320"
"In post","2021","East of England","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","20-29","70","70","28210","26550"
"In post","2021","East of England","Legal","30-39","110","100","37430","35800"
"In post","2021","East of England","Legal","40-49","170","150","42470","38990"
"In post","2021","East of England","Legal","50-59","180","160","45000","43460"
"In post","2021","East of England","Legal","60-64","40","30","[c]","[c]"
"In post","2021","East of England","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","20-29","1430","1410","26160","25850"
"In post","2021","East of England","No function","30-39","1770","1670","29570","29060"
"In post","2021","East of England","No function","40-49","1890","1770","32170","30460"
"In post","2021","East of England","No function","50-59","2460","2320","32350","29200"
"In post","2021","East of England","No function","60-64","730","610","28930","26700"
"In post","2021","East of England","No function","65+","260","190","27970","25860"
"In post","2021","East of England","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","20-29","70","60","32260","30750"
"In post","2021","East of England","Project Delivery","30-39","130","120","37650","34640"
"In post","2021","East of England","Project Delivery","40-49","210","200","38110","37110"
"In post","2021","East of England","Project Delivery","50-59","360","350","39830","37830"
"In post","2021","East of England","Project Delivery","60-64","90","80","37620","35800"
"In post","2021","East of England","Project Delivery","65+","30","20","[c]","[c]"
"In post","2021","East of England","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","20-29","40","40","[c]","[c]"
"In post","2021","East of England","Property","30-39","60","60","31450","33000"
"In post","2021","East of England","Property","40-49","110","100","33450","33300"
"In post","2021","East of England","Property","50-59","220","210","33310","33250"
"In post","2021","East of England","Property","60-64","80","70","33260","33300"
"In post","2021","East of England","Property","65+","30","30","[c]","[c]"
"In post","2021","East of England","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","20-29","60","60","25010","24610"
"In post","2021","East of England","Security","30-39","110","110","30400","26750"
"In post","2021","East of England","Security","40-49","110","110","33480","33300"
"In post","2021","East of England","Security","50-59","210","200","38100","39070"
"In post","2021","East of England","Security","60-64","60","50","29800","22650"
"In post","2021","East of England","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","20-29","920","900","26350","27400"
"In post","2021","East of England","Unknown","30-39","1370","1270","28840","27570"
"In post","2021","East of England","Unknown","40-49","2100","1920","29060","27570"
"In post","2021","East of England","Unknown","50-59","3110","2880","28740","27570"
"In post","2021","East of England","Unknown","60-64","900","760","28000","27570"
"In post","2021","East of England","Unknown","65+","280","210","27240","26670"
"In post","2021","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","20-29","1480","1470","38730","35640"
"In post","2021","London","Analysis","30-39","910","880","54010","54650"
"In post","2021","London","Analysis","40-49","600","560","59270","58850"
"In post","2021","London","Analysis","50-59","360","350","60110","58690"
"In post","2021","London","Analysis","60-64","60","60","54780","49190"
"In post","2021","London","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","20-29","270","270","41050","38540"
"In post","2021","London","Commercial","30-39","420","410","55320","54700"
"In post","2021","London","Commercial","40-49","510","500","65590","60650"
"In post","2021","London","Commercial","50-59","550","550","64140","56190"
"In post","2021","London","Commercial","60-64","100","90","60140","56940"
"In post","2021","London","Commercial","65+","30","30","[c]","[c]"
"In post","2021","London","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","20-29","680","680","35980","34670"
"In post","2021","London","Communications","30-39","760","740","47780","45240"
"In post","2021","London","Communications","40-49","520","500","52950","53130"
"In post","2021","London","Communications","50-59","350","350","46910","40960"
"In post","2021","London","Communications","60-64","90","80","37960","32520"
"In post","2021","London","Communications","65+","50","40","[c]","[c]"
"In post","2021","London","Counter Fraud","20-29","310","300","33490","29570"
"In post","2021","London","Counter Fraud","30-39","450","440","38570","36160"
"In post","2021","London","Counter Fraud","40-49","480","470","40060","36160"
"In post","2021","London","Counter Fraud","50-59","840","820","40810","36240"
"In post","2021","London","Counter Fraud","60-64","190","150","41480","38650"
"In post","2021","London","Counter Fraud","65+","50","40","37150","32520"
"In post","2021","London","Debt","20-29","50","50","26580","24120"
"In post","2021","London","Debt","30-39","30","30","[c]","[c]"
"In post","2021","London","Debt","40-49","90","80","28110","25630"
"In post","2021","London","Debt","50-59","240","230","29080","25630"
"In post","2021","London","Debt","60-64","90","70","28040","25630"
"In post","2021","London","Debt","65+","50","40","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","20-29","610","610","39090","36160"
"In post","2021","London","Digital, Data & Technology","30-39","980","970","50720","53680"
"In post","2021","London","Digital, Data & Technology","40-49","960","940","53810","54700"
"In post","2021","London","Digital, Data & Technology","50-59","680","670","49720","46150"
"In post","2021","London","Digital, Data & Technology","60-64","120","110","47460","41750"
"In post","2021","London","Digital, Data & Technology","65+","40","40","[c]","[c]"
"In post","2021","London","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","20-29","470","460","38850","35030"
"In post","2021","London","Finance","30-39","580","570","50480","53360"
"In post","2021","London","Finance","40-49","690","670","53070","51780"
"In post","2021","London","Finance","50-59","610","600","51300","45200"
"In post","2021","London","Finance","60-64","140","130","47470","41890"
"In post","2021","London","Finance","65+","60","50","37770","34320"
"In post","2021","London","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","20-29","580","570","35530","32290"
"In post","2021","London","Human Resources","30-39","600","590","46420","42300"
"In post","2021","London","Human Resources","40-49","630","610","51430","49730"
"In post","2021","London","Human Resources","50-59","700","680","51330","46510"
"In post","2021","London","Human Resources","60-64","110","100","49860","45620"
"In post","2021","London","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","30-39","30","30","[c]","[c]"
"In post","2021","London","Internal Audit","40-49","60","50","57380","54130"
"In post","2021","London","Internal Audit","50-59","90","80","56760","53670"
"In post","2021","London","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","20-29","750","740","33890","29570"
"In post","2021","London","Legal","30-39","1510","1440","51770","51830"
"In post","2021","London","Legal","40-49","1460","1320","57540","60000"
"In post","2021","London","Legal","50-59","1310","1240","57230","60790"
"In post","2021","London","Legal","60-64","260","240","54290","58970"
"In post","2021","London","Legal","65+","110","90","51470","55490"
"In post","2021","London","No function","16-19","70","70","23710","24210"
"In post","2021","London","No function","20-29","12060","11990","35730","33210"
"In post","2021","London","No function","30-39","10580","10260","45480","41330"
"In post","2021","London","No function","40-49","8170","7790","48250","42670"
"In post","2021","London","No function","50-59","8750","8480","44090","38180"
"In post","2021","London","No function","60-64","2100","1900","40740","35060"
"In post","2021","London","No function","65+","830","690","37270","30290"
"In post","2021","London","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Project Delivery","20-29","890","890","38850","37000"
"In post","2021","London","Project Delivery","30-39","1370","1340","51490","53000"
"In post","2021","London","Project Delivery","40-49","1240","1190","58040","58030"
"In post","2021","London","Project Delivery","50-59","1300","1270","57550","58580"
"In post","2021","London","Project Delivery","60-64","240","220","54700","45960"
"In post","2021","London","Project Delivery","65+","70","60","49230","44540"
"In post","2021","London","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","20-29","140","130","33560","30850"
"In post","2021","London","Property","30-39","190","190","43660","38920"
"In post","2021","London","Property","40-49","310","290","43280","37450"
"In post","2021","London","Property","50-59","490","470","46590","42990"
"In post","2021","London","Property","60-64","140","120","45030","37380"
"In post","2021","London","Property","65+","50","50","39200","37380"
"In post","2021","London","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","20-29","230","230","34490","32880"
"In post","2021","London","Security","30-39","230","230","41800","39260"
"In post","2021","London","Security","40-49","220","210","48280","44910"
"In post","2021","London","Security","50-59","310","310","40340","36720"
"In post","2021","London","Security","60-64","70","70","42870","40070"
"In post","2021","London","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","20-29","4490","4460","34210","31060"
"In post","2021","London","Unknown","30-39","5670","5450","40250","35070"
"In post","2021","London","Unknown","40-49","6380","5980","41200","35050"
"In post","2021","London","Unknown","50-59","7640","7240","38150","31880"
"In post","2021","London","Unknown","60-64","1970","1700","35490","31060"
"In post","2021","London","Unknown","65+","790","620","32940","29800"
"In post","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","40-49","30","30","[c]","[c]"
"In post","2021","North East (England)","Commercial","50-59","50","40","[c]","[c]"
"In post","2021","North East (England)","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","20-29","380","370","26760","25560"
"In post","2021","North East (England)","Communications","30-39","490","470","28540","25560"
"In post","2021","North East (England)","Communications","40-49","350","330","29100","25560"
"In post","2021","North East (England)","Communications","50-59","270","240","27580","25560"
"In post","2021","North East (England)","Communications","60-64","50","40","26360","25560"
"In post","2021","North East (England)","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","20-29","60","60","28950","25560"
"In post","2021","North East (England)","Counter Fraud","30-39","160","150","31790","31810"
"In post","2021","North East (England)","Counter Fraud","40-49","150","140","32720","31810"
"In post","2021","North East (England)","Counter Fraud","50-59","130","130","32820","31810"
"In post","2021","North East (England)","Counter Fraud","60-64","30","20","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Debt","20-29","170","170","20430","20140"
"In post","2021","North East (England)","Debt","30-39","130","120","21080","20140"
"In post","2021","North East (England)","Debt","40-49","110","100","23190","20140"
"In post","2021","North East (England)","Debt","50-59","110","100","21880","21400"
"In post","2021","North East (England)","Debt","60-64","40","30","[c]","[c]"
"In post","2021","North East (England)","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data & Technology","20-29","120","120","31520","31810"
"In post","2021","North East (England)","Digital, Data & Technology","30-39","170","160","37300","38630"
"In post","2021","North East (England)","Digital, Data & Technology","40-49","230","230","41690","38630"
"In post","2021","North East (England)","Digital, Data & Technology","50-59","220","210","40760","38630"
"In post","2021","North East (England)","Digital, Data & Technology","60-64","30","20","[c]","[c]"
"In post","2021","North East (England)","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","20-29","30","30","[c]","[c]"
"In post","2021","North East (England)","Finance","30-39","90","90","37730","38110"
"In post","2021","North East (England)","Finance","40-49","140","140","39990","38630"
"In post","2021","North East (England)","Finance","50-59","130","120","37170","31810"
"In post","2021","North East (England)","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Grants Management","20-29","50","50","[c]","[c]"
"In post","2021","North East (England)","Grants Management","30-39","60","50","23840","21050"
"In post","2021","North East (England)","Grants Management","40-49","70","70","25540","24920"
"In post","2021","North East (England)","Grants Management","50-59","60","50","28660","25900"
"In post","2021","North East (England)","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","20-29","100","100","25040","23850"
"In post","2021","North East (England)","Human Resources","30-39","200","180","27770","25560"
"In post","2021","North East (England)","Human Resources","40-49","140","130","30970","25560"
"In post","2021","North East (England)","Human Resources","50-59","130","120","30860","25560"
"In post","2021","North East (England)","Human Resources","60-64","40","30","[c]","[c]"
"In post","2021","North East (England)","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal","20-29","40","40","[c]","[c]"
"In post","2021","North East (England)","Legal","30-39","110","100","36730","31810"
"In post","2021","North East (England)","Legal","40-49","130","120","38840","38970"
"In post","2021","North East (England)","Legal","50-59","170","160","41740","40850"
"In post","2021","North East (England)","Legal","60-64","30","30","[c]","[c]"
"In post","2021","North East (England)","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","No function","16-19","30","30","[c]","[c]"
"In post","2021","North East (England)","No function","20-29","1500","1460","23860","22350"
"In post","2021","North East (England)","No function","30-39","2440","2260","26860","24920"
"In post","2021","North East (England)","No function","40-49","2940","2660","27760","24250"
"In post","2021","North East (England)","No function","50-59","3820","3350","27790","23240"
"In post","2021","North East (England)","No function","60-64","1320","970","25250","21440"
"In post","2021","North East (England)","No function","65+","310","210","24270","21440"
"In post","2021","North East (England)","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Project Delivery","20-29","90","80","31050","31810"
"In post","2021","North East (England)","Project Delivery","30-39","220","210","37270","38630"
"In post","2021","North East (England)","Project Delivery","40-49","340","330","41280","38630"
"In post","2021","North East (England)","Project Delivery","50-59","400","370","42080","38630"
"In post","2021","North East (England)","Project Delivery","60-64","70","50","37180","34670"
"In post","2021","North East (England)","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Property","20-29","110","110","24520","21100"
"In post","2021","North East (England)","Property","30-39","90","90","27900","25680"
"In post","2021","North East (England)","Property","40-49","110","100","29600","26000"
"In post","2021","North East (England)","Property","50-59","160","150","32950","26500"
"In post","2021","North East (England)","Property","60-64","60","50","31550","26140"
"In post","2021","North East (England)","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Security","40-49","40","40","[c]","[c]"
