"Status","Year","Sexual_orientation","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","G6/G7","Male","6970","6830","59390","57480"
"In post","2022","Unknown","SCS","Female","540","510","93180","83230"
"In post","2022","Unknown","SCS","Male","650","630","98890","91000"
"In post","2022","Unknown","SEO/HEO","Female","12320","11740","36160","35050"
"In post","2022","Unknown","SEO/HEO","Male","13110","12810","36920","36180"
"In post","2022","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Female","2770","2510","28330","26310"
"In post","2022","Unknown","Unknown","Male","2760","2650","34640","32550"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Female","2720","2310","21010","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Male","2490","2320","21700","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","Female","1400","1180","27040","27570"
"Leaver CS","2021","Heterosexual / straight","EO","Male","1260","1170","27660","27570"
"Leaver CS","2021","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","G6/G7","Female","530","480","59880","56950"
"Leaver CS","2021","Heterosexual / straight","G6/G7","Male","640","590","61150","58890"
"Leaver CS","2021","Heterosexual / straight","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SCS","Female","90","80","93100","85060"
"Leaver CS","2021","Heterosexual / straight","SCS","Male","140","130","101080","95960"
"Leaver CS","2021","Heterosexual / straight","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","Female","1200","1090","36630","35990"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","Male","1360","1270","37770","36920"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Female","360","310","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Male","160","140","[c]","[c]"
"Leaver CS","2021","LGBO","AA/AO","Female","210","200","21030","21010"
"Leaver CS","2021","LGBO","AA/AO","Male","130","120","20990","21010"
"Leaver CS","2021","LGBO","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","EO","Female","70","70","27230","27570"
"Leaver CS","2021","LGBO","EO","Male","90","80","27290","27570"
"Leaver CS","2021","LGBO","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","G6/G7","Male","60","50","59970","58190"
"Leaver CS","2021","LGBO","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","SEO/HEO","Female","60","60","35460","35400"
"Leaver CS","2021","LGBO","SEO/HEO","Male","70","70","38080","37640"
"Leaver CS","2021","LGBO","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Female","410","340","20990","21010"
"Leaver CS","2021","Undeclared","AA/AO","Male","340","310","22210","21010"
"Leaver CS","2021","Undeclared","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Female","230","200","27380","27240"
"Leaver CS","2021","Undeclared","EO","Male","230","200","28370","27570"
"Leaver CS","2021","Undeclared","G6/G7","Female","80","70","62410","59100"
"Leaver CS","2021","Undeclared","G6/G7","Male","120","110","62120","60640"
"Leaver CS","2021","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","Female","200","180","37920","36800"
"Leaver CS","2021","Undeclared","SEO/HEO","Male","260","240","38750","37800"
"Leaver CS","2021","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Female","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Female","3280","2620","20800","21010"
"Leaver CS","2021","Unknown","AA/AO","Male","2310","2120","21510","21010"
"Leaver CS","2021","Unknown","EO","Female","1640","1330","27180","27570"
"Leaver CS","2021","Unknown","EO","Male","1240","1090","27590","27570"
"Leaver CS","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Female","460","390","60510","58140"
"Leaver CS","2021","Unknown","G6/G7","Male","560","480","60200","57800"
"Leaver CS","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Female","80","60","93710","86390"
"Leaver CS","2021","Unknown","SCS","Male","100","70","104850","96270"
"Leaver CS","2021","Unknown","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Female","1130","990","35880","35110"
"Leaver CS","2021","Unknown","SEO/HEO","Male","1190","1060","36800","36030"
"Leaver CS","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","340","310","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","310","290","35410","32400"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","AA/AO","Female","4580","3930","21390","21260"
"Leaver CS","2022","Heterosexual / straight","AA/AO","Male","4320","4070","22260","21260"
"Leaver CS","2022","Heterosexual / straight","EO","Female","3510","3070","27640","27570"
"Leaver CS","2022","Heterosexual / straight","EO","Male","2620","2430","28060","27570"
"Leaver CS","2022","Heterosexual / straight","G6/G7","Female","1220","1080","59020","56110"
"Leaver CS","2022","Heterosexual / straight","G6/G7","Male","1190","1110","61050","59540"
"Leaver CS","2022","Heterosexual / straight","SCS","Female","190","170","94090","92440"
"Leaver CS","2022","Heterosexual / straight","SCS","Male","220","200","97630","94500"
"Leaver CS","2022","Heterosexual / straight","SEO/HEO","Female","2560","2300","37140","36620"
"Leaver CS","2022","Heterosexual / straight","SEO/HEO","Male","2530","2380","37970","36960"
"Leaver CS","2022","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","Female","830","730","36480","29200"
"Leaver CS","2022","Heterosexual / straight","Unknown","Male","350","320","38020","39000"
"Leaver CS","2022","LGBO","AA/AO","Female","410","390","21370","21260"
"Leaver CS","2022","LGBO","AA/AO","Male","310","300","21510","21260"
"Leaver CS","2022","LGBO","EO","Female","260","240","27530","27570"
"Leaver CS","2022","LGBO","EO","Male","260","250","27590","27570"
"Leaver CS","2022","LGBO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Female","60","50","[c]","[c]"
"Leaver CS","2022","LGBO","G6/G7","Male","110","100","60960","58040"
"Leaver CS","2022","LGBO","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","SEO/HEO","Female","190","180","35940","34620"
"Leaver CS","2022","LGBO","SEO/HEO","Male","160","150","37190","36800"
"Leaver CS","2022","LGBO","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Female","70","70","[c]","[c]"
"Leaver CS","2022","LGBO","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Female","600","480","21300","21260"
"Leaver CS","2022","Undeclared","AA/AO","Male","460","410","22930","21260"
"Leaver CS","2022","Undeclared","EO","Female","510","380","27570","27570"
"Leaver CS","2022","Undeclared","EO","Male","410","340","28300","27570"
"Leaver CS","2022","Undeclared","G6/G7","Female","200","140","59310","56690"
"Leaver CS","2022","Undeclared","G6/G7","Male","250","200","60670","59030"
"Leaver CS","2022","Undeclared","SCS","Female","30","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Male","30","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Female","440","320","37670","37500"
"Leaver CS","2022","Undeclared","SEO/HEO","Male","500","390","38730","38010"
"Leaver CS","2022","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Female","110","60","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Male","60","40","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Female","3750","3110","21370","21260"
"Leaver CS","2022","Unknown","AA/AO","Male","2980","2750","22150","21260"
"Leaver CS","2022","Unknown","EO","Female","1630","1370","27460","27570"
"Leaver CS","2022","Unknown","EO","Male","1400","1280","27580","27570"
"Leaver CS","2022","Unknown","G6/G7","Female","530","470","60100","57190"
"Leaver CS","2022","Unknown","G6/G7","Male","740","670","60330","58730"
"Leaver CS","2022","Unknown","SCS","Female","100","90","105810","95430"
"Leaver CS","2022","Unknown","SCS","Male","120","100","101830","92100"
"Leaver CS","2022","Unknown","SEO/HEO","Female","1150","1010","36490","36000"
"Leaver CS","2022","Unknown","SEO/HEO","Male","1370","1210","37530","36800"
"Leaver CS","2022","Unknown","Unknown","Female","480","410","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Male","390","360","36400","33570"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Female","540","510","21080","21010"
"Leaver Dept.","2021","Heterosexual / straight","AA/AO","Male","360","350","21170","21010"
"Leaver Dept.","2021","Heterosexual / straight","EO","Female","820","770","26660","27500"
"Leaver Dept.","2021","Heterosexual / straight","EO","Male","530","520","26820","27570"
"Leaver Dept.","2021","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Female","650","620","57340","55650"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Male","550","540","57590","55650"
"Leaver Dept.","2021","Heterosexual / straight","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Female","110","110","87600","78800"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Male","80","70","90620","83850"
"Leaver Dept.","2021","Heterosexual / straight","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Female","1280","1260","35290","34240"
"Leaver Dept.","2021","Heterosexual / straight","SEO/HEO","Male","990","970","35550","34270"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Female","70","60","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","AA/AO","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","LGBO","AA/AO","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","LGBO","EO","Female","60","60","27270","27480"
"Leaver Dept.","2021","LGBO","EO","Male","70","70","25890","26740"
"Leaver Dept.","2021","LGBO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","G6/G7","Female","50","50","[c]","[c]"
"Leaver Dept.","2021","LGBO","G6/G7","Male","60","60","55640","53860"
"Leaver Dept.","2021","LGBO","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","SEO/HEO","Female","110","110","34580","34380"
"Leaver Dept.","2021","LGBO","SEO/HEO","Male","130","130","35180","33520"
"Leaver Dept.","2021","LGBO","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","Female","60","60","21160","21010"
"Leaver Dept.","2021","Undeclared","AA/AO","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Undeclared","EO","Female","80","70","27300","27540"
"Leaver Dept.","2021","Undeclared","EO","Male","70","70","27250","27570"
"Leaver Dept.","2021","Undeclared","G6/G7","Female","90","90","58290","56180"
"Leaver Dept.","2021","Undeclared","G6/G7","Male","70","70","58330","56150"
"Leaver Dept.","2021","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Female","130","120","37320","36820"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Male","120","120","36060","35750"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Female","580","530","20950","21010"
"Leaver Dept.","2021","Unknown","AA/AO","Male","470","460","20860","20680"
"Leaver Dept.","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Female","440","400","27520","27570"
"Leaver Dept.","2021","Unknown","EO","Male","350","320","26950","27500"
"Leaver Dept.","2021","Unknown","G6/G7","Female","410","340","56290","54540"
"Leaver Dept.","2021","Unknown","G6/G7","Male","410","350","56420","54460"
"Leaver Dept.","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Female","80","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Male","40","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Female","950","830","34340","32910"
"Leaver Dept.","2021","Unknown","SEO/HEO","Male","850","760","34470","33120"
"Leaver Dept.","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Male","60","60","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","AA/AO","Female","1220","1100","21470","21260"
"Leaver Dept.","2022","Heterosexual / straight","AA/AO","Male","710","690","21570","21260"
"Leaver Dept.","2022","Heterosexual / straight","EO","Female","2200","2070","26960","27570"
"Leaver Dept.","2022","Heterosexual / straight","EO","Male","1290","1260","27040","27570"
"Leaver Dept.","2022","Heterosexual / straight","G6/G7","Female","1570","1450","57310","54700"
"Leaver Dept.","2022","Heterosexual / straight","G6/G7","Male","1130","1070","58550","55930"
"Leaver Dept.","2022","Heterosexual / straight","SCS","Female","270","240","95620","94490"
"Leaver Dept.","2022","Heterosexual / straight","SCS","Male","230","210","96450","93000"
"Leaver Dept.","2022","Heterosexual / straight","SEO/HEO","Female","3300","3070","35830","35310"
"Leaver Dept.","2022","Heterosexual / straight","SEO/HEO","Male","1930","1870","36150","35710"
"Leaver Dept.","2022","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Female","100","80","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Male","60","50","[c]","[c]"
"Leaver Dept.","2022","LGBO","AA/AO","Female","80","70","21300","21260"
"Leaver Dept.","2022","LGBO","AA/AO","Male","70","60","21480","21260"
"Leaver Dept.","2022","LGBO","EO","Female","160","150","27270","27570"
"Leaver Dept.","2022","LGBO","EO","Male","160","150","27270","27570"
"Leaver Dept.","2022","LGBO","G6/G7","Female","110","100","57230","54270"
"Leaver Dept.","2022","LGBO","G6/G7","Male","150","130","57070","54700"
"Leaver Dept.","2022","LGBO","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","SEO/HEO","Female","250","230","35830","35360"
"Leaver Dept.","2022","LGBO","SEO/HEO","Male","280","260","35690","35010"
"Leaver Dept.","2022","LGBO","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Female","130","110","21280","21260"
"Leaver Dept.","2022","Undeclared","AA/AO","Male","90","90","21950","21260"
"Leaver Dept.","2022","Undeclared","EO","Female","300","190","26860","27570"
"Leaver Dept.","2022","Undeclared","EO","Male","180","140","26620","27500"
"Leaver Dept.","2022","Undeclared","G6/G7","Female","380","210","58390","54760"
"Leaver Dept.","2022","Undeclared","G6/G7","Male","340","170","58450","55400"
"Leaver Dept.","2022","Undeclared","SCS","Female","60","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS","Male","70","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Female","640","380","36050","36050"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Male","470","290","36510","36330"
"Leaver Dept.","2022","Undeclared","Unknown","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Female","620","560","21550","21260"
"Leaver Dept.","2022","Unknown","AA/AO","Male","440","430","21280","21130"
"Leaver Dept.","2022","Unknown","EO","Female","570","530","27430","27570"
"Leaver Dept.","2022","Unknown","EO","Male","390","380","27530","27570"
"Leaver Dept.","2022","Unknown","G6/G7","Female","610","520","58270","54940"
"Leaver Dept.","2022","Unknown","G6/G7","Male","530","470","58900","56010"
"Leaver Dept.","2022","Unknown","SCS","Female","110","90","106970","101430"
"Leaver Dept.","2022","Unknown","SCS","Male","90","80","103630","98550"
"Leaver Dept.","2022","Unknown","SEO/HEO","Female","1200","1100","34870","33610"
"Leaver Dept.","2022","Unknown","SEO/HEO","Male","1000","940","35410","33930"
"Leaver Dept.","2022","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Female","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Male","50","50","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","AA/AO","Female","6200","5990","21380","21010"
"New entrant CS","2021","Heterosexual / straight","AA/AO","Male","5130","5090","21980","21010"
"New entrant CS","2021","Heterosexual / straight","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","EO","Female","7560","7320","27960","27570"
"New entrant CS","2021","Heterosexual / straight","EO","Male","4830","4790","27870","27570"
"New entrant CS","2021","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","G6/G7","Female","1040","980","56240","53530"
"New entrant CS","2021","Heterosexual / straight","G6/G7","Male","1110","1090","57420","55000"
"New entrant CS","2021","Heterosexual / straight","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","SCS","Female","80","70","93520","89000"
"New entrant CS","2021","Heterosexual / straight","SCS","Male","110","100","97240","92250"
"New entrant CS","2021","Heterosexual / straight","SEO/HEO","Female","3590","3430","35070","34020"
