"Status","Year","Sex","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Southern Scotland","Unknown","1150","990","26980","24110"
"In post","2021","Female","Surrey, East and West Sussex","Heterosexual / straight","3170","2830","29800","27570"
"In post","2021","Female","Surrey, East and West Sussex","LGBO","250","240","29640","27570"
"In post","2021","Female","Surrey, East and West Sussex","Undeclared","480","420","30640","27570"
"In post","2021","Female","Surrey, East and West Sussex","Unknown","800","690","29200","27570"
"In post","2021","Female","Tees Valley and Durham","Heterosexual / straight","3780","3320","27550","25830"
"In post","2021","Female","Tees Valley and Durham","LGBO","170","160","28140","26810"
"In post","2021","Female","Tees Valley and Durham","Undeclared","410","350","27590","25310"
"In post","2021","Female","Tees Valley and Durham","Unknown","1020","870","25310","22350"
"In post","2021","Female","Unknown","Heterosexual / straight","560","520","32640","27570"
"In post","2021","Female","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Undeclared","70","60","31870","27570"
"In post","2021","Female","Unknown","Unknown","550","520","33680","30780"
"In post","2021","Female","West Central Scotland","Heterosexual / straight","6100","5460","30160","27150"
"In post","2021","Female","West Central Scotland","LGBO","290","280","30820","27570"
"In post","2021","Female","West Central Scotland","Undeclared","980","850","27760","25560"
"In post","2021","Female","West Central Scotland","Unknown","2130","1870","28800","25560"
"In post","2021","Female","West Midlands","Heterosexual / straight","7050","6330","30310","27570"
"In post","2021","Female","West Midlands","LGBO","270","250","30650","27570"
"In post","2021","Female","West Midlands","Undeclared","850","750","29660","27570"
"In post","2021","Female","West Midlands","Unknown","2650","2320","28700","26140"
"In post","2021","Female","West Wales and The Valleys","Heterosexual / straight","6540","5780","28150","26470"
"In post","2021","Female","West Wales and The Valleys","LGBO","240","220","27280","24240"
"In post","2021","Female","West Wales and The Valleys","Undeclared","1480","1180","25910","21590"
"In post","2021","Female","West Wales and The Valleys","Unknown","1430","1220","25410","21590"
"In post","2021","Female","West Yorkshire","Heterosexual / straight","6060","5430","31160","27570"
"In post","2021","Female","West Yorkshire","LGBO","390","380","30030","27570"
"In post","2021","Female","West Yorkshire","Undeclared","720","620","29830","27570"
"In post","2021","Female","West Yorkshire","Unknown","2390","2120","30140","27570"
"In post","2021","Male","Bedfordshire and Hertfordshire","Heterosexual / straight","1380","1340","33950","30830"
"In post","2021","Male","Bedfordshire and Hertfordshire","LGBO","60","60","31960","29290"
"In post","2021","Male","Bedfordshire and Hertfordshire","Undeclared","200","190","34300","31810"
"In post","2021","Male","Bedfordshire and Hertfordshire","Unknown","320","300","33330","30400"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","3270","3210","34260","31800"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","LGBO","160","160","33330","29970"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","460","450","35010","33670"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","Unknown","920","900","34100","31280"
"In post","2021","Male","Cheshire","Heterosexual / straight","1170","1140","33530","31650"
"In post","2021","Male","Cheshire","LGBO","70","70","30780","28200"
"In post","2021","Male","Cheshire","Undeclared","150","140","32940","31650"
"In post","2021","Male","Cheshire","Unknown","330","310","31370","31650"
"In post","2021","Male","Cornwall and Isles of Scilly","Heterosexual / straight","500","480","27060","26670"
"In post","2021","Male","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cornwall and Isles of Scilly","Undeclared","70","70","28530","26850"
"In post","2021","Male","Cornwall and Isles of Scilly","Unknown","140","130","26680","26590"
"In post","2021","Male","Cumbria","Heterosexual / straight","540","530","30980","27570"
"In post","2021","Male","Cumbria","LGBO","30","30","[c]","[c]"
"In post","2021","Male","Cumbria","Undeclared","100","90","32350","27570"
"In post","2021","Male","Cumbria","Unknown","230","220","26750","21550"
"In post","2021","Male","Derbyshire and Nottinghamshire","Heterosexual / straight","3340","3220","32890","28130"
"In post","2021","Male","Derbyshire and Nottinghamshire","LGBO","210","210","30980","27570"
"In post","2021","Male","Derbyshire and Nottinghamshire","Undeclared","500","470","33180","30950"
"In post","2021","Male","Derbyshire and Nottinghamshire","Unknown","1320","1260","29610","27150"
"In post","2021","Male","Devon","Heterosexual / straight","2410","2320","30890","27570"
"In post","2021","Male","Devon","LGBO","120","120","27520","27130"
"In post","2021","Male","Devon","Undeclared","360","340","32430","29730"
"In post","2021","Male","Devon","Unknown","1770","1710","36690","35030"
"In post","2021","Male","Dorset and Somerset","Heterosexual / straight","1860","1800","30790","28400"
"In post","2021","Male","Dorset and Somerset","LGBO","80","80","28230","27570"
"In post","2021","Male","Dorset and Somerset","Undeclared","310","300","31280","31430"
"In post","2021","Male","Dorset and Somerset","Unknown","460","440","31200","27620"
"In post","2021","Male","East Anglia","Heterosexual / straight","4120","3990","31500","28400"
"In post","2021","Male","East Anglia","LGBO","190","180","28650","27570"
"In post","2021","Male","East Anglia","Undeclared","650","620","31820","31170"
"In post","2021","Male","East Anglia","Unknown","1130","1080","31100","28920"
"In post","2021","Male","East Wales","Heterosexual / straight","5760","5600","34750","29890"
"In post","2021","Male","East Wales","LGBO","470","460","32940","28430"
"In post","2021","Male","East Wales","Undeclared","960","920","34140","30020"
"In post","2021","Male","East Wales","Unknown","2170","2100","31310","27570"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","1640","1570","29060","27130"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","LGBO","80","70","27360","27130"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Undeclared","260","240","30250","27570"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Unknown","410","390","28330","27380"
"In post","2021","Male","Eastern Scotland","Heterosexual / straight","4780","4650","36650","32140"
"In post","2021","Male","Eastern Scotland","LGBO","410","400","35430","30650"
"In post","2021","Male","Eastern Scotland","Undeclared","860","830","32850","29350"
"In post","2021","Male","Eastern Scotland","Unknown","3080","2950","33380","30650"
"In post","2021","Male","Essex","Heterosexual / straight","1600","1520","32610","29290"
"In post","2021","Male","Essex","LGBO","80","80","31270","29290"
"In post","2021","Male","Essex","Undeclared","240","230","33440","29290"
"In post","2021","Male","Essex","Unknown","440","420","31190","29290"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","11300","11070","38880","36440"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","530","520","34680","31380"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","1750","1690","40560","39070"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","2080","2010","36700","32010"
"In post","2021","Male","Greater Manchester","Heterosexual / straight","5410","5260","32460","27570"
"In post","2021","Male","Greater Manchester","LGBO","570","550","30970","27570"
"In post","2021","Male","Greater Manchester","Undeclared","730","700","32930","28220"
"In post","2021","Male","Greater Manchester","Unknown","2250","2170","30370","27570"
"In post","2021","Male","Hampshire and Isle of Wight","Heterosexual / straight","5410","5160","33840","30980"
"In post","2021","Male","Hampshire and Isle of Wight","LGBO","250","240","31530","27730"
"In post","2021","Male","Hampshire and Isle of Wight","Undeclared","840","810","34890","33300"
"In post","2021","Male","Hampshire and Isle of Wight","Unknown","1250","1180","33860","29960"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","1300","1270","29100","26830"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","LGBO","60","50","28060","25660"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Undeclared","170","170","30440","29730"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Unknown","310","300","28010","26350"
"In post","2021","Male","Highlands and Islands","Heterosexual / straight","490","480","29840","27570"
"In post","2021","Male","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","Undeclared","90","80","28970","26780"
"In post","2021","Male","Highlands and Islands","Unknown","350","340","29950","28120"
"In post","2021","Male","Inner London - East","Heterosexual / straight","4610","4500","44490","38500"
"In post","2021","Male","Inner London - East","LGBO","450","440","44830","37310"
"In post","2021","Male","Inner London - East","Undeclared","620","590","44640","39800"
"In post","2021","Male","Inner London - East","Unknown","1880","1830","43650","36230"
"In post","2021","Male","Inner London - West","Heterosexual / straight","17760","17570","48840","44080"
"In post","2021","Male","Inner London - West","LGBO","2170","2150","48580","45200"
"In post","2021","Male","Inner London - West","Undeclared","2630","2590","48470","44680"
"In post","2021","Male","Inner London - West","Unknown","6250","6180","47030","40600"
"In post","2021","Male","Kent","Heterosexual / straight","2980","2870","30360","29290"
"In post","2021","Male","Kent","LGBO","160","150","30850","29290"
"In post","2021","Male","Kent","Undeclared","480","450","31060","27370"
"In post","2021","Male","Kent","Unknown","690","660","30830","29830"
"In post","2021","Male","Lancashire","Heterosexual / straight","3640","3480","29490","27570"
"In post","2021","Male","Lancashire","LGBO","210","200","27420","27570"
"In post","2021","Male","Lancashire","Undeclared","470","450","28730","27380"
"In post","2021","Male","Lancashire","Unknown","1520","1440","28340","27570"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","1700","1650","28860","27130"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","LGBO","100","90","27660","27570"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Undeclared","260","240","29470","27570"
"In post","2021","Male","Leicestershire, Rutland and Northamptonshire","Unknown","550","520","26740","26350"
"In post","2021","Male","Lincolnshire","Heterosexual / straight","1030","1010","29610","27570"
"In post","2021","Male","Lincolnshire","LGBO","40","40","[c]","[c]"
"In post","2021","Male","Lincolnshire","Undeclared","140","140","31150","28210"
"In post","2021","Male","Lincolnshire","Unknown","170","160","28410","27570"
"In post","2021","Male","Merseyside","Heterosexual / straight","5170","4980","30350","26410"
"In post","2021","Male","Merseyside","LGBO","320","310","29810","26370"
"In post","2021","Male","Merseyside","Undeclared","660","620","30610","27240"
"In post","2021","Male","Merseyside","Unknown","1660","1580","28370","25560"
"In post","2021","Male","North Eastern Scotland","Heterosexual / straight","520","510","42030","33650"
"In post","2021","Male","North Eastern Scotland","LGBO","30","30","[c]","[c]"
"In post","2021","Male","North Eastern Scotland","Undeclared","100","100","41150","32060"
"In post","2021","Male","North Eastern Scotland","Unknown","280","270","36010","33650"
"In post","2021","Male","North Yorkshire","Heterosexual / straight","1540","1510","34140","30280"
"In post","2021","Male","North Yorkshire","LGBO","80","80","32690","28430"
"In post","2021","Male","North Yorkshire","Undeclared","240","230","33620","31420"
"In post","2021","Male","North Yorkshire","Unknown","400","390","32090","27570"
"In post","2021","Male","Northern Ireland","Heterosexual / straight","1400","1360","28070","25040"
"In post","2021","Male","Northern Ireland","LGBO","50","50","25860","22330"
"In post","2021","Male","Northern Ireland","Undeclared","140","140","28250","25560"
"In post","2021","Male","Northern Ireland","Unknown","470","460","26320","23870"
"In post","2021","Male","Northumberland and Tyne and Wear","Heterosexual / straight","5200","5000","30640","27570"
"In post","2021","Male","Northumberland and Tyne and Wear","LGBO","370","360","28910","26980"
"In post","2021","Male","Northumberland and Tyne and Wear","Undeclared","680","650","30460","27290"
"In post","2021","Male","Northumberland and Tyne and Wear","Unknown","2440","2320","28120","25560"
"In post","2021","Male","Outer London - East and North East","Heterosexual / straight","960","940","31960","31060"
"In post","2021","Male","Outer London - East and North East","LGBO","40","40","[c]","[c]"
"In post","2021","Male","Outer London - East and North East","Undeclared","140","130","32800","31060"
"In post","2021","Male","Outer London - East and North East","Unknown","380","370","31160","31060"
"In post","2021","Male","Outer London - South","Heterosexual / straight","3210","3150","39850","35280"
"In post","2021","Male","Outer London - South","LGBO","170","160","40150","36160"
"In post","2021","Male","Outer London - South","Undeclared","520","510","40700","36420"
"In post","2021","Male","Outer London - South","Unknown","760","740","37510","33650"
"In post","2021","Male","Outer London - West and North West","Heterosexual / straight","2870","2710","33190","31060"
"In post","2021","Male","Outer London - West and North West","LGBO","140","130","35570","31060"
"In post","2021","Male","Outer London - West and North West","Undeclared","480","450","35760","31060"
"In post","2021","Male","Outer London - West and North West","Unknown","630","610","35500","31750"
"In post","2021","Male","Overseas","Heterosexual / straight","1550","1550","50130","49640"
"In post","2021","Male","Overseas","LGBO","120","120","53650","54040"
"In post","2021","Male","Overseas","Undeclared","230","230","48910","42110"
"In post","2021","Male","Overseas","Unknown","360","360","52180","52430"
"In post","2021","Male","Shropshire and Staffordshire","Heterosexual / straight","2610","2540","31350","27570"
"In post","2021","Male","Shropshire and Staffordshire","LGBO","140","130","29160","27470"
"In post","2021","Male","Shropshire and Staffordshire","Undeclared","360","340","31070","28110"
"In post","2021","Male","Shropshire and Staffordshire","Unknown","670","640","30180","26950"
"In post","2021","Male","South Yorkshire","Heterosexual / straight","2940","2840","32900","27570"
"In post","2021","Male","South Yorkshire","LGBO","190","180","30880","27570"
"In post","2021","Male","South Yorkshire","Undeclared","380","370","32620","30070"
"In post","2021","Male","South Yorkshire","Unknown","700","670","33020","28200"
"In post","2021","Male","Southern Scotland","Heterosexual / straight","1360","1300","31800","27570"
"In post","2021","Male","Southern Scotland","LGBO","80","80","30950","26160"
"In post","2021","Male","Southern Scotland","Undeclared","200","190","28640","26780"
"In post","2021","Male","Southern Scotland","Unknown","880","840","28630","25560"
"In post","2021","Male","Surrey, East and West Sussex","Heterosexual / straight","2300","2190","31970","28400"
"In post","2021","Male","Surrey, East and West Sussex","LGBO","200","190","28700","27570"
"In post","2021","Male","Surrey, East and West Sussex","Undeclared","410","380","32270","29410"
"In post","2021","Male","Surrey, East and West Sussex","Unknown","700","660","30470","28130"
"In post","2021","Male","Tees Valley and Durham","Heterosexual / straight","2570","2440","29020","27130"
"In post","2021","Male","Tees Valley and Durham","LGBO","120","120","28690","26560"
"In post","2021","Male","Tees Valley and Durham","Undeclared","300","290","29960","27570"
"In post","2021","Male","Tees Valley and Durham","Unknown","870","810","28380","27150"
"In post","2021","Male","Unknown","Heterosexual / straight","440","430","34470","28120"
"In post","2021","Male","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","Male","Unknown","Undeclared","50","50","33130","28010"
"In post","2021","Male","Unknown","Unknown","2000","2000","37630","33570"
"In post","2021","Male","West Central Scotland","Heterosexual / straight","5110","4910","32310","27570"
"In post","2021","Male","West Central Scotland","LGBO","340","330","30000","27570"
"In post","2021","Male","West Central Scotland","Undeclared","660","630","31610","27570"
"In post","2021","Male","West Central Scotland","Unknown","2310","2220","30890","27570"
"In post","2021","Male","West Midlands","Heterosexual / straight","4660","4530","32460","27570"
"In post","2021","Male","West Midlands","LGBO","290","280","31090","27570"
"In post","2021","Male","West Midlands","Undeclared","590","560","32100","27570"
"In post","2021","Male","West Midlands","Unknown","1840","1780","31700","27570"
"In post","2021","Male","West Wales and The Valleys","Heterosexual / straight","3980","3840","31530","27570"
"In post","2021","Male","West Wales and The Valleys","LGBO","230","220","29370","26350"
"In post","2021","Male","West Wales and The Valleys","Undeclared","910","870","30280","26780"
"In post","2021","Male","West Wales and The Valleys","Unknown","920","870","28020","26130"
"In post","2021","Male","West Yorkshire","Heterosexual / straight","4580","4430","33030","28130"
"In post","2021","Male","West Yorkshire","LGBO","320","320","32070","27570"
"In post","2021","Male","West Yorkshire","Undeclared","580","550","32580","28420"
"In post","2021","Male","West Yorkshire","Unknown","2210","2130","30370","26300"
"In post","2021","Unknown","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Bedfordshire and Hertfordshire","Heterosexual / straight","1980","1830","32810","29290"
"In post","2022","Female","Bedfordshire and Hertfordshire","LGBO","100","90","30590","29290"
"In post","2022","Female","Bedfordshire and Hertfordshire","Undeclared","200","180","32940","29290"
"In post","2022","Female","Bedfordshire and Hertfordshire","Unknown","420","370","33210","29290"
