"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cheshire","Warrington","SEO/HEO","690","670","39760","39540"
"In post","2021","Cheshire","Warrington","Unknown","60","60","30010","30210"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","710","640","20860","21010"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","50","40","58500","54990"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","210","200","35630","34160"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","50","40","29330","28200"
"In post","2021","Cumbria","East Cumbria","AA/AO","340","310","21450","21050"
"In post","2021","Cumbria","East Cumbria","EO","300","280","25240","25740"
"In post","2021","Cumbria","East Cumbria","G6/G7","60","50","53310","51470"
"In post","2021","Cumbria","East Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","East Cumbria","SEO/HEO","180","170","34470","33300"
"In post","2021","Cumbria","East Cumbria","Unknown","60","50","29900","28200"
"In post","2021","Cumbria","West Cumbria","AA/AO","580","520","22240","21050"
"In post","2021","Cumbria","West Cumbria","EO","270","250","27160","27380"
"In post","2021","Cumbria","West Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","West Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","West Cumbria","SEO/HEO","140","130","35400","34320"
"In post","2021","Cumbria","West Cumbria","Unknown","190","180","40150","38860"
"In post","2021","Derbyshire and Nottinghamshire","Derby","AA/AO","490","420","21470","21010"
"In post","2021","Derbyshire and Nottinghamshire","Derby","EO","300","270","27480","27570"
"In post","2021","Derbyshire and Nottinghamshire","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Derby","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Derby","SEO/HEO","60","50","35330","34290"
"In post","2021","Derbyshire and Nottinghamshire","Derby","Unknown","140","130","30130","29930"
"In post","2021","Derbyshire and Nottinghamshire","East Derbyshire","AA/AO","100","90","20350","20300"
"In post","2021","Derbyshire and Nottinghamshire","East Derbyshire","EO","200","180","27320","27570"
"In post","2021","Derbyshire and Nottinghamshire","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","East Derbyshire","Unknown","50","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","North Nottinghamshire","AA/AO","420","400","24120","23240"
"In post","2021","Derbyshire and Nottinghamshire","North Nottinghamshire","EO","320","300","27800","27570"
"In post","2021","Derbyshire and Nottinghamshire","North Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","North Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","North Nottinghamshire","SEO/HEO","130","130","39020","37280"
"In post","2021","Derbyshire and Nottinghamshire","North Nottinghamshire","Unknown","100","90","31560","30880"
"In post","2021","Derbyshire and Nottinghamshire","Nottingham","AA/AO","2080","1890","21190","20600"
"In post","2021","Derbyshire and Nottinghamshire","Nottingham","EO","2150","2000","26100","25860"
"In post","2021","Derbyshire and Nottinghamshire","Nottingham","G6/G7","950","920","56200","52580"
"In post","2021","Derbyshire and Nottinghamshire","Nottingham","SCS","60","60","90540","82670"
"In post","2021","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","2540","2410","34880","32160"
"In post","2021","Derbyshire and Nottinghamshire","Nottingham","Unknown","170","160","28100","28200"
"In post","2021","Derbyshire and Nottinghamshire","South and West Derbyshire","AA/AO","340","310","24550","22850"
"In post","2021","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","370","330","27880","27570"
"In post","2021","Derbyshire and Nottinghamshire","South and West Derbyshire","G6/G7","100","90","60820","57510"
"In post","2021","Derbyshire and Nottinghamshire","South and West Derbyshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO/HEO","300","280","38080","36480"
"In post","2021","Derbyshire and Nottinghamshire","South and West Derbyshire","Unknown","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","South Nottinghamshire","AA/AO","350","330","24130","22160"
"In post","2021","Derbyshire and Nottinghamshire","South Nottinghamshire","EO","200","190","28130","27570"
"In post","2021","Derbyshire and Nottinghamshire","South Nottinghamshire","G6/G7","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","South Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO/HEO","170","170","37620","36480"
"In post","2021","Derbyshire and Nottinghamshire","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Devon CC","AA/AO","1950","1720","22200","21010"
"In post","2021","Devon","Devon CC","EO","1330","1210","26930","27570"
"In post","2021","Devon","Devon CC","G6/G7","680","640","53650","49960"
"In post","2021","Devon","Devon CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Devon CC","SEO/HEO","1520","1440","37130","37420"
"In post","2021","Devon","Devon CC","Unknown","80","80","32470","31420"
"In post","2021","Devon","Plymouth","AA/AO","1000","910","22880","21100"
"In post","2021","Devon","Plymouth","EO","900","830","27120","27130"
"In post","2021","Devon","Plymouth","G6/G7","150","140","60850","56750"
"In post","2021","Devon","Plymouth","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Plymouth","SEO/HEO","860","810","38670","38450"
"In post","2021","Devon","Plymouth","Unknown","200","190","35130","32710"
"In post","2021","Devon","Torbay","AA/AO","150","120","20650","21010"
"In post","2021","Devon","Torbay","EO","120","100","27310","27570"
"In post","2021","Devon","Torbay","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Torbay","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Torbay","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Torbay","Unknown","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","Bournemouth and Poole","AA/AO","200","180","20310","20100"
"In post","2021","Dorset and Somerset","Bournemouth and Poole","EO","330","290","27070","27570"
"In post","2021","Dorset and Somerset","Bournemouth and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Bournemouth and Poole","SEO/HEO","80","70","34550","33300"
"In post","2021","Dorset and Somerset","Bournemouth and Poole","Unknown","100","90","28540","25460"
"In post","2021","Dorset and Somerset","Dorset CC","AA/AO","990","940","23860","22350"
"In post","2021","Dorset and Somerset","Dorset CC","EO","560","520","28090","27130"
"In post","2021","Dorset and Somerset","Dorset CC","G6/G7","60","60","61970","60520"
"In post","2021","Dorset and Somerset","Dorset CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Dorset CC","SEO/HEO","460","440","37100","35950"
"In post","2021","Dorset and Somerset","Dorset CC","Unknown","60","50","28640","30210"
"In post","2021","Dorset and Somerset","Somerset","AA/AO","530","480","20540","20920"
"In post","2021","Dorset and Somerset","Somerset","EO","730","660","26920","27570"
"In post","2021","Dorset and Somerset","Somerset","G6/G7","130","120","57150","53930"
"In post","2021","Dorset and Somerset","Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Somerset","SEO/HEO","890","850","36500","34170"
"In post","2021","Dorset and Somerset","Somerset","Unknown","70","60","27800","28200"
"In post","2021","East Anglia","Breckland and South Norfolk","AA/AO","300","290","24220","23420"
"In post","2021","East Anglia","Breckland and South Norfolk","EO","130","120","28750","27570"
"In post","2021","East Anglia","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Breckland and South Norfolk","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Breckland and South Norfolk","SEO/HEO","70","70","38300","36670"
"In post","2021","East Anglia","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Cambridgeshire CC","AA/AO","1140","1060","25360","23490"
"In post","2021","East Anglia","Cambridgeshire CC","EO","710","670","27980","27570"
"In post","2021","East Anglia","Cambridgeshire CC","G6/G7","310","290","60520","57110"
"In post","2021","East Anglia","Cambridgeshire CC","SCS","40","40","[c]","[c]"
"In post","2021","East Anglia","Cambridgeshire CC","SEO/HEO","1080","1040","37200","35480"
"In post","2021","East Anglia","Cambridgeshire CC","Unknown","100","90","30530","30210"
"In post","2021","East Anglia","North and West Norfolk","AA/AO","500","470","24190","21240"
"In post","2021","East Anglia","North and West Norfolk","EO","210","190","28450","27570"
"In post","2021","East Anglia","North and West Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","North and West Norfolk","SEO/HEO","180","170","35650","33840"
"In post","2021","East Anglia","North and West Norfolk","Unknown","30","30","[c]","[c]"
"In post","2021","East Anglia","Norwich and East Norfolk","AA/AO","630","570","22200","21010"
"In post","2021","East Anglia","Norwich and East Norfolk","EO","560","490","27230","27570"
"In post","2021","East Anglia","Norwich and East Norfolk","G6/G7","120","120","55780","54770"
"In post","2021","East Anglia","Norwich and East Norfolk","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Norwich and East Norfolk","SEO/HEO","350","330","35530","34190"
"In post","2021","East Anglia","Norwich and East Norfolk","Unknown","120","110","29580","29300"
"In post","2021","East Anglia","Peterborough","AA/AO","690","600","20990","21430"
"In post","2021","East Anglia","Peterborough","EO","460","410","26910","27130"
"In post","2021","East Anglia","Peterborough","G6/G7","90","90","58660","55610"
"In post","2021","East Anglia","Peterborough","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Peterborough","SEO/HEO","350","330","35360","33840"
"In post","2021","East Anglia","Peterborough","Unknown","80","70","27900","28200"
"In post","2021","East Anglia","Suffolk","AA/AO","1690","1570","23030","21400"
"In post","2021","East Anglia","Suffolk","EO","1230","1150","27320","27570"
"In post","2021","East Anglia","Suffolk","G6/G7","190","180","55740","52580"
"In post","2021","East Anglia","Suffolk","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Suffolk","SEO/HEO","900","860","35130","33300"
"In post","2021","East Anglia","Suffolk","Unknown","160","140","28950","28200"
"In post","2021","East Wales","Cardiff and Vale of Glamorgan","AA/AO","3400","3050","21330","20880"
"In post","2021","East Wales","Cardiff and Vale of Glamorgan","EO","3320","3110","26860","26930"
"In post","2021","East Wales","Cardiff and Vale of Glamorgan","G6/G7","1350","1290","59620","60830"
"In post","2021","East Wales","Cardiff and Vale of Glamorgan","SCS","190","180","90280","82200"
"In post","2021","East Wales","Cardiff and Vale of Glamorgan","SEO/HEO","3520","3350","36750","37410"
"In post","2021","East Wales","Cardiff and Vale of Glamorgan","Unknown","290","270","31110","30210"
"In post","2021","East Wales","Flintshire and Wrexham","AA/AO","1020","960","22300","21010"
"In post","2021","East Wales","Flintshire and Wrexham","EO","660","620","27990","27570"
"In post","2021","East Wales","Flintshire and Wrexham","G6/G7","70","70","56760","55610"
"In post","2021","East Wales","Flintshire and Wrexham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Flintshire and Wrexham","SEO/HEO","300","290","37930","36710"
"In post","2021","East Wales","Flintshire and Wrexham","Unknown","100","100","28660","28200"
"In post","2021","East Wales","Monmouthshire and Newport","AA/AO","1100","970","20930","20180"
"In post","2021","East Wales","Monmouthshire and Newport","EO","1360","1260","25610","25040"
"In post","2021","East Wales","Monmouthshire and Newport","G6/G7","970","930","55060","55440"
"In post","2021","East Wales","Monmouthshire and Newport","SCS","70","60","78790","73210"
"In post","2021","East Wales","Monmouthshire and Newport","SEO/HEO","2030","1950","34870","36030"
"In post","2021","East Wales","Monmouthshire and Newport","Unknown","90","80","28440","28200"
"In post","2021","East Wales","Powys","AA/AO","220","210","21090","20920"
"In post","2021","East Wales","Powys","EO","160","150","27610","27570"
"In post","2021","East Wales","Powys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Powys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Powys","SEO/HEO","130","120","38210","37410"
"In post","2021","East Wales","Powys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","AA/AO","1000","930","25270","24440"
"In post","2021","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","EO","600","580","28510","27160"
"In post","2021","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","SEO/HEO","220","220","39380","37270"
"In post","2021","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Unknown","50","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","AA/AO","830","740","23400","21950"
"In post","2021","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","EO","710","630","27410","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","G6/G7","60","60","57880","55610"
"In post","2021","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","SEO/HEO","280","260","35700","33840"
"In post","2021","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Unknown","120","110","29660","28200"
"In post","2021","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","AA/AO","300","260","20880","21010"
"In post","2021","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","EO","350","320","27130","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","SEO/HEO","70","60","33740","33170"
"In post","2021","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Unknown","90","80","29260","28200"
"In post","2021","Eastern Scotland","Angus and Dundee City","AA/AO","1110","1010","21120","21010"
"In post","2021","Eastern Scotland","Angus and Dundee City","EO","490","450","27430","27570"
"In post","2021","Eastern Scotland","Angus and Dundee City","G6/G7","70","70","61750","61010"
"In post","2021","Eastern Scotland","Angus and Dundee City","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Angus and Dundee City","SEO/HEO","230","220","36870","34290"
"In post","2021","Eastern Scotland","City of Edinburgh","AA/AO","3150","2980","22180","21480"
"In post","2021","Eastern Scotland","City of Edinburgh","EO","2630","2500","28470","28130"
"In post","2021","Eastern Scotland","City of Edinburgh","G6/G7","2290","2190","61730","61010"
"In post","2021","Eastern Scotland","City of Edinburgh","SCS","210","200","90920","83230"
"In post","2021","Eastern Scotland","City of Edinburgh","SEO/HEO","4520","4320","38400","37580"
"In post","2021","Eastern Scotland","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Clackmannanshire and Fife","AA/AO","470","430","22350","21010"
"In post","2021","Eastern Scotland","Clackmannanshire and Fife","EO","550","510","29470","27570"
"In post","2021","Eastern Scotland","Clackmannanshire and Fife","G6/G7","40","40","[c]","[c]"
"In post","2021","Eastern Scotland","Clackmannanshire and Fife","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Clackmannanshire and Fife","SEO/HEO","260","250","38090","37730"
"In post","2021","Eastern Scotland","Clackmannanshire and Fife","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","East Lothian and Midlothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","East Lothian and Midlothian","EO","80","70","27370","27570"
"In post","2021","Eastern Scotland","East Lothian and Midlothian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","East Lothian and Midlothian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Falkirk","AA/AO","870","740","21550","21010"
"In post","2021","Eastern Scotland","Falkirk","EO","690","620","29420","27570"
"In post","2021","Eastern Scotland","Falkirk","G6/G7","50","40","[c]","[c]"
"In post","2021","Eastern Scotland","Falkirk","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Falkirk","SEO/HEO","210","190","37910","37770"
"In post","2021","Eastern Scotland","Perth and Kinross and Stirling","AA/AO","460","430","23480","22920"
"In post","2021","Eastern Scotland","Perth and Kinross and Stirling","EO","570","530","30650","30160"
"In post","2021","Eastern Scotland","Perth and Kinross and Stirling","G6/G7","60","50","57830","55110"
"In post","2021","Eastern Scotland","Perth and Kinross and Stirling","SEO/HEO","260","250","39080","39500"
"In post","2021","Eastern Scotland","West Lothian","AA/AO","180","170","22360","21010"
"In post","2021","Eastern Scotland","West Lothian","EO","180","160","28290","27570"
"In post","2021","Eastern Scotland","West Lothian","G6/G7","50","50","65800","68820"
"In post","2021","Eastern Scotland","West Lothian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","West Lothian","SEO/HEO","90","90","38840","38630"
"In post","2021","Essex","Essex Haven Gateway","AA/AO","320","300","25510","21580"
"In post","2021","Essex","Essex Haven Gateway","EO","510","480","29800","29290"
"In post","2021","Essex","Essex Haven Gateway","G6/G7","40","40","[c]","[c]"
"In post","2021","Essex","Essex Haven Gateway","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Essex Haven Gateway","SEO/HEO","230","220","41010","36730"
"In post","2021","Essex","Essex Haven Gateway","Unknown","30","30","[c]","[c]"
"In post","2021","Essex","Essex Thames Gateway","AA/AO","340","290","23460","24180"
"In post","2021","Essex","Essex Thames Gateway","EO","410","370","29510","29290"
"In post","2021","Essex","Essex Thames Gateway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Essex Thames Gateway","SEO/HEO","70","60","35980","35790"
"In post","2021","Essex","Essex Thames Gateway","Unknown","110","100","26780","22920"
"In post","2021","Essex","Heart of Essex","AA/AO","440","410","25280","24510"
"In post","2021","Essex","Heart of Essex","EO","330","320","28970","29290"
"In post","2021","Essex","Heart of Essex","G6/G7","100","90","60740","59910"
"In post","2021","Essex","Heart of Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Heart of Essex","SEO/HEO","170","160","37640","36410"
"In post","2021","Essex","Heart of Essex","Unknown","70","70","29170","30210"
"In post","2021","Essex","Southend-on-Sea","AA/AO","310","260","21420","21440"
"In post","2021","Essex","Southend-on-Sea","EO","390","350","27730","28130"
"In post","2021","Essex","Southend-on-Sea","G6/G7","120","120","54570","52580"
"In post","2021","Essex","Southend-on-Sea","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Southend-on-Sea","SEO/HEO","510","470","35610","35000"
"In post","2021","Essex","Southend-on-Sea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Thurrock","AA/AO","110","110","21740","21430"
"In post","2021","Essex","Thurrock","EO","220","200","27350","27370"
"In post","2021","Essex","Thurrock","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Thurrock","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Essex","West Essex","AA/AO","90","80","20880","21430"
"In post","2021","Essex","West Essex","EO","420","360","27950","27370"
"In post","2021","Essex","West Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Essex","West Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","West Essex","SEO/HEO","130","120","33990","32930"
"In post","2021","Essex","West Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","760","700","23120","21130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","2610","2480","24800","25750"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","1920","1870","57400","55220"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","150","150","100420","92370"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","6380","6150","36560","36550"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","1530","1480","41280","39100"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AA/AO","1330","1220","21520","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","1430","1310","26650","27250"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G6/G7","1430","1340","56600","53830"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SCS","90","80","92100","84000"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO/HEO","2170","2040","35400","34390"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","160","150","28840","28200"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","AA/AO","430","390","23040","21130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","EO","540","480","27450","27570"
