"Status","Year","Disability","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","90","90","38600","36070"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Human Resources","50","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","No function","740","710","39330","34500"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Project Delivery","60","50","39800","36110"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","No function","70","70","44970","36670"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Analysis","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Digital, Data & Technology","60","60","36960","36500"
"In post","2021","Declared disabled","Department for Education","Finance","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","No function","390","370","41220","37100"
"In post","2021","Declared disabled","Department for Education","Project Delivery","50","50","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Unknown","60","60","51820","38910"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Analysis","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Commercial","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Communications","40","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","70","70","42980","40660"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Finance","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Grants Management","150","140","25600","21050"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","No function","630","600","34320","30370"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Project Delivery","60","60","35160","32310"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Property","50","50","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","No function","150","150","43890","38540"
"In post","2021","Declared disabled","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Analysis","40","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Digital, Data & Technology","80","80","38000","33350"
"In post","2021","Declared disabled","Department for Transport","Finance","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Human Resources","50","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","No function","1080","930","27320","26350"
"In post","2021","Declared disabled","Department for Transport","Project Delivery","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","No function","280","250","40080","36040"
"In post","2021","Declared disabled","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","15220","13360","27040","27570"
"In post","2021","Declared disabled","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","No function","390","360","40110","34530"
"In post","2021","Declared disabled","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","No function","50","50","33070","30350"
"In post","2021","Declared disabled","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Human Resources","50","50","42970","37010"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","No function","340","330","44150","37560"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Project Delivery","190","190","47630","45940"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Security","50","50","38130","34770"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","No function","400","340","28410","27130"
"In post","2021","Declared disabled","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","Analysis","60","60","43430","38630"
"In post","2021","Declared disabled","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","Communications","280","260","28800","25560"
"In post","2021","Declared disabled","HM Revenue and Customs","Counter Fraud","760","700","32720","31810"
"In post","2021","Declared disabled","HM Revenue and Customs","Debt","380","320","23060","21440"
"In post","2021","Declared disabled","HM Revenue and Customs","Digital, Data & Technology","210","200","38620","35000"
"In post","2021","Declared disabled","HM Revenue and Customs","Finance","230","200","31490","26260"
"In post","2021","Declared disabled","HM Revenue and Customs","Human Resources","200","180","35320","31810"
"In post","2021","Declared disabled","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","Legal","140","130","36790","31810"
"In post","2021","Declared disabled","HM Revenue and Customs","No function","2780","2450","28330","25560"
"In post","2021","Declared disabled","HM Revenue and Customs","Project Delivery","430","390","42840","38630"
"In post","2021","Declared disabled","HM Revenue and Customs","Property","250","230","32800","28750"
"In post","2021","Declared disabled","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Internal Audit","40","40","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","No function","150","150","45960","42650"
"In post","2021","Declared disabled","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Home Office","Unknown","3060","2810","31320","27370"
"In post","2021","Declared disabled","Ministry of Defence","Analysis","70","70","38020","37320"
"In post","2021","Declared disabled","Ministry of Defence","Commercial","240","230","36740","34800"
"In post","2021","Declared disabled","Ministry of Defence","Communications","80","80","31110","27080"
"In post","2021","Declared disabled","Ministry of Defence","Digital, Data & Technology","140","130","32450","29200"
"In post","2021","Declared disabled","Ministry of Defence","Finance","210","200","35890","32600"
"In post","2021","Declared disabled","Ministry of Defence","Human Resources","260","240","33090","29220"
"In post","2021","Declared disabled","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","No function","290","280","37270","37320"
"In post","2021","Declared disabled","Ministry of Defence","Project Delivery","1600","1550","36700","33740"
"In post","2021","Declared disabled","Ministry of Defence","Property","250","240","33300","33300"
"In post","2021","Declared disabled","Ministry of Defence","Security","420","410","30030","26350"
"In post","2021","Declared disabled","Ministry of Defence","Unknown","1690","1610","29310","26350"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","No function","250","250","41170","36340"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","Analysis","40","40","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","Commercial","120","120","42800","42630"
"In post","2021","Declared disabled","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","Digital, Data & Technology","100","90","43470","41480"
"In post","2021","Declared disabled","Ministry of Justice","Finance","90","90","39460","34520"
"In post","2021","Declared disabled","Ministry of Justice","Human Resources","150","150","43020","39490"
"In post","2021","Declared disabled","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","Legal","140","130","41880","42140"
"In post","2021","Declared disabled","Ministry of Justice","No function","8150","7560","28150","26120"
"In post","2021","Declared disabled","Ministry of Justice","Project Delivery","60","60","40170","35640"
"In post","2021","Declared disabled","Ministry of Justice","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","Security","60","60","35510","32690"
"In post","2021","Declared disabled","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","No function","170","160","37250","36200"
"In post","2021","Declared disabled","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","No function","100","90","48920","51360"
"In post","2021","Declared disabled","Office for Standards in Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","No function","40","30","[c]","[c]"
