"Status","Year","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Transport (excl. agencies)","Heterosexual / straight","50","50","48090","42890"
"In post","2022","Communications","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Transport (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","90","90","42740","41290"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Unknown","50","50","41440","39000"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","170","160","47560","50140"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Undeclared","150","150","46850","53360"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Heterosexual / straight","50","50","30370","26780"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","60","60","52860","50840"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Actuary's Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Internal Audit Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Legal Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Health and Safety Executive","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","2620","2520","31070","26820"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","LGBO","220","210","30790","26820"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","Undeclared","200","190","30710","26820"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","Unknown","1590","1540","29220","26820"
"In post","2022","Communications","HM Treasury (excl. agencies)","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Communications","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Intellectual Property Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal Aid Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Met Office","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Communications","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Met Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Heterosexual / straight","380","370","34820","33000"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Undeclared","60","60","35030","32250"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Unknown","60","60","39190","35000"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","Heterosexual / straight","70","70","45300","41750"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2022","Communications","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Infrastructure Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Infrastructure Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Savings and Investments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Budget Responsibility","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Planning Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Queen Elizabeth II Centre","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Rural Payments Agency","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Communications","Rural Payments Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Rural Payments Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Submarine Delivery Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","The Insolvency Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","The Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Export Finance","Heterosexual / straight","50","50","57690","52500"
"In post","2022","Communications","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Health Security Agency","Heterosexual / straight","70","70","42830","38990"
"In post","2022","Communications","UK Health Security Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Health Security Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Health Security Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Hydrographic Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Hydrographic Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Hydrographic Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Space Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Space Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Statistics Authority","Heterosexual / straight","40","30","[c]","[c]"
"In post","2022","Communications","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Valuation Office Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Valuation Office Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Valuation Office Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Vehicle Certification Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Welsh Revenue Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Welsh Revenue Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wilton Park","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wilton Park","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","Heterosexual / straight","100","90","47600","49700"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Companies House","Heterosexual / straight","110","100","25190","24500"
"In post","2022","Counter Fraud","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Companies House","Unknown","40","30","[c]","[c]"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","4190","3770","27600","27570"
"In post","2022","Counter Fraud","Department for Work and Pensions (excl. agencies)","LGBO","230","220","27330","27570"
"In post","2022","Counter Fraud","Department for Work and Pensions (excl. agencies)","Undeclared","620","550","27080","27570"
"In post","2022","Counter Fraud","Department for Work and Pensions (excl. agencies)","Unknown","1340","1160","27740","27570"
"In post","2022","Counter Fraud","Driver and Vehicle Licensing Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Driver and Vehicle Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Food Standards Agency","Heterosexual / straight","50","50","38160","36540"
"In post","2022","Counter Fraud","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Government Internal Audit Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","5880","5550","35790","33370"
"In post","2022","Counter Fraud","HM Revenue and Customs (excl. agencies)","LGBO","340","320","35270","33080"
"In post","2022","Counter Fraud","HM Revenue and Customs (excl. agencies)","Undeclared","870","800","37340","33370"
"In post","2022","Counter Fraud","HM Revenue and Customs (excl. agencies)","Unknown","2600","2460","32830","31020"
"In post","2022","Counter Fraud","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","National Savings and Investments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Serious Fraud Office","Heterosexual / straight","170","160","46390","40140"
"In post","2022","Counter Fraud","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Serious Fraud Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Serious Fraud Office","Unknown","50","50","[c]","[c]"
"In post","2022","Counter Fraud","The Insolvency Service","Heterosexual / straight","140","130","39360","38510"
"In post","2022","Counter Fraud","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","The Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","The Insolvency Service","Unknown","90","80","39770","39170"
"In post","2022","Counter Fraud","UK Space Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","UK Space Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","1730","1460","22670","21260"
"In post","2022","Debt","Department for Work and Pensions (excl. agencies)","LGBO","110","100","22930","21260"
"In post","2022","Debt","Department for Work and Pensions (excl. agencies)","Undeclared","220","180","22260","21260"
"In post","2022","Debt","Department for Work and Pensions (excl. agencies)","Unknown","450","380","22450","21260"
"In post","2022","Debt","Health and Safety Executive","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","2280","2070","24880","21680"
"In post","2022","Debt","HM Revenue and Customs (excl. agencies)","LGBO","190","180","24020","21250"
"In post","2022","Debt","HM Revenue and Customs (excl. agencies)","Undeclared","280","240","24890","22080"
"In post","2022","Debt","HM Revenue and Customs (excl. agencies)","Unknown","1550","1410","23520","21250"
"In post","2022","Debt","UK Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","UK Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","UK Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","40","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Animal and Plant Health Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Cabinet Office (excl. agencies)","Heterosexual / straight","790","770","50670","54700"
"In post","2022","Digital, Data & Technology","Cabinet Office (excl. agencies)","LGBO","110","110","49510","54700"
"In post","2022","Digital, Data & Technology","Cabinet Office (excl. agencies)","Undeclared","110","110","51630","54700"
"In post","2022","Digital, Data & Technology","Cabinet Office (excl. agencies)","Unknown","140","140","49350","49700"
"In post","2022","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Companies House","Heterosexual / straight","160","160","40400","38000"
"In post","2022","Digital, Data & Technology","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Companies House","Undeclared","[c]","[c]","[c]","[c]"
