"Status","Year","Profession_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Property","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","National Savings and Investments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of the Public Guardian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of the Public Guardian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Public Health England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Public Health England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Public Health England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Queen Elizabeth II Centre","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Scottish Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Submarine Delivery Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","UK Hydrographic Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","UK Hydrographic Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Valuation Office Agency","Heterosexual / straight","1170","1070","36840","33250"
"In post","2021","Property","Valuation Office Agency","LGBO","50","50","34000","32100"
"In post","2021","Property","Valuation Office Agency","Undeclared","240","210","37630","33250"
"In post","2021","Property","Valuation Office Agency","Unknown","530","500","33620","30000"
"In post","2021","Property","Vehicle Certification Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Welsh Government (excl. agencies)","Heterosexual / straight","60","50","40720","37410"
"In post","2021","Property","Welsh Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Welsh Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Wilton Park","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Property","Wilton Park","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Wilton Park","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Wilton Park","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","HM Prison and Probation Service","Heterosexual / straight","1010","970","35440","30450"
"In post","2021","Psychology","HM Prison and Probation Service","LGBO","60","50","31260","29060"
"In post","2021","Psychology","HM Prison and Probation Service","Undeclared","90","90","34200","31180"
"In post","2021","Psychology","HM Prison and Probation Service","Unknown","150","140","35410","30120"
"In post","2021","Psychology","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Scottish Prison Service","Unknown","50","50","39000","33650"
"In post","2021","Science and Engineering","Animal and Plant Health Agency","Heterosexual / straight","460","440","31430","28270"
"In post","2021","Science and Engineering","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Animal and Plant Health Agency","Undeclared","90","80","35620","33700"
"In post","2021","Science and Engineering","Animal and Plant Health Agency","Unknown","80","70","29710","24370"
"In post","2021","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","170","160","32800","29270"
"In post","2021","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","Unknown","270","260","34420","30220"
"In post","2021","Science and Engineering","Defence Electronics and Components Agency","Heterosexual / straight","70","60","24730","27460"
"In post","2021","Science and Engineering","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Defence Electronics and Components Agency","Undeclared","170","160","28130","28750"
"In post","2021","Science and Engineering","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Defence Equipment and Support","Heterosexual / straight","1950","1910","37400","36880"
"In post","2021","Science and Engineering","Defence Equipment and Support","LGBO","60","60","35280","32290"
"In post","2021","Science and Engineering","Defence Equipment and Support","Undeclared","340","330","39770","40340"
"In post","2021","Science and Engineering","Defence Equipment and Support","Unknown","230","220","29960","27540"
"In post","2021","Science and Engineering","Defence Science and Technology Laboratory","Heterosexual / straight","1610","1560","39870","37320"
"In post","2021","Science and Engineering","Defence Science and Technology Laboratory","LGBO","100","90","33660","28650"
"In post","2021","Science and Engineering","Defence Science and Technology Laboratory","Undeclared","200","190","42500","46080"
"In post","2021","Science and Engineering","Defence Science and Technology Laboratory","Unknown","600","580","40320","37800"
"In post","2021","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","110","110","44210","39910"
"In post","2021","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Transport (excl. agencies)","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Science and Engineering","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Food Standards Agency","Heterosexual / straight","60","60","40300","37910"
"In post","2021","Science and Engineering","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Government Property Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Government Property Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Government Property Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Health and Safety Executive","Heterosexual / straight","320","290","39340","39330"
"In post","2021","Science and Engineering","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Health and Safety Executive","Undeclared","80","70","44500","43220"
"In post","2021","Science and Engineering","Health and Safety Executive","Unknown","50","40","[c]","[c]"
"In post","2021","Science and Engineering","Home Office (incl. agencies)","Heterosexual / straight","100","90","45240","40090"
"In post","2021","Science and Engineering","Home Office (incl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Home Office (incl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","150","150","49870","41950"
"In post","2021","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","Unknown","90","90","51130","45140"
"In post","2021","Science and Engineering","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Met Office","Unknown","950","900","40170","39650"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","Heterosexual / straight","1390","1360","33200","27370"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","LGBO","40","40","[c]","[c]"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","Undeclared","220","210","34120","33010"
"In post","2021","Science and Engineering","Ministry of Defence (excl. agencies)","Unknown","170","170","29480","25190"
"In post","2021","Science and Engineering","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Public Health England","Heterosexual / straight","1510","1390","39280","36330"
"In post","2021","Science and Engineering","Public Health England","LGBO","100","100","38900","32330"
"In post","2021","Science and Engineering","Public Health England","Undeclared","210","190","42320","38940"
"In post","2021","Science and Engineering","Public Health England","Unknown","480","440","44340","41660"
"In post","2021","Science and Engineering","Submarine Delivery Agency","Heterosexual / straight","520","520","41520","40830"
"In post","2021","Science and Engineering","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Submarine Delivery Agency","Undeclared","100","90","44550","43950"
"In post","2021","Science and Engineering","Submarine Delivery Agency","Unknown","70","70","35260","32710"
"In post","2021","Science and Engineering","UK Intellectual Property Office","Heterosexual / straight","190","180","48130","43020"
"In post","2021","Science and Engineering","UK Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","UK Intellectual Property Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","UK Intellectual Property Office","Unknown","130","120","50190","57920"
"In post","2021","Science and Engineering","UK Space Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","UK Space Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","UK Space Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Vehicle Certification Agency","Heterosexual / straight","80","80","41590","39110"
"In post","2021","Science and Engineering","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Veterinary Medicines Directorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Veterinary Medicines Directorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Veterinary Medicines Directorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","Heterosexual / straight","60","60","50140","47000"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Welsh Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Office and Procurator Fiscal Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Equipment and Support","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Security","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","Heterosexual / straight","110","110","47460","44480"
"In post","2021","Security","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Driver and Vehicle Licensing Agency","Heterosexual / straight","70","70","31150","26640"
"In post","2021","Security","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Driver and Vehicle Licensing Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","Security","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","FCDO Services","Heterosexual / straight","150","150","34700","29170"
"In post","2021","Security","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","FCDO Services","Unknown","50","50","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","120","120","40030","34450"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Government Actuary's Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Health and Safety Executive","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Prison and Probation Service","Heterosexual / straight","450","440","38390","35630"
"In post","2021","Security","HM Prison and Probation Service","LGBO","40","40","[c]","[c]"
"In post","2021","Security","HM Prison and Probation Service","Undeclared","70","70","42690","40120"
"In post","2021","Security","HM Prison and Probation Service","Unknown","120","120","40790","38160"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","90","90","41300","38630"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","Undeclared","30","30","[c]","[c]"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","Unknown","60","60","39530","38630"
"In post","2021","Security","Home Office (incl. agencies)","Heterosexual / straight","300","290","30950","28670"
"In post","2021","Security","Home Office (incl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Home Office (incl. agencies)","Undeclared","40","40","[c]","[c]"
"In post","2021","Security","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Defence (excl. agencies)","Heterosexual / straight","4320","4230","28510","22650"
"In post","2021","Security","Ministry of Defence (excl. agencies)","LGBO","160","160","29350","26610"
"In post","2021","Security","Ministry of Defence (excl. agencies)","Undeclared","670","660","32860","39070"
"In post","2021","Security","Ministry of Defence (excl. agencies)","Unknown","870","860","28970","26610"
"In post","2021","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Savings and Investments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
