"Status","Year","Age","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Unknown","50","40","[c]","[c]"
"In post","2021","16-19","North West (England)","White","90","80","21300","21010"
"In post","2021","16-19","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Unknown","80","70","20100","20140"
"In post","2021","16-19","Scotland","White","100","100","21130","21010"
"In post","2021","16-19","South East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Unknown","50","50","22050","21430"
"In post","2021","16-19","South East (England)","White","70","70","21900","21430"
"In post","2021","16-19","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","50","50","17510","16780"
"In post","2021","16-19","South West (England)","White","120","120","19270","19040"
"In post","2021","16-19","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Unknown","50","40","20030","20140"
"In post","2021","16-19","Wales","White","80","70","20440","20800"
"In post","2021","16-19","West Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","White","30","30","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Unknown","50","50","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","White","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Asian","260","260","25200","25000"
"In post","2021","20-29","East Midlands (England)","Black","50","50","24130","22890"
"In post","2021","20-29","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Mixed","60","60","25480","25560"
"In post","2021","20-29","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Undeclared","50","50","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Unknown","770","750","24540","24440"
"In post","2021","20-29","East Midlands (England)","White","1810","1770","25660","25380"
"In post","2021","20-29","East of England","Asian","180","160","26320","25380"
"In post","2021","20-29","East of England","Black","80","80","26780","27570"
"In post","2021","20-29","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Mixed","100","90","28000","27570"
"In post","2021","20-29","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Undeclared","40","40","[c]","[c]"
"In post","2021","20-29","East of England","Unknown","540","530","25880","25560"
"In post","2021","20-29","East of England","White","1910","1880","26650","26330"
"In post","2021","20-29","London","Asian","2640","2620","33270","31060"
"In post","2021","20-29","London","Black","1500","1490","31650","31060"
"In post","2021","20-29","London","Chinese","130","130","38810","35070"
"In post","2021","20-29","London","Mixed","1050","1030","35130","32560"
"In post","2021","20-29","London","Other ethnicity","270","270","35290","32950"
"In post","2021","20-29","London","Undeclared","500","490","37000","34320"
"In post","2021","20-29","London","Unknown","5900","5870","34850","32000"
"In post","2021","20-29","London","White","11020","10970","37530","34550"
"In post","2021","20-29","North East (England)","Asian","90","80","24420","21220"
"In post","2021","20-29","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Mixed","50","50","[c]","[c]"
"In post","2021","20-29","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Undeclared","40","40","[c]","[c]"
"In post","2021","20-29","North East (England)","Unknown","1120","1090","24180","22350"
"In post","2021","20-29","North East (England)","White","2620","2560","25240","24440"
"In post","2021","20-29","North West (England)","Asian","610","590","25540","25320"
"In post","2021","20-29","North West (England)","Black","110","100","26830","25560"
"In post","2021","20-29","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Mixed","160","150","25130","24890"
"In post","2021","20-29","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Undeclared","110","110","26940","27000"
"In post","2021","20-29","North West (England)","Unknown","1990","1960","24780","24120"
"In post","2021","20-29","North West (England)","White","5330","5230","25810","24890"
"In post","2021","20-29","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Unknown","180","170","22070","20140"
"In post","2021","20-29","Northern Ireland","White","230","220","24290","21430"
"In post","2021","20-29","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","70","70","39150","38600"
"In post","2021","20-29","Overseas","White","200","200","36770","33860"
"In post","2021","20-29","Scotland","Asian","70","70","25740","23450"
"In post","2021","20-29","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Mixed","50","50","[c]","[c]"
"In post","2021","20-29","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Undeclared","90","90","27960","26160"
"In post","2021","20-29","Scotland","Unknown","2270","2220","25090","22820"
"In post","2021","20-29","Scotland","White","4000","3930","26830","25560"
"In post","2021","20-29","South East (England)","Asian","220","220","27510","27570"
"In post","2021","20-29","South East (England)","Black","110","100","27850","27570"
"In post","2021","20-29","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Mixed","150","150","26860","26970"
"In post","2021","20-29","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Undeclared","140","130","28900","27570"
"In post","2021","20-29","South East (England)","Unknown","1100","1080","26600","26610"
"In post","2021","20-29","South East (England)","White","3970","3920","27350","27150"
"In post","2021","20-29","South West (England)","Asian","170","170","27870","27540"
"In post","2021","20-29","South West (England)","Black","50","50","25230","25530"
"In post","2021","20-29","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Mixed","150","150","27150","27540"
"In post","2021","20-29","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Undeclared","210","210","29440","28650"
"In post","2021","20-29","South West (England)","Unknown","1110","1090","26530","25680"
"In post","2021","20-29","South West (England)","White","5320","5250","27250","26670"
"In post","2021","20-29","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","700","700","29810","29250"
"In post","2021","20-29","Unknown","White","140","140","30160","27570"
"In post","2021","20-29","Wales","Asian","110","100","25450","23050"
"In post","2021","20-29","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Mixed","90","80","26040","25560"
"In post","2021","20-29","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Undeclared","100","100","26780","26290"
"In post","2021","20-29","Wales","Unknown","1360","1330","24740","23050"
"In post","2021","20-29","Wales","White","3560","3480","25800","24000"
"In post","2021","20-29","West Midlands (England)","Asian","730","710","25150","24880"
"In post","2021","20-29","West Midlands (England)","Black","130","130","25930","25560"
"In post","2021","20-29","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Mixed","150","150","26540","25930"
"In post","2021","20-29","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","West Midlands (England)","Undeclared","90","80","25880","25830"
"In post","2021","20-29","West Midlands (England)","Unknown","1030","1010","24260","22850"
"In post","2021","20-29","West Midlands (England)","White","2130","2100","25910","25000"
"In post","2021","20-29","Yorkshire and The Humber","Asian","600","590","25130","24890"
"In post","2021","20-29","Yorkshire and The Humber","Black","70","60","25060","24890"
"In post","2021","20-29","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Yorkshire and The Humber","Mixed","130","130","27260","25790"
"In post","2021","20-29","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Yorkshire and The Humber","Undeclared","90","90","27030","25560"
"In post","2021","20-29","Yorkshire and The Humber","Unknown","1630","1610","25150","23970"
"In post","2021","20-29","Yorkshire and The Humber","White","3250","3210","26880","25560"
"In post","2021","30-39","East Midlands (England)","Asian","410","370","26940","25560"
"In post","2021","30-39","East Midlands (England)","Black","110","100","25630","25560"
"In post","2021","30-39","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Mixed","110","110","29330","27570"
"In post","2021","30-39","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","Undeclared","130","120","28400","26990"
"In post","2021","30-39","East Midlands (England)","Unknown","660","620","27110","25560"
"In post","2021","30-39","East Midlands (England)","White","2810","2630","29610","27570"
"In post","2021","30-39","East of England","Asian","280","260","28870","27570"
"In post","2021","30-39","East of England","Black","120","120","29930","29290"
"In post","2021","30-39","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East of England","Mixed","100","90","29350","27570"
"In post","2021","30-39","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","East of England","Undeclared","160","150","31820","30400"
"In post","2021","30-39","East of England","Unknown","430","410","29380","27880"
"In post","2021","30-39","East of England","White","2940","2750","30530","29270"
"In post","2021","30-39","London","Asian","3390","3250","39150","35070"
"In post","2021","30-39","London","Black","1780","1730","35340","31130"
"In post","2021","30-39","London","Chinese","180","180","46090","42410"
"In post","2021","30-39","London","Mixed","990","970","43570","40050"
"In post","2021","30-39","London","Other ethnicity","320","300","43070","38690"
"In post","2021","30-39","London","Undeclared","940","910","45590","42590"
"In post","2021","30-39","London","Unknown","4040","3940","46120","42200"
"In post","2021","30-39","London","White","12680","12290","49020","51250"
"In post","2021","30-39","North East (England)","Asian","150","140","28360","25560"
"In post","2021","30-39","North East (England)","Black","40","40","[c]","[c]"
"In post","2021","30-39","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North East (England)","Mixed","60","60","28100","25560"
"In post","2021","30-39","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North East (England)","Undeclared","150","140","28590","25560"
"In post","2021","30-39","North East (England)","Unknown","1080","1010","26990","25560"
"In post","2021","30-39","North East (England)","White","4710","4370","28410","25790"
"In post","2021","30-39","North West (England)","Asian","830","770","27650","26000"
"In post","2021","30-39","North West (England)","Black","200","190","29020","27570"
"In post","2021","30-39","North West (England)","Chinese","40","40","[c]","[c]"
"In post","2021","30-39","North West (England)","Mixed","190","180","29060","25560"
"In post","2021","30-39","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","North West (England)","Undeclared","310","300","29880","27570"
"In post","2021","30-39","North West (England)","Unknown","1820","1720","28080","25560"
"In post","2021","30-39","North West (England)","White","8640","8140","29500","27570"
"In post","2021","30-39","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland","Unknown","190","180","26010","24880"
"In post","2021","30-39","Northern Ireland","White","610","580","28670","25560"
"In post","2021","30-39","Overseas","Asian","50","50","[c]","[c]"
"In post","2021","30-39","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Mixed","40","40","[c]","[c]"
"In post","2021","30-39","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","Undeclared","40","40","[c]","[c]"
"In post","2021","30-39","Overseas","Unknown","200","200","50650","52750"
"In post","2021","30-39","Overseas","White","710","700","46800","50430"
"In post","2021","30-39","Scotland","Asian","180","170","31230","27570"
"In post","2021","30-39","Scotland","Black","80","70","28960","27570"
"In post","2021","30-39","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scotland","Mixed","90","90","35040","30650"
"In post","2021","30-39","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scotland","Undeclared","280","270","32350","29080"
"In post","2021","30-39","Scotland","Unknown","2560","2440","30160","27570"
"In post","2021","30-39","Scotland","White","7100","6750","32830","29190"
"In post","2021","30-39","South East (England)","Asian","300","280","30390","27760"
"In post","2021","30-39","South East (England)","Black","170","160","30480","29290"
"In post","2021","30-39","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South East (England)","Mixed","160","150","32870","29850"
"In post","2021","30-39","South East (England)","Other ethnicity","50","40","[c]","[c]"
"In post","2021","30-39","South East (England)","Undeclared","340","320","33910","32100"
"In post","2021","30-39","South East (England)","Unknown","900","850","31100","29360"
"In post","2021","30-39","South East (England)","White","5600","5290","31410","29290"
"In post","2021","30-39","South West (England)","Asian","240","230","33970","31810"
"In post","2021","30-39","South West (England)","Black","170","170","32710","31810"
"In post","2021","30-39","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","South West (England)","Mixed","160","150","33640","32330"
"In post","2021","30-39","South West (England)","Other ethnicity","60","50","30740","28120"
"In post","2021","30-39","South West (England)","Undeclared","450","440","36430","37000"
"In post","2021","30-39","South West (England)","Unknown","1060","990","32500","29290"
"In post","2021","30-39","South West (England)","White","7360","6940","34040","32430"
"In post","2021","30-39","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","530","530","37750","33420"
"In post","2021","30-39","Unknown","White","190","180","34100","27570"
"In post","2021","30-39","Wales","Asian","140","130","28200","25560"
"In post","2021","30-39","Wales","Black","50","50","27550","25560"
"In post","2021","30-39","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Wales","Mixed","120","110","31020","27570"
"In post","2021","30-39","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Wales","Undeclared","270","260","29690","27570"
"In post","2021","30-39","Wales","Unknown","1350","1270","28760","25560"
"In post","2021","30-39","Wales","White","6670","6220","30120","27570"
"In post","2021","30-39","West Midlands (England)","Asian","1240","1170","27520","25560"
"In post","2021","30-39","West Midlands (England)","Black","260","250","27920","26140"
"In post","2021","30-39","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","West Midlands (England)","Mixed","150","140","27700","25710"
"In post","2021","30-39","West Midlands (England)","Other ethnicity","30","30","[c]","[c]"
"In post","2021","30-39","West Midlands (England)","Undeclared","210","200","30950","27570"
"In post","2021","30-39","West Midlands (England)","Unknown","920","870","28570","25630"
"In post","2021","30-39","West Midlands (England)","White","3480","3270","30410","27570"
"In post","2021","30-39","Yorkshire and The Humber","Asian","730","660","27480","25560"
"In post","2021","30-39","Yorkshire and The Humber","Black","100","100","27650","25920"
"In post","2021","30-39","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Yorkshire and The Humber","Mixed","130","120","31270","27570"
"In post","2021","30-39","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Yorkshire and The Humber","Undeclared","240","220","30800","27570"
"In post","2021","30-39","Yorkshire and The Humber","Unknown","1200","1140","30110","26720"
"In post","2021","30-39","Yorkshire and The Humber","White","5070","4720","31480","27570"
"In post","2021","40-49","East Midlands (England)","Asian","460","400","28030","26000"
"In post","2021","40-49","East Midlands (England)","Black","110","110","26660","26330"
"In post","2021","40-49","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","East Midlands (England)","Mixed","80","70","33140","28430"
"In post","2021","40-49","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","East Midlands (England)","Undeclared","250","230","32050","28130"
"In post","2021","40-49","East Midlands (England)","Unknown","550","520","29880","27130"
"In post","2021","40-49","East Midlands (England)","White","3510","3250","31820","27570"
"In post","2021","40-49","East of England","Asian","340","310","31470","27570"
"In post","2021","40-49","East of England","Black","140","130","32370","29290"
"In post","2021","40-49","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","East of England","Mixed","90","90","32570","29290"
"In post","2021","40-49","East of England","Other ethnicity","30","30","[c]","[c]"
"In post","2021","40-49","East of England","Undeclared","240","230","32200","29290"
"In post","2021","40-49","East of England","Unknown","400","380","30950","28130"
"In post","2021","40-49","East of England","White","4030","3740","32120","29290"
"In post","2021","40-49","London","Asian","3520","3290","39770","34520"
"In post","2021","40-49","London","Black","2160","2070","36420","31880"
"In post","2021","40-49","London","Chinese","170","160","43690","38860"
"In post","2021","40-49","London","Mixed","670","640","46210","41700"
"In post","2021","40-49","London","Other ethnicity","290","270","44100","37210"
"In post","2021","40-49","London","Undeclared","1060","1010","44390","39060"
"In post","2021","40-49","London","Unknown","2670","2560","51450","47520"
"In post","2021","40-49","London","White","11770","11180","53070","53320"
"In post","2021","40-49","North East (England)","Asian","90","90","30040","25710"
"In post","2021","40-49","North East (England)","Black","60","50","27630","25560"
"In post","2021","40-49","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","North East (England)","Mixed","60","60","32100","27570"
"In post","2021","40-49","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","North East (England)","Undeclared","290","270","29880","27230"
"In post","2021","40-49","North East (England)","Unknown","870","800","27860","24250"
"In post","2021","40-49","North East (England)","White","6080","5570","30040","27570"
"In post","2021","40-49","North West (England)","Asian","720","640","28360","25560"
"In post","2021","40-49","North West (England)","Black","200","190","28520","26750"
"In post","2021","40-49","North West (England)","Chinese","40","30","[c]","[c]"
"In post","2021","40-49","North West (England)","Mixed","190","170","31300","27570"
"In post","2021","40-49","North West (England)","Other ethnicity","50","50","30420","27570"
"In post","2021","40-49","North West (England)","Undeclared","620","590","30620","27570"
"In post","2021","40-49","North West (England)","Unknown","1470","1370","30330","26120"
"In post","2021","40-49","North West (England)","White","11270","10470","31250","27570"
"In post","2021","40-49","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Northern Ireland","Undeclared","30","30","[c]","[c]"
"In post","2021","40-49","Northern Ireland","Unknown","130","120","26540","23380"
"In post","2021","40-49","Northern Ireland","White","820","780","28370","25560"
"In post","2021","40-49","Overseas","Asian","60","60","[c]","[c]"
"In post","2021","40-49","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","Mixed","30","30","[c]","[c]"
"In post","2021","40-49","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","Undeclared","70","70","46900","40430"
"In post","2021","40-49","Overseas","Unknown","180","180","54600","53490"
"In post","2021","40-49","Overseas","White","790","790","52380","54470"
"In post","2021","40-49","Scotland","Asian","150","130","35640","27570"
"In post","2021","40-49","Scotland","Black","100","100","33520","27570"
"In post","2021","40-49","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Scotland","Mixed","60","60","37410","31810"
"In post","2021","40-49","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Scotland","Undeclared","390","370","32970","29190"
"In post","2021","40-49","Scotland","Unknown","1960","1840","32510","29190"
"In post","2021","40-49","Scotland","White","8050","7560","35600","30650"
"In post","2021","40-49","South East (England)","Asian","360","320","31380","28670"
