"Status","Year","Region_ITL1","Ethnicity","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","40-49","30","30","[c]","[c]"
"In post","2021","East of England","Other ethnicity","50-59","40","40","[c]","[c]"
"In post","2021","East of England","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","East of England","Undeclared","30-39","160","150","31820","30400"
"In post","2021","East of England","Undeclared","40-49","240","230","32200","29290"
"In post","2021","East of England","Undeclared","50-59","450","430","31820","29290"
"In post","2021","East of England","Undeclared","60-64","130","110","30090","28130"
"In post","2021","East of England","Undeclared","65+","60","40","30010","27570"
"In post","2021","East of England","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","20-29","540","530","25880","25560"
"In post","2021","East of England","Unknown","30-39","430","410","29380","27880"
"In post","2021","East of England","Unknown","40-49","400","380","30950","28130"
"In post","2021","East of England","Unknown","50-59","500","470","31530","27570"
"In post","2021","East of England","Unknown","60-64","130","120","30550","27570"
"In post","2021","East of England","Unknown","65+","60","50","27440","24180"
"In post","2021","East of England","White","16-19","30","30","[c]","[c]"
"In post","2021","East of England","White","20-29","1910","1880","26650","26330"
"In post","2021","East of England","White","30-39","2940","2750","30530","29270"
"In post","2021","East of England","White","40-49","4030","3740","32120","29290"
"In post","2021","East of England","White","50-59","5960","5610","32220","29290"
"In post","2021","East of England","White","60-64","1720","1460","29730","27570"
"In post","2021","East of England","White","65+","540","400","28390","26780"
"In post","2021","East of England","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Asian","20-29","2640","2620","33270","31060"
"In post","2021","London","Asian","30-39","3390","3250","39150","35070"
"In post","2021","London","Asian","40-49","3520","3290","39770","34520"
"In post","2021","London","Asian","50-59","2710","2560","36980","31880"
"In post","2021","London","Asian","60-64","810","700","32910","30110"
"In post","2021","London","Asian","65+","470","360","30360","27490"
"In post","2021","London","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Black","20-29","1500","1490","31650","31060"
"In post","2021","London","Black","30-39","1780","1730","35340","31130"
"In post","2021","London","Black","40-49","2160","2070","36420","31880"
"In post","2021","London","Black","50-59","3550","3450","35030","31060"
"In post","2021","London","Black","60-64","740","690","32380","30630"
"In post","2021","London","Black","65+","230","200","29890","26280"
"In post","2021","London","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","20-29","130","130","38810","35070"
"In post","2021","London","Chinese","30-39","180","180","46090","42410"
"In post","2021","London","Chinese","40-49","170","160","43690","38860"
"In post","2021","London","Chinese","50-59","90","90","44240","37910"
"In post","2021","London","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","20-29","1050","1030","35130","32560"
"In post","2021","London","Mixed","30-39","990","970","43570","40050"
"In post","2021","London","Mixed","40-49","670","640","46210","41700"
"In post","2021","London","Mixed","50-59","550","520","41420","35980"
"In post","2021","London","Mixed","60-64","120","110","37780","32090"
"In post","2021","London","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","20-29","270","270","35290","32950"
"In post","2021","London","Other ethnicity","30-39","320","300","43070","38690"
"In post","2021","London","Other ethnicity","40-49","290","270","44100","37210"
"In post","2021","London","Other ethnicity","50-59","280","260","43670","35200"
"In post","2021","London","Other ethnicity","60-64","90","70","43170","32520"
"In post","2021","London","Other ethnicity","65+","30","30","[c]","[c]"
"In post","2021","London","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","20-29","500","490","37000","34320"
"In post","2021","London","Undeclared","30-39","940","910","45590","42590"
"In post","2021","London","Undeclared","40-49","1060","1010","44390","39060"
"In post","2021","London","Undeclared","50-59","1630","1570","41140","35890"
"In post","2021","London","Undeclared","60-64","380","330","38680","32090"
"In post","2021","London","Undeclared","65+","140","120","38840","31880"
"In post","2021","London","Unknown","16-19","40","40","[c]","[c]"
"In post","2021","London","Unknown","20-29","5900","5870","34850","32000"
"In post","2021","London","Unknown","30-39","4040","3940","46120","42200"
"In post","2021","London","Unknown","40-49","2670","2560","51450","47520"
"In post","2021","London","Unknown","50-59","2270","2200","48250","40180"
"In post","2021","London","Unknown","60-64","460","420","42980","36160"
"In post","2021","London","Unknown","65+","190","160","40530","32520"
"In post","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","White","16-19","80","80","25350","25170"
"In post","2021","London","White","20-29","11020","10970","37530","34550"
"In post","2021","London","White","30-39","12680","12290","49020","51250"
"In post","2021","London","White","40-49","11770","11180","53070","53320"
"In post","2021","London","White","50-59","13140","12680","48930","42410"
"In post","2021","London","White","60-64","3080","2720","45380","38030"
"In post","2021","London","White","65+","1120","920","41370","32740"
"In post","2021","London","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Asian","20-29","90","80","24420","21220"
"In post","2021","North East (England)","Asian","30-39","150","140","28360","25560"
"In post","2021","North East (England)","Asian","40-49","90","90","30040","25710"
"In post","2021","North East (England)","Asian","50-59","50","50","29530","21580"
"In post","2021","North East (England)","Asian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","30-39","40","40","[c]","[c]"
"In post","2021","North East (England)","Black","40-49","60","50","27630","25560"
"In post","2021","North East (England)","Black","50-59","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Mixed","20-29","50","50","[c]","[c]"
"In post","2021","North East (England)","Mixed","30-39","60","60","28100","25560"
"In post","2021","North East (England)","Mixed","40-49","60","60","32100","27570"
"In post","2021","North East (England)","Mixed","50-59","40","40","[c]","[c]"
"In post","2021","North East (England)","Mixed","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","30-39","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","40-49","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","50-59","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","North East (England)","Undeclared","30-39","150","140","28590","25560"
"In post","2021","North East (England)","Undeclared","40-49","290","270","29880","27230"
"In post","2021","North East (England)","Undeclared","50-59","450","410","29320","26520"
"In post","2021","North East (England)","Undeclared","60-64","80","70","27980","21440"
"In post","2021","North East (England)","Undeclared","65+","30","20","[c]","[c]"
"In post","2021","North East (England)","Unknown","16-19","40","40","[c]","[c]"
"In post","2021","North East (England)","Unknown","20-29","1120","1090","24180","22350"
"In post","2021","North East (England)","Unknown","30-39","1080","1010","26990","25560"
"In post","2021","North East (England)","Unknown","40-49","870","800","27860","24250"
"In post","2021","North East (England)","Unknown","50-59","880","770","26750","21440"
"In post","2021","North East (England)","Unknown","60-64","280","210","24270","21440"
"In post","2021","North East (England)","Unknown","65+","80","50","23480","21420"
"In post","2021","North East (England)","White","16-19","50","50","21220","21010"
"In post","2021","North East (England)","White","20-29","2620","2560","25240","24440"
"In post","2021","North East (England)","White","30-39","4710","4370","28410","25790"
"In post","2021","North East (England)","White","40-49","6080","5570","30040","27570"
"In post","2021","North East (England)","White","50-59","7860","7010","29490","27570"
"In post","2021","North East (England)","White","60-64","2470","1830","26340","21440"
"In post","2021","North East (England)","White","65+","570","410","24750","21440"
"In post","2021","North East (England)","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Asian","20-29","610","590","25540","25320"
"In post","2021","North West (England)","Asian","30-39","830","770","27650","26000"
"In post","2021","North West (England)","Asian","40-49","720","640","28360","25560"
"In post","2021","North West (England)","Asian","50-59","350","320","29850","25560"
"In post","2021","North West (England)","Asian","60-64","40","30","[c]","[c]"
"In post","2021","North West (England)","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Black","20-29","110","100","26830","25560"
"In post","2021","North West (England)","Black","30-39","200","190","29020","27570"
"In post","2021","North West (England)","Black","40-49","200","190","28520","26750"
"In post","2021","North West (England)","Black","50-59","170","160","29240","27370"
"In post","2021","North West (England)","Black","60-64","40","40","[c]","[c]"
"In post","2021","North West (England)","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chinese","30-39","40","40","[c]","[c]"
"In post","2021","North West (England)","Chinese","40-49","40","30","[c]","[c]"
"In post","2021","North West (England)","Chinese","50-59","40","40","[c]","[c]"
"In post","2021","North West (England)","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Mixed","20-29","160","150","25130","24890"
"In post","2021","North West (England)","Mixed","30-39","190","180","29060","25560"
"In post","2021","North West (England)","Mixed","40-49","190","170","31300","27570"
"In post","2021","North West (England)","Mixed","50-59","170","160","31090","27570"
"In post","2021","North West (England)","Mixed","60-64","40","30","[c]","[c]"
"In post","2021","North West (England)","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","30-39","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","40-49","50","50","30420","27570"
"In post","2021","North West (England)","Other ethnicity","50-59","50","50","32700","27570"
"In post","2021","North West (England)","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Undeclared","20-29","110","110","26940","27000"
"In post","2021","North West (England)","Undeclared","30-39","310","300","29880","27570"
"In post","2021","North West (England)","Undeclared","40-49","620","590","30620","27570"
"In post","2021","North West (England)","Undeclared","50-59","860","800","30720","27570"
"In post","2021","North West (England)","Undeclared","60-64","240","180","31610","27570"
"In post","2021","North West (England)","Undeclared","65+","70","50","27970","26580"
"In post","2021","North West (England)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","16-19","50","40","[c]","[c]"
"In post","2021","North West (England)","Unknown","20-29","1990","1960","24780","24120"
"In post","2021","North West (England)","Unknown","30-39","1820","1720","28080","25560"
"In post","2021","North West (England)","Unknown","40-49","1470","1370","30330","26120"
"In post","2021","North West (England)","Unknown","50-59","1460","1360","30460","25670"
"In post","2021","North West (England)","Unknown","60-64","370","310","26530","21440"
"In post","2021","North West (England)","Unknown","65+","100","70","26620","21440"
"In post","2021","North West (England)","White","16-19","90","80","21300","21010"
"In post","2021","North West (England)","White","20-29","5330","5230","25810","24890"
"In post","2021","North West (England)","White","30-39","8640","8140","29500","27570"
"In post","2021","North West (England)","White","40-49","11270","10470","31250","27570"
"In post","2021","North West (England)","White","50-59","15110","13970","30940","27570"
"In post","2021","North West (England)","White","60-64","3910","3060","28190","26580"
"In post","2021","North West (England)","White","65+","1140","810","26950","24250"
"In post","2021","North West (England)","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","65+","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","65+","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","40-49","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","50-59","40","30","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","20-29","180","170","22070","20140"
"In post","2021","Northern Ireland","Unknown","30-39","190","180","26010","24880"
"In post","2021","Northern Ireland","Unknown","40-49","130","120","26540","23380"
"In post","2021","Northern Ireland","Unknown","50-59","110","100","31200","26590"
"In post","2021","Northern Ireland","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","White","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","White","20-29","230","220","24290","21430"
"In post","2021","Northern Ireland","White","30-39","610","580","28670","25560"
"In post","2021","Northern Ireland","White","40-49","820","780","28370","25560"
"In post","2021","Northern Ireland","White","50-59","1060","1010","29620","26670"
"In post","2021","Northern Ireland","White","60-64","240","200","26800","22330"
"In post","2021","Northern Ireland","White","65+","80","60","26920","21430"
"In post","2021","Northern Ireland","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Asian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Asian","30-39","50","50","[c]","[c]"
"In post","2021","Overseas","Asian","40-49","60","60","[c]","[c]"
"In post","2021","Overseas","Asian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Asian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","65+","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Mixed","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Mixed","30-39","40","40","[c]","[c]"
"In post","2021","Overseas","Mixed","40-49","30","30","[c]","[c]"
"In post","2021","Overseas","Mixed","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Mixed","60-64","[c]","[c]","[c]","[c]"
