"Status","Year","Function_of_post","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","40-49","East Wales","190","180","41680","37020"
"In post","2021","Analysis","40-49","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","43040","39850"
"In post","2021","Analysis","40-49","Greater Manchester","40","40","[c]","[c]"
"In post","2021","Analysis","40-49","Hampshire and Isle of Wight","170","160","44190","46080"
"In post","2021","Analysis","40-49","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Inner London - East","150","140","57110","58720"
"In post","2021","Analysis","40-49","Inner London - West","430","410","60170","59130"
"In post","2021","Analysis","40-49","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","South Yorkshire","40","30","[c]","[c]"
"In post","2021","Analysis","40-49","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Analysis","50-59","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","East Anglia","90","80","38500","37280"
"In post","2021","Analysis","50-59","East Wales","140","130","39850","36330"
"In post","2021","Analysis","50-59","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Analysis","50-59","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Hampshire and Isle of Wight","120","110","42950","40960"
"In post","2021","Analysis","50-59","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Inner London - East","100","100","61120","58780"
"In post","2021","Analysis","50-59","Inner London - West","260","250","59970","58840"
"In post","2021","Analysis","50-59","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Analysis","60-64","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Inner London - West","50","40","[c]","[c]"
"In post","2021","Analysis","60-64","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","East Anglia","30","30","[c]","[c]"
"In post","2021","Commercial","20-29","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","200","200","29710","27910"
"In post","2021","Commercial","20-29","Greater Manchester","60","60","34140","31810"
"In post","2021","Commercial","20-29","Hampshire and Isle of Wight","60","60","27780","26670"
"In post","2021","Commercial","20-29","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Inner London - East","40","40","[c]","[c]"
"In post","2021","Commercial","20-29","Inner London - West","210","210","42700","40600"
"In post","2021","Commercial","20-29","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Merseyside","40","40","[c]","[c]"
"In post","2021","Commercial","20-29","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","30-39","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Commercial","30-39","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Devon","70","60","40820","39100"
"In post","2021","Commercial","30-39","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","East Anglia","80","70","37760","34800"
"In post","2021","Commercial","30-39","East Wales","50","40","[c]","[c]"
"In post","2021","Commercial","30-39","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","240","230","39940","39480"
"In post","2021","Commercial","30-39","Greater Manchester","70","70","39990","36780"
"In post","2021","Commercial","30-39","Hampshire and Isle of Wight","70","60","35640","33300"
"In post","2021","Commercial","30-39","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Inner London - East","40","40","[c]","[c]"
"In post","2021","Commercial","30-39","Inner London - West","340","330","57120","54700"
"In post","2021","Commercial","30-39","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Merseyside","80","80","36170","34800"
"In post","2021","Commercial","30-39","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","Commercial","30-39","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","West Wales and The Valleys","50","50","32330","31040"
"In post","2021","Commercial","30-39","West Yorkshire","70","70","42700","40080"
"In post","2021","Commercial","40-49","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Berkshire, Buckinghamshire and Oxfordshire","60","60","45330","37170"
"In post","2021","Commercial","40-49","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Commercial","40-49","Devon","70","70","45330","47960"
"In post","2021","Commercial","40-49","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","East Anglia","100","90","41140","39500"
"In post","2021","Commercial","40-49","East Wales","60","60","42490","39610"
"In post","2021","Commercial","40-49","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","250","240","47930","42080"
"In post","2021","Commercial","40-49","Greater Manchester","90","80","51190","49700"
"In post","2021","Commercial","40-49","Hampshire and Isle of Wight","90","90","40760","34800"
"In post","2021","Commercial","40-49","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Inner London - East","70","60","56950","54700"
"In post","2021","Commercial","40-49","Inner London - West","390","380","69470","64500"
"In post","2021","Commercial","40-49","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Merseyside","90","80","47120","40650"
"In post","2021","Commercial","40-49","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Outer London - South","40","40","[c]","[c]"
"In post","2021","Commercial","40-49","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Shropshire and Staffordshire","50","50","37810","34050"
"In post","2021","Commercial","40-49","South Yorkshire","30","30","[c]","[c]"
"In post","2021","Commercial","40-49","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Commercial","40-49","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","West Central Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","40-49","West Midlands","40","40","[c]","[c]"
"In post","2021","Commercial","40-49","West Wales and The Valleys","60","50","32490","31300"
"In post","2021","Commercial","40-49","West Yorkshire","80","80","50880","50520"
"In post","2021","Commercial","50-59","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Berkshire, Buckinghamshire and Oxfordshire","70","70","43200","41160"
"In post","2021","Commercial","50-59","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Commercial","50-59","Devon","60","60","45480","47960"
"In post","2021","Commercial","50-59","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Commercial","50-59","East Anglia","120","110","46690","41580"
"In post","2021","Commercial","50-59","East Wales","50","50","36860","31550"
"In post","2021","Commercial","50-59","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Commercial","50-59","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","300","300","48430","41770"
"In post","2021","Commercial","50-59","Greater Manchester","110","100","46110","42330"
"In post","2021","Commercial","50-59","Hampshire and Isle of Wight","120","120","42120","40000"
"In post","2021","Commercial","50-59","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Inner London - East","50","40","[c]","[c]"
"In post","2021","Commercial","50-59","Inner London - West","420","420","68490","60770"
"In post","2021","Commercial","50-59","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Merseyside","100","100","45760","40120"
"In post","2021","Commercial","50-59","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Outer London - South","40","40","[c]","[c]"
"In post","2021","Commercial","50-59","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Commercial","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Shropshire and Staffordshire","70","70","42500","35000"
"In post","2021","Commercial","50-59","South Yorkshire","30","30","[c]","[c]"
"In post","2021","Commercial","50-59","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","West Central Scotland","80","70","38970","36300"
"In post","2021","Commercial","50-59","West Midlands","40","30","[c]","[c]"
"In post","2021","Commercial","50-59","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","Commercial","50-59","West Yorkshire","60","60","52210","49530"
"In post","2021","Commercial","60-64","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
