"Status","Year","Region_ITL1","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","South West (England)","Unknown","Male","1300","1280","41370","39000"
"In post","2021","Unknown","AA/AO","Female","160","140","22450","21010"
"In post","2021","Unknown","AA/AO","Male","90","80","21840","21010"
"In post","2021","Unknown","EO","Female","360","330","28060","27570"
"In post","2021","Unknown","EO","Male","230","220","28000","27570"
"In post","2021","Unknown","G6/G7","Female","110","100","56820","54700"
"In post","2021","Unknown","G6/G7","Male","90","90","58380","55000"
"In post","2021","Unknown","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Female","400","390","33560","32000"
"In post","2021","Unknown","SEO/HEO","Male","360","360","34840","32750"
"In post","2021","Unknown","Unknown","Female","170","170","33050","32700"
"In post","2021","Unknown","Unknown","Male","1750","1740","37670","34160"
"In post","2021","Wales","AA/AO","Female","7920","6630","20970","21050"
"In post","2021","Wales","AA/AO","Male","5010","4780","21660","21130"
"In post","2021","Wales","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","EO","Female","5430","4880","26800","27570"
"In post","2021","Wales","EO","Male","3990","3850","27240","27460"
"In post","2021","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","G6/G7","Female","1490","1410","57950","56950"
"In post","2021","Wales","G6/G7","Male","1720","1680","59290","59300"
"In post","2021","Wales","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","SCS","Female","120","120","84940","79180"
"In post","2021","Wales","SCS","Male","180","180","89140","80200"
"In post","2021","Wales","SEO/HEO","Female","4840","4530","36550","37020"
"In post","2021","Wales","SEO/HEO","Male","4270","4150","37300","37020"
"In post","2021","Wales","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Unknown","Female","860","800","29420","28200"
"In post","2021","Wales","Unknown","Male","240","230","31380","30210"
"In post","2021","West Midlands (England)","AA/AO","Female","5990","5180","21140","21000"
"In post","2021","West Midlands (England)","AA/AO","Male","4360","4200","22840","21010"
"In post","2021","West Midlands (England)","EO","Female","5470","4850","26840","27570"
"In post","2021","West Midlands (England)","EO","Male","3890","3760","27350","27570"
"In post","2021","West Midlands (England)","G6/G7","Female","1210","1150","56160","52580"
"In post","2021","West Midlands (England)","G6/G7","Male","1160","1130","57880","54400"
"In post","2021","West Midlands (England)","SCS","Female","110","100","94240","86990"
"In post","2021","West Midlands (England)","SCS","Male","110","100","98050","90800"
"In post","2021","West Midlands (England)","SEO/HEO","Female","3690","3470","35530","33840"
"In post","2021","West Midlands (England)","SEO/HEO","Male","3110","3040","36440","35000"
"In post","2021","West Midlands (England)","Unknown","Female","1040","940","29090","28200"
"In post","2021","West Midlands (England)","Unknown","Male","370","360","31050","30880"
"In post","2021","Yorkshire and The Humber","AA/AO","Female","6240","5300","21540","21010"
"In post","2021","Yorkshire and The Humber","AA/AO","Male","5430","5180","23410","21430"
"In post","2021","Yorkshire and The Humber","EO","Female","5830","5130","26850","27570"
"In post","2021","Yorkshire and The Humber","EO","Male","4680","4520","27440","27380"
"In post","2021","Yorkshire and The Humber","G6/G7","Female","1970","1850","55770","52580"
"In post","2021","Yorkshire and The Humber","G6/G7","Male","1880","1840","56870","53730"
"In post","2021","Yorkshire and The Humber","SCS","Female","130","120","84480","76850"
"In post","2021","Yorkshire and The Humber","SCS","Male","150","140","86480","78350"
"In post","2021","Yorkshire and The Humber","SEO/HEO","Female","4850","4520","34790","33320"
"In post","2021","Yorkshire and The Humber","SEO/HEO","Male","4110","4000","35710","34610"
"In post","2021","Yorkshire and The Humber","Unknown","Female","1040","930","29640","28200"
"In post","2021","Yorkshire and The Humber","Unknown","Male","300","280","30280","30210"
"In post","2022","East Midlands (England)","AA/AO","Female","4490","3920","21880","21260"
"In post","2022","East Midlands (England)","AA/AO","Male","3480","3340","23510","21300"
"In post","2022","East Midlands (England)","EO","Female","3600","3220","27140","27570"
"In post","2022","East Midlands (England)","EO","Male","2700","2600","27710","27570"
"In post","2022","East Midlands (England)","G6/G7","Female","860","820","57220","55210"
"In post","2022","East Midlands (England)","G6/G7","Male","840","810","59050","55210"
"In post","2022","East Midlands (England)","SCS","Female","50","50","89060","84560"
"In post","2022","East Midlands (England)","SCS","Male","40","40","[c]","[c]"
"In post","2022","East Midlands (England)","SEO/HEO","Female","2860","2680","36180","33840"
"In post","2022","East Midlands (England)","SEO/HEO","Male","2540","2470","36730","34290"
"In post","2022","East Midlands (England)","Unknown","Female","1200","1080","29240","28200"
"In post","2022","East Midlands (England)","Unknown","Male","360","340","30830","28200"
"In post","2022","East of England","AA/AO","Female","3920","3460","22880","21680"
"In post","2022","East of England","AA/AO","Male","3500","3370","25250","23140"
"In post","2022","East of England","EO","Female","3940","3520","28090","27570"
"In post","2022","East of England","EO","Male","3020","2890","28660","27570"
"In post","2022","East of England","G6/G7","Female","720","680","58660","55210"
"In post","2022","East of England","G6/G7","Male","750","730","59750","57390"
"In post","2022","East of England","SCS","Female","60","50","97400","95620"
"In post","2022","East of England","SCS","Male","80","70","95840","93000"
"In post","2022","East of England","SEO/HEO","Female","2540","2380","36710","35630"
"In post","2022","East of England","SEO/HEO","Male","2680","2600","37360","36260"
"In post","2022","East of England","Unknown","Female","1300","1180","28630","26310"
"In post","2022","East of England","Unknown","Male","440","420","29360","26580"
"In post","2022","London","AA/AO","Female","6730","6020","25380","25110"
"In post","2022","London","AA/AO","Male","5140","4980","26960","25330"
"In post","2022","London","EO","Female","12560","11740","30090","30370"
"In post","2022","London","EO","Male","8560","8350","30350","30600"
"In post","2022","London","G6/G7","Female","14960","14230","60060","57910"
"In post","2022","London","G6/G7","Male","14370","14160","61340","59730"
"In post","2022","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","SCS","Female","2180","2060","88230","80000"
"In post","2022","London","SCS","Male","2310","2270","93910","84990"
"In post","2022","London","SEO/HEO","Female","19010","18430","38400","37930"
"In post","2022","London","SEO/HEO","Male","16570","16380","39130","38560"
"In post","2022","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","Unknown","Female","1730","1640","34240","33700"
"In post","2022","London","Unknown","Male","700","680","35710","33950"
"In post","2022","North East (England)","AA/AO","Female","8110","6610","21690","21260"
"In post","2022","North East (England)","AA/AO","Male","5100","4780","22610","21260"
"In post","2022","North East (England)","EO","Female","5090","4490","27020","27570"
"In post","2022","North East (England)","EO","Male","3350","3200","27280","27370"
"In post","2022","North East (England)","G6/G7","Female","1210","1160","55860","55210"
"In post","2022","North East (England)","G6/G7","Male","1500","1480","56830","55210"
"In post","2022","North East (England)","SCS","Female","70","70","83870","76190"
"In post","2022","North East (England)","SCS","Male","60","60","90190","84380"
"In post","2022","North East (England)","SEO/HEO","Female","3940","3700","35260","33370"
"In post","2022","North East (England)","SEO/HEO","Male","3500","3400","35990","33840"
"In post","2022","North East (England)","Unknown","Female","910","860","29180","28200"
"In post","2022","North East (England)","Unknown","Male","270","260","31200","28400"
"In post","2022","North West (England)","AA/AO","Female","12440","10630","21570","21260"
"In post","2022","North West (England)","AA/AO","Male","8500","8110","22520","21260"
"In post","2022","North West (England)","EO","Female","11160","10030","26990","27570"
"In post","2022","North West (England)","EO","Male","7920","7650","27320","27570"
"In post","2022","North West (England)","G6/G7","Female","2770","2640","56320","55210"
"In post","2022","North West (England)","G6/G7","Male","2820","2760","58020","55210"
"In post","2022","North West (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","SCS","Female","140","140","85170","77400"
"In post","2022","North West (England)","SCS","Male","150","150","90280","83130"
"In post","2022","North West (England)","SEO/HEO","Female","8030","7570","35380","33430"
"In post","2022","North West (England)","SEO/HEO","Male","7120","6960","36180","34290"
"In post","2022","North West (England)","Unknown","Female","2390","2230","29280","27140"
"In post","2022","North West (England)","Unknown","Male","880","820","32210","29390"
"In post","2022","Northern Ireland","AA/AO","Female","670","590","21530","21250"
"In post","2022","Northern Ireland","AA/AO","Male","970","940","21150","21250"
"In post","2022","Northern Ireland","EO","Female","570","520","26950","26820"
"In post","2022","Northern Ireland","EO","Male","530","520","26910","26820"
"In post","2022","Northern Ireland","G6/G7","Female","140","130","57620","55210"
"In post","2022","Northern Ireland","G6/G7","Male","160","160","57810","55210"
"In post","2022","Northern Ireland","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","SEO/HEO","Female","590","570","35480","33370"
"In post","2022","Northern Ireland","SEO/HEO","Male","600","590","36040","33370"
"In post","2022","Northern Ireland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","AA/AO","Female","40","40","[c]","[c]"
"In post","2022","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","EO","Female","140","130","27770","27070"
"In post","2022","Overseas","EO","Male","150","150","27640","27170"
"In post","2022","Overseas","G6/G7","Female","560","550","59300","57640"
"In post","2022","Overseas","G6/G7","Male","760","760","59850","57450"
"In post","2022","Overseas","SCS","Female","120","120","85600","76030"
"In post","2022","Overseas","SCS","Male","170","170","85280","76930"
"In post","2022","Overseas","SEO/HEO","Female","570","570","38090","35390"
"In post","2022","Overseas","SEO/HEO","Male","950","950","39950","36450"
"In post","2022","Overseas","Unknown","Female","80","80","[c]","[c]"
"In post","2022","Overseas","Unknown","Male","120","120","[c]","[c]"
"In post","2022","Scotland","AA/AO","Female","9420","8210","22210","21260"
"In post","2022","Scotland","AA/AO","Male","7460","7160","23560","21640"
"In post","2022","Scotland","EO","Female","7920","7190","28150","27570"
"In post","2022","Scotland","EO","Male","6450","6160","29390","27570"
"In post","2022","Scotland","G6/G7","Female","2900","2750","61190","62170"
"In post","2022","Scotland","G6/G7","Male","2510","2460","62040","62170"
"In post","2022","Scotland","SCS","Female","180","180","87330","83230"
"In post","2022","Scotland","SCS","Male","200","200","88390","83230"
"In post","2022","Scotland","SEO/HEO","Female","7230","6840","37940","36130"
"In post","2022","Scotland","SEO/HEO","Male","6650","6460","39220","37710"
"In post","2022","Scotland","Unknown","Female","30","30","[c]","[c]"
"In post","2022","Scotland","Unknown","Male","70","60","44150","44000"
"In post","2022","South East (England)","AA/AO","Female","6890","6000","23150","21680"
"In post","2022","South East (England)","AA/AO","Male","6640","6300","25830","24250"
"In post","2022","South East (England)","EO","Female","6700","6020","27880","27570"
"In post","2022","South East (England)","EO","Male","5750","5510","28590","27570"
"In post","2022","South East (England)","G6/G7","Female","1580","1480","58050","54740"
"In post","2022","South East (England)","G6/G7","Male","2170","2100","58310","56020"
"In post","2022","South East (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","SCS","Female","100","100","93060","92090"
"In post","2022","South East (England)","SCS","Male","100","100","96630","93860"
"In post","2022","South East (England)","SEO/HEO","Female","5130","4840","36450","35180"
"In post","2022","South East (England)","SEO/HEO","Male","5290","5140","37720","37260"
"In post","2022","South East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Unknown","Female","1710","1560","29750","28200"
"In post","2022","South East (England)","Unknown","Male","560","530","30270","27720"
"In post","2022","South West (England)","AA/AO","Female","4900","4270","21760","21260"
"In post","2022","South West (England)","AA/AO","Male","4330","4180","23430","21300"
"In post","2022","South West (England)","EO","Female","5490","4870","26580","27130"
"In post","2022","South West (England)","EO","Male","4670","4510","27010","27130"
"In post","2022","South West (England)","G6/G7","Female","2600","2440","55380","53810"
"In post","2022","South West (England)","G6/G7","Male","4050","3950","56670","55000"
"In post","2022","South West (England)","SCS","Female","120","120","93370","88620"
"In post","2022","South West (England)","SCS","Male","220","220","99640","91090"
"In post","2022","South West (England)","SEO/HEO","Female","7590","7060","35490","34290"
"In post","2022","South West (England)","SEO/HEO","Male","9530","9310","37060","37260"
"In post","2022","South West (England)","Unknown","Female","1640","1490","31700","28900"
"In post","2022","South West (England)","Unknown","Male","1570","1530","39180","36810"
"In post","2022","Unknown","AA/AO","Female","140","120","22580","21300"
"In post","2022","Unknown","AA/AO","Male","60","60","21980","21260"
"In post","2022","Unknown","EO","Female","270","240","28560","27570"
"In post","2022","Unknown","EO","Male","170","170","27890","27570"
"In post","2022","Unknown","G6/G7","Female","90","80","56860","54700"
"In post","2022","Unknown","G6/G7","Male","80","80","58030","54700"
"In post","2022","Unknown","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Female","320","310","34030","32000"
"In post","2022","Unknown","SEO/HEO","Male","280","270","35070","33300"
"In post","2022","Unknown","Unknown","Female","210","200","32530","30780"
"In post","2022","Unknown","Unknown","Male","1680","1670","37530","33600"
"In post","2022","Wales","AA/AO","Female","7690","6480","21430","21300"
"In post","2022","Wales","AA/AO","Male","4910","4690","22060","21380"
"In post","2022","Wales","EO","Female","5630","5080","27050","27570"
"In post","2022","Wales","EO","Male","4100","3970","27520","27460"
"In post","2022","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Wales","G6/G7","Female","1750","1650","58250","57190"
"In post","2022","Wales","G6/G7","Male","1930","1890","59680","60150"
"In post","2022","Wales","G6/G7","Unknown","[c]","[c]","[c]","[c]"
