"Status","Year","Age","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","EO","Analysis","300","290","26620","26410"
"In post","2021","20-29","EO","Commercial","220","220","26010","26440"
"In post","2021","20-29","EO","Communications","1130","1120","25850","25560"
"In post","2021","20-29","EO","Counter Fraud","670","660","26610","25560"
"In post","2021","20-29","EO","Debt","140","130","25140","25560"
"In post","2021","20-29","EO","Digital, Data & Technology","690","680","26670","26130"
"In post","2021","20-29","EO","Finance","370","370","25350","25560"
"In post","2021","20-29","EO","Grants Management","60","60","24800","24920"
"In post","2021","20-29","EO","Human Resources","420","410","25980","26410"
"In post","2021","20-29","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Legal","540","530","27430","26970"
"In post","2021","20-29","EO","No function","5940","5880","27140","26510"
"In post","2021","20-29","EO","Project Delivery","1370","1350","23890","25310"
"In post","2021","20-29","EO","Property","300","290","26160","25860"
"In post","2021","20-29","EO","Security","160","160","26900","26670"
"In post","2021","20-29","EO","Unknown","9300","9180","27810","27570"
"In post","2021","20-29","G6/G7","Analysis","370","370","54180","54110"
"In post","2021","20-29","G6/G7","Commercial","80","80","54940","54700"
"In post","2021","20-29","G6/G7","Communications","70","70","54220","54620"
"In post","2021","20-29","G6/G7","Counter Fraud","60","60","54120","52580"
"In post","2021","20-29","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Digital, Data & Technology","210","210","54170","54700"
"In post","2021","20-29","G6/G7","Finance","130","130","55120","54420"
"In post","2021","20-29","G6/G7","Human Resources","130","130","54960","54070"
"In post","2021","20-29","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Legal","200","200","51950","51250"
"In post","2021","20-29","G6/G7","No function","2330","2320","54510","53380"
"In post","2021","20-29","G6/G7","Project Delivery","290","280","52800","53380"
"In post","2021","20-29","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Unknown","460","460","56400","57430"
"In post","2021","20-29","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Analysis","1690","1690","34670","33930"
"In post","2021","20-29","SEO/HEO","Commercial","440","440","34910","34550"
"In post","2021","20-29","SEO/HEO","Communications","770","760","35080","33210"
"In post","2021","20-29","SEO/HEO","Counter Fraud","300","300","33580","31810"
"In post","2021","20-29","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Digital, Data & Technology","1040","1030","35100","33930"
"In post","2021","20-29","SEO/HEO","Finance","570","570","35490","33930"
"In post","2021","20-29","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Human Resources","570","570","33230","32120"
"In post","2021","20-29","SEO/HEO","Internal Audit","40","40","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Legal","510","510","35020","35230"
"In post","2021","20-29","SEO/HEO","No function","10050","9990","33540","32790"
"In post","2021","20-29","SEO/HEO","Project Delivery","2120","2110","33480","33000"
"In post","2021","20-29","SEO/HEO","Property","290","290","34210","33300"
"In post","2021","20-29","SEO/HEO","Security","190","190","35400","34550"
"In post","2021","20-29","SEO/HEO","Unknown","3390","3370","35790","35070"
"In post","2021","20-29","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Commercial","60","60","28200","26670"
"In post","2021","20-29","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Human Resources","40","30","[c]","[c]"
"In post","2021","20-29","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","No function","2120","2070","25280","22920"
"In post","2021","20-29","Unknown","Project Delivery","290","290","29410","28630"
"In post","2021","20-29","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","410","410","29070","28980"
"In post","2021","30-39","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Commercial","60","60","21530","21020"
"In post","2021","30-39","AA/AO","Communications","90","70","20910","20660"
"In post","2021","30-39","AA/AO","Counter Fraud","90","80","20730","20140"
"In post","2021","30-39","AA/AO","Debt","670","610","20390","20140"
"In post","2021","30-39","AA/AO","Digital, Data & Technology","90","80","21510","21440"
"In post","2021","30-39","AA/AO","Finance","170","150","21040","20700"
"In post","2021","30-39","AA/AO","Grants Management","190","170","21010","21050"
"In post","2021","30-39","AA/AO","Human Resources","340","300","21130","20920"
"In post","2021","30-39","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Legal","400","350","22140","22820"
"In post","2021","30-39","AA/AO","No function","14680","13510","23350","21590"
"In post","2021","30-39","AA/AO","Project Delivery","70","60","21330","21050"
"In post","2021","30-39","AA/AO","Property","340","310","22240","21100"
"In post","2021","30-39","AA/AO","Security","970","960","28580","26610"
"In post","2021","30-39","AA/AO","Unknown","7670","6760","21470","21010"
"In post","2021","30-39","EO","Analysis","130","120","25490","24920"
"In post","2021","30-39","EO","Commercial","160","150","26430","26670"
"In post","2021","30-39","EO","Communications","870","840","25570","25560"
"In post","2021","30-39","EO","Counter Fraud","870","840","26310","25560"
"In post","2021","30-39","EO","Debt","140","140","25280","25560"
"In post","2021","30-39","EO","Digital, Data & Technology","490","470","27160","26590"
"In post","2021","30-39","EO","Finance","300","280","26170","26320"
"In post","2021","30-39","EO","Grants Management","120","110","25070","25190"
"In post","2021","30-39","EO","Human Resources","410","390","26240","26350"
"In post","2021","30-39","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Legal","480","440","27720","27440"
"In post","2021","30-39","EO","No function","6930","6640","27970","26780"
"In post","2021","30-39","EO","Project Delivery","750","710","24780","25560"
"In post","2021","30-39","EO","Property","330","310","26930","26220"
"In post","2021","30-39","EO","Security","210","210","33510","29980"
"In post","2021","30-39","EO","Unknown","13480","12640","27640","27570"
"In post","2021","30-39","G6/G7","Analysis","890","850","57730","55840"
"In post","2021","30-39","G6/G7","Commercial","340","340","58520","54700"
"In post","2021","30-39","G6/G7","Communications","380","370","57290","55140"
"In post","2021","30-39","G6/G7","Counter Fraud","240","240","55120","52580"
"In post","2021","30-39","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Digital, Data & Technology","1010","990","56730","54700"
"In post","2021","30-39","G6/G7","Finance","560","550","57990","56510"
"In post","2021","30-39","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Human Resources","430","410","57140","54990"
"In post","2021","30-39","G6/G7","Internal Audit","40","40","[c]","[c]"
"In post","2021","30-39","G6/G7","Legal","1660","1580","56510","52580"
"In post","2021","30-39","G6/G7","No function","6140","5990","56690","54560"
"In post","2021","30-39","G6/G7","Project Delivery","1800","1760","55590","54540"
"In post","2021","30-39","G6/G7","Property","190","190","55320","54540"
"In post","2021","30-39","G6/G7","Security","80","80","59140","57240"
"In post","2021","30-39","G6/G7","Unknown","2750","2670","59120","57460"
"In post","2021","30-39","SCS","Analysis","30","30","[c]","[c]"
"In post","2021","30-39","SCS","Commercial","110","110","74700","68000"
"In post","2021","30-39","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","30-39","SCS","Finance","40","40","[c]","[c]"
"In post","2021","30-39","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Legal","40","40","[c]","[c]"
"In post","2021","30-39","SCS","No function","610","590","78270","74100"
"In post","2021","30-39","SCS","Project Delivery","90","80","81730","76980"
"In post","2021","30-39","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Unknown","150","140","80830","77050"
"In post","2021","30-39","SEO/HEO","Analysis","990","950","36400","36790"
"In post","2021","30-39","SEO/HEO","Commercial","790","770","37460","37240"
"In post","2021","30-39","SEO/HEO","Communications","1090","1070","35930","33580"
"In post","2021","30-39","SEO/HEO","Counter Fraud","860","840","33840","31810"
"In post","2021","30-39","SEO/HEO","Debt","40","40","[c]","[c]"
"In post","2021","30-39","SEO/HEO","Digital, Data & Technology","1830","1790","36710","36520"
"In post","2021","30-39","SEO/HEO","Finance","840","810","36480","36520"
"In post","2021","30-39","SEO/HEO","Grants Management","50","50","31610","30040"
"In post","2021","30-39","SEO/HEO","Human Resources","960","920","35550","34720"
"In post","2021","30-39","SEO/HEO","Internal Audit","80","80","37800","38630"
"In post","2021","30-39","SEO/HEO","Legal","810","770","37450","36630"
"In post","2021","30-39","SEO/HEO","No function","10820","10500","35920","35080"
"In post","2021","30-39","SEO/HEO","Project Delivery","3270","3180","35920","36160"
"In post","2021","30-39","SEO/HEO","Property","660","650","36300","35900"
"In post","2021","30-39","SEO/HEO","Security","320","310","37780","36670"
"In post","2021","30-39","SEO/HEO","Unknown","6930","6700","36770","35310"
"In post","2021","30-39","Unknown","Commercial","60","60","38410","38260"
"In post","2021","30-39","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Human Resources","50","50","32830","30680"
"In post","2021","30-39","Unknown","No function","2850","2620","29150","30210"
"In post","2021","30-39","Unknown","Project Delivery","330","320","40860","39910"
"In post","2021","30-39","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","540","540","37740","34460"
"In post","2021","40-49","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Commercial","110","100","22210","21580"
"In post","2021","40-49","AA/AO","Communications","110","100","21250","21130"
"In post","2021","40-49","AA/AO","Counter Fraud","180","160","21360","21440"
"In post","2021","40-49","AA/AO","Debt","560","500","20960","20140"
"In post","2021","40-49","AA/AO","Digital, Data & Technology","80","70","21820","21580"
"In post","2021","40-49","AA/AO","Finance","270","230","21240","21180"
"In post","2021","40-49","AA/AO","Grants Management","280","240","21050","21050"
"In post","2021","40-49","AA/AO","Human Resources","310","270","21420","21130"
"In post","2021","40-49","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Legal","500","440","22430","22820"
"In post","2021","40-49","AA/AO","No function","13150","11910","23270","21500"
"In post","2021","40-49","AA/AO","Project Delivery","100","80","21760","21440"
"In post","2021","40-49","AA/AO","Property","430","400","21840","21100"
"In post","2021","40-49","AA/AO","Security","1040","1030","28430","22650"
"In post","2021","40-49","AA/AO","Unknown","10120","8780","21370","21010"
"In post","2021","40-49","EO","Analysis","120","110","26270","25560"
"In post","2021","40-49","EO","Commercial","170","160","27000","26670"
"In post","2021","40-49","EO","Communications","530","500","25850","25560"
"In post","2021","40-49","EO","Counter Fraud","710","660","26770","25560"
"In post","2021","40-49","EO","Debt","220","200","26530","25560"
"In post","2021","40-49","EO","Digital, Data & Technology","450","430","27660","26750"
"In post","2021","40-49","EO","Finance","370","350","26690","26670"
"In post","2021","40-49","EO","Grants Management","170","150","25610","25600"
"In post","2021","40-49","EO","Human Resources","370","340","26910","26570"
"In post","2021","40-49","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Legal","530","480","28260","28430"
"In post","2021","40-49","EO","No function","6740","6380","28220","27130"
"In post","2021","40-49","EO","Project Delivery","730","690","25580","26350"
"In post","2021","40-49","EO","Property","410","390","27580","26670"
"In post","2021","40-49","EO","Security","230","230","33700","30550"
"In post","2021","40-49","EO","Unknown","16640","15310","27820","27570"
"In post","2021","40-49","G6/G7","Analysis","670","630","59990","57780"
"In post","2021","40-49","G6/G7","Commercial","590","580","62220","59370"
"In post","2021","40-49","G6/G7","Communications","380","360","58410","56660"
"In post","2021","40-49","G6/G7","Counter Fraud","260","250","57300","54410"
"In post","2021","40-49","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","40-49","G6/G7","Digital, Data & Technology","1290","1260","57890","56340"
"In post","2021","40-49","G6/G7","Finance","680","670","58650","57540"
"In post","2021","40-49","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","G6/G7","Human Resources","620","600","57170","55550"
"In post","2021","40-49","G6/G7","Internal Audit","50","50","58410","57010"
"In post","2021","40-49","G6/G7","Legal","1980","1800","59640","58590"
"In post","2021","40-49","G6/G7","No function","5870","5650","58500","56350"
"In post","2021","40-49","G6/G7","Project Delivery","2350","2290","57610","56240"
"In post","2021","40-49","G6/G7","Property","320","320","56590","54990"
"In post","2021","40-49","G6/G7","Security","110","110","60320","58060"
"In post","2021","40-49","G6/G7","Unknown","3950","3790","61050","60740"
"In post","2021","40-49","SCS","Analysis","70","70","84370","78830"
"In post","2021","40-49","SCS","Commercial","220","220","93110","74000"
"In post","2021","40-49","SCS","Communications","70","70","86170","80790"
"In post","2021","40-49","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SCS","Debt","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SCS","Digital, Data & Technology","120","120","91690","84450"
"In post","2021","40-49","SCS","Finance","120","110","88720","81780"
"In post","2021","40-49","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SCS","Human Resources","100","90","88360","81330"
"In post","2021","40-49","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SCS","Legal","180","170","85320","80620"
"In post","2021","40-49","SCS","No function","1160","1110","87850","80000"
"In post","2021","40-49","SCS","Project Delivery","260","250","88490","81000"
"In post","2021","40-49","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","SCS","Unknown","550","530","87880","81760"
"In post","2021","40-49","SEO/HEO","Analysis","550","510","37250","37320"
"In post","2021","40-49","SEO/HEO","Commercial","730","700","38350","38200"
"In post","2021","40-49","SEO/HEO","Communications","760","730","36170","35900"
"In post","2021","40-49","SEO/HEO","Counter Fraud","1110","1080","34950","32390"
"In post","2021","40-49","SEO/HEO","Debt","60","60","33340","31810"
"In post","2021","40-49","SEO/HEO","Digital, Data & Technology","1880","1830","37850","38450"
"In post","2021","40-49","SEO/HEO","Finance","1030","990","37460","37100"
"In post","2021","40-49","SEO/HEO","Grants Management","120","120","32610","31040"
"In post","2021","40-49","SEO/HEO","Human Resources","990","950","37050","36800"
"In post","2021","40-49","SEO/HEO","Internal Audit","100","100","40950","41300"
"In post","2021","40-49","SEO/HEO","Legal","830","760","39120","38300"
"In post","2021","40-49","SEO/HEO","No function","9770","9370","37840","36960"
"In post","2021","40-49","SEO/HEO","Project Delivery","3040","2940","36830","37530"
"In post","2021","40-49","SEO/HEO","Property","850","830","36790","36150"
"In post","2021","40-49","SEO/HEO","Security","330","320","38820","36480"
"In post","2021","40-49","SEO/HEO","Unknown","8520","8190","37210","36300"
"In post","2021","40-49","Unknown","Commercial","60","60","45680","41930"
"In post","2021","40-49","Unknown","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","40-49","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Human Resources","60","60","41580","39860"
"In post","2021","40-49","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","No function","2960","2710","32010","32690"
"In post","2021","40-49","Unknown","Project Delivery","280","270","47900","45490"
"In post","2021","40-49","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","560","550","39620","35380"
"In post","2021","50-59","AA/AO","Analysis","40","30","[c]","[c]"
"In post","2021","50-59","AA/AO","Commercial","170","160","22780","21890"
"In post","2021","50-59","AA/AO","Communications","140","130","21090","21370"
"In post","2021","50-59","AA/AO","Counter Fraud","340","300","21820","21440"
"In post","2021","50-59","AA/AO","Debt","830","720","21580","21440"
"In post","2021","50-59","AA/AO","Digital, Data & Technology","110","100","22310","21580"
"In post","2021","50-59","AA/AO","Finance","550","460","21200","21440"
"In post","2021","50-59","AA/AO","Grants Management","210","190","21050","21050"
"In post","2021","50-59","AA/AO","Human Resources","470","430","21470","21440"
"In post","2021","50-59","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","50-59","AA/AO","Legal","730","650","22170","21950"
"In post","2021","50-59","AA/AO","No function","18010","16120","23350","21440"
"In post","2021","50-59","AA/AO","Project Delivery","200","190","22000","21490"
"In post","2021","50-59","AA/AO","Property","760","720","21430","21100"
"In post","2021","50-59","AA/AO","Security","1920","1900","26890","20920"
"In post","2021","50-59","AA/AO","Unknown","16010","14240","21300","21010"
"In post","2021","50-59","EO","Analysis","120","110","27090","26780"
"In post","2021","50-59","EO","Commercial","220","210","27560","26930"
"In post","2021","50-59","EO","Communications","480","460","25990","25560"
"In post","2021","50-59","EO","Counter Fraud","870","820","27700","28130"
"In post","2021","50-59","EO","Debt","320","290","27840","28130"
"In post","2021","50-59","EO","Digital, Data & Technology","470","450","28450","27300"
"In post","2021","50-59","EO","Finance","470","440","27190","26710"
"In post","2021","50-59","EO","Grants Management","130","120","25930","26320"
"In post","2021","50-59","EO","Human Resources","450","420","27160","26700"
"In post","2021","50-59","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","50-59","EO","Legal","700","650","28550","28430"
"In post","2021","50-59","EO","No function","9990","9430","28860","27460"
"In post","2021","50-59","EO","Project Delivery","1150","1100","25840","26670"
"In post","2021","50-59","EO","Property","640","620","27980","26670"
"In post","2021","50-59","EO","Security","440","430","34640","32270"
"In post","2021","50-59","EO","Unknown","22720","20780","28030","27570"
"In post","2021","50-59","G6/G7","Analysis","400","380","60740","58130"
"In post","2021","50-59","G6/G7","Commercial","610","610","62600","60110"
"In post","2021","50-59","G6/G7","Communications","200","190","59710","59160"
"In post","2021","50-59","G6/G7","Counter Fraud","420","410","58470","58130"
"In post","2021","50-59","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","50-59","G6/G7","Digital, Data & Technology","990","970","57870","56100"
"In post","2021","50-59","G6/G7","Finance","600","600","59970","59000"
"In post","2021","50-59","G6/G7","Grants Management","30","30","[c]","[c]"
"In post","2021","50-59","G6/G7","Human Resources","640","630","59070","58130"
"In post","2021","50-59","G6/G7","Internal Audit","100","90","60670","59730"
"In post","2021","50-59","G6/G7","Legal","1730","1610","62020","61750"
"In post","2021","50-59","G6/G7","No function","5460","5340","60550","58810"
"In post","2021","50-59","G6/G7","Project Delivery","2480","2450","58490","56730"
"In post","2021","50-59","G6/G7","Property","590","580","58330","56360"
"In post","2021","50-59","G6/G7","Security","130","130","60810","57400"
"In post","2021","50-59","G6/G7","Unknown","4030","3920","61640","60830"
"In post","2021","50-59","SCS","Analysis","50","40","[c]","[c]"
"In post","2021","50-59","SCS","Commercial","210","210","104650","94480"
"In post","2021","50-59","SCS","Communications","40","40","[c]","[c]"
"In post","2021","50-59","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","50-59","SCS","Digital, Data & Technology","80","80","91080","85650"
"In post","2021","50-59","SCS","Finance","100","100","94960","89140"
"In post","2021","50-59","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","50-59","SCS","Human Resources","90","90","90650","84850"
"In post","2021","50-59","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","50-59","SCS","Legal","210","200","92410","84710"
"In post","2021","50-59","SCS","No function","940","910","97560","93000"
"In post","2021","50-59","SCS","Project Delivery","300","290","95020","86660"
"In post","2021","50-59","SCS","Property","50","50","93510","82150"
"In post","2021","50-59","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","50-59","SCS","Unknown","520","510","93040","84710"
"In post","2021","50-59","SEO/HEO","Analysis","380","360","37230","37280"
"In post","2021","50-59","SEO/HEO","Commercial","880","870","40000","40000"
"In post","2021","50-59","SEO/HEO","Communications","570","550","35730","34320"
"In post","2021","50-59","SEO/HEO","Counter Fraud","1550","1500","36050","36160"
"In post","2021","50-59","SEO/HEO","Debt","90","90","35370","35000"
"In post","2021","50-59","SEO/HEO","Digital, Data & Technology","1660","1620","38190","38450"
"In post","2021","50-59","SEO/HEO","Finance","1090","1060","38120","38200"
"In post","2021","50-59","SEO/HEO","Grants Management","120","110","33010","31780"
"In post","2021","50-59","SEO/HEO","Human Resources","1080","1040","37740","37000"
"In post","2021","50-59","SEO/HEO","Internal Audit","180","180","42130","41400"
"In post","2021","50-59","SEO/HEO","Legal","960","900","39940","38760"
"In post","2021","50-59","SEO/HEO","No function","11570","11110","38510","37650"
"In post","2021","50-59","SEO/HEO","Project Delivery","4020","3920","37330","37860"
"In post","2021","50-59","SEO/HEO","Property","1290","1250","38240","37380"
"In post","2021","50-59","SEO/HEO","Security","610","600","41850","38160"
"In post","2021","50-59","SEO/HEO","Unknown","10230","9910","37190","35530"
"In post","2021","50-59","Unknown","Commercial","50","50","51860","48230"
"In post","2021","50-59","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Human Resources","70","70","45090","39280"
"In post","2021","50-59","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","No function","2810","2630","31490","30210"
"In post","2021","50-59","Unknown","Project Delivery","320","320","50640","47170"
"In post","2021","50-59","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Unknown","700","700","42140","37310"
"In post","2021","60-64","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","60-64","AA/AO","Commercial","50","40","[c]","[c]"
"In post","2021","60-64","AA/AO","Communications","50","40","21530","21440"
"In post","2021","60-64","AA/AO","Counter Fraud","110","90","21770","21440"
"In post","2021","60-64","AA/AO","Debt","310","240","21810","21440"
"In post","2021","60-64","AA/AO","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","60-64","AA/AO","Finance","190","140","21080","21130"
"In post","2021","60-64","AA/AO","Grants Management","80","70","21050","21050"
"In post","2021","60-64","AA/AO","Human Resources","160","130","21430","21440"
"In post","2021","60-64","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","60-64","AA/AO","Legal","240","200","22140","21950"
"In post","2021","60-64","AA/AO","No function","6410","5030","22290","21440"
"In post","2021","60-64","AA/AO","Project Delivery","60","50","22010","21490"
"In post","2021","60-64","AA/AO","Property","330","300","21150","20920"
"In post","2021","60-64","AA/AO","Security","550","500","24090","20060"
"In post","2021","60-64","AA/AO","Unknown","5940","4920","21350","21010"
