"Status","Year","Region_ITL1","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Unknown","Thurrock","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","White","Bedford","570","530","30900","29530"
"In post","2021","East of England","White","Breckland and South Norfolk","470","450","29010","26910"
"In post","2021","East of England","White","Cambridgeshire CC","2720","2570","34010","31610"
"In post","2021","East of England","White","Central Bedfordshire","350","340","30310","27570"
"In post","2021","East of England","White","Essex Haven Gateway","930","870","31960","29290"
"In post","2021","East of England","White","Essex Thames Gateway","690","610","27990","29290"
"In post","2021","East of England","White","Heart of Essex","820","770","32380","29340"
"In post","2021","East of England","White","Hertfordshire","1740","1630","35510","31810"
"In post","2021","East of England","White","Luton","290","250","26830","27260"
"In post","2021","East of England","White","North and West Norfolk","820","760","27910","27380"
"In post","2021","East of England","White","Norwich and East Norfolk","1490","1350","29100","27570"
"In post","2021","East of England","White","Peterborough","1160","1060","29030","27130"
"In post","2021","East of England","White","Southend-on-Sea","950","850","32220","29290"
"In post","2021","East of England","White","Suffolk","3400","3180","29000","27570"
"In post","2021","East of England","White","Thurrock","230","220","26100","25310"
"In post","2021","East of England","White","West Essex","500","440","29350","27370"
"In post","2021","London","Asian","Barking & Dagenham and Havering","140","130","30720","31060"
"In post","2021","London","Asian","Barnet","400","380","37740","32090"
"In post","2021","London","Asian","Bexley and Greenwich","110","100","30500","31060"
"In post","2021","London","Asian","Brent","140","130","29920","31060"
"In post","2021","London","Asian","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","London","Asian","Camden and City of London","580","540","33280","29570"
"In post","2021","London","Asian","Croydon","1610","1500","34290","29570"
"In post","2021","London","Asian","Ealing","190","180","31380","31060"
"In post","2021","London","Asian","Enfield","70","60","30170","31060"
"In post","2021","London","Asian","Hackney and Newham","690","620","31410","31060"
"In post","2021","London","Asian","Haringey and Islington","160","140","29000","31060"
"In post","2021","London","Asian","Harrow and Hillingdon","1240","1130","29850","29080"
"In post","2021","London","Asian","Hounslow and Richmond upon Thames","660","600","29820","29080"
"In post","2021","London","Asian","Kensington & Chelsea and Hammersmith & Fulham","110","110","33010","31060"
"In post","2021","London","Asian","Lambeth","380","360","41070","34950"
"In post","2021","London","Asian","Lewisham and Southwark","150","140","31980","30890"
"In post","2021","London","Asian","Merton, Kingston upon Thames and Sutton","80","70","30150","31060"
"In post","2021","London","Asian","Redbridge and Waltham Forest","390","340","28870","30780"
"In post","2021","London","Asian","Tower Hamlets","1140","1090","40940","35940"
"In post","2021","London","Asian","Wandsworth","90","80","30230","31060"
"In post","2021","London","Asian","Westminster","5220","5060","42570","38160"
"In post","2021","London","Black","Barking & Dagenham and Havering","100","90","31020","31060"
"In post","2021","London","Black","Barnet","210","200","34320","31060"
"In post","2021","London","Black","Bexley and Greenwich","260","260","31000","31060"
"In post","2021","London","Black","Brent","130","130","29690","31060"
"In post","2021","London","Black","Bromley","100","100","29760","31060"
"In post","2021","London","Black","Camden and City of London","460","440","30330","28780"
"In post","2021","London","Black","Croydon","1390","1320","33390","29630"
"In post","2021","London","Black","Ealing","90","90","31230","31060"
"In post","2021","London","Black","Enfield","100","100","30350","31060"
"In post","2021","London","Black","Hackney and Newham","570","540","30180","31060"
"In post","2021","London","Black","Haringey and Islington","390","370","30650","31060"
"In post","2021","London","Black","Harrow and Hillingdon","270","250","30100","29170"
