"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","LGBO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","LGBO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Prison and Probation Service","30","30","[c]","[c]"
"In post","2021","16-19","Unknown","HM Revenue and Customs (excl. agencies)","150","140","20440","20140"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Royal Fleet Auxiliary","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","50","50","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Animal and Plant Health Agency","310","310","25180","24920"
"In post","2021","20-29","Heterosexual / straight","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Cabinet Office (excl. agencies)","1070","1070","36450","34550"
"In post","2021","20-29","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Companies House","80","70","26640","24500"
"In post","2021","20-29","Heterosexual / straight","Competition and Markets Authority","120","120","39230","34150"
"In post","2021","20-29","Heterosexual / straight","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Crown Commercial Service","80","80","28930","27770"
"In post","2021","20-29","Heterosexual / straight","Crown Office and Procurator Fiscal Service","350","340","26240","22220"
"In post","2021","20-29","Heterosexual / straight","Crown Prosecution Service","690","680","27860","25480"
"In post","2021","20-29","Heterosexual / straight","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Defence Equipment and Support","1580","1570","26690","26070"
"In post","2021","20-29","Heterosexual / straight","Defence Science and Technology Laboratory","640","640","29180","28650"
"In post","2021","20-29","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","1190","1190","40880","39500"
"In post","2021","20-29","Heterosexual / straight","Department for Digital, Culture, Media and Sport","460","460","41110","35180"
"In post","2021","20-29","Heterosexual / straight","Department for Education (excl. agencies)","810","810","36250","33300"
"In post","2021","20-29","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","740","730","34510","32560"
"In post","2021","20-29","Heterosexual / straight","Department for International Trade","510","500","36780","32120"
"In post","2021","20-29","Heterosexual / straight","Department for Transport (excl. agencies)","550","540","38870","35060"
"In post","2021","20-29","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","7260","7140","26620","27570"
"In post","2021","20-29","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","330","330","37840","32790"
"In post","2021","20-29","Heterosexual / straight","Disclosure Scotland","50","40","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Driver and Vehicle Licensing Agency","520","500","23020","21590"
"In post","2021","20-29","Heterosexual / straight","Driver and Vehicle Standards Agency","130","130","26810","26350"
"In post","2021","20-29","Heterosexual / straight","Education and Skills Funding Agency","210","210","32120","29730"
"In post","2021","20-29","Heterosexual / straight","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","FCDO Services","110","110","27680","26590"
"In post","2021","20-29","Heterosexual / straight","Food Standards Agency","100","100","32970","32350"
"In post","2021","20-29","Heterosexual / straight","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","870","860","34900","34220"
"In post","2021","20-29","Heterosexual / straight","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Government Actuary's Department","40","40","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Government Legal Department","260","250","36570","33460"
"In post","2021","20-29","Heterosexual / straight","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Health and Safety Executive","190","190","29020","26410"
"In post","2021","20-29","Heterosexual / straight","HM Courts and Tribunals Service","1160","1140","21990","19930"
"In post","2021","20-29","Heterosexual / straight","HM Land Registry","550","540","25540","22350"
"In post","2021","20-29","Heterosexual / straight","HM Prison and Probation Service","6990","6900","26220","25400"
"In post","2021","20-29","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","4510","4410","28180","25560"
"In post","2021","20-29","Heterosexual / straight","HM Treasury (excl. agencies)","730","730","38740","32960"
"In post","2021","20-29","Heterosexual / straight","Home Office (incl. agencies)","3950","3840","27970","24890"
"In post","2021","20-29","Heterosexual / straight","Insolvency Service","70","70","25070","20880"
"In post","2021","20-29","Heterosexual / straight","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Legal Aid Agency","70","60","21170","19930"
"In post","2021","20-29","Heterosexual / straight","Maritime and Coastguard Agency","120","120","29500","28670"
"In post","2021","20-29","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","180","180","32620","29750"
"In post","2021","20-29","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Ministry of Defence (excl. agencies)","2610","2580","29270","26670"
"In post","2021","20-29","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","470","460","37160","33210"
"In post","2021","20-29","Heterosexual / straight","Ministry of Justice (excl. agencies)","550","550","34000","31000"
"In post","2021","20-29","Heterosexual / straight","National Crime Agency","710","700","31850","32260"
"In post","2021","20-29","Heterosexual / straight","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","120","120","28710","25880"
"In post","2021","20-29","Heterosexual / straight","Office of Gas and Electricity Markets","160","160","29920","26430"
"In post","2021","20-29","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Office of the Public Guardian","210","200","20700","19930"
"In post","2021","20-29","Heterosexual / straight","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Planning Inspectorate","40","40","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Public Health England","940","890","28150","26880"
"In post","2021","20-29","Heterosexual / straight","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Registers of Scotland","100","100","27680","29040"
"In post","2021","20-29","Heterosexual / straight","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Rural Payments Agency","60","60","22890","21050"
"In post","2021","20-29","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Scottish Government (excl. agencies)","800","790","30380","29190"
"In post","2021","20-29","Heterosexual / straight","Scottish Prison Service","120","120","27590","28410"
"In post","2021","20-29","Heterosexual / straight","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Serious Fraud Office","50","50","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Social Security Scotland","150","150","26730","26160"
"In post","2021","20-29","Heterosexual / straight","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Heterosexual / straight","Submarine Delivery Agency","290","290","29270","28010"
"In post","2021","20-29","Heterosexual / straight","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
