"Status","Year","Sex","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","AA/AO","49070","42380","22190","21260"
"In post","2022","Female","Heterosexual / straight","EO","51630","46690","27720","27570"
"In post","2022","Female","Heterosexual / straight","G6/G7","23880","22660","58550","56220"
"In post","2022","Female","Heterosexual / straight","SCS","2490","2370","87450","80000"
"In post","2022","Female","Heterosexual / straight","SEO/HEO","51420","48660","36830","36010"
"In post","2022","Female","Heterosexual / straight","Unknown","11120","10270","30480","28200"
"In post","2022","Female","LGBO","AA/AO","3010","2860","23280","21680"
"In post","2022","Female","LGBO","EO","2760","2660","27840","27570"
"In post","2022","Female","LGBO","G6/G7","1310","1270","57670","54860"
"In post","2022","Female","LGBO","SCS","130","120","86340","78000"
"In post","2022","Female","LGBO","SEO/HEO","3100","3030","36390","35180"
"In post","2022","Female","LGBO","Unknown","700","680","29590","27060"
"In post","2022","Female","Undeclared","AA/AO","6480","5420","22150","21380"
"In post","2022","Female","Undeclared","EO","5990","5330","27840","27570"
"In post","2022","Female","Undeclared","G6/G7","2710","2580","58970","56640"
"In post","2022","Female","Undeclared","SCS","260","240","86130","80850"
"In post","2022","Female","Undeclared","SEO/HEO","6020","5670","37230","36500"
"In post","2022","Female","Undeclared","Unknown","850","780","32110","31420"
"In post","2022","Female","Unknown","AA/AO","18980","16110","22310","21260"
"In post","2022","Female","Unknown","EO","14510","12920","27910","27570"
"In post","2022","Female","Unknown","G6/G7","6040","5700","58770","57170"
"In post","2022","Female","Unknown","SCS","540","510","93180","83230"
"In post","2022","Female","Unknown","SEO/HEO","12320","11740","36160","35050"
"In post","2022","Female","Unknown","Unknown","2770","2510","28330","26310"
"In post","2022","Male","Heterosexual / straight","AA/AO","37320","35820","23840","21680"
"In post","2022","Male","Heterosexual / straight","EO","36700","35520","28210","27570"
"In post","2022","Male","Heterosexual / straight","G6/G7","23140","22720","59660","57530"
"In post","2022","Male","Heterosexual / straight","SCS","2620","2580","92240","83850"
"In post","2022","Male","Heterosexual / straight","SEO/HEO","45460","44500","37850","37040"
"In post","2022","Male","Heterosexual / straight","Unknown","4400","4250","34380","31420"
"In post","2022","Male","LGBO","AA/AO","2390","2310","22980","21260"
"In post","2022","Male","LGBO","EO","2770","2700","27800","27570"
"In post","2022","Male","LGBO","G6/G7","2020","2000","58950","57240"
"In post","2022","Male","LGBO","SCS","240","240","87680","80000"
"In post","2022","Male","LGBO","SEO/HEO","3300","3250","36710","35900"
"In post","2022","Male","LGBO","Unknown","330","320","30500","27060"
"In post","2022","Male","Undeclared","AA/AO","4670","4410","23920","21680"
"In post","2022","Male","Undeclared","EO","5270","5000","28460","27570"
"In post","2022","Male","Undeclared","G6/G7","3380","3290","60010","57780"
"In post","2022","Male","Undeclared","SCS","310","300","91690","83780"
"In post","2022","Male","Undeclared","SEO/HEO","6800","6600","38170","37480"
"In post","2022","Male","Undeclared","Unknown","530","510","36890","37140"
"In post","2022","Male","Unknown","AA/AO","15250","14490","23750","21680"
"In post","2022","Male","Unknown","EO","11650","11180","28470","27570"
"In post","2022","Male","Unknown","G6/G7","6970","6830","59390","57480"
"In post","2022","Male","Unknown","SCS","650","630","98890","91000"
"In post","2022","Male","Unknown","SEO/HEO","13110","12810","36920","36180"
"In post","2022","Male","Unknown","Unknown","2760","2650","34640","32550"
"In post","2022","Unknown","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Heterosexual / straight","AA/AO","2720","2310","21010","21010"
"Leaver CS","2021","Female","Heterosexual / straight","EO","1400","1180","27040","27570"
"Leaver CS","2021","Female","Heterosexual / straight","G6/G7","530","480","59880","56950"
"Leaver CS","2021","Female","Heterosexual / straight","SCS","90","80","93100","85060"
"Leaver CS","2021","Female","Heterosexual / straight","SEO/HEO","1200","1090","36630","35990"
"Leaver CS","2021","Female","Heterosexual / straight","Unknown","360","310","[c]","[c]"
"Leaver CS","2021","Female","LGBO","AA/AO","210","200","21030","21010"
"Leaver CS","2021","Female","LGBO","EO","70","70","27230","27570"
"Leaver CS","2021","Female","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","LGBO","SEO/HEO","60","60","35460","35400"
"Leaver CS","2021","Female","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","AA/AO","410","340","20990","21010"
"Leaver CS","2021","Female","Undeclared","EO","230","200","27380","27240"
"Leaver CS","2021","Female","Undeclared","G6/G7","80","70","62410","59100"
"Leaver CS","2021","Female","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Undeclared","SEO/HEO","200","180","37920","36800"
"Leaver CS","2021","Female","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Female","Unknown","AA/AO","3280","2620","20800","21010"
"Leaver CS","2021","Female","Unknown","EO","1640","1330","27180","27570"
"Leaver CS","2021","Female","Unknown","G6/G7","460","390","60510","58140"
"Leaver CS","2021","Female","Unknown","SCS","80","60","93710","86390"
"Leaver CS","2021","Female","Unknown","SEO/HEO","1130","990","35880","35110"
"Leaver CS","2021","Female","Unknown","Unknown","340","310","[c]","[c]"
"Leaver CS","2021","Male","Heterosexual / straight","AA/AO","2490","2320","21700","21010"
"Leaver CS","2021","Male","Heterosexual / straight","EO","1260","1170","27660","27570"
"Leaver CS","2021","Male","Heterosexual / straight","G6/G7","640","590","61150","58890"
"Leaver CS","2021","Male","Heterosexual / straight","SCS","140","130","101080","95960"
"Leaver CS","2021","Male","Heterosexual / straight","SEO/HEO","1360","1270","37770","36920"
"Leaver CS","2021","Male","Heterosexual / straight","Unknown","160","140","[c]","[c]"
"Leaver CS","2021","Male","LGBO","AA/AO","130","120","20990","21010"
"Leaver CS","2021","Male","LGBO","EO","90","80","27290","27570"
"Leaver CS","2021","Male","LGBO","G6/G7","60","50","59970","58190"
"Leaver CS","2021","Male","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","LGBO","SEO/HEO","70","70","38080","37640"
"Leaver CS","2021","Male","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","AA/AO","340","310","22210","21010"
"Leaver CS","2021","Male","Undeclared","EO","230","200","28370","27570"
"Leaver CS","2021","Male","Undeclared","G6/G7","120","110","62120","60640"
"Leaver CS","2021","Male","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","SEO/HEO","260","240","38750","37800"
"Leaver CS","2021","Male","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Unknown","AA/AO","2310","2120","21510","21010"
"Leaver CS","2021","Male","Unknown","EO","1240","1090","27590","27570"
"Leaver CS","2021","Male","Unknown","G6/G7","560","480","60200","57800"
"Leaver CS","2021","Male","Unknown","SCS","100","70","104850","96270"
"Leaver CS","2021","Male","Unknown","SEO/HEO","1190","1060","36800","36030"
"Leaver CS","2021","Male","Unknown","Unknown","310","290","35410","32400"
"Leaver CS","2021","Unknown","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Heterosexual / straight","AA/AO","4580","3930","21390","21260"
"Leaver CS","2022","Female","Heterosexual / straight","EO","3510","3070","27640","27570"
"Leaver CS","2022","Female","Heterosexual / straight","G6/G7","1220","1080","59020","56110"
"Leaver CS","2022","Female","Heterosexual / straight","SCS","190","170","94090","92440"
"Leaver CS","2022","Female","Heterosexual / straight","SEO/HEO","2560","2300","37140","36620"
"Leaver CS","2022","Female","Heterosexual / straight","Unknown","830","730","36480","29200"
"Leaver CS","2022","Female","LGBO","AA/AO","410","390","21370","21260"
"Leaver CS","2022","Female","LGBO","EO","260","240","27530","27570"
"Leaver CS","2022","Female","LGBO","G6/G7","60","50","[c]","[c]"
"Leaver CS","2022","Female","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","LGBO","SEO/HEO","190","180","35940","34620"
"Leaver CS","2022","Female","LGBO","Unknown","70","70","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","AA/AO","600","480","21300","21260"
"Leaver CS","2022","Female","Undeclared","EO","510","380","27570","27570"
"Leaver CS","2022","Female","Undeclared","G6/G7","200","140","59310","56690"
"Leaver CS","2022","Female","Undeclared","SCS","30","[c]","[c]","[c]"
"Leaver CS","2022","Female","Undeclared","SEO/HEO","440","320","37670","37500"
"Leaver CS","2022","Female","Undeclared","Unknown","110","60","[c]","[c]"
"Leaver CS","2022","Female","Unknown","AA/AO","3750","3110","21370","21260"
"Leaver CS","2022","Female","Unknown","EO","1630","1370","27460","27570"
"Leaver CS","2022","Female","Unknown","G6/G7","530","470","60100","57190"
"Leaver CS","2022","Female","Unknown","SCS","100","90","105810","95430"
"Leaver CS","2022","Female","Unknown","SEO/HEO","1150","1010","36490","36000"
"Leaver CS","2022","Female","Unknown","Unknown","480","410","[c]","[c]"
"Leaver CS","2022","Male","Heterosexual / straight","AA/AO","4320","4070","22260","21260"
"Leaver CS","2022","Male","Heterosexual / straight","EO","2620","2430","28060","27570"
"Leaver CS","2022","Male","Heterosexual / straight","G6/G7","1190","1110","61050","59540"
"Leaver CS","2022","Male","Heterosexual / straight","SCS","220","200","97630","94500"
"Leaver CS","2022","Male","Heterosexual / straight","SEO/HEO","2530","2380","37970","36960"
"Leaver CS","2022","Male","Heterosexual / straight","Unknown","350","320","38020","39000"
"Leaver CS","2022","Male","LGBO","AA/AO","310","300","21510","21260"
"Leaver CS","2022","Male","LGBO","EO","260","250","27590","27570"
"Leaver CS","2022","Male","LGBO","G6/G7","110","100","60960","58040"
"Leaver CS","2022","Male","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","LGBO","SEO/HEO","160","150","37190","36800"
"Leaver CS","2022","Male","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","AA/AO","460","410","22930","21260"
"Leaver CS","2022","Male","Undeclared","EO","410","340","28300","27570"
"Leaver CS","2022","Male","Undeclared","G6/G7","250","200","60670","59030"
"Leaver CS","2022","Male","Undeclared","SCS","30","[c]","[c]","[c]"
"Leaver CS","2022","Male","Undeclared","SEO/HEO","500","390","38730","38010"
"Leaver CS","2022","Male","Undeclared","Unknown","60","40","[c]","[c]"
"Leaver CS","2022","Male","Unknown","AA/AO","2980","2750","22150","21260"
"Leaver CS","2022","Male","Unknown","EO","1400","1280","27580","27570"
"Leaver CS","2022","Male","Unknown","G6/G7","740","670","60330","58730"
"Leaver CS","2022","Male","Unknown","SCS","120","100","101830","92100"
"Leaver CS","2022","Male","Unknown","SEO/HEO","1370","1210","37530","36800"
"Leaver CS","2022","Male","Unknown","Unknown","390","360","36400","33570"
"Leaver CS","2022","Unknown","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Heterosexual / straight","AA/AO","540","510","21080","21010"
"Leaver Dept.","2021","Female","Heterosexual / straight","EO","820","770","26660","27500"
"Leaver Dept.","2021","Female","Heterosexual / straight","G6/G7","650","620","57340","55650"
"Leaver Dept.","2021","Female","Heterosexual / straight","SCS","110","110","87600","78800"
"Leaver Dept.","2021","Female","Heterosexual / straight","SEO/HEO","1280","1260","35290","34240"
"Leaver Dept.","2021","Female","Heterosexual / straight","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","Female","LGBO","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","LGBO","EO","60","60","27270","27480"
"Leaver Dept.","2021","Female","LGBO","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2021","Female","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","LGBO","SEO/HEO","110","110","34580","34380"
"Leaver Dept.","2021","Female","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Undeclared","AA/AO","60","60","21160","21010"
"Leaver Dept.","2021","Female","Undeclared","EO","80","70","27300","27540"
"Leaver Dept.","2021","Female","Undeclared","G6/G7","90","90","58290","56180"
"Leaver Dept.","2021","Female","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Undeclared","SEO/HEO","130","120","37320","36820"
"Leaver Dept.","2021","Female","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Unknown","AA/AO","580","530","20950","21010"
"Leaver Dept.","2021","Female","Unknown","EO","440","400","27520","27570"
"Leaver Dept.","2021","Female","Unknown","G6/G7","410","340","56290","54540"
"Leaver Dept.","2021","Female","Unknown","SCS","80","60","[c]","[c]"
"Leaver Dept.","2021","Female","Unknown","SEO/HEO","950","830","34340","32910"
"Leaver Dept.","2021","Female","Unknown","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Heterosexual / straight","AA/AO","360","350","21170","21010"
"Leaver Dept.","2021","Male","Heterosexual / straight","EO","530","520","26820","27570"
"Leaver Dept.","2021","Male","Heterosexual / straight","G6/G7","550","540","57590","55650"
"Leaver Dept.","2021","Male","Heterosexual / straight","SCS","80","70","90620","83850"
"Leaver Dept.","2021","Male","Heterosexual / straight","SEO/HEO","990","970","35550","34270"
"Leaver Dept.","2021","Male","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","LGBO","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","LGBO","EO","70","70","25890","26740"
"Leaver Dept.","2021","Male","LGBO","G6/G7","60","60","55640","53860"
"Leaver Dept.","2021","Male","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","LGBO","SEO/HEO","130","130","35180","33520"
"Leaver Dept.","2021","Male","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Undeclared","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Undeclared","EO","70","70","27250","27570"
"Leaver Dept.","2021","Male","Undeclared","G6/G7","70","70","58330","56150"
"Leaver Dept.","2021","Male","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Undeclared","SEO/HEO","120","120","36060","35750"
"Leaver Dept.","2021","Male","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","AA/AO","470","460","20860","20680"
"Leaver Dept.","2021","Male","Unknown","EO","350","320","26950","27500"
"Leaver Dept.","2021","Male","Unknown","G6/G7","410","350","56420","54460"
"Leaver Dept.","2021","Male","Unknown","SCS","40","30","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","SEO/HEO","850","760","34470","33120"
"Leaver Dept.","2021","Male","Unknown","Unknown","60","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Heterosexual / straight","AA/AO","1220","1100","21470","21260"
"Leaver Dept.","2022","Female","Heterosexual / straight","EO","2200","2070","26960","27570"
"Leaver Dept.","2022","Female","Heterosexual / straight","G6/G7","1570","1450","57310","54700"
"Leaver Dept.","2022","Female","Heterosexual / straight","SCS","270","240","95620","94490"
"Leaver Dept.","2022","Female","Heterosexual / straight","SEO/HEO","3300","3070","35830","35310"
"Leaver Dept.","2022","Female","Heterosexual / straight","Unknown","100","80","[c]","[c]"
"Leaver Dept.","2022","Female","LGBO","AA/AO","80","70","21300","21260"
"Leaver Dept.","2022","Female","LGBO","EO","160","150","27270","27570"
"Leaver Dept.","2022","Female","LGBO","G6/G7","110","100","57230","54270"
"Leaver Dept.","2022","Female","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","LGBO","SEO/HEO","250","230","35830","35360"
"Leaver Dept.","2022","Female","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Undeclared","AA/AO","130","110","21280","21260"
"Leaver Dept.","2022","Female","Undeclared","EO","300","190","26860","27570"
"Leaver Dept.","2022","Female","Undeclared","G6/G7","380","210","58390","54760"
"Leaver Dept.","2022","Female","Undeclared","SCS","60","30","[c]","[c]"
"Leaver Dept.","2022","Female","Undeclared","SEO/HEO","640","380","36050","36050"
"Leaver Dept.","2022","Female","Undeclared","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Unknown","AA/AO","620","560","21550","21260"
"Leaver Dept.","2022","Female","Unknown","EO","570","530","27430","27570"
"Leaver Dept.","2022","Female","Unknown","G6/G7","610","520","58270","54940"
"Leaver Dept.","2022","Female","Unknown","SCS","110","90","106970","101430"
"Leaver Dept.","2022","Female","Unknown","SEO/HEO","1200","1100","34870","33610"
"Leaver Dept.","2022","Female","Unknown","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Heterosexual / straight","AA/AO","710","690","21570","21260"
"Leaver Dept.","2022","Male","Heterosexual / straight","EO","1290","1260","27040","27570"
"Leaver Dept.","2022","Male","Heterosexual / straight","G6/G7","1130","1070","58550","55930"
"Leaver Dept.","2022","Male","Heterosexual / straight","SCS","230","210","96450","93000"
"Leaver Dept.","2022","Male","Heterosexual / straight","SEO/HEO","1930","1870","36150","35710"
"Leaver Dept.","2022","Male","Heterosexual / straight","Unknown","60","50","[c]","[c]"
"Leaver Dept.","2022","Male","LGBO","AA/AO","70","60","21480","21260"
"Leaver Dept.","2022","Male","LGBO","EO","160","150","27270","27570"
"Leaver Dept.","2022","Male","LGBO","G6/G7","150","130","57070","54700"
"Leaver Dept.","2022","Male","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","LGBO","SEO/HEO","280","260","35690","35010"
"Leaver Dept.","2022","Male","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Undeclared","AA/AO","90","90","21950","21260"
"Leaver Dept.","2022","Male","Undeclared","EO","180","140","26620","27500"
"Leaver Dept.","2022","Male","Undeclared","G6/G7","340","170","58450","55400"
"Leaver Dept.","2022","Male","Undeclared","SCS","70","30","[c]","[c]"
"Leaver Dept.","2022","Male","Undeclared","SEO/HEO","470","290","36510","36330"
"Leaver Dept.","2022","Male","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","AA/AO","440","430","21280","21130"
"Leaver Dept.","2022","Male","Unknown","EO","390","380","27530","27570"
"Leaver Dept.","2022","Male","Unknown","G6/G7","530","470","58900","56010"
"Leaver Dept.","2022","Male","Unknown","SCS","90","80","103630","98550"
"Leaver Dept.","2022","Male","Unknown","SEO/HEO","1000","940","35410","33930"
"Leaver Dept.","2022","Male","Unknown","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Heterosexual / straight","AA/AO","6200","5990","21380","21010"
"New entrant CS","2021","Female","Heterosexual / straight","EO","7560","7320","27960","27570"
"New entrant CS","2021","Female","Heterosexual / straight","G6/G7","1040","980","56240","53530"
"New entrant CS","2021","Female","Heterosexual / straight","SCS","80","70","93520","89000"
"New entrant CS","2021","Female","Heterosexual / straight","SEO/HEO","3590","3430","35070","34020"
"New entrant CS","2021","Female","Heterosexual / straight","Unknown","800","750","23850","22920"
"New entrant CS","2021","Female","LGBO","AA/AO","590","580","21600","21010"
"New entrant CS","2021","Female","LGBO","EO","700","690","27680","27570"
"New entrant CS","2021","Female","LGBO","G6/G7","60","60","55290","53380"
"New entrant CS","2021","Female","LGBO","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","LGBO","SEO/HEO","360","350","33760","32790"
"New entrant CS","2021","Female","LGBO","Unknown","70","60","22810","22920"
"New entrant CS","2021","Female","Undeclared","AA/AO","450","420","21240","21010"
"New entrant CS","2021","Female","Undeclared","EO","490","470","27820","27570"
