"Status","Year","Region_ITL3","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Antrim and Newtownabbey","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Security","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Unknown","90","80","25460","21670"
"In post","2021","Ards and North Down","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","No function","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Security","90","90","21100","20310"
"In post","2021","Ards and North Down","Ministry of Defence","Unknown","60","60","26460","22330"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","Unknown","460","420","30980","31060"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","No function","110","100","27230","23500"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","No function","30","30","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","Unknown","300","280","30710","31060"
"In post","2021","Barnet","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Finance","40","40","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","No function","980","920","42830","38930"
"In post","2021","Barnet","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","Unknown","150","150","44640","42170"
"In post","2021","Barnet","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","No function","80","80","27630","26480"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","No function","60","50","27410","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","Unknown","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","Unknown","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","No function","1390","1290","27920","26320"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Security","80","80","39250","40190"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","Legal","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","No function","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","Unknown","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","Unknown","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Analysis","60","50","40630","38530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Commercial","600","580","42180","40000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Communications","80","70","39440","35990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Digital, Data & Technology","130","120","36140","35870"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Finance","660","640","40320","35490"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Human Resources","550","510","35610","31990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Project Delivery","8310","8050","38660","36850"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Property","290","280","39260","37080"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Security","110","110","27420","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Unknown","760","730","37860","36200"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","No function","680","620","29490","27380"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Human Resources","60","60","30990","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","No function","290","280","36120","34370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","No function","60","60","42850","45100"
"In post","2021","Bedford","Department for Work and Pensions","Unknown","170","150","27950","27570"
"In post","2021","Bedford","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","Unknown","120","110","28790","26160"
"In post","2021","Bedford","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","No function","390","370","28770","29010"
"In post","2021","Bedford","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","No function","60","60","37830","37910"
"In post","2021","Belfast","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Counter Fraud","390","370","31230","28130"
"In post","2021","Belfast","HM Revenue and Customs","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","No function","1490","1370","27210","25560"
"In post","2021","Belfast","HM Revenue and Customs","Project Delivery","30","30","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Home Office","Unknown","460","410","24980","24880"
"In post","2021","Belfast","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Unknown","30","30","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","No function","90","90","39600","39200"
"In post","2021","Belfast","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","No function","60","60","37970","34990"
"In post","2021","Belfast","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","Legal","130","120","43640","40000"
"In post","2021","Berkshire","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","90","80","41520","36970"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Grants Management","150","140","28830","25190"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","No function","70","70","43490","38540"
"In post","2021","Berkshire","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","No function","40","40","[c]","[c]"
"In post","2021","Berkshire","Department for Work and Pensions","Unknown","460","420","29410","29290"
"In post","2021","Berkshire","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","Counter Fraud","90","80","32030","31810"
"In post","2021","Berkshire","HM Revenue and Customs","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","No function","200","180","35270","32520"
"In post","2021","Berkshire","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Home Office","Unknown","50","40","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","Project Delivery","50","50","46770","41120"
"In post","2021","Berkshire","Ministry of Defence","Property","40","40","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","Security","630","620","34940","39070"
"In post","2021","Berkshire","Ministry of Defence","Unknown","260","250","31820","26930"
"In post","2021","Berkshire","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Justice","No function","250","230","26600","24020"
"In post","2021","Berkshire","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","National Crime Agency","No function","110","100","39540","39570"
"In post","2021","Bexley and Greenwich","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Department for Transport","No function","60","50","33630","31680"
"In post","2021","Bexley and Greenwich","Department for Work and Pensions","Unknown","390","360","31090","31060"
"In post","2021","Bexley and Greenwich","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
