"Status","Year","Sex","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Unknown","Bedfordshire and Hertfordshire","440","390","31580","29290"
"In post","2021","Female","Unknown","Berkshire, Buckinghamshire and Oxfordshire","800","710","31950","28990"
"In post","2021","Female","Unknown","Cheshire","360","320","27840","27470"
"In post","2021","Female","Unknown","Cornwall and Isles of Scilly","180","150","25400","21010"
"In post","2021","Female","Unknown","Cumbria","380","320","25140","21050"
"In post","2021","Female","Unknown","Derbyshire and Nottinghamshire","1490","1330","28320","26700"
"In post","2021","Female","Unknown","Devon","1410","1230","31510","27570"
"In post","2021","Female","Unknown","Dorset and Somerset","430","360","28290","27540"
"In post","2021","Female","Unknown","East Anglia","1070","930","28980","27500"
"In post","2021","Female","Unknown","East Wales","2330","2060","27700","25560"
"In post","2021","Female","Unknown","East Yorkshire and Northern Lincolnshire","400","350","25860","26120"
"In post","2021","Female","Unknown","Eastern Scotland","2990","2710","31730","27570"
"In post","2021","Female","Unknown","Essex","630","550","29980","27530"
"In post","2021","Female","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","1720","1530","33260","28550"
"In post","2021","Female","Unknown","Greater Manchester","2390","2140","27930","25560"
"In post","2021","Female","Unknown","Hampshire and Isle of Wight","1190","1020","29720","26670"
"In post","2021","Female","Unknown","Herefordshire, Worcestershire and Warwickshire","370","320","25970","24920"
"In post","2021","Female","Unknown","Highlands and Islands","230","210","28490","27570"
"In post","2021","Female","Unknown","Inner London - East","2140","1960","39600","32260"
"In post","2021","Female","Unknown","Inner London - West","7100","6810","44500","38600"
"In post","2021","Female","Unknown","Kent","610","550","28190","26330"
"In post","2021","Female","Unknown","Lancashire","1890","1610","26200","25300"
"In post","2021","Female","Unknown","Leicestershire, Rutland and Northamptonshire","730","630","25640","23240"
"In post","2021","Female","Unknown","Lincolnshire","170","150","28050","27570"
"In post","2021","Female","Unknown","Merseyside","2450","2090","26550","23470"
