"Status","Year","Responsibility_level","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Barnet","Public Health England","180","150","23860","23530"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Department for Work and Pensions (excl. agencies)","600","500","20790","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","HM Courts and Tribunals Service","60","50","19370","19830"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","HM Prison and Probation Service","800","760","25100","24450"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Courts and Tribunals Service","50","50","19040","18880"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Prison and Probation Service","330","300","25400","24440"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence (excl. agencies)","270","250","21670","20920"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","40","30","[c]","[c]"
"In post","2021","AA/AO","Bedford","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","HM Prison and Probation Service","220","220","27410","29410"
"In post","2021","AA/AO","Bedford","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","HM Revenue and Customs (excl. agencies)","710","640","20450","20140"
"In post","2021","AA/AO","Belfast","Home Office (incl. agencies)","220","180","21260","21430"
"In post","2021","AA/AO","Belfast","Ministry of Defence (excl. agencies)","60","60","20430","20310"
"In post","2021","AA/AO","Belfast","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Department for Work and Pensions (excl. agencies)","80","60","24110","24180"
"In post","2021","AA/AO","Berkshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","HM Courts and Tribunals Service","70","60","21100","22080"
"In post","2021","AA/AO","Berkshire","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Ministry of Defence (excl. agencies)","660","650","30000","27680"
"In post","2021","AA/AO","Berkshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Rural Payments Agency","70","60","21050","21050"
"In post","2021","AA/AO","Bexley and Greenwich","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","HM Prison and Probation Service","730","710","29440","30150"
"In post","2021","AA/AO","Bexley and Greenwich","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Crown Prosecution Service","110","100","21760","21950"
"In post","2021","AA/AO","Birmingham","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Department for Work and Pensions (excl. agencies)","540","450","20600","21010"
"In post","2021","AA/AO","Birmingham","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","HM Courts and Tribunals Service","570","510","19870","19930"
"In post","2021","AA/AO","Birmingham","HM Prison and Probation Service","440","420","25470","25080"
"In post","2021","AA/AO","Birmingham","HM Revenue and Customs (excl. agencies)","750","670","20460","20140"
"In post","2021","AA/AO","Birmingham","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Insolvency Service","160","150","20530","20880"
"In post","2021","AA/AO","Birmingham","Legal Aid Agency","60","60","20210","19930"
"In post","2021","AA/AO","Birmingham","Ministry of Defence (excl. agencies)","90","80","20360","20920"
"In post","2021","AA/AO","Birmingham","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","National Crime Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Office of the Public Guardian","640","580","20010","19930"
"In post","2021","AA/AO","Birmingham","Public Health England","80","80","20310","19630"
"In post","2021","AA/AO","Birmingham","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Blackburn with Darwen","Department for Work and Pensions (excl. agencies)","110","90","20880","21010"
"In post","2021","AA/AO","Blackburn with Darwen","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Blackburn with Darwen","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","AA/AO","Blackburn with Darwen","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Blackpool","Department for Work and Pensions (excl. agencies)","1710","1540","20870","21010"
"In post","2021","AA/AO","Blackpool","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Blackpool","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Blackpool","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","HM Courts and Tribunals Service","80","70","19020","19570"
"In post","2021","AA/AO","Bournemouth and Poole","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Ministry of Defence (excl. agencies)","70","70","20580","20520"
"In post","2021","AA/AO","Bradford","Department for Work and Pensions (excl. agencies)","350","300","20730","21010"
"In post","2021","AA/AO","Bradford","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bradford","HM Courts and Tribunals Service","140","120","18960","18890"
"In post","2021","AA/AO","Bradford","HM Revenue and Customs (excl. agencies)","830","700","20560","20140"
"In post","2021","AA/AO","Breckland and South Norfolk","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Breckland and South Norfolk","HM Prison and Probation Service","290","270","24400","23970"
"In post","2021","AA/AO","Breckland and South Norfolk","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brent","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Brent","HM Courts and Tribunals Service","100","90","22730","23500"
"In post","2021","AA/AO","Brent","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Department for Work and Pensions (excl. agencies)","180","160","20950","21010"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","HM Courts and Tribunals Service","80","70","19410","19570"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","HM Courts and Tribunals Service","90","70","19370","19930"
"In post","2021","AA/AO","Brighton and Hove","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Animal and Plant Health Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Department for Work and Pensions (excl. agencies)","260","220","20920","21010"
"In post","2021","AA/AO","Bristol, City of","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","HM Courts and Tribunals Service","160","140","19660","19930"
"In post","2021","AA/AO","Bristol, City of","HM Prison and Probation Service","260","250","24370","23970"
"In post","2021","AA/AO","Bristol, City of","HM Revenue and Customs (excl. agencies)","150","130","20690","20140"
"In post","2021","AA/AO","Bristol, City of","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Planning Inspectorate","160","150","21540","21270"
"In post","2021","AA/AO","Bristol, City of","Public Health England","80","70","20600","19630"
"In post","2021","AA/AO","Bristol, City of","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Bromley","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"In post","2021","AA/AO","Bromley","HM Courts and Tribunals Service","110","90","21550","21310"
"In post","2021","AA/AO","Buckinghamshire CC","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","HM Prison and Probation Service","350","330","27510","27850"
"In post","2021","AA/AO","Buckinghamshire CC","Ministry of Defence (excl. agencies)","180","170","22060","22920"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Department for Work and Pensions (excl. agencies)","120","100","20800","21010"
"In post","2021","AA/AO","Calderdale and Kirklees","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Valuation Office Agency","70","60","20880","21100"
"In post","2021","AA/AO","Cambridgeshire CC","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","HM Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","HM Prison and Probation Service","800","740","26820","28400"
"In post","2021","AA/AO","Cambridgeshire CC","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Ministry of Defence (excl. agencies)","160","160","22800","21130"
"In post","2021","AA/AO","Cambridgeshire CC","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Public Health England","60","50","21570","21570"
"In post","2021","AA/AO","Cambridgeshire CC","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","HM Courts and Tribunals Service","590","560","22580","22680"
"In post","2021","AA/AO","Camden and City of London","HM Revenue and Customs (excl. agencies)","110","100","25110","25630"
"In post","2021","AA/AO","Camden and City of London","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Ministry of Defence (excl. agencies)","70","70","29410","25790"
"In post","2021","AA/AO","Camden and City of London","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Animal and Plant Health Agency","50","40","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Companies House","390","340","21700","22490"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Crown Prosecution Service","50","50","21840","21950"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Department for Work and Pensions (excl. agencies)","230","200","20880","21010"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","HM Courts and Tribunals Service","200","180","18940","18890"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","HM Prison and Probation Service","310","290","24480","23970"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","HM Revenue and Customs (excl. agencies)","1440","1270","20460","20140"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Insolvency Service","30","30","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Ministry of Defence (excl. agencies)","130","130","20730","20920"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Welsh Government (excl. agencies)","400","370","23330","23830"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Causeway Coast and Glens","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Causeway Coast and Glens","Ministry of Defence (excl. agencies)","70","70","20410","20310"
"In post","2021","AA/AO","Central Bedfordshire","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Ministry of Defence (excl. agencies)","130","130","20390","20920"
"In post","2021","AA/AO","Central Hampshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","HM Prison and Probation Service","260","250","27770","29440"
"In post","2021","AA/AO","Central Hampshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Ministry of Defence (excl. agencies)","500","480","21240","20920"
"In post","2021","AA/AO","Central Valleys","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Department for Work and Pensions (excl. agencies)","180","160","20780","21010"
"In post","2021","AA/AO","Central Valleys","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Welsh Government (excl. agencies)","120","110","23560","23830"
"In post","2021","AA/AO","Central Valleys","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","HM Prison and Probation Service","200","190","25250","24440"
"In post","2021","AA/AO","Cheshire East","Rural Payments Agency","50","40","[c]","[c]"
"In post","2021","AA/AO","Cheshire West and Chester","Department for Work and Pensions (excl. agencies)","120","110","21010","21010"
"In post","2021","AA/AO","Cheshire West and Chester","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","AA/AO","Cheshire West and Chester","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
