"Status","Year","Organisation","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Unknown","4350","4230","48050","40600"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Unknown","430","420","44970","40600"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","500","490","47580","40600"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","4070","4020","45300","33250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
