"Status","Year","Disability","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Flintshire and Wrexham","150","130","28000","26960"
"In post","2021","Declared disabled","Heterosexual / straight","Glasgow City","850","770","28840","26160"
"In post","2021","Declared disabled","Heterosexual / straight","Gloucestershire","120","100","27110","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Greater Manchester North East","120","110","27640","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Greater Manchester North West","200","170","24700","22260"
"In post","2021","Declared disabled","Heterosexual / straight","Greater Manchester South East","130","120","26230","22260"
"In post","2021","Declared disabled","Heterosexual / straight","Greater Manchester South West","390","360","30350","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Gwent Valleys","130","110","26280","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Gwynedd","70","70","24000","21010"
"In post","2021","Declared disabled","Heterosexual / straight","Hackney and Newham","310","280","33390","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Haringey and Islington","130","120","32220","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Harrow and Hillingdon","270","240","31410","30350"
"In post","2021","Declared disabled","Heterosexual / straight","Hartlepool and Stockton-on-Tees","180","160","27330","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Heart of Essex","100","90","32240","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Hertfordshire","220","200","33350","30070"
"In post","2021","Declared disabled","Heterosexual / straight","Hounslow and Richmond upon Thames","190","170","31880","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Inverclyde, East Renfrewshire and Renfrewshire","70","60","29230","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Inverness and Nairn and Moray, Badenoch and Strathspey","70","70","28240","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Isle of Wight","100","90","27970","26580"
"In post","2021","Declared disabled","Heterosexual / straight","Kensington & Chelsea and Hammersmith & Fulham","50","50","31530","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Kent Thames Gateway","140","130","29520","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Kingston upon Hull, City of","190","160","26960","27130"
"In post","2021","Declared disabled","Heterosexual / straight","Lambeth","190","180","36890","32330"
"In post","2021","Declared disabled","Heterosexual / straight","Lancaster and Wyre","90","80","28400","26930"
"In post","2021","Declared disabled","Heterosexual / straight","Leeds","840","780","32170","28120"
"In post","2021","Declared disabled","Heterosexual / straight","Leicester","220","200","25400","22350"
"In post","2021","Declared disabled","Heterosexual / straight","Leicestershire CC and Rutland","150","140","28520","26720"
"In post","2021","Declared disabled","Heterosexual / straight","Lewisham and Southwark","120","110","32830","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Lincolnshire","300","280","28090","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Lisburn and Castlereagh","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Liverpool","840","750","28810","25560"
"In post","2021","Declared disabled","Heterosexual / straight","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Luton","60","60","25780","27370"
"In post","2021","Declared disabled","Heterosexual / straight","Manchester","690","640","32390","28210"
"In post","2021","Declared disabled","Heterosexual / straight","Medway","120","110","31460","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Merton, Kingston upon Thames and Sutton","50","50","30640","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Mid Kent","90","80","29470","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Mid Lancashire","570","510","26860","25130"
"In post","2021","Declared disabled","Heterosexual / straight","Milton Keynes","160","150","30280","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Monmouthshire and Newport","320","300","31790","29540"
"In post","2021","Declared disabled","Heterosexual / straight","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","North and North East Lincolnshire","50","50","26450","27570"
"In post","2021","Declared disabled","Heterosexual / straight","North and West Norfolk","100","90","28450","27570"
"In post","2021","Declared disabled","Heterosexual / straight","North Hampshire","90","80","28240","27570"
"In post","2021","Declared disabled","Heterosexual / straight","North Lanarkshire","220","180","25320","21440"
"In post","2021","Declared disabled","Heterosexual / straight","North Northamptonshire","70","60","25610","27570"
"In post","2021","Declared disabled","Heterosexual / straight","North Nottinghamshire","110","100","28320","27570"
"In post","2021","Declared disabled","Heterosexual / straight","North Yorkshire CC","150","140","27880","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Northumberland","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Norwich and East Norfolk","180","160","28540","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Nottingham","670","620","30460","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Overseas","160","160","48570","45490"
"In post","2021","Declared disabled","Heterosexual / straight","Oxfordshire","220","200","31370","29530"
"In post","2021","Declared disabled","Heterosexual / straight","Perth and Kinross and Stirling","70","70","31150","28640"
"In post","2021","Declared disabled","Heterosexual / straight","Peterborough","170","150","27570","25310"
"In post","2021","Declared disabled","Heterosexual / straight","Plymouth","230","210","28570","27130"
"In post","2021","Declared disabled","Heterosexual / straight","Portsmouth","320","290","29300","27370"
"In post","2021","Declared disabled","Heterosexual / straight","Powys","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Redbridge and Waltham Forest","100","90","29100","30780"
"In post","2021","Declared disabled","Heterosexual / straight","Sandwell","50","50","28000","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Sefton","520","470","28660","25560"
"In post","2021","Declared disabled","Heterosexual / straight","Sheffield","610","540","31650","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Shropshire CC","110","100","28890","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Solihull","90","90","27990","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Somerset","180","170","29780","27570"
"In post","2021","Declared disabled","Heterosexual / straight","South and West Derbyshire","110","100","31830","27570"
"In post","2021","Declared disabled","Heterosexual / straight","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","South Hampshire","320","270","30380","27570"
"In post","2021","Declared disabled","Heterosexual / straight","South Lanarkshire","230","200","30200","26120"
"In post","2021","Declared disabled","Heterosexual / straight","South Nottinghamshire","80","80","31070","27570"
"In post","2021","Declared disabled","Heterosexual / straight","South Teesside","150","140","26560","27570"
"In post","2021","Declared disabled","Heterosexual / straight","South West Wales","120","110","27700","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Southampton","110","100","29520","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Southend-on-Sea","110","100","31670","29290"
"In post","2021","Declared disabled","Heterosexual / straight","Staffordshire CC","370","350","30260","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Stoke-on-Trent","170","150","25040","21170"
"In post","2021","Declared disabled","Heterosexual / straight","Suffolk","310","280","27850","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Sunderland","420","350","25430","21440"
"In post","2021","Declared disabled","Heterosexual / straight","Swansea","600","510","25400","21590"
"In post","2021","Declared disabled","Heterosexual / straight","Swindon","60","50","30420","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Telford and Wrekin","180","160","31690","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Torbay","40","30","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Tower Hamlets","360","340","45600","39850"
"In post","2021","Declared disabled","Heterosexual / straight","Tyneside","1300","1160","27510","25560"
"In post","2021","Declared disabled","Heterosexual / straight","Unknown","140","140","30980","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Wakefield","130","120","31980","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Walsall","70","50","25450","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Wandsworth","80","70","32470","32760"
"In post","2021","Declared disabled","Heterosexual / straight","Warrington","190","170","29550","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Warwickshire","120","110","26420","25000"
"In post","2021","Declared disabled","Heterosexual / straight","West Cumbria","80","70","29420","27460"
"In post","2021","Declared disabled","Heterosexual / straight","West Essex","60","50","30470","29050"
"In post","2021","Declared disabled","Heterosexual / straight","West Kent","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","West Lothian","30","30","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","West Northamptonshire","110","100","24930","23210"
"In post","2021","Declared disabled","Heterosexual / straight","West Surrey","170","160","30810","28840"
"In post","2021","Declared disabled","Heterosexual / straight","West Sussex (North East)","70","60","30310","27570"
"In post","2021","Declared disabled","Heterosexual / straight","West Sussex (South West)","110","100","29740","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Westminster","3400","3290","45990","40920"
"In post","2021","Declared disabled","Heterosexual / straight","Wiltshire","590","560","34530","33040"
"In post","2021","Declared disabled","Heterosexual / straight","Wirral","270","230","25420","26630"
"In post","2021","Declared disabled","Heterosexual / straight","Wolverhampton","100","90","25140","27570"
"In post","2021","Declared disabled","Heterosexual / straight","Worcestershire","180","170","28700","27570"
"In post","2021","Declared disabled","Heterosexual / straight","York","200","190","35230","31030"
"In post","2021","Declared disabled","LGBO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Bath and North East Somerset, North Somerset and South Gloucestershire","90","80","31560","29000"
"In post","2021","Declared disabled","LGBO","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Birmingham","100","90","28450","27570"
"In post","2021","Declared disabled","LGBO","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Blackpool","50","50","26500","27570"
"In post","2021","Declared disabled","LGBO","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Bristol, City of","70","70","32910","29360"
"In post","2021","Declared disabled","LGBO","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Camden and City of London","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Cardiff and Vale of Glamorgan","100","100","30760","27570"
"In post","2021","Declared disabled","LGBO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","City of Edinburgh","140","130","35950","31810"
"In post","2021","Declared disabled","LGBO","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Croydon","70","60","39480","35140"
"In post","2021","Declared disabled","LGBO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Devon CC","40","40","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Kent","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Glasgow City","130","120","29640","26160"
"In post","2021","Declared disabled","LGBO","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Greater Manchester South West","60","60","28350","26270"
"In post","2021","Declared disabled","LGBO","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Lambeth","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Leeds","110","100","31370","28170"
"In post","2021","Declared disabled","LGBO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Lincolnshire","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Liverpool","70","70","28940","25860"
"In post","2021","Declared disabled","LGBO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Manchester","100","100","32160","29360"
"In post","2021","Declared disabled","LGBO","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Mid Lancashire","50","40","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Monmouthshire and Newport","50","50","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Nottingham","70","70","30500","27570"
"In post","2021","Declared disabled","LGBO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Oxfordshire","[c]","[c]","[c]","[c]"
