"Status","Year","Region_ITL2","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","AA/AO","320","300","26560","23200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","EO","220","210","30220","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","G6/G7","60","50","60930","56520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","SEO/HEO","250","240","38450","36460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","AA/AO","730","700","26140","25110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","EO","400","370","29640","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","G6/G7","170","150","59460","57300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","SEO/HEO","360","330","38210","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","60","50","29070","24020"
"In post","2021","Cheshire","Heterosexual / straight","AA/AO","740","680","22650","21010"
"In post","2021","Cheshire","Heterosexual / straight","EO","1020","980","29540","28010"
"In post","2021","Cheshire","Heterosexual / straight","G6/G7","160","150","57460","55740"
"In post","2021","Cheshire","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Heterosexual / straight","SEO/HEO","620","600","39510","38540"
"In post","2021","Cheshire","Heterosexual / straight","Unknown","160","150","29590","29530"
"In post","2021","Cheshire","LGBO","AA/AO","50","50","24080","24120"
"In post","2021","Cheshire","LGBO","EO","80","80","29070","27570"
"In post","2021","Cheshire","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","LGBO","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cheshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","AA/AO","100","90","23530","21010"
"In post","2021","Cheshire","Undeclared","EO","120","110","29880","28840"
"In post","2021","Cheshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","SEO/HEO","80","70","39120","38160"
"In post","2021","Cheshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","AA/AO","320","290","24050","21550"
"In post","2021","Cheshire","Unknown","EO","220","200","29570","27570"
"In post","2021","Cheshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","SEO/HEO","120","110","39190","38160"
"In post","2021","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","AA/AO","470","430","20830","21010"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","EO","410","380","27250","27570"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","G6/G7","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","SEO/HEO","160","150","35670","34290"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","AA/AO","70","60","21150","21010"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","EO","60","60","27260","27570"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","AA/AO","150","130","20850","21010"
"In post","2021","Cornwall and Isles of Scilly","Unknown","EO","130","110","27060","27570"
"In post","2021","Cornwall and Isles of Scilly","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Heterosexual / straight","AA/AO","470","420","22170","21050"
"In post","2021","Cumbria","Heterosexual / straight","EO","360","330","25860","26250"
"In post","2021","Cumbria","Heterosexual / straight","G6/G7","50","50","[c]","[c]"
"In post","2021","Cumbria","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Heterosexual / straight","SEO/HEO","220","210","34530","33300"
"In post","2021","Cumbria","Heterosexual / straight","Unknown","190","180","37090","33740"
"In post","2021","Cumbria","LGBO","AA/AO","30","30","[c]","[c]"
"In post","2021","Cumbria","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","AA/AO","60","60","21520","21050"
"In post","2021","Cumbria","Undeclared","EO","40","40","[c]","[c]"
"In post","2021","Cumbria","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Cumbria","Unknown","AA/AO","360","320","21630","21050"
"In post","2021","Cumbria","Unknown","EO","160","140","26700","26340"
"In post","2021","Cumbria","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","SEO/HEO","60","50","34010","33790"
"In post","2021","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","AA/AO","2280","2070","22110","21010"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","EO","2190","2020","26710","27570"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","G6/G7","810","770","57310","53150"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","SCS","60","60","89330","83370"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","SEO/HEO","2150","2030","35680","33840"
"In post","2021","Derbyshire and Nottinghamshire","Heterosexual / straight","Unknown","390","350","30040","30210"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","AA/AO","150","150","22840","21010"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","EO","150","140","26560","27130"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","G6/G7","50","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","SEO/HEO","110","100","35230","32250"
"In post","2021","Derbyshire and Nottinghamshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","AA/AO","300","260","21880","21010"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","EO","340","300","27010","27130"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","G6/G7","100","100","57040","53430"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","SEO/HEO","330","310","36480","34290"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Unknown","50","50","31620","31420"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","AA/AO","1060","950","22040","21010"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","EO","870","800","26740","27130"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","G6/G7","190","180","56780","53320"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","SEO/HEO","650","620","34450","31990"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Devon","Heterosexual / straight","AA/AO","1910","1710","22220","21010"
"In post","2021","Devon","Heterosexual / straight","EO","1420","1310","26970","27570"
"In post","2021","Devon","Heterosexual / straight","G6/G7","240","230","59040","56750"
"In post","2021","Devon","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Heterosexual / straight","SEO/HEO","1040","980","37750","37240"
"In post","2021","Devon","Heterosexual / straight","Unknown","260","240","34280","32100"
"In post","2021","Devon","LGBO","AA/AO","120","120","22910","21010"
"In post","2021","Devon","LGBO","EO","80","80","27250","27570"
"In post","2021","Devon","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","LGBO","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Devon","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Undeclared","AA/AO","250","220","23570","21010"
"In post","2021","Devon","Undeclared","EO","210","190","27680","27570"
"In post","2021","Devon","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Undeclared","SEO/HEO","170","160","38770","38450"
"In post","2021","Devon","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","AA/AO","810","710","22190","21010"
"In post","2021","Devon","Unknown","EO","630","570","26890","27130"
"In post","2021","Devon","Unknown","G6/G7","570","540","52850","49650"
"In post","2021","Devon","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","SEO/HEO","1150","1090","37420","38450"
"In post","2021","Devon","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Heterosexual / straight","AA/AO","1200","1110","22260","21010"
"In post","2021","Dorset and Somerset","Heterosexual / straight","EO","1100","1010","27340","27570"
"In post","2021","Dorset and Somerset","Heterosexual / straight","G6/G7","130","130","59070","55070"
"In post","2021","Dorset and Somerset","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Heterosexual / straight","SEO/HEO","990","940","36650","34290"
"In post","2021","Dorset and Somerset","Heterosexual / straight","Unknown","180","160","28460","28200"
"In post","2021","Dorset and Somerset","LGBO","AA/AO","70","70","23740","22030"
"In post","2021","Dorset and Somerset","LGBO","EO","50","50","[c]","[c]"
"In post","2021","Dorset and Somerset","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","LGBO","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Dorset and Somerset","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Undeclared","AA/AO","160","150","22380","21010"
"In post","2021","Dorset and Somerset","Undeclared","EO","170","150","27520","27570"
"In post","2021","Dorset and Somerset","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Undeclared","SEO/HEO","190","180","36620","35310"
"In post","2021","Dorset and Somerset","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","AA/AO","300","280","22850","22080"
"In post","2021","Dorset and Somerset","Unknown","EO","300","260","27320","27570"
"In post","2021","Dorset and Somerset","Unknown","G6/G7","50","50","59150","57940"
"In post","2021","Dorset and Somerset","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","SEO/HEO","220","200","36250","33840"
"In post","2021","Dorset and Somerset","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Heterosexual / straight","AA/AO","3420","3150","23250","21430"
"In post","2021","East Anglia","Heterosexual / straight","EO","2250","2080","27480","27570"
"In post","2021","East Anglia","Heterosexual / straight","G6/G7","500","480","59330","55580"
"In post","2021","East Anglia","Heterosexual / straight","SCS","40","40","[c]","[c]"
"In post","2021","East Anglia","Heterosexual / straight","SEO/HEO","2050","1960","36300","34290"
"In post","2021","East Anglia","Heterosexual / straight","Unknown","390","360","29550","30210"
"In post","2021","East Anglia","LGBO","AA/AO","170","160","23540","21550"
"In post","2021","East Anglia","LGBO","EO","110","110","26790","27570"
"In post","2021","East Anglia","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","LGBO","SEO/HEO","80","70","35460","34800"
"In post","2021","East Anglia","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Undeclared","AA/AO","420","390","23240","21430"
"In post","2021","East Anglia","Undeclared","EO","330","300","27740","27570"
"In post","2021","East Anglia","Undeclared","G6/G7","60","60","58080","55380"
"In post","2021","East Anglia","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Undeclared","SEO/HEO","360","340","36460","33900"
"In post","2021","East Anglia","Undeclared","Unknown","50","50","31140","32690"
"In post","2021","East Anglia","Unknown","AA/AO","940","850","23800","21500"
"In post","2021","East Anglia","Unknown","EO","600","540","27670","27570"
"In post","2021","East Anglia","Unknown","G6/G7","150","150","55510","53430"
"In post","2021","East Anglia","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Unknown","SEO/HEO","450","430","34880","33840"
"In post","2021","East Anglia","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","East Wales","Heterosexual / straight","AA/AO","3420","3120","21600","21010"
"In post","2021","East Wales","Heterosexual / straight","EO","3440","3210","26820","27460"
"In post","2021","East Wales","Heterosexual / straight","G6/G7","1730","1660","57820","57720"
"In post","2021","East Wales","Heterosexual / straight","SCS","190","190","87180","79500"
"In post","2021","East Wales","Heterosexual / straight","SEO/HEO","4090","3890","36600","36710"
"In post","2021","East Wales","Heterosexual / straight","Unknown","370","350","30300","30210"
"In post","2021","East Wales","LGBO","AA/AO","220","220","21150","20600"
"In post","2021","East Wales","LGBO","EO","250","250","26430","26860"
"In post","2021","East Wales","LGBO","G6/G7","80","80","57130","56460"
"In post","2021","East Wales","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","LGBO","SEO/HEO","270","270","34910","34490"
"In post","2021","East Wales","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Undeclared","AA/AO","450","400","21550","21010"
"In post","2021","East Wales","Undeclared","EO","560","510","27780","27570"
"In post","2021","East Wales","Undeclared","G6/G7","200","190","59690","60830"
"In post","2021","East Wales","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Undeclared","SEO/HEO","500","470","37640","37410"
"In post","2021","East Wales","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","AA/AO","1640","1450","21060","20180"
"In post","2021","East Wales","Unknown","EO","1250","1170","26000","25560"
"In post","2021","East Wales","Unknown","G6/G7","400","380","56360","55610"
"In post","2021","East Wales","Unknown","SCS","30","30","[c]","[c]"
"In post","2021","East Wales","Unknown","SEO/HEO","1120","1080","34430","32140"
"In post","2021","East Wales","Unknown","Unknown","70","60","28590","28200"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","AA/AO","1420","1280","23820","21950"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","EO","1120","1030","27700","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","G6/G7","70","60","60610","57330"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","SEO/HEO","420","390","36780","34070"
"In post","2021","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","Unknown","220","200","29890","30210"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","AA/AO","80","80","23710","22350"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","EO","50","50","27490","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","AA/AO","180","160","24260","21550"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","EO","210","200","27970","27370"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","SEO/HEO","70","70","37840","36040"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","AA/AO","450","410","24140","22350"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","EO","280","250","27850","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","SEO/HEO","60","60","37090","33860"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Heterosexual / straight","AA/AO","2820","2620","21920","21010"
"In post","2021","Eastern Scotland","Heterosexual / straight","EO","2890","2710","28340","27570"
"In post","2021","Eastern Scotland","Heterosexual / straight","G6/G7","1690","1610","61910","61010"
"In post","2021","Eastern Scotland","Heterosexual / straight","SCS","140","130","91060","83230"
"In post","2021","Eastern Scotland","Heterosexual / straight","SEO/HEO","3420","3270","38340","37580"
"In post","2021","Eastern Scotland","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","LGBO","AA/AO","220","210","21630","21010"
"In post","2021","Eastern Scotland","LGBO","EO","190","180","28200","27570"
"In post","2021","Eastern Scotland","LGBO","G6/G7","110","100","61210","61010"
"In post","2021","Eastern Scotland","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","LGBO","SEO/HEO","250","240","37030","35110"
"In post","2021","Eastern Scotland","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Undeclared","AA/AO","790","720","21770","21440"
"In post","2021","Eastern Scotland","Undeclared","EO","540","500","28190","28170"
"In post","2021","Eastern Scotland","Undeclared","G6/G7","190","190","61520","60220"
"In post","2021","Eastern Scotland","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Undeclared","SEO/HEO","490","470","37900","35230"
"In post","2021","Eastern Scotland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Unknown","AA/AO","2420","2240","22240","21010"
"In post","2021","Eastern Scotland","Unknown","EO","1580","1460","29980","29190"
"In post","2021","Eastern Scotland","Unknown","G6/G7","570","540","61550","61010"
"In post","2021","Eastern Scotland","Unknown","SCS","60","60","90550","83230"
"In post","2021","Eastern Scotland","Unknown","SEO/HEO","1430","1340","38700","38540"
"In post","2021","Eastern Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Heterosexual / straight","AA/AO","1000","910","23850","21780"
"In post","2021","Essex","Heterosexual / straight","EO","1590","1450","28720","29290"
"In post","2021","Essex","Heterosexual / straight","G6/G7","190","180","58490","53430"
"In post","2021","Essex","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Heterosexual / straight","SEO/HEO","770","720","36890","35120"
"In post","2021","Essex","Heterosexual / straight","Unknown","210","190","28160","24800"
"In post","2021","Essex","LGBO","AA/AO","60","60","24240","24180"
"In post","2021","Essex","LGBO","EO","90","80","29110","29290"
"In post","2021","Essex","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Essex","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","LGBO","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Essex","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Undeclared","AA/AO","160","140","23730","21440"
"In post","2021","Essex","Undeclared","EO","230","200","28550","27850"
"In post","2021","Essex","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Undeclared","SEO/HEO","130","120","37580","36370"
"In post","2021","Essex","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Unknown","AA/AO","390","350","23290","21590"
"In post","2021","Essex","Unknown","EO","370","340","28630","29290"
"In post","2021","Essex","Unknown","G6/G7","70","60","59060","53460"
"In post","2021","Essex","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Unknown","SEO/HEO","210","200","35890","35000"
"In post","2021","Essex","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","AA/AO","2620","2430","22080","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","EO","4320","4050","25860","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","G6/G7","3750","3620","56150","54540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","SCS","220","210","95280","90000"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","SEO/HEO","9020","8650","36010","35660"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","Unknown","1470","1420","39190","36490"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","AA/AO","150","150","22420","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","EO","270","260","25710","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","G6/G7","130","130","55020","52590"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","SEO/HEO","400","390","34150","33300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","Unknown","60","60","32660","31340"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","AA/AO","360","330","22440","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","EO","530","490","26650","27090"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","G6/G7","590","570","56430","54550"
