"Status","Year","Sex","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Tyneside","130","120","29980","27720"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Westminster","2520","2430","47890","44790"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Wirral","30","30","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","York","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Westminster","920","890","48550","51730"
"In post","2021","Female","Department for Education","Bristol, City of","130","120","42620","37100"
"In post","2021","Female","Department for Education","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Coventry","740","710","39870","36780"
"In post","2021","Female","Department for Education","Croydon","30","30","[c]","[c]"
"In post","2021","Female","Department for Education","Darlington","440","410","36870","36500"
"In post","2021","Female","Department for Education","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Leeds","50","50","42720","40300"
"In post","2021","Female","Department for Education","Manchester","630","610","40340","36780"
"In post","2021","Female","Department for Education","Nottingham","180","160","40010","36980"
"In post","2021","Female","Department for Education","Sheffield","770","720","39760","36780"
"In post","2021","Female","Department for Education","Tyneside","50","40","[c]","[c]"
"In post","2021","Female","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","Westminster","1580","1500","49550","53420"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Berkshire","180","160","33800","29690"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Bristol, City of","500","460","38110","36030"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","40","40","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","60","60","27860","21050"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Cheshire East","100","90","31040","25500"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","50","40","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Devon CC","310","280","28360","25190"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Dorset CC","80","70","31960","29270"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","East Cumbria","290","250","26730","24920"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Gloucestershire","40","40","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Gwynedd","50","40","26110","21050"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Hounslow and Richmond upon Thames","30","30","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Leeds","80","70","35920","36520"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Mid Lancashire","70","60","32150","29180"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","North Yorkshire CC","90","80","31390","29180"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Nottingham","60","50","32920","27790"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Perth and Kinross and Stirling","30","30","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Peterborough","60","50","38760","36970"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Somerset","40","30","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","South Nottinghamshire","40","30","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","South West Wales","90","90","27530","25190"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Staffordshire CC","60","60","29080","25190"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Suffolk","250","230","31620","29270"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Tyneside","280","250","31420","28440"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Warrington","70","70","39670","36970"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","West Cumbria","340","290","24380","21050"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","West Surrey","470","440","34010","29320"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Westminster","1360","1300","44960","39420"
