"Status","Year","Responsibility_level","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Conwy and Denbighshire","Male","50","40","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Female","410","340","20780","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Male","310","300","20970","21010"
"In post","2021","AA/AO","Coventry","Female","190","160","20840","21010"
"In post","2021","AA/AO","Coventry","Male","100","100","21060","21010"
"In post","2021","AA/AO","Croydon","Female","1090","950","24600","25630"
"In post","2021","AA/AO","Croydon","Male","640","620","24360","25630"
"In post","2021","AA/AO","Darlington","Female","70","60","20370","20590"
"In post","2021","AA/AO","Darlington","Male","30","30","[c]","[c]"
"In post","2021","AA/AO","Derby","Female","310","250","20500","21010"
"In post","2021","AA/AO","Derby","Male","180","170","23160","21010"
"In post","2021","AA/AO","Derry City and Strabane","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derry City and Strabane","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon CC","Female","1050","880","21310","21010"
"In post","2021","AA/AO","Devon CC","Male","900","850","23240","21090"
"In post","2021","AA/AO","Dorset CC","Female","430","400","22590","21710"
"In post","2021","AA/AO","Dorset CC","Male","560","540","24820","23860"
"In post","2021","AA/AO","Dudley","Female","370","290","20650","21010"
"In post","2021","AA/AO","Dudley","Male","160","150","20980","21010"
"In post","2021","AA/AO","Dumfries and Galloway","Female","120","100","22920","22230"
"In post","2021","AA/AO","Dumfries and Galloway","Male","130","130","24530","25870"
"In post","2021","AA/AO","Durham CC","Female","1830","1550","22110","21430"
"In post","2021","AA/AO","Durham CC","Male","1500","1400","24550","22350"
"In post","2021","AA/AO","Ealing","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Ealing","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","Female","200","160","21270","21010"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","Male","90","90","23160","21010"
"In post","2021","AA/AO","East Cumbria","Female","200","170","21000","21050"
"In post","2021","AA/AO","East Cumbria","Male","150","140","22070","21050"
"In post","2021","AA/AO","East Derbyshire","Female","80","70","20380","20180"
"In post","2021","AA/AO","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Female","430","370","23320","21010"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Male","940","920","27950","24610"
"In post","2021","AA/AO","East Kent","Female","550","490","22770","23520"
"In post","2021","AA/AO","East Kent","Male","450","440","22440","21430"
"In post","2021","AA/AO","East Lancashire","Female","110","90","20290","21010"
"In post","2021","AA/AO","East Lancashire","Male","50","50","[c]","[c]"
"In post","2021","AA/AO","East Lothian and Midlothian","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Lothian and Midlothian","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Merseyside","Female","210","170","20390","20180"
"In post","2021","AA/AO","East Merseyside","Male","70","70","21600","21010"
"In post","2021","AA/AO","East Riding of Yorkshire","Female","400","370","23160","21650"
"In post","2021","AA/AO","East Riding of Yorkshire","Male","590","560","26710","26300"
"In post","2021","AA/AO","East Surrey","Female","240","220","29220","29920"
"In post","2021","AA/AO","East Surrey","Male","310","300","31290","33590"
"In post","2021","AA/AO","East Sussex CC","Female","510","420","21480","21010"
"In post","2021","AA/AO","East Sussex CC","Male","410","400","23730","21010"
"In post","2021","AA/AO","Enfield","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Enfield","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex Haven Gateway","Female","170","150","22930","21430"
"In post","2021","AA/AO","Essex Haven Gateway","Male","150","150","28330","24180"
"In post","2021","AA/AO","Essex Thames Gateway","Female","260","220","23440","24180"
"In post","2021","AA/AO","Essex Thames Gateway","Male","80","80","23540","24180"
"In post","2021","AA/AO","Falkirk","Female","620","500","21280","21010"
"In post","2021","AA/AO","Falkirk","Male","250","240","22220","21010"
"In post","2021","AA/AO","Fermanagh and Omagh","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Fermanagh and Omagh","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Flintshire and Wrexham","Female","520","470","21610","21010"
"In post","2021","AA/AO","Flintshire and Wrexham","Male","500","490","23030","22850"
"In post","2021","AA/AO","Glasgow City","Female","2160","1870","21040","21010"
"In post","2021","AA/AO","Glasgow City","Male","1660","1580","21120","21010"
"In post","2021","AA/AO","Gloucestershire","Female","250","230","21250","21010"
"In post","2021","AA/AO","Gloucestershire","Male","170","160","25690","21830"
"In post","2021","AA/AO","Greater Manchester North East","Female","200","170","22320","21010"
"In post","2021","AA/AO","Greater Manchester North East","Male","150","140","23750","21070"
"In post","2021","AA/AO","Greater Manchester North West","Female","700","600","20870","21010"
"In post","2021","AA/AO","Greater Manchester North West","Male","350","340","23000","21010"
"In post","2021","AA/AO","Greater Manchester South East","Female","440","370","20730","21010"
"In post","2021","AA/AO","Greater Manchester South East","Male","260","250","21110","21010"
"In post","2021","AA/AO","Greater Manchester South West","Female","920","790","20540","20140"
"In post","2021","AA/AO","Greater Manchester South West","Male","770","730","20430","20140"
"In post","2021","AA/AO","Gwent Valleys","Female","240","200","20850","21010"
"In post","2021","AA/AO","Gwent Valleys","Male","100","90","21040","21010"
"In post","2021","AA/AO","Gwynedd","Female","260","230","21080","21010"
"In post","2021","AA/AO","Gwynedd","Male","150","140","21250","21010"
"In post","2021","AA/AO","Hackney and Newham","Female","510","430","24270","25060"
"In post","2021","AA/AO","Hackney and Newham","Male","250","240","24230","25110"
"In post","2021","AA/AO","Haringey and Islington","Female","350","330","26060","24590"
"In post","2021","AA/AO","Haringey and Islington","Male","350","340","29820","31730"
"In post","2021","AA/AO","Harrow and Hillingdon","Female","340","300","24860","25630"
"In post","2021","AA/AO","Harrow and Hillingdon","Male","270","260","25410","25630"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","Female","420","360","22120","21010"
"In post","2021","AA/AO","Hartlepool and Stockton-on-Tees","Male","390","370","24690","22850"
"In post","2021","AA/AO","Heart of Essex","Female","230","200","23200","21550"
"In post","2021","AA/AO","Heart of Essex","Male","220","210","27460","28400"
"In post","2021","AA/AO","Herefordshire, County of","Female","90","80","21080","20920"
"In post","2021","AA/AO","Herefordshire, County of","Male","130","130","27740","22500"
"In post","2021","AA/AO","Hertfordshire","Female","390","350","24070","24180"
"In post","2021","AA/AO","Hertfordshire","Male","300","300","26960","25390"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Female","470","430","25670","24660"
"In post","2021","AA/AO","Hounslow and Richmond upon Thames","Male","490","470","27960","25630"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Female","210","180","21250","21010"
"In post","2021","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","Male","130","120","22640","21430"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Female","250","220","21440","21010"
"In post","2021","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","Male","220","220","21910","20920"
"In post","2021","AA/AO","Isle of Anglesey","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Isle of Anglesey","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Isle of Wight","Female","230","200","22740","21010"
"In post","2021","AA/AO","Isle of Wight","Male","340","320","26230","25790"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","Female","200","180","29420","30220"
"In post","2021","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","Male","250","240","31050","33260"
"In post","2021","AA/AO","Kent Thames Gateway","Female","410","370","24770","23240"
"In post","2021","AA/AO","Kent Thames Gateway","Male","560","540","29470","31300"
"In post","2021","AA/AO","Kingston upon Hull, City of","Female","410","340","21970","21010"
"In post","2021","AA/AO","Kingston upon Hull, City of","Male","420","400","24820","23970"
"In post","2021","AA/AO","Lambeth","Female","250","240","26560","25110"
"In post","2021","AA/AO","Lambeth","Male","230","220","29370","30220"
"In post","2021","AA/AO","Lancaster and Wyre","Female","260","240","22290","21030"
"In post","2021","AA/AO","Lancaster and Wyre","Male","210","210","23650","21550"
"In post","2021","AA/AO","Leeds","Female","1430","1260","21450","21010"
"In post","2021","AA/AO","Leeds","Male","1320","1270","22350","21010"
"In post","2021","AA/AO","Leicester","Female","700","580","20820","21010"
"In post","2021","AA/AO","Leicester","Male","500","470","21550","21010"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Female","500","450","21870","20920"
"In post","2021","AA/AO","Leicestershire CC and Rutland","Male","450","440","24630","24120"
"In post","2021","AA/AO","Lewisham and Southwark","Female","120","110","23870","24210"
"In post","2021","AA/AO","Lewisham and Southwark","Male","160","140","27600","25630"
"In post","2021","AA/AO","Lincolnshire","Female","680","610","21340","21010"
"In post","2021","AA/AO","Lincolnshire","Male","610","590","23250","21360"
"In post","2021","AA/AO","Lisburn and Castlereagh","Female","100","90","21750","21880"
"In post","2021","AA/AO","Lisburn and Castlereagh","Male","100","100","20990","20310"
"In post","2021","AA/AO","Liverpool","Female","2140","1830","21130","21430"
"In post","2021","AA/AO","Liverpool","Male","1510","1430","21940","21430"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Female","60","50","22280","22230"
"In post","2021","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Male","100","90","24910","26530"
"In post","2021","AA/AO","Luton","Female","90","80","20080","20520"
"In post","2021","AA/AO","Luton","Male","40","40","[c]","[c]"
"In post","2021","AA/AO","Manchester","Female","1050","930","20990","20880"
"In post","2021","AA/AO","Manchester","Male","880","840","22520","21010"
"In post","2021","AA/AO","Medway","Female","340","310","24000","21710"
"In post","2021","AA/AO","Medway","Male","290","290","26490","28960"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","Female","90","80","22230","22340"
"In post","2021","AA/AO","Merton, Kingston upon Thames and Sutton","Male","50","40","[c]","[c]"
"In post","2021","AA/AO","Mid and East Antrim","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid and East Antrim","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mid Kent","Female","180","160","22830","21550"
"In post","2021","AA/AO","Mid Kent","Male","160","150","25870","26440"
"In post","2021","AA/AO","Mid Lancashire","Female","1560","1290","21060","21010"
"In post","2021","AA/AO","Mid Lancashire","Male","1270","1180","22080","21010"
"In post","2021","AA/AO","Milton Keynes","Female","400","380","24200","23270"
"In post","2021","AA/AO","Milton Keynes","Male","460","460","26080","24750"
"In post","2021","AA/AO","Monmouthshire and Newport","Female","700","590","20420","20100"
"In post","2021","AA/AO","Monmouthshire and Newport","Male","400","370","21830","21010"
"In post","2021","AA/AO","Monmouthshire and Newport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Na h-Eileanan Siar","Female","70","60","21550","21010"
"In post","2021","AA/AO","Na h-Eileanan Siar","Male","40","30","[c]","[c]"
"In post","2021","AA/AO","Newry, Mourne and Down","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Newry, Mourne and Down","Male","50","50","20380","20310"
"In post","2021","AA/AO","North and North East Lincolnshire","Female","220","180","20790","21010"
"In post","2021","AA/AO","North and North East Lincolnshire","Male","80","80","21100","21010"
"In post","2021","AA/AO","North and West Norfolk","Female","220","190","22410","20920"
"In post","2021","AA/AO","North and West Norfolk","Male","290","280","25540","22850"
"In post","2021","AA/AO","North Hampshire","Female","200","180","20910","20920"
"In post","2021","AA/AO","North Hampshire","Male","100","100","22050","20520"
"In post","2021","AA/AO","North Lanarkshire","Female","1010","800","20850","20810"
"In post","2021","AA/AO","North Lanarkshire","Male","450","420","21060","20140"
"In post","2021","AA/AO","North Northamptonshire","Female","160","120","20960","21010"
"In post","2021","AA/AO","North Northamptonshire","Male","50","50","[c]","[c]"
"In post","2021","AA/AO","North Nottinghamshire","Female","170","160","22770","21900"
"In post","2021","AA/AO","North Nottinghamshire","Male","250","240","25040","25300"
"In post","2021","AA/AO","North Yorkshire CC","Female","340","310","21450","20920"
"In post","2021","AA/AO","North Yorkshire CC","Male","470","460","24290","20720"
"In post","2021","AA/AO","Northumberland","Female","50","40","20640","20970"
"In post","2021","AA/AO","Northumberland","Male","40","40","[c]","[c]"
"In post","2021","AA/AO","Norwich and East Norfolk","Female","330","270","21220","21010"
"In post","2021","AA/AO","Norwich and East Norfolk","Male","310","300","23250","21830"
"In post","2021","AA/AO","Nottingham","Female","1170","1020","20830","20420"
"In post","2021","AA/AO","Nottingham","Male","920","870","21650","20660"
"In post","2021","AA/AO","Orkney Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Orkney Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Oxfordshire","Female","550","500","22920","21500"
"In post","2021","AA/AO","Oxfordshire","Male","590","580","25470","21580"
"In post","2021","AA/AO","Perth and Kinross and Stirling","Female","230","200","22760","22230"
"In post","2021","AA/AO","Perth and Kinross and Stirling","Male","240","230","24160","25870"
"In post","2021","AA/AO","Peterborough","Female","450","370","20900","21430"
"In post","2021","AA/AO","Peterborough","Male","240","220","21160","21430"
"In post","2021","AA/AO","Plymouth","Female","490","420","21460","21100"
"In post","2021","AA/AO","Plymouth","Male","510","490","24230","21100"
"In post","2021","AA/AO","Portsmouth","Female","710","600","21050","20920"
"In post","2021","AA/AO","Portsmouth","Male","640","620","24170","20690"
"In post","2021","AA/AO","Powys","Female","100","90","21680","21130"
"In post","2021","AA/AO","Powys","Male","120","120","20590","20620"
"In post","2021","AA/AO","Redbridge and Waltham Forest","Female","260","210","23710","25110"
"In post","2021","AA/AO","Redbridge and Waltham Forest","Male","110","110","23940","25110"
"In post","2021","AA/AO","Sandwell","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Sandwell","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Borders","Female","100","80","23650","24110"
"In post","2021","AA/AO","Scottish Borders","Male","80","80","23770","24110"
"In post","2021","AA/AO","Sefton","Female","1390","1130","20680","21010"
"In post","2021","AA/AO","Sefton","Male","850","800","20460","20140"
"In post","2021","AA/AO","Sheffield","Female","900","740","20910","21430"
"In post","2021","AA/AO","Sheffield","Male","680","650","20990","21430"
"In post","2021","AA/AO","Shetland Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shetland Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shropshire CC","Female","210","190","21910","21130"
"In post","2021","AA/AO","Shropshire CC","Male","240","240","24950","24890"
"In post","2021","AA/AO","Solihull","Female","140","120","21150","21430"
"In post","2021","AA/AO","Solihull","Male","80","70","21010","21430"
"In post","2021","AA/AO","Somerset","Female","290","240","20510","21010"
"In post","2021","AA/AO","Somerset","Male","240","240","20580","20520"
"In post","2021","AA/AO","South and West Derbyshire","Female","200","180","23850","22160"
"In post","2021","AA/AO","South and West Derbyshire","Male","140","130","25560","25300"
"In post","2021","AA/AO","South Ayrshire","Female","50","40","21590","21900"
"In post","2021","AA/AO","South Ayrshire","Male","40","30","[c]","[c]"
"In post","2021","AA/AO","South Hampshire","Female","680","460","20050","19520"
"In post","2021","AA/AO","South Hampshire","Male","670","480","20500","19520"
"In post","2021","AA/AO","South Lanarkshire","Female","920","740","20710","20140"
"In post","2021","AA/AO","South Lanarkshire","Male","500","470","20450","20140"
"In post","2021","AA/AO","South Nottinghamshire","Female","170","150","22850","21650"
"In post","2021","AA/AO","South Nottinghamshire","Male","180","170","25320","23970"
"In post","2021","AA/AO","South Teesside","Female","280","240","20520","21010"
"In post","2021","AA/AO","South Teesside","Male","160","150","20600","21010"
"In post","2021","AA/AO","South West Wales","Female","310","270","21590","21010"
"In post","2021","AA/AO","South West Wales","Male","170","170","21580","21010"
"In post","2021","AA/AO","Southampton","Female","210","170","20620","21010"
"In post","2021","AA/AO","Southampton","Male","80","70","21520","21140"
"In post","2021","AA/AO","Southend-on-Sea","Female","230","180","21580","21440"
"In post","2021","AA/AO","Southend-on-Sea","Male","90","80","21030","20650"
"In post","2021","AA/AO","Staffordshire CC","Female","840","770","22640","21550"
"In post","2021","AA/AO","Staffordshire CC","Male","890","860","24700","24120"
"In post","2021","AA/AO","Stoke-on-Trent","Female","420","350","19600","18880"
"In post","2021","AA/AO","Stoke-on-Trent","Male","180","170","19680","18880"
"In post","2021","AA/AO","Suffolk","Female","880","790","21880","21050"
"In post","2021","AA/AO","Suffolk","Male","810","790","24300","21500"
"In post","2021","AA/AO","Sunderland","Female","1770","1340","20770","21010"
"In post","2021","AA/AO","Sunderland","Male","610","560","20630","20230"
"In post","2021","AA/AO","Swansea","Female","3330","2690","20710","21590"
"In post","2021","AA/AO","Swansea","Male","1800","1700","21540","21590"
"In post","2021","AA/AO","Swindon","Female","70","60","19700","19570"
"In post","2021","AA/AO","Swindon","Male","40","40","[c]","[c]"
"In post","2021","AA/AO","Telford and Wrekin","Female","290","240","21280","21010"
"In post","2021","AA/AO","Telford and Wrekin","Male","170","170","22760","21130"
"In post","2021","AA/AO","Thurrock","Female","50","40","[c]","[c]"
"In post","2021","AA/AO","Thurrock","Male","70","60","21670","21430"
"In post","2021","AA/AO","Torbay","Female","100","70","20660","21010"
"In post","2021","AA/AO","Torbay","Male","50","50","20630","21010"
"In post","2021","AA/AO","Tower Hamlets","Female","300","270","23650","23500"
"In post","2021","AA/AO","Tower Hamlets","Male","190","180","23540","23500"
"In post","2021","AA/AO","Tyneside","Female","3980","3200","20720","21010"
"In post","2021","AA/AO","Tyneside","Male","2550","2410","20680","21010"
"In post","2021","AA/AO","Unknown","Female","160","140","22450","21010"
"In post","2021","AA/AO","Unknown","Male","90","80","21840","21010"
"In post","2021","AA/AO","Wakefield","Female","370","330","24250","21950"
"In post","2021","AA/AO","Wakefield","Male","390","360","26870","26440"
"In post","2021","AA/AO","Walsall","Female","170","140","20610","21010"
"In post","2021","AA/AO","Walsall","Male","80","80","20640","21010"
"In post","2021","AA/AO","Wandsworth","Female","320","290","27940","25860"
"In post","2021","AA/AO","Wandsworth","Male","330","320","30990","33260"
"In post","2021","AA/AO","Warrington","Female","420","370","22120","21010"
"In post","2021","AA/AO","Warrington","Male","340","320","25040","24120"
"In post","2021","AA/AO","Warwickshire","Female","290","250","20650","21010"
"In post","2021","AA/AO","Warwickshire","Male","200","190","21370","21010"
"In post","2021","AA/AO","West Cumbria","Female","360","300","21480","21050"
"In post","2021","AA/AO","West Cumbria","Male","220","210","23490","21050"
"In post","2021","AA/AO","West Essex","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","West Essex","Male","50","50","20290","20230"
"In post","2021","AA/AO","West Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","West Kent","Male","30","30","[c]","[c]"
"In post","2021","AA/AO","West Lothian","Female","110","100","21750","21070"
"In post","2021","AA/AO","West Lothian","Male","70","70","23290","21010"
"In post","2021","AA/AO","West Northamptonshire","Female","330","290","20730","20100"
"In post","2021","AA/AO","West Northamptonshire","Male","220","210","23430","22850"
"In post","2021","AA/AO","West Surrey","Female","420","390","24250","24370"
"In post","2021","AA/AO","West Surrey","Male","330","320","25720","24370"
"In post","2021","AA/AO","West Sussex (North East)","Female","100","90","22170","22360"
"In post","2021","AA/AO","West Sussex (North East)","Male","50","50","[c]","[c]"
"In post","2021","AA/AO","West Sussex (South West)","Female","210","170","21030","21010"
"In post","2021","AA/AO","West Sussex (South West)","Male","180","170","22780","21440"
"In post","2021","AA/AO","Westminster","Female","1390","1290","24250","24120"
"In post","2021","AA/AO","Westminster","Male","1150","1140","24600","24120"
"In post","2021","AA/AO","Wiltshire","Female","690","640","21250","20920"
"In post","2021","AA/AO","Wiltshire","Male","560","550","23080","20920"
"In post","2021","AA/AO","Wirral","Female","690","560","21000","21010"
"In post","2021","AA/AO","Wirral","Male","320","300","21220","21010"
"In post","2021","AA/AO","Wolverhampton","Female","260","200","20280","20180"
"In post","2021","AA/AO","Wolverhampton","Male","110","100","20430","21010"
"In post","2021","AA/AO","Worcestershire","Female","570","510","22380","21050"
"In post","2021","AA/AO","Worcestershire","Male","550","540","25180","24440"
"In post","2021","AA/AO","York","Female","340","300","21490","21010"
"In post","2021","AA/AO","York","Male","230","230","21600","20920"
"In post","2021","EO","Aberdeen City and Aberdeenshire","Female","320","290","28410","27570"
"In post","2021","EO","Aberdeen City and Aberdeenshire","Male","280","270","30280","29190"
"In post","2021","EO","Angus and Dundee City","Female","330","290","27440","27570"
"In post","2021","EO","Angus and Dundee City","Male","160","150","27410","27570"
"In post","2021","EO","Antrim and Newtownabbey","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Antrim and Newtownabbey","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Barking & Dagenham and Havering","Female","230","200","30990","31060"
"In post","2021","EO","Barking & Dagenham and Havering","Male","150","150","30970","31060"
"In post","2021","EO","Barnet","Female","290","270","30080","31060"
"In post","2021","EO","Barnet","Male","150","140","29970","30780"
"In post","2021","EO","Barnsley, Doncaster and Rotherham","Female","610","510","27540","27570"
