"Status","Year","Age","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","16-19","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Digital, Data and Technology","50","40","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Economics","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Operational Delivery","1040","1020","23490","21950"
"Leaver CS","2021","20-29","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Other","90","90","25160","23320"
"Leaver CS","2021","20-29","Heterosexual / straight","Policy","80","80","34260","33300"
"Leaver CS","2021","20-29","Heterosexual / straight","Project Delivery","60","50","28670","26490"
"Leaver CS","2021","20-29","Heterosexual / straight","Property","30","30","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Science and Engineering","170","160","23440","23180"
"Leaver CS","2021","20-29","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Heterosexual / straight","Unknown","590","570","24980","21770"
"Leaver CS","2021","20-29","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Operational Delivery","120","120","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","LGBO","Unknown","90","80","25330","22650"
"Leaver CS","2021","20-29","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Operational Delivery","100","100","24370","22150"
"Leaver CS","2021","20-29","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Economics","30","30","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Operational Delivery","820","800","22180","21050"
"Leaver CS","2021","20-29","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Other","100","100","26370","25300"
"Leaver CS","2021","20-29","Unknown","Policy","130","130","26850","24370"
"Leaver CS","2021","20-29","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Property","50","40","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Science and Engineering","60","60","24810","24370"
"Leaver CS","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","1020","910","27120","27570"
"Leaver CS","2021","30-39","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Communications","40","30","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Digital, Data and Technology","50","50","44910","41970"
"Leaver CS","2021","30-39","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Legal","50","40","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Medicine","40","30","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Operational Delivery","800","740","28290","24110"
"Leaver CS","2021","30-39","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Other","110","100","29380","27180"
"Leaver CS","2021","30-39","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Policy","100","100","44450","40510"
"Leaver CS","2021","30-39","Heterosexual / straight","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Psychology","30","30","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Science and Engineering","90","80","34890","35690"
"Leaver CS","2021","30-39","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Heterosexual / straight","Unknown","430","400","30370","27570"
"Leaver CS","2021","30-39","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Operational Delivery","60","60","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","30-39","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Operational Delivery","110","110","28190","25080"
"Leaver CS","2021","30-39","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Operational Delivery","420","400","26550","22680"
"Leaver CS","2021","30-39","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Other","60","60","30600","29930"
"Leaver CS","2021","30-39","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Policy","80","70","44870","40510"
"Leaver CS","2021","30-39","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Science and Engineering","50","40","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Unknown","900","780","31190","27570"
"Leaver CS","2021","30-39","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Human Resources","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Legal","40","30","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Medicine","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Operational Delivery","540","500","30130","25630"
"Leaver CS","2021","40-49","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Other","120","110","32100","29930"
"Leaver CS","2021","40-49","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Policy","80","80","55640","53760"
"Leaver CS","2021","40-49","Heterosexual / straight","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Science and Engineering","60","60","38630","39400"
"Leaver CS","2021","40-49","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Unknown","390","350","31260","26890"
"Leaver CS","2021","40-49","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Operational Delivery","30","30","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Operational Delivery","90","80","31480","26380"
"Leaver CS","2021","40-49","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Operational Delivery","320","300","28310","22680"
"Leaver CS","2021","40-49","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Other","60","60","39350","33330"
"Leaver CS","2021","40-49","Unknown","Policy","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Unknown","980","850","31790","27570"
"Leaver CS","2021","40-49","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
