"Status","Year","Profession_of_post","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","G6/G7","London","650","630","59240","57470"
"In post","2021","Communications","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","North West (England)","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","South West (England)","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","Wales","50","40","[c]","[c]"
"In post","2021","Communications","G6/G7","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Communications","G6/G7","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Communications","SCS","London","100","100","88190","82220"
"In post","2021","Communications","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","East Midlands (England)","60","50","35500","36340"
"In post","2021","Communications","SEO/HEO","East of England","40","40","[c]","[c]"
"In post","2021","Communications","SEO/HEO","London","1040","1030","39550","39560"
"In post","2021","Communications","SEO/HEO","North East (England)","60","60","34980","33280"
"In post","2021","Communications","SEO/HEO","North West (England)","110","110","35330","35570"
"In post","2021","Communications","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Scotland","40","40","[c]","[c]"
"In post","2021","Communications","SEO/HEO","South East (England)","140","140","36280","36030"
"In post","2021","Communications","SEO/HEO","South West (England)","180","170","35560","35240"
"In post","2021","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Wales","190","180","37290","37410"
"In post","2021","Communications","SEO/HEO","West Midlands (England)","70","70","37550","36960"
"In post","2021","Communications","SEO/HEO","Yorkshire and The Humber","60","60","36590","36520"
"In post","2021","Communications","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","London","40","40","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","London","70","60","28180","28750"
"In post","2021","Counter Fraud","EO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Scotland","40","30","[c]","[c]"
"In post","2021","Counter Fraud","EO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","London","90","90","63360","61900"
"In post","2021","Counter Fraud","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","London","230","230","38390","40000"
"In post","2021","Counter Fraud","SEO/HEO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","North West (England)","70","70","37620","38610"
"In post","2021","Counter Fraud","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","West Midlands (England)","60","60","37150","37380"
"In post","2021","Counter Fraud","SEO/HEO","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","London","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","South East (England)","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","South West (England)","90","90","21160","21040"
"In post","2021","Digital, Data and Technology","AA/AO","Wales","100","90","21990","21590"
"In post","2021","Digital, Data and Technology","AA/AO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","East Midlands (England)","70","60","26860","26670"
"In post","2021","Digital, Data and Technology","EO","East of England","100","100","26680","26460"
"In post","2021","Digital, Data and Technology","EO","London","290","290","29510","29500"
"In post","2021","Digital, Data and Technology","EO","North East (England)","80","80","26240","25560"
"In post","2021","Digital, Data and Technology","EO","North West (England)","180","170","26360","25880"
"In post","2021","Digital, Data and Technology","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Scotland","130","120","27910","26930"
"In post","2021","Digital, Data and Technology","EO","South East (England)","200","190","27640","26670"
"In post","2021","Digital, Data and Technology","EO","South West (England)","430","410","27610","26750"
"In post","2021","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Wales","470","450","27510","26670"
"In post","2021","Digital, Data and Technology","EO","West Midlands (England)","120","120","26320","26000"
"In post","2021","Digital, Data and Technology","EO","Yorkshire and The Humber","150","150","26490","25740"
"In post","2021","Digital, Data and Technology","G6/G7","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","East of England","70","70","54360","52580"
"In post","2021","Digital, Data and Technology","G6/G7","London","1280","1260","62330","60770"
"In post","2021","Digital, Data and Technology","G6/G7","North East (England)","170","170","53740","52580"
"In post","2021","Digital, Data and Technology","G6/G7","North West (England)","250","250","55900","53270"
"In post","2021","Digital, Data and Technology","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Scotland","110","110","55820","54880"
"In post","2021","Digital, Data and Technology","G6/G7","South East (England)","180","170","55880","53440"
"In post","2021","Digital, Data and Technology","G6/G7","South West (England)","420","400","55140","54080"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Wales","400","390","58260","56490"
"In post","2021","Digital, Data and Technology","G6/G7","West Midlands (England)","250","250","55900","52580"
"In post","2021","Digital, Data and Technology","G6/G7","Yorkshire and The Humber","290","280","55810","52940"
"In post","2021","Digital, Data and Technology","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","London","120","120","94880","90710"
"In post","2021","Digital, Data and Technology","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","East Midlands (England)","150","150","37730","36630"
"In post","2021","Digital, Data and Technology","SEO/HEO","East of England","300","280","35630","35000"
"In post","2021","Digital, Data and Technology","SEO/HEO","London","1550","1520","40140","40270"
"In post","2021","Digital, Data and Technology","SEO/HEO","North East (England)","420","400","35260","35900"
"In post","2021","Digital, Data and Technology","SEO/HEO","North West (England)","580","560","35680","35900"
"In post","2021","Digital, Data and Technology","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Scotland","330","330","37330","36780"
"In post","2021","Digital, Data and Technology","SEO/HEO","South East (England)","410","390","36300","36010"
"In post","2021","Digital, Data and Technology","SEO/HEO","South West (England)","1190","1150","38380","38450"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Wales","1040","1020","38840","38000"
"In post","2021","Digital, Data and Technology","SEO/HEO","West Midlands (England)","470","450","35860","35900"
"In post","2021","Digital, Data and Technology","SEO/HEO","Yorkshire and The Humber","430","420","35280","35900"
"In post","2021","Digital, Data and Technology","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","London","60","60","24200","24120"
"In post","2021","Economics","AA/AO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","London","90","90","27720","27680"
"In post","2021","Economics","EO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","London","770","740","60320","58710"
"In post","2021","Economics","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Overseas","40","40","[c]","[c]"
"In post","2021","Economics","G6/G7","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Wales","60","60","56850","56620"
"In post","2021","Economics","G6/G7","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","London","80","80","89940","82660"
"In post","2021","Economics","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","London","770","760","35200","34090"
"In post","2021","Economics","SEO/HEO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Wales","60","60","33280","31050"
"In post","2021","Economics","SEO/HEO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Finance","AA/AO","East of England","60","50","20960","20920"
"In post","2021","Finance","AA/AO","London","80","80","24380","24350"
"In post","2021","Finance","AA/AO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","North West (England)","90","80","21210","21160"
"In post","2021","Finance","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Scotland","400","310","21160","20920"
"In post","2021","Finance","AA/AO","South East (England)","100","90","21570","21440"
"In post","2021","Finance","AA/AO","South West (England)","60","50","21340","21020"
"In post","2021","Finance","AA/AO","Wales","130","120","21780","21590"
"In post","2021","Finance","AA/AO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Yorkshire and The Humber","170","130","20750","20640"
"In post","2021","Finance","EO","East Midlands (England)","50","40","[c]","[c]"
"In post","2021","Finance","EO","East of England","80","80","27430","26670"
"In post","2021","Finance","EO","London","300","290","28740","29000"
"In post","2021","Finance","EO","North East (England)","50","50","26120","26000"
"In post","2021","Finance","EO","North West (England)","100","100","25740","25970"
"In post","2021","Finance","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Scotland","100","90","26950","26510"
"In post","2021","Finance","EO","South East (England)","230","220","27070","26670"
"In post","2021","Finance","EO","South West (England)","290","280","24200","25500"
"In post","2021","Finance","EO","Wales","160","150","27430","28850"
"In post","2021","Finance","EO","West Midlands (England)","90","90","25840","26000"
"In post","2021","Finance","EO","Yorkshire and The Humber","150","140","25520","25560"
"In post","2021","Finance","G6/G7","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Finance","G6/G7","East of England","60","60","56580","54800"
"In post","2021","Finance","G6/G7","London","920","900","61760","59730"
"In post","2021","Finance","G6/G7","North East (England)","90","90","54990","52580"
