"Status","Year","Parent_department","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Declared non-disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","London","50","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","London","40","40","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","North West (England)","160","150","32980","29160"
"In post","2021","Charity Commission","Declared non-disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","London","30","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","North West (England)","130","120","32520","29160"
"In post","2021","Charity Commission","Unknown","South West (England)","30","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","London","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","London","660","640","59810","56360"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Scotland","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","London","80","70","72600","74650"
"In post","2021","Competition and Markets Authority","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","London","490","480","46800","41100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","North West (England)","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","South West (England)","110","110","36030","32770"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Wales","170","160","34650","30350"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","West Midlands (England)","70","70","31470","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","East Midlands (England)","90","80","35560","36060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","East of England","120","110","36520","38510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","London","3750","3660","49880","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","North East (England)","80","80","32340","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","North West (England)","230","220","34550","34560"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Scotland","240","230","38150","34010"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","South East (England)","160","150","36450","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","South West (England)","1820","1740","40530","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Wales","1780","1660","36520","30720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","West Midlands (England)","390","370","35170","33910"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Yorkshire and The Humber","90","90","37210","36400"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","London","270","270","50560","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Wales","70","60","30260","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","East Midlands (England)","100","90","29440","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","East of England","70","70","28840","26000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","London","1100","1080","44430","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","North East (England)","100","100","30390","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","North West (England)","170","160","30520","26380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Scotland","120","110","29660","24290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","South East (England)","60","60","31390","27500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","South West (England)","130","120","32130","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Wales","770","720","30650","24730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","West Midlands (England)","190","180","29350","24570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Yorkshire and The Humber","90","80","28140","26190"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","London","110","110","47390","40690"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","London","1270","1250","49920","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","North West (England)","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","London","70","70","46430","51440"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","London","260","250","48770","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","London","220","210","49700","45940"
"In post","2021","Department for Education","Declared disabled","North East (England)","80","70","36420","36500"
"In post","2021","Department for Education","Declared disabled","North West (England)","110","110","37750","35000"
"In post","2021","Department for Education","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","West Midlands (England)","100","100","38920","36680"
"In post","2021","Department for Education","Declared disabled","Yorkshire and The Humber","160","150","37740","36500"
"In post","2021","Department for Education","Declared non-disabled","East Midlands (England)","220","210","42620","37270"
"In post","2021","Department for Education","Declared non-disabled","East of England","60","50","47410","46180"
"In post","2021","Department for Education","Declared non-disabled","London","1830","1760","51390","53760"
"In post","2021","Department for Education","Declared non-disabled","North East (England)","570","550","38840","36780"
"In post","2021","Department for Education","Declared non-disabled","North West (England)","760","740","42010","37100"
"In post","2021","Department for Education","Declared non-disabled","South West (England)","150","140","44900","42100"
"In post","2021","Department for Education","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared non-disabled","West Midlands (England)","950","930","41990","37100"
"In post","2021","Department for Education","Declared non-disabled","Yorkshire and The Humber","1040","990","42540","37100"
"In post","2021","Department for Education","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","London","110","110","52470","53420"
"In post","2021","Department for Education","Undeclared","North East (England)","50","40","[c]","[c]"
"In post","2021","Department for Education","Undeclared","North West (England)","50","40","[c]","[c]"
"In post","2021","Department for Education","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Yorkshire and The Humber","90","90","40340","36780"
"In post","2021","Department for Education","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","London","470","460","45750","40230"
"In post","2021","Department for Education","Unknown","North East (England)","90","90","35200","30320"
"In post","2021","Department for Education","Unknown","North West (England)","230","230","35620","32870"
"In post","2021","Department for Education","Unknown","South West (England)","50","40","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","West Midlands (England)","190","180","35840","32870"
"In post","2021","Department for Education","Unknown","Yorkshire and The Humber","210","200","34380","30000"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","East of England","70","70","31800","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","London","260","250","41640","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","North East (England)","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","North West (England)","160","140","29940","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","South East (England)","160","150","33410","30110"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","South West (England)","190","180","33550","29740"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Wales","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","West Midlands (England)","70","60","32840","29430"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Yorkshire and The Humber","110","110","33070","30730"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","East Midlands (England)","190","180","32310","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","East of England","590","560","33240","29750"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","London","1810","1750","45080","39910"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","North East (England)","450","420","31740","27090"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","North West (England)","1170","1070","27910","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Scotland","110","100","32970","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","South East (England)","1050","1000","35930","31900"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","South West (England)","1280","1210","35180","31070"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Wales","260","250","29230","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","West Midlands (England)","500","470","32630","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Yorkshire and The Humber","840","810","34780","30230"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","East of England","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","London","90","90","42830","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","North West (England)","50","50","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","South East (England)","60","60","39500","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","South West (England)","70","70","36120","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","East of England","150","140","39090","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","London","440","430","46700","39910"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","North East (England)","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","North West (England)","60","60","37890","36260"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","South East (England)","110","100","35920","32800"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","South West (England)","240","220","35190","30250"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Wales","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Yorkshire and The Humber","100","100","36540","35900"
"In post","2021","Department for International Trade","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","London","170","170","44700","38540"
"In post","2021","Department for International Trade","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","London","1180","1160","46100","39460"
"In post","2021","Department for International Trade","Declared non-disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","Overseas","90","90","57120","54600"
"In post","2021","Department for International Trade","Declared non-disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","South East (England)","90","90","47250","51970"
"In post","2021","Department for International Trade","Declared non-disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","London","60","60","47060","47870"
"In post","2021","Department for International Trade","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
