"Status","Year","Organisation","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","30-39","60","60","33160","30140"
"In post","2021","Charity Commission","SEO/HEO","40-49","70","70","32260","29420"
"In post","2021","Charity Commission","SEO/HEO","50-59","70","70","33880","31500"
"In post","2021","Charity Commission","SEO/HEO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","20-29","60","50","20210","19850"
"In post","2021","Companies House","AA/AO","30-39","80","70","21550","22490"
"In post","2021","Companies House","AA/AO","40-49","70","60","22050","22490"
"In post","2021","Companies House","AA/AO","50-59","130","110","22080","22490"
"In post","2021","Companies House","AA/AO","60-64","60","50","22140","22490"
"In post","2021","Companies House","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","20-29","50","50","[c]","[c]"
"In post","2021","Companies House","EO","30-39","70","60","27040","25100"
"In post","2021","Companies House","EO","40-49","60","60","27910","25460"
"In post","2021","Companies House","EO","50-59","80","80","28240","27460"
"In post","2021","Companies House","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","40-49","30","30","[c]","[c]"
"In post","2021","Companies House","G6/G7","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","30-39","90","90","37970","38000"
"In post","2021","Companies House","SEO/HEO","40-49","90","90","39130","38000"
"In post","2021","Companies House","SEO/HEO","50-59","80","70","39480","39820"
"In post","2021","Companies House","SEO/HEO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","20-29","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","30-39","190","190","65990","62890"
"In post","2021","Competition and Markets Authority","G6/G7","40-49","130","120","69180","72430"
"In post","2021","Competition and Markets Authority","G6/G7","50-59","60","60","66980","63710"
"In post","2021","Competition and Markets Authority","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","40-49","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","50-59","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","20-29","60","60","35580","34570"
"In post","2021","Competition and Markets Authority","SEO/HEO","30-39","60","60","37460","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","40-49","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","50-59","40","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","40-49","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","50-59","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","30-39","30","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","20-29","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","30-39","60","60","49270","48240"
"In post","2021","Crown Commercial Service","G6/G7","40-49","60","60","53320","55010"
"In post","2021","Crown Commercial Service","G6/G7","50-59","60","60","54980","55230"
"In post","2021","Crown Commercial Service","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","20-29","80","80","30670","27980"
"In post","2021","Crown Commercial Service","SEO/HEO","30-39","140","140","32370","32920"
"In post","2021","Crown Commercial Service","SEO/HEO","40-49","110","110","34000","34800"
"In post","2021","Crown Commercial Service","SEO/HEO","50-59","90","80","34910","34800"
"In post","2021","Crown Commercial Service","SEO/HEO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","20-29","200","190","21610","21490"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","30-39","130","110","21880","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","40-49","110","100","22170","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","50-59","180","160","22110","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","60-64","60","50","22190","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","20-29","100","90","26030","25410"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","30-39","70","70","27160","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","40-49","60","60","27740","27790"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","50-59","80","70","28350","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","30-39","50","50","63580","63670"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","40-49","80","70","68000","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","50-59","60","50","67360","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","20-29","90","90","36320","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","30-39","270","260","41350","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","40-49","180","160","44870","45690"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","50-59","190","170","42420","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","60-64","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","20-29","430","420","21630","21950"
"In post","2021","Crown Prosecution Service","AA/AO","30-39","190","170","22250","21950"
"In post","2021","Crown Prosecution Service","AA/AO","40-49","310","270","22570","21950"
"In post","2021","Crown Prosecution Service","AA/AO","50-59","370","340","22560","21950"
"In post","2021","Crown Prosecution Service","AA/AO","60-64","100","80","22620","21950"
"In post","2021","Crown Prosecution Service","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","20-29","260","250","26440","26450"
"In post","2021","Crown Prosecution Service","EO","30-39","230","210","27170","26970"
"In post","2021","Crown Prosecution Service","EO","40-49","340","310","28360","28430"
"In post","2021","Crown Prosecution Service","EO","50-59","440","410","28770","28430"
