"Status","Year","Region_ITL2","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Declared non-disabled","520","480","60120","57460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","160","140","60400","56170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Declared disabled","230","220","37530","35700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Declared non-disabled","1570","1510","38260","36990"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Undeclared","180","170","39190","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","300","280","38150","38200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Declared disabled","80","80","29760","30210"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Declared non-disabled","330","310","29590","28200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","60","60","31340","24020"
"In post","2021","Cheshire","AA/AO","Declared disabled","130","110","21950","21010"
"In post","2021","Cheshire","AA/AO","Declared non-disabled","760","680","22990","21010"
"In post","2021","Cheshire","AA/AO","Undeclared","140","130","26360","26070"
"In post","2021","Cheshire","AA/AO","Unknown","190","180","22270","21300"
"In post","2021","Cheshire","EO","Declared disabled","160","150","28140","27570"
"In post","2021","Cheshire","EO","Declared non-disabled","730","690","28650","27570"
"In post","2021","Cheshire","EO","Undeclared","60","60","29510","27570"
"In post","2021","Cheshire","EO","Unknown","480","470","31410","30640"
"In post","2021","Cheshire","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Declared non-disabled","130","130","56780","55080"
"In post","2021","Cheshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Unknown","40","30","[c]","[c]"
"In post","2021","Cheshire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Declared disabled","60","50","36870","36740"
"In post","2021","Cheshire","SEO/HEO","Declared non-disabled","470","450","39100","38160"
"In post","2021","Cheshire","SEO/HEO","Undeclared","50","50","38080","36480"
"In post","2021","Cheshire","SEO/HEO","Unknown","270","260","40840","40210"
"In post","2021","Cheshire","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cheshire","Unknown","Declared non-disabled","140","140","30180","30210"
"In post","2021","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Declared disabled","90","80","20810","21010"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Declared non-disabled","490","440","20810","21010"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Undeclared","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Unknown","90","80","21020","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","Declared disabled","80","70","27480","27570"
"In post","2021","Cornwall and Isles of Scilly","EO","Declared non-disabled","460","420","27280","27570"
"In post","2021","Cornwall and Isles of Scilly","EO","Undeclared","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Unknown","50","50","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Declared non-disabled","160","150","35690","34290"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Declared disabled","100","90","21100","21050"
"In post","2021","Cumbria","AA/AO","Declared non-disabled","750","660","21630","21050"
"In post","2021","Cumbria","AA/AO","Undeclared","50","40","[c]","[c]"
"In post","2021","Cumbria","AA/AO","Unknown","40","30","[c]","[c]"
"In post","2021","Cumbria","EO","Declared disabled","70","60","26450","27570"
"In post","2021","Cumbria","EO","Declared non-disabled","450","400","26080","26030"
"In post","2021","Cumbria","EO","Undeclared","30","30","[c]","[c]"
"In post","2021","Cumbria","EO","Unknown","30","30","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Declared non-disabled","60","60","53560","51470"
"In post","2021","Cumbria","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Declared non-disabled","230","220","34410","32610"
"In post","2021","Cumbria","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Declared non-disabled","190","180","37880","34340"
"In post","2021","Cumbria","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Declared disabled","450","410","21820","21010"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Declared non-disabled","2330","2100","22160","21010"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Undeclared","280","250","23870","21130"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Unknown","730","690","21410","20140"
"In post","2021","Derbyshire and Nottinghamshire","EO","Declared disabled","540","490","26830","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","Declared non-disabled","2290","2090","26760","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","Undeclared","220","200","27450","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","Unknown","510","490","26300","25560"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Declared disabled","100","90","57290","52590"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Declared non-disabled","850","810","57460","53430"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Unknown","150","150","56240","52580"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Declared non-disabled","60","60","89940","83850"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Declared disabled","340","320","35360","33350"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Declared non-disabled","2190","2060","35720","33840"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Undeclared","220","210","36520","34060"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Unknown","490","470","34150","31810"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Declared disabled","120","110","29920","28200"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Declared non-disabled","330","300","30530","30210"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","AA/AO","Declared disabled","370","320","21830","21010"
"In post","2021","Devon","AA/AO","Declared non-disabled","2000","1780","22180","21010"
"In post","2021","Devon","AA/AO","Undeclared","200","170","23990","21050"
"In post","2021","Devon","AA/AO","Unknown","520","490","22740","21100"
"In post","2021","Devon","EO","Declared disabled","310","280","27390","27570"
"In post","2021","Devon","EO","Declared non-disabled","1650","1500","26890","27570"
"In post","2021","Devon","EO","Undeclared","130","120","27730","27570"
"In post","2021","Devon","EO","Unknown","250","240","27070","27130"
"In post","2021","Devon","G6/G7","Declared disabled","30","30","[c]","[c]"
"In post","2021","Devon","G6/G7","Declared non-disabled","750","710","54610","51960"
"In post","2021","Devon","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Devon","G6/G7","Unknown","40","40","[c]","[c]"
"In post","2021","Devon","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SEO/HEO","Declared disabled","190","180","37030","35310"
"In post","2021","Devon","SEO/HEO","Declared non-disabled","1950","1840","37620","38160"
"In post","2021","Devon","SEO/HEO","Undeclared","100","90","38250","38160"
"In post","2021","Devon","SEO/HEO","Unknown","160","160","38310","38450"
"In post","2021","Devon","Unknown","Declared disabled","60","50","32510","32050"
"In post","2021","Devon","Unknown","Declared non-disabled","220","210","34380","32300"
"In post","2021","Devon","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","AA/AO","Declared disabled","200","180","22200","21010"
"In post","2021","Dorset and Somerset","AA/AO","Declared non-disabled","1140","1060","22340","21010"
"In post","2021","Dorset and Somerset","AA/AO","Undeclared","140","130","24500","21550"
"In post","2021","Dorset and Somerset","AA/AO","Unknown","240","230","21870","22350"
"In post","2021","Dorset and Somerset","EO","Declared disabled","210","190","27490","27570"
"In post","2021","Dorset and Somerset","EO","Declared non-disabled","1130","1020","27400","27570"
"In post","2021","Dorset and Somerset","EO","Undeclared","110","100","27730","27570"
"In post","2021","Dorset and Somerset","EO","Unknown","180","160","26690","26740"
"In post","2021","Dorset and Somerset","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","G6/G7","Declared non-disabled","130","120","57950","54430"
"In post","2021","Dorset and Somerset","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","G6/G7","Unknown","50","50","61270","58110"
"In post","2021","Dorset and Somerset","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","SEO/HEO","Declared disabled","140","130","37120","35320"
"In post","2021","Dorset and Somerset","SEO/HEO","Declared non-disabled","980","930","36490","34150"
"In post","2021","Dorset and Somerset","SEO/HEO","Undeclared","130","120","37070","36300"
"In post","2021","Dorset and Somerset","SEO/HEO","Unknown","190","180","36390","33840"
"In post","2021","Dorset and Somerset","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Declared non-disabled","160","140","28640","28200"
"In post","2021","Dorset and Somerset","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","AA/AO","Declared disabled","490","440","22780","21100"
"In post","2021","East Anglia","AA/AO","Declared non-disabled","3340","3050","23150","21430"
"In post","2021","East Anglia","AA/AO","Undeclared","510","460","25530","23240"
"In post","2021","East Anglia","AA/AO","Unknown","620","590","23210","21500"
"In post","2021","East Anglia","EO","Declared disabled","430","390","27630","27570"
"In post","2021","East Anglia","EO","Declared non-disabled","2320","2150","27390","27570"
"In post","2021","East Anglia","EO","Undeclared","270","250","29000","27570"
"In post","2021","East Anglia","EO","Unknown","260","250","26920","26670"
"In post","2021","East Anglia","G6/G7","Declared disabled","50","50","57650","54540"
"In post","2021","East Anglia","G6/G7","Declared non-disabled","480","460","59020","55610"
"In post","2021","East Anglia","G6/G7","Undeclared","50","40","[c]","[c]"
"In post","2021","East Anglia","G6/G7","Unknown","150","150","56720","54540"
"In post","2021","East Anglia","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SCS","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","East Anglia","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","SEO/HEO","Declared disabled","320","300","36310","34190"
"In post","2021","East Anglia","SEO/HEO","Declared non-disabled","1990","1900","36070","33840"
"In post","2021","East Anglia","SEO/HEO","Undeclared","260","250","37380","36010"
"In post","2021","East Anglia","SEO/HEO","Unknown","370","350","35000","34500"
"In post","2021","East Anglia","Unknown","Declared disabled","70","70","30910","30550"
"In post","2021","East Anglia","Unknown","Declared non-disabled","370","340","29580","30210"
"In post","2021","East Anglia","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","AA/AO","Declared disabled","530","470","21100","21010"
"In post","2021","East Wales","AA/AO","Declared non-disabled","3540","3210","21620","21010"
"In post","2021","East Wales","AA/AO","Undeclared","280","250","22370","21350"
"In post","2021","East Wales","AA/AO","Unknown","1380","1260","20830","20140"
"In post","2021","East Wales","EO","Declared disabled","510","470","26910","27570"
"In post","2021","East Wales","EO","Declared non-disabled","3620","3360","26950","27570"
"In post","2021","East Wales","EO","Undeclared","330","310","28040","27570"
"In post","2021","East Wales","EO","Unknown","1050","1010","25380","25560"
"In post","2021","East Wales","G6/G7","Declared disabled","170","160","57760","57130"
"In post","2021","East Wales","G6/G7","Declared non-disabled","1800","1720","58260","58210"
"In post","2021","East Wales","G6/G7","Undeclared","70","70","58370","57130"
"In post","2021","East Wales","G6/G7","Unknown","380","360","54970","52580"
"In post","2021","East Wales","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","SCS","Declared non-disabled","210","200","86430","78460"
"In post","2021","East Wales","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","SEO/HEO","Declared disabled","480","450","35520","34490"
"In post","2021","East Wales","SEO/HEO","Declared non-disabled","4000","3810","36870","37020"
"In post","2021","East Wales","SEO/HEO","Undeclared","280","270","36550","36260"
"In post","2021","East Wales","SEO/HEO","Unknown","1220","1180","34200","32030"
"In post","2021","East Wales","Unknown","Declared disabled","70","70","31190","30210"
"In post","2021","East Wales","Unknown","Declared non-disabled","340","320","30320","30210"
"In post","2021","East Wales","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","Unknown","50","50","26920","26250"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","Declared disabled","190","160","22630","21010"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","Declared non-disabled","1460","1320","23770","21710"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","Undeclared","200","180","27020","27680"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","Unknown","280","270","23360","22350"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","Declared disabled","220","200","27460","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","Declared non-disabled","1190","1090","27700","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","Undeclared","130","120","29630","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","Unknown","120","120","26840","26930"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","Declared non-disabled","60","60","61330","58040"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","Declared disabled","50","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","Declared non-disabled","430","400","36760","33840"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","Undeclared","70","70","38460","37280"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Declared non-disabled","190","170","30160","30210"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","AA/AO","Declared disabled","590","540","22010","21010"
"In post","2021","Eastern Scotland","AA/AO","Declared non-disabled","2860","2630","21680","21010"
"In post","2021","Eastern Scotland","AA/AO","Undeclared","190","170","21310","21010"
"In post","2021","Eastern Scotland","AA/AO","Unknown","2610","2450","22440","22160"
"In post","2021","Eastern Scotland","EO","Declared disabled","640","580","28790","27570"
"In post","2021","Eastern Scotland","EO","Declared non-disabled","2510","2340","27680","27570"
"In post","2021","Eastern Scotland","EO","Undeclared","140","130","27590","27570"
"In post","2021","Eastern Scotland","EO","Unknown","1900","1800","30420","30080"
"In post","2021","Eastern Scotland","G6/G7","Declared disabled","190","180","60830","61010"
"In post","2021","Eastern Scotland","G6/G7","Declared non-disabled","1530","1450","62140","61010"
"In post","2021","Eastern Scotland","G6/G7","Undeclared","60","50","59490","60560"
"In post","2021","Eastern Scotland","G6/G7","Unknown","790","760","61460","61010"
"In post","2021","Eastern Scotland","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","SCS","Declared non-disabled","150","140","91070","83230"
"In post","2021","Eastern Scotland","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","SCS","Unknown","60","60","90700","83230"
"In post","2021","Eastern Scotland","SEO/HEO","Declared disabled","500","470","38290","38370"
"In post","2021","Eastern Scotland","SEO/HEO","Declared non-disabled","3050","2920","38200","36780"
"In post","2021","Eastern Scotland","SEO/HEO","Undeclared","150","140","37880","35780"
"In post","2021","Eastern Scotland","SEO/HEO","Unknown","1890","1790","38590","38540"
"In post","2021","Eastern Scotland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex","AA/AO","Declared disabled","210","180","23710","22980"
"In post","2021","Essex","AA/AO","Declared non-disabled","1040","930","23750","22890"
"In post","2021","Essex","AA/AO","Undeclared","100","90","25310","23270"
"In post","2021","Essex","AA/AO","Unknown","260","250","23000","21430"
"In post","2021","Essex","EO","Declared disabled","310","280","29180","29290"
"In post","2021","Essex","EO","Declared non-disabled","1650","1500","28730","29290"
"In post","2021","Essex","EO","Undeclared","140","130","28520","28130"
"In post","2021","Essex","EO","Unknown","180","170","27730","26670"
"In post","2021","Essex","G6/G7","Declared disabled","30","30","[c]","[c]"
"In post","2021","Essex","G6/G7","Declared non-disabled","200","190","58830","52820"
"In post","2021","Essex","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Essex","G6/G7","Unknown","40","40","[c]","[c]"
"In post","2021","Essex","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SEO/HEO","Declared disabled","100","100","37630","36310"
"In post","2021","Essex","SEO/HEO","Declared non-disabled","780","730","36650","35120"
"In post","2021","Essex","SEO/HEO","Undeclared","90","90","37780","35510"
"In post","2021","Essex","SEO/HEO","Unknown","170","160","36170","35000"
"In post","2021","Essex","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2021","Essex","Unknown","Declared non-disabled","170","160","28390","28200"
"In post","2021","Essex","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Declared disabled","440","400","21630","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Declared non-disabled","2520","2330","22130","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Undeclared","260","240","23430","21130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Unknown","650","620","22020","21140"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Declared disabled","700","640","25960","26910"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Declared non-disabled","4150","3860","25820","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Undeclared","320","300","26660","26790"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Unknown","830","790","26330","26380"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Declared disabled","390","370","55960","54540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Declared non-disabled","3580","3450","56230","54540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Undeclared","380","360","55580","54540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Unknown","770","730","55910","54540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","Declared non-disabled","210","210","96070","90020"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","Unknown","60","60","99450","92330"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Declared disabled","1220","1170","36070","35900"
