"Status","Year","Sexual_orientation","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","Outer London - South","1400","1260","24290","25630"
"In post","2021","Heterosexual / straight","AA/AO","Outer London - West and North West","1340","1230","25670","25110"
"In post","2021","Heterosexual / straight","AA/AO","Overseas","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Shropshire and Staffordshire","2150","1990","22490","21020"
"In post","2021","Heterosexual / straight","AA/AO","South Yorkshire","2160","1900","21890","21430"
"In post","2021","Heterosexual / straight","AA/AO","Southern Scotland","980","840","21370","21010"
"In post","2021","Heterosexual / straight","AA/AO","Surrey, East and West Sussex","1880","1720","24280","21710"
"In post","2021","Heterosexual / straight","AA/AO","Tees Valley and Durham","3020","2680","22670","21430"
"In post","2021","Heterosexual / straight","AA/AO","Unknown","160","140","22170","21010"
"In post","2021","Heterosexual / straight","AA/AO","West Central Scotland","4100","3660","22190","21010"
"In post","2021","Heterosexual / straight","AA/AO","West Midlands","3150","2810","20980","20650"
"In post","2021","Heterosexual / straight","AA/AO","West Wales and The Valleys","4360","3840","21190","21590"
"In post","2021","Heterosexual / straight","AA/AO","West Yorkshire","2810","2510","22230","21010"
"In post","2021","Heterosexual / straight","EO","Bedfordshire and Hertfordshire","1150","1070","28890","29290"
"In post","2021","Heterosexual / straight","EO","Berkshire, Buckinghamshire and Oxfordshire","1690","1610","29060","27570"
"In post","2021","Heterosexual / straight","EO","Cheshire","1020","980","29540","28010"
"In post","2021","Heterosexual / straight","EO","Cornwall and Isles of Scilly","410","380","27250","27570"
"In post","2021","Heterosexual / straight","EO","Cumbria","360","330","25860","26250"
"In post","2021","Heterosexual / straight","EO","Derbyshire and Nottinghamshire","2190","2020","26710","27570"
"In post","2021","Heterosexual / straight","EO","Devon","1420","1310","26970","27570"
"In post","2021","Heterosexual / straight","EO","Dorset and Somerset","1100","1010","27340","27570"
"In post","2021","Heterosexual / straight","EO","East Anglia","2250","2080","27480","27570"
"In post","2021","Heterosexual / straight","EO","East Wales","3440","3210","26820","27460"
"In post","2021","Heterosexual / straight","EO","East Yorkshire and Northern Lincolnshire","1120","1030","27700","27570"
"In post","2021","Heterosexual / straight","EO","Eastern Scotland","2890","2710","28340","27570"
"In post","2021","Heterosexual / straight","EO","Essex","1590","1450","28720","29290"
"In post","2021","Heterosexual / straight","EO","Gloucestershire, Wiltshire and Bath/Bristol area","4320","4050","25860","26670"
"In post","2021","Heterosexual / straight","EO","Greater Manchester","3670","3460","26580","27370"
"In post","2021","Heterosexual / straight","EO","Hampshire and Isle of Wight","2700","2540","26980","26670"
"In post","2021","Heterosexual / straight","EO","Herefordshire, Worcestershire and Warwickshire","780","730","27090","27570"
"In post","2021","Heterosexual / straight","EO","Highlands and Islands","420","390","28470","27570"
"In post","2021","Heterosexual / straight","EO","Inner London - East","2870","2730","30840","31060"
"In post","2021","Heterosexual / straight","EO","Inner London - West","5130","4990","29320","29270"
"In post","2021","Heterosexual / straight","EO","Kent","2580","2380","28130","27370"
"In post","2021","Heterosexual / straight","EO","Lancashire","2810","2550","27440","27570"
"In post","2021","Heterosexual / straight","EO","Leicestershire, Rutland and Northamptonshire","1190","1110","27240","27570"
"In post","2021","Heterosexual / straight","EO","Lincolnshire","540","500","27930","27570"
"In post","2021","Heterosexual / straight","EO","Merseyside","4340","3970","26170","25600"
"In post","2021","Heterosexual / straight","EO","North Eastern Scotland","360","330","28770","27570"
"In post","2021","Heterosexual / straight","EO","North Yorkshire","680","650","27530","26750"
"In post","2021","Heterosexual / straight","EO","Northern Ireland","660","620","26730","25560"
"In post","2021","Heterosexual / straight","EO","Northumberland and Tyne and Wear","3590","3250","26590","27570"
"In post","2021","Heterosexual / straight","EO","Outer London - East and North East","1090","1020","31270","31060"
"In post","2021","Heterosexual / straight","EO","Outer London - South","2240","2110","29890","29370"
"In post","2021","Heterosexual / straight","EO","Outer London - West and North West","2920","2670","29860","30110"
"In post","2021","Heterosexual / straight","EO","Overseas","200","200","27860","26990"
"In post","2021","Heterosexual / straight","EO","Shropshire and Staffordshire","1720","1610","27590","27570"
"In post","2021","Heterosexual / straight","EO","South Yorkshire","1970","1780","26840","27370"
"In post","2021","Heterosexual / straight","EO","Southern Scotland","1150","1030","26760","27570"
"In post","2021","Heterosexual / straight","EO","Surrey, East and West Sussex","1980","1790","28190","27570"
"In post","2021","Heterosexual / straight","EO","Tees Valley and Durham","1620","1460","27500","27570"
"In post","2021","Heterosexual / straight","EO","Unknown","390","370","28010","27570"
"In post","2021","Heterosexual / straight","EO","West Central Scotland","3180","2940","27660","27570"
"In post","2021","Heterosexual / straight","EO","West Midlands","3690","3390","26740","27570"
"In post","2021","Heterosexual / straight","EO","West Wales and The Valleys","2700","2490","27390","27570"
"In post","2021","Heterosexual / straight","EO","West Yorkshire","3160","2910","27010","27570"
"In post","2021","Heterosexual / straight","G6/G7","Bedfordshire and Hertfordshire","220","210","60690","59730"
"In post","2021","Heterosexual / straight","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","520","490","60080","57260"
"In post","2021","Heterosexual / straight","G6/G7","Cheshire","160","150","57460","55740"
"In post","2021","Heterosexual / straight","G6/G7","Cornwall and Isles of Scilly","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Cumbria","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Derbyshire and Nottinghamshire","810","770","57310","53150"
"In post","2021","Heterosexual / straight","G6/G7","Devon","240","230","59040","56750"
"In post","2021","Heterosexual / straight","G6/G7","Dorset and Somerset","130","130","59070","55070"
"In post","2021","Heterosexual / straight","G6/G7","East Anglia","500","480","59330","55580"
"In post","2021","Heterosexual / straight","G6/G7","East Wales","1730","1660","57820","57720"
"In post","2021","Heterosexual / straight","G6/G7","East Yorkshire and Northern Lincolnshire","70","60","60610","57330"
"In post","2021","Heterosexual / straight","G6/G7","Eastern Scotland","1690","1610","61910","61010"
"In post","2021","Heterosexual / straight","G6/G7","Essex","190","180","58490","53430"
"In post","2021","Heterosexual / straight","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","3750","3620","56150","54540"
"In post","2021","Heterosexual / straight","G6/G7","Greater Manchester","1450","1410","56820","52580"
"In post","2021","Heterosexual / straight","G6/G7","Hampshire and Isle of Wight","1310","1250","55780","54540"
"In post","2021","Heterosexual / straight","G6/G7","Herefordshire, Worcestershire and Warwickshire","80","80","58770","54900"
"In post","2021","Heterosexual / straight","G6/G7","Highlands and Islands","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Inner London - East","2400","2310","61420","59160"
"In post","2021","Heterosexual / straight","G6/G7","Inner London - West","14160","13680","60080","58030"
"In post","2021","Heterosexual / straight","G6/G7","Kent","190","180","55420","52580"
"In post","2021","Heterosexual / straight","G6/G7","Lancashire","540","520","56480","52750"
"In post","2021","Heterosexual / straight","G6/G7","Leicestershire, Rutland and Northamptonshire","150","140","57920","55610"
"In post","2021","Heterosexual / straight","G6/G7","Lincolnshire","60","50","58770","55610"
"In post","2021","Heterosexual / straight","G6/G7","Merseyside","1030","990","55540","52580"
"In post","2021","Heterosexual / straight","G6/G7","North Eastern Scotland","90","90","66900","61120"
"In post","2021","Heterosexual / straight","G6/G7","North Yorkshire","500","470","59140","55610"
"In post","2021","Heterosexual / straight","G6/G7","Northern Ireland","190","180","56310","52580"
"In post","2021","Heterosexual / straight","G6/G7","Northumberland and Tyne and Wear","1170","1140","54410","52580"
"In post","2021","Heterosexual / straight","G6/G7","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Outer London - South","1180","1140","63480","61030"
"In post","2021","Heterosexual / straight","G6/G7","Outer London - West and North West","320","310","59460","57680"
"In post","2021","Heterosexual / straight","G6/G7","Overseas","850","850","60170","58030"
"In post","2021","Heterosexual / straight","G6/G7","Shropshire and Staffordshire","340","330","58270","54540"
"In post","2021","Heterosexual / straight","G6/G7","South Yorkshire","840","810","55740","52280"
"In post","2021","Heterosexual / straight","G6/G7","Southern Scotland","330","320","55680","52930"
"In post","2021","Heterosexual / straight","G6/G7","Surrey, East and West Sussex","330","320","58390","54990"
"In post","2021","Heterosexual / straight","G6/G7","Tees Valley and Durham","270","260","55650","52070"
"In post","2021","Heterosexual / straight","G6/G7","Unknown","120","110","56590","54700"
"In post","2021","Heterosexual / straight","G6/G7","West Central Scotland","950","920","60400","61010"
"In post","2021","Heterosexual / straight","G6/G7","West Midlands","1170","1130","56530","52580"
"In post","2021","Heterosexual / straight","G6/G7","West Wales and The Valleys","570","550","61420","60830"
"In post","2021","Heterosexual / straight","G6/G7","West Yorkshire","1260","1200","55590","52580"
"In post","2021","Heterosexual / straight","SCS","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Derbyshire and Nottinghamshire","60","60","89330","83370"
"In post","2021","Heterosexual / straight","SCS","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","East Anglia","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","East Wales","190","190","87180","79500"
"In post","2021","Heterosexual / straight","SCS","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Eastern Scotland","140","130","91060","83230"
"In post","2021","Heterosexual / straight","SCS","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Gloucestershire, Wiltshire and Bath/Bristol area","220","210","95280","90000"
"In post","2021","Heterosexual / straight","SCS","Greater Manchester","90","80","89430","86200"
"In post","2021","Heterosexual / straight","SCS","Hampshire and Isle of Wight","50","50","89450","87230"
"In post","2021","Heterosexual / straight","SCS","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Inner London - East","420","390","98540","96250"
"In post","2021","Heterosexual / straight","SCS","Inner London - West","2610","2530","88990","79710"
"In post","2021","Heterosexual / straight","SCS","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Lancashire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Merseyside","60","60","91770","84000"
"In post","2021","Heterosexual / straight","SCS","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Northumberland and Tyne and Wear","70","70","88830","79460"
"In post","2021","Heterosexual / straight","SCS","Outer London - South","60","60","89950","82690"
"In post","2021","Heterosexual / straight","SCS","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Overseas","210","210","86090","77600"
"In post","2021","Heterosexual / straight","SCS","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","South Yorkshire","50","50","81360","76140"
"In post","2021","Heterosexual / straight","SCS","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","West Central Scotland","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","West Midlands","120","110","93180","86780"
"In post","2021","Heterosexual / straight","SCS","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","West Yorkshire","90","90","88860","81400"
"In post","2021","Heterosexual / straight","SEO/HEO","Bedfordshire and Hertfordshire","720","700","38570","37640"
"In post","2021","Heterosexual / straight","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","1630","1570","38280","36970"
"In post","2021","Heterosexual / straight","SEO/HEO","Cheshire","620","600","39510","38540"
"In post","2021","Heterosexual / straight","SEO/HEO","Cornwall and Isles of Scilly","160","150","35670","34290"
"In post","2021","Heterosexual / straight","SEO/HEO","Cumbria","220","210","34530","33300"
"In post","2021","Heterosexual / straight","SEO/HEO","Derbyshire and Nottinghamshire","2150","2030","35680","33840"
"In post","2021","Heterosexual / straight","SEO/HEO","Devon","1040","980","37750","37240"
"In post","2021","Heterosexual / straight","SEO/HEO","Dorset and Somerset","990","940","36650","34290"
"In post","2021","Heterosexual / straight","SEO/HEO","East Anglia","2050","1960","36300","34290"
"In post","2021","Heterosexual / straight","SEO/HEO","East Wales","4090","3890","36600","36710"
"In post","2021","Heterosexual / straight","SEO/HEO","East Yorkshire and Northern Lincolnshire","420","390","36780","34070"
"In post","2021","Heterosexual / straight","SEO/HEO","Eastern Scotland","3420","3270","38340","37580"
"In post","2021","Heterosexual / straight","SEO/HEO","Essex","770","720","36890","35120"
"In post","2021","Heterosexual / straight","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","9020","8650","36010","35660"
"In post","2021","Heterosexual / straight","SEO/HEO","Greater Manchester","3460","3310","34950","33280"
"In post","2021","Heterosexual / straight","SEO/HEO","Hampshire and Isle of Wight","3390","3260","35700","34490"
"In post","2021","Heterosexual / straight","SEO/HEO","Herefordshire, Worcestershire and Warwickshire","480","460","36480","35160"
"In post","2021","Heterosexual / straight","SEO/HEO","Highlands and Islands","210","210","37790","36610"
"In post","2021","Heterosexual / straight","SEO/HEO","Inner London - East","3150","3040","39700","40000"
"In post","2021","Heterosexual / straight","SEO/HEO","Inner London - West","14230","13970","38400","37660"
"In post","2021","Heterosexual / straight","SEO/HEO","Kent","980","950","36810","35850"
"In post","2021","Heterosexual / straight","SEO/HEO","Lancashire","1700","1600","35690","34290"
"In post","2021","Heterosexual / straight","SEO/HEO","Leicestershire, Rutland and Northamptonshire","670","630","36810","35310"
"In post","2021","Heterosexual / straight","SEO/HEO","Lincolnshire","420","410","36240","34430"
"In post","2021","Heterosexual / straight","SEO/HEO","Merseyside","3070","2930","34730","32740"
"In post","2021","Heterosexual / straight","SEO/HEO","North Eastern Scotland","370","360","47160","38620"
"In post","2021","Heterosexual / straight","SEO/HEO","North Yorkshire","1030","990","36050","35900"
"In post","2021","Heterosexual / straight","SEO/HEO","Northern Ireland","660","640","35030","32120"
"In post","2021","Heterosexual / straight","SEO/HEO","Northumberland and Tyne and Wear","3200","3020","34400","32250"
"In post","2021","Heterosexual / straight","SEO/HEO","Outer London - East and North East","210","210","40090","38440"
"In post","2021","Heterosexual / straight","SEO/HEO","Outer London - South","2600","2510","39460","37710"
"In post","2021","Heterosexual / straight","SEO/HEO","Outer London - West and North West","1420","1360","37890","36650"
"In post","2021","Heterosexual / straight","SEO/HEO","Overseas","1000","1000","39460","34770"
"In post","2021","Heterosexual / straight","SEO/HEO","Shropshire and Staffordshire","1310","1250","37420","36520"
"In post","2021","Heterosexual / straight","SEO/HEO","South Yorkshire","1860","1750","35100","34290"
"In post","2021","Heterosexual / straight","SEO/HEO","Southern Scotland","890","850","35390","33930"
"In post","2021","Heterosexual / straight","SEO/HEO","Surrey, East and West Sussex","990","930","37280","35900"
"In post","2021","Heterosexual / straight","SEO/HEO","Tees Valley and Durham","1110","1050","36090","35310"
"In post","2021","Heterosexual / straight","SEO/HEO","Unknown","270","260","37030","35310"
"In post","2021","Heterosexual / straight","SEO/HEO","West Central Scotland","2880","2750","37080","35000"
"In post","2021","Heterosexual / straight","SEO/HEO","West Midlands","2980","2860","35290","33840"
"In post","2021","Heterosexual / straight","SEO/HEO","West Wales and The Valleys","2340","2230","38310","37410"
"In post","2021","Heterosexual / straight","SEO/HEO","West Yorkshire","2860","2710","35080","33310"
"In post","2021","Heterosexual / straight","Unknown","Bedfordshire and Hertfordshire","210","200","28900","28200"
"In post","2021","Heterosexual / straight","Unknown","Berkshire, Buckinghamshire and Oxfordshire","370","340","29920","29880"
"In post","2021","Heterosexual / straight","Unknown","Cheshire","160","150","29590","29530"
"In post","2021","Heterosexual / straight","Unknown","Cornwall and Isles of Scilly","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Cumbria","190","180","37090","33740"
"In post","2021","Heterosexual / straight","Unknown","Derbyshire and Nottinghamshire","390","350","30040","30210"
"In post","2021","Heterosexual / straight","Unknown","Devon","260","240","34280","32100"
"In post","2021","Heterosexual / straight","Unknown","Dorset and Somerset","180","160","28460","28200"
"In post","2021","Heterosexual / straight","Unknown","East Anglia","390","360","29550","30210"
"In post","2021","Heterosexual / straight","Unknown","East Wales","370","350","30300","30210"
"In post","2021","Heterosexual / straight","Unknown","East Yorkshire and Northern Lincolnshire","220","200","29890","30210"
"In post","2021","Heterosexual / straight","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Essex","210","190","28160","24800"
"In post","2021","Heterosexual / straight","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","1470","1420","39190","36490"
"In post","2021","Heterosexual / straight","Unknown","Greater Manchester","580","540","30180","30210"
"In post","2021","Heterosexual / straight","Unknown","Hampshire and Isle of Wight","280","260","33000","31420"
"In post","2021","Heterosexual / straight","Unknown","Herefordshire, Worcestershire and Warwickshire","250","230","29540","28200"
"In post","2021","Heterosexual / straight","Unknown","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Inner London - East","530","510","33310","32090"
"In post","2021","Heterosexual / straight","Unknown","Inner London - West","170","160","37740","35040"
"In post","2021","Heterosexual / straight","Unknown","Kent","220","200","30050","30880"
"In post","2021","Heterosexual / straight","Unknown","Lancashire","350","320","29440","30210"
"In post","2021","Heterosexual / straight","Unknown","Leicestershire, Rutland and Northamptonshire","290","270","29660","30210"
"In post","2021","Heterosexual / straight","Unknown","Lincolnshire","110","100","31320","30480"
"In post","2021","Heterosexual / straight","Unknown","Merseyside","320","300","29790","28200"
"In post","2021","Heterosexual / straight","Unknown","North Yorkshire","150","140","29780","29200"
"In post","2021","Heterosexual / straight","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Northumberland and Tyne and Wear","290","270","28870","28200"
"In post","2021","Heterosexual / straight","Unknown","Outer London - East and North East","240","230","33400","34100"
"In post","2021","Heterosexual / straight","Unknown","Outer London - South","150","140","34060","32090"
"In post","2021","Heterosexual / straight","Unknown","Outer London - West and North West","200","200","32600","29210"
"In post","2021","Heterosexual / straight","Unknown","Overseas","190","190","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Shropshire and Staffordshire","300","270","30830","30880"
"In post","2021","Heterosexual / straight","Unknown","South Yorkshire","260","230","29190","28200"
"In post","2021","Heterosexual / straight","Unknown","Surrey, East and West Sussex","270","240","30260","30210"
"In post","2021","Heterosexual / straight","Unknown","Tees Valley and Durham","310","290","29580","30210"
"In post","2021","Heterosexual / straight","Unknown","Unknown","60","60","28550","27370"
"In post","2021","Heterosexual / straight","Unknown","West Central Scotland","60","60","39130","42950"
"In post","2021","Heterosexual / straight","Unknown","West Midlands","600","560","29520","28200"
"In post","2021","Heterosexual / straight","Unknown","West Wales and The Valleys","510","470","29780","28200"
"In post","2021","Heterosexual / straight","Unknown","West Yorkshire","470","430","30350","30210"
"In post","2021","LGBO","AA/AO","Bedfordshire and Hertfordshire","50","50","[c]","[c]"
"In post","2021","LGBO","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","150","150","26320","24750"
"In post","2021","LGBO","AA/AO","Cheshire","50","50","24080","24120"
"In post","2021","LGBO","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Cumbria","30","30","[c]","[c]"
"In post","2021","LGBO","AA/AO","Derbyshire and Nottinghamshire","150","150","22840","21010"
"In post","2021","LGBO","AA/AO","Devon","120","120","22910","21010"
"In post","2021","LGBO","AA/AO","Dorset and Somerset","70","70","23740","22030"
"In post","2021","LGBO","AA/AO","East Anglia","170","160","23540","21550"
"In post","2021","LGBO","AA/AO","East Wales","220","220","21150","20600"
"In post","2021","LGBO","AA/AO","East Yorkshire and Northern Lincolnshire","80","80","23710","22350"
"In post","2021","LGBO","AA/AO","Eastern Scotland","220","210","21630","21010"
"In post","2021","LGBO","AA/AO","Essex","60","60","24240","24180"
"In post","2021","LGBO","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","150","150","22420","21010"
"In post","2021","LGBO","AA/AO","Greater Manchester","270","260","21140","21010"
"In post","2021","LGBO","AA/AO","Hampshire and Isle of Wight","150","140","22660","21010"
"In post","2021","LGBO","AA/AO","Herefordshire, Worcestershire and Warwickshire","70","70","23150","22850"
"In post","2021","LGBO","AA/AO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Inner London - East","100","90","26250","25110"
"In post","2021","LGBO","AA/AO","Inner London - West","160","160","26130","24590"
"In post","2021","LGBO","AA/AO","Kent","110","110","25470","24180"
"In post","2021","LGBO","AA/AO","Lancashire","220","200","21910","21010"
"In post","2021","LGBO","AA/AO","Leicestershire, Rutland and Northamptonshire","90","90","22410","21010"
"In post","2021","LGBO","AA/AO","Lincolnshire","40","30","[c]","[c]"
"In post","2021","LGBO","AA/AO","Merseyside","180","170","21120","21120"
"In post","2021","LGBO","AA/AO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","North Yorkshire","50","50","[c]","[c]"
"In post","2021","LGBO","AA/AO","Northern Ireland","40","40","[c]","[c]"
"In post","2021","LGBO","AA/AO","Northumberland and Tyne and Wear","280","250","20670","21010"
"In post","2021","LGBO","AA/AO","Outer London - East and North East","40","40","[c]","[c]"
"In post","2021","LGBO","AA/AO","Outer London - South","40","40","[c]","[c]"
"In post","2021","LGBO","AA/AO","Outer London - West and North West","60","60","26420","25630"
"In post","2021","LGBO","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Shropshire and Staffordshire","150","150","23190","21550"
"In post","2021","LGBO","AA/AO","South Yorkshire","110","110","22470","21430"
"In post","2021","LGBO","AA/AO","Southern Scotland","50","40","[c]","[c]"
"In post","2021","LGBO","AA/AO","Surrey, East and West Sussex","170","160","24980","23500"
"In post","2021","LGBO","AA/AO","Tees Valley and Durham","150","140","23040","21430"
"In post","2021","LGBO","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","West Central Scotland","220","210","21610","21010"
"In post","2021","LGBO","AA/AO","West Midlands","150","140","21120","21000"
"In post","2021","LGBO","AA/AO","West Wales and The Valleys","210","200","21050","21590"
"In post","2021","LGBO","AA/AO","West Yorkshire","200","180","22170","21010"
"In post","2021","LGBO","EO","Bedfordshire and Hertfordshire","60","50","28930","29290"
"In post","2021","LGBO","EO","Berkshire, Buckinghamshire and Oxfordshire","100","100","29490","29140"
"In post","2021","LGBO","EO","Cheshire","80","80","29070","27570"
"In post","2021","LGBO","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Derbyshire and Nottinghamshire","150","140","26560","27130"
"In post","2021","LGBO","EO","Devon","80","80","27250","27570"
"In post","2021","LGBO","EO","Dorset and Somerset","50","50","[c]","[c]"
"In post","2021","LGBO","EO","East Anglia","110","110","26790","27570"
"In post","2021","LGBO","EO","East Wales","250","250","26430","26860"
"In post","2021","LGBO","EO","East Yorkshire and Northern Lincolnshire","50","50","27490","27570"
"In post","2021","LGBO","EO","Eastern Scotland","190","180","28200","27570"
"In post","2021","LGBO","EO","Essex","90","80","29110","29290"
"In post","2021","LGBO","EO","Gloucestershire, Wiltshire and Bath/Bristol area","270","260","25710","26670"
"In post","2021","LGBO","EO","Greater Manchester","290","280","26630","27390"
"In post","2021","LGBO","EO","Hampshire and Isle of Wight","140","140","26750","27370"
"In post","2021","LGBO","EO","Herefordshire, Worcestershire and Warwickshire","30","30","[c]","[c]"
"In post","2021","LGBO","EO","Highlands and Islands","[c]","[c]","[c]","[c]"
