"Status","Year","Function_of_post","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Liverpool","60","50","41170","38630"
"In post","2021","Analysis","Heterosexual / straight","Manchester","140","130","39120","38630"
"In post","2021","Analysis","Heterosexual / straight","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Monmouthshire and Newport","620","590","37410","36030"
"In post","2021","Analysis","Heterosexual / straight","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Sheffield","100","90","44360","42420"
"In post","2021","Analysis","Heterosexual / straight","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","South Hampshire","310","290","38120","37020"
"In post","2021","Analysis","Heterosexual / straight","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Suffolk","120","120","32950","29510"
"In post","2021","Analysis","Heterosexual / straight","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Tower Hamlets","440","430","51230","47060"
"In post","2021","Analysis","Heterosexual / straight","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Westminster","1660","1620","46960","42980"
"In post","2021","Analysis","Heterosexual / straight","Wiltshire","80","80","36680","37320"
"In post","2021","Analysis","Heterosexual / straight","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","York","50","50","[c]","[c]"
"In post","2021","Analysis","LGBO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Monmouthshire and Newport","60","50","36870","37020"
"In post","2021","Analysis","LGBO","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Tower Hamlets","40","40","[c]","[c]"
"In post","2021","Analysis","LGBO","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Westminster","170","170","44540","40960"
"In post","2021","Analysis","LGBO","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Central Hampshire","30","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Monmouthshire and Newport","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Tower Hamlets","60","60","51700","55430"
"In post","2021","Analysis","Undeclared","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Westminster","170","170","48080","44870"
"In post","2021","Analysis","Undeclared","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Camden and City of London","50","50","65140","55590"
"In post","2021","Analysis","Unknown","Central Hampshire","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Dorset CC","60","60","32890","29270"
"In post","2021","Analysis","Unknown","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Manchester","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Monmouthshire and Newport","330","310","34340","30130"
"In post","2021","Analysis","Unknown","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","South Hampshire","110","100","36930","31700"
"In post","2021","Analysis","Unknown","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Suffolk","200","190","35310","31070"
"In post","2021","Analysis","Unknown","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Tower Hamlets","130","130","48570","42000"
"In post","2021","Analysis","Unknown","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Westminster","480","470","45970","42890"
"In post","2021","Analysis","Unknown","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","York","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","460","450","42360","40290"
"In post","2021","Commercial","Heterosexual / straight","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Birmingham","50","50","45220","38370"
"In post","2021","Commercial","Heterosexual / straight","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Bristol, City of","60","50","41920","39830"
"In post","2021","Commercial","Heterosexual / straight","Buckinghamshire CC","50","50","36110","36800"
"In post","2021","Commercial","Heterosexual / straight","Cambridgeshire CC","90","90","35900","34710"
"In post","2021","Commercial","Heterosexual / straight","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Central Hampshire","140","140","33240","33300"
"In post","2021","Commercial","Heterosexual / straight","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Croydon","80","70","47880","46600"
"In post","2021","Commercial","Heterosexual / straight","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Glasgow City","100","100","35540","33300"
"In post","2021","Commercial","Heterosexual / straight","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Greater Manchester South West","70","60","40660","38450"
"In post","2021","Commercial","Heterosexual / straight","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Isle of Anglesey","[c]","[c]","[c]","[c]"
