"Status","Year","Profession_of_post","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Finance","30-39","Department for Work and Pensions","180","170","37040","34640"
"In post","2022","Finance","30-39","Department of Health and Social Care","170","170","43660","40650"
"In post","2022","Finance","30-39","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2022","Finance","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","HM Revenue and Customs","180","170","42350","40520"
"In post","2022","Finance","30-39","HM Treasury","40","40","[c]","[c]"
"In post","2022","Finance","30-39","Home Office","80","80","46170","41970"
"In post","2022","Finance","30-39","Ministry of Defence","740","700","38130","33300"
"In post","2022","Finance","30-39","Ministry of Justice","140","130","39460","36050"
"In post","2022","Finance","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Scottish Government","30","30","[c]","[c]"
"In post","2022","Finance","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","30-39","Welsh Government","70","60","39920","38160"
"In post","2022","Finance","40-49","Attorney General's Departments","60","60","31350","29620"
"In post","2022","Finance","40-49","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Department for Business, Energy and Industrial Strategy","100","90","46470","45250"
"In post","2022","Finance","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Department for Education","260","250","44350","40940"
"In post","2022","Finance","40-49","Department for Environment, Food and Rural Affairs","150","150","44420","38060"
"In post","2022","Finance","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Department for Levelling Up, Housing and Communities","50","50","[c]","[c]"
"In post","2022","Finance","40-49","Department for Transport","130","130","41370","40280"
"In post","2022","Finance","40-49","Department for Work and Pensions","330","310","38210","35310"
"In post","2022","Finance","40-49","Department of Health and Social Care","150","140","46980","49530"
"In post","2022","Finance","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Foreign, Commonwealth and Development Office","60","60","47090","40750"
"In post","2022","Finance","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","HM Revenue and Customs","320","310","44060","40520"
"In post","2022","Finance","40-49","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Home Office","80","80","47460","42550"
"In post","2022","Finance","40-49","Ministry of Defence","940","910","38410","33300"
"In post","2022","Finance","40-49","Ministry of Justice","210","210","45700","41750"
"In post","2022","Finance","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Scottish Government","40","40","[c]","[c]"
"In post","2022","Finance","40-49","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","40-49","Welsh Government","100","90","47510","47470"
"In post","2022","Finance","50-59","Attorney General's Departments","60","60","35620","28430"
"In post","2022","Finance","50-59","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Department for Business, Energy and Industrial Strategy","90","90","47630","43940"
"In post","2022","Finance","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Department for Education","190","180","44970","42520"
"In post","2022","Finance","50-59","Department for Environment, Food and Rural Affairs","130","130","42950","38060"
"In post","2022","Finance","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","Finance","50-59","Department for Transport","130","120","44780","43310"
"In post","2022","Finance","50-59","Department for Work and Pensions","470","440","40250","35400"
"In post","2022","Finance","50-59","Department of Health and Social Care","120","110","47480","42480"
"In post","2022","Finance","50-59","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Foreign, Commonwealth and Development Office","60","60","45790","44110"
"In post","2022","Finance","50-59","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","HM Revenue and Customs","420","400","44660","40520"
"In post","2022","Finance","50-59","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Home Office","100","100","48280","46010"
"In post","2022","Finance","50-59","Ministry of Defence","1520","1490","38810","33300"
"In post","2022","Finance","50-59","Ministry of Justice","210","210","44620","41100"
"In post","2022","Finance","50-59","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Scottish Government","40","40","[c]","[c]"
"In post","2022","Finance","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","50-59","Welsh Government","110","110","47420","47470"
"In post","2022","Finance","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Department for Education","30","30","[c]","[c]"
"In post","2022","Finance","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Department for Work and Pensions","110","90","37540","34290"
"In post","2022","Finance","60-64","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","HM Revenue and Customs","90","70","36890","35170"
"In post","2022","Finance","60-64","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Ministry of Defence","390","360","37740","33300"
"In post","2022","Finance","60-64","Ministry of Justice","50","50","42110","41100"
"In post","2022","Finance","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","60-64","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Ministry of Defence","130","120","37160","33300"
"In post","2022","Finance","65+","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","65+","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Geography","20-29","Ministry of Defence","110","110","25530","26740"
"In post","2022","Geography","30-39","Ministry of Defence","110","110","32750","33290"
"In post","2022","Geography","40-49","Ministry of Defence","100","90","33720","33290"
"In post","2022","Geography","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Geography","50-59","Ministry of Defence","120","110","33640","33290"
"In post","2022","Geography","60-64","Ministry of Defence","40","30","[c]","[c]"
"In post","2022","Geography","65+","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Attorney General's Departments","70","70","28720","26960"
"In post","2022","Human Resources","20-29","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Department for Business, Energy and Industrial Strategy","60","60","33380","29640"
"In post","2022","Human Resources","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Department for Education","50","50","[c]","[c]"
"In post","2022","Human Resources","20-29","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2022","Human Resources","20-29","Department for International Trade","40","40","[c]","[c]"
"In post","2022","Human Resources","20-29","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Department for Transport","50","50","[c]","[c]"
"In post","2022","Human Resources","20-29","Department for Work and Pensions","80","80","33570","31990"
"In post","2022","Human Resources","20-29","Department of Health and Social Care","190","190","33720","32000"
"In post","2022","Human Resources","20-29","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2022","Human Resources","20-29","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","HM Revenue and Customs","80","80","34600","33080"
"In post","2022","Human Resources","20-29","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Home Office","70","70","37020","35050"
"In post","2022","Human Resources","20-29","Ministry of Defence","240","240","27470","24280"
"In post","2022","Human Resources","20-29","Ministry of Justice","90","90","33650","30450"
"In post","2022","Human Resources","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Scottish Government","40","40","[c]","[c]"
"In post","2022","Human Resources","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","Welsh Government","30","30","[c]","[c]"
"In post","2022","Human Resources","30-39","Attorney General's Departments","50","50","[c]","[c]"
"In post","2022","Human Resources","30-39","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Department for Business, Energy and Industrial Strategy","120","110","39590","37420"
"In post","2022","Human Resources","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Department for Education","50","50","35100","30320"
"In post","2022","Human Resources","30-39","Department for Environment, Food and Rural Affairs","60","60","40810","36970"
"In post","2022","Human Resources","30-39","Department for International Trade","40","40","[c]","[c]"
"In post","2022","Human Resources","30-39","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Department for Transport","120","120","36590","31370"
"In post","2022","Human Resources","30-39","Department for Work and Pensions","140","130","39290","35310"
"In post","2022","Human Resources","30-39","Department of Health and Social Care","140","130","40080","33970"
"In post","2022","Human Resources","30-39","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Foreign, Commonwealth and Development Office","60","60","48060","49650"
"In post","2022","Human Resources","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","HM Revenue and Customs","150","140","41380","40180"
"In post","2022","Human Resources","30-39","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Home Office","150","150","40760","37450"
"In post","2022","Human Resources","30-39","Ministry of Defence","450","420","32550","26670"
"In post","2022","Human Resources","30-39","Ministry of Justice","270","260","38990","34260"
"In post","2022","Human Resources","30-39","National Crime Agency","40","30","[c]","[c]"
"In post","2022","Human Resources","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Scottish Government","60","60","35960","35000"
"In post","2022","Human Resources","30-39","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","Human Resources","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","30-39","Welsh Government","50","40","[c]","[c]"
"In post","2022","Human Resources","40-49","Attorney General's Departments","50","50","40470","38180"
"In post","2022","Human Resources","40-49","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Department for Business, Energy and Industrial Strategy","110","110","46010","42570"
"In post","2022","Human Resources","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Department for Education","40","40","[c]","[c]"
"In post","2022","Human Resources","40-49","Department for Environment, Food and Rural Affairs","120","110","42090","37360"
"In post","2022","Human Resources","40-49","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Department for Transport","110","110","36050","33350"
"In post","2022","Human Resources","40-49","Department for Work and Pensions","220","200","40670","35310"
"In post","2022","Human Resources","40-49","Department of Health and Social Care","100","100","46350","45020"
"In post","2022","Human Resources","40-49","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Foreign, Commonwealth and Development Office","100","100","50180","47830"
"In post","2022","Human Resources","40-49","HM Land Registry","40","30","[c]","[c]"
"In post","2022","Human Resources","40-49","HM Revenue and Customs","210","200","44680","40520"
"In post","2022","Human Resources","40-49","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Home Office","210","200","45130","37660"
"In post","2022","Human Resources","40-49","Ministry of Defence","470","440","36180","33000"
"In post","2022","Human Resources","40-49","Ministry of Justice","340","330","43010","40040"
"In post","2022","Human Resources","40-49","National Crime Agency","50","40","[c]","[c]"
"In post","2022","Human Resources","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Scottish Government","50","50","37370","35680"
"In post","2022","Human Resources","40-49","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","Human Resources","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","40-49","Welsh Government","40","40","[c]","[c]"
"In post","2022","Human Resources","50-59","Attorney General's Departments","60","60","45370","38180"
"In post","2022","Human Resources","50-59","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Department for Business, Energy and Industrial Strategy","100","90","45290","43340"
"In post","2022","Human Resources","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Department for Environment, Food and Rural Affairs","100","90","44690","47550"
"In post","2022","Human Resources","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Department for Transport","120","110","38820","34730"
"In post","2022","Human Resources","50-59","Department for Work and Pensions","310","300","38940","35310"
"In post","2022","Human Resources","50-59","Department of Health and Social Care","100","90","49270","50220"
"In post","2022","Human Resources","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Foreign, Commonwealth and Development Office","100","100","52040","52120"
"In post","2022","Human Resources","50-59","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","HM Revenue and Customs","290","270","44790","40520"
"In post","2022","Human Resources","50-59","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Home Office","180","180","43500","39310"
"In post","2022","Human Resources","50-59","Ministry of Defence","750","710","32560","26930"
"In post","2022","Human Resources","50-59","Ministry of Justice","320","320","44340","41100"
"In post","2022","Human Resources","50-59","National Crime Agency","50","50","[c]","[c]"
"In post","2022","Human Resources","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Scottish Government","40","40","[c]","[c]"
"In post","2022","Human Resources","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","UK Statistics Authority","40","30","[c]","[c]"
"In post","2022","Human Resources","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","50-59","Welsh Government","60","60","40450","38160"
"In post","2022","Human Resources","60-64","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for Transport","40","30","[c]","[c]"
"In post","2022","Human Resources","60-64","Department for Work and Pensions","70","60","37000","33490"
"In post","2022","Human Resources","60-64","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","HM Revenue and Customs","60","50","37190","35660"
"In post","2022","Human Resources","60-64","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Home Office","40","30","[c]","[c]"
"In post","2022","Human Resources","60-64","Ministry of Defence","190","170","31490","26670"
"In post","2022","Human Resources","60-64","Ministry of Justice","70","60","39720","40220"
"In post","2022","Human Resources","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","60-64","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","65+","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
