"Status","Year","Sexual_orientation","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","Female","Overseas","60","60","46430","44890"
"In post","2022","LGBO","Female","Scotland","1030","1000","32370","27570"
"In post","2022","LGBO","Female","South East (England)","1000","960","30580","28140"
"In post","2022","LGBO","Female","South West (England)","920","880","30980","27570"
"In post","2022","LGBO","Female","Unknown","40","30","[c]","[c]"
"In post","2022","LGBO","Female","Wales","780","750","30110","27370"
"In post","2022","LGBO","Female","West Midlands (England)","650","620","29880","27130"
"In post","2022","LGBO","Female","Yorkshire and The Humber","940","900","31370","27570"
"In post","2022","LGBO","Male","East Midlands (England)","410","400","30210","27570"
"In post","2022","LGBO","Male","East of England","360","350","31670","29060"
"In post","2022","LGBO","Male","London","3130","3090","47170","42440"
"In post","2022","LGBO","Male","North East (England)","620","600","30800","27570"
"In post","2022","LGBO","Male","North West (England)","1460","1430","31000","27570"
"In post","2022","LGBO","Male","Northern Ireland","70","70","28700","26590"
"In post","2022","LGBO","Male","Overseas","120","120","53120","53470"
"In post","2022","LGBO","Male","Scotland","1100","1070","33610","27570"
"In post","2022","LGBO","Male","South East (England)","760","740","31860","28810"
"In post","2022","LGBO","Male","South West (England)","840","820","33370","29230"
"In post","2022","LGBO","Male","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","Male","Wales","810","790","32290","27570"
"In post","2022","LGBO","Male","West Midlands (England)","570","550","31290","27570"
"In post","2022","LGBO","Male","Yorkshire and The Humber","770","750","32610","28550"
"In post","2022","LGBO","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","East Midlands (England)","1110","1000","30100","27570"
"In post","2022","Undeclared","Female","East of England","1070","970","30660","27570"
"In post","2022","Undeclared","Female","London","5100","4790","42020","36720"
"In post","2022","Undeclared","Female","North East (England)","1200","1020","28600","26130"
"In post","2022","Undeclared","Female","North West (England)","2570","2270","29400","27570"
"In post","2022","Undeclared","Female","Northern Ireland","90","80","29790","26820"
"In post","2022","Undeclared","Female","Overseas","140","130","45290","40580"
"In post","2022","Undeclared","Female","Scotland","1570","1390","31530","27570"
"In post","2022","Undeclared","Female","South East (England)","1990","1800","31670","28570"
"In post","2022","Undeclared","Female","South West (England)","2010","1810","33760","31080"
"In post","2022","Undeclared","Female","Unknown","70","60","32330","27570"
"In post","2022","Undeclared","Female","Wales","2170","1840","29080","25830"
"In post","2022","Undeclared","Female","West Midlands (England)","1460","1300","29990","27570"
"In post","2022","Undeclared","Female","Yorkshire and The Humber","1750","1560","31320","27570"
"In post","2022","Undeclared","Male","East Midlands (England)","890","850","32860","30450"
"In post","2022","Undeclared","Male","East of England","1080","1030","32890","31140"
"In post","2022","Undeclared","Male","London","4640","4530","46200","41520"
"In post","2022","Undeclared","Male","North East (England)","1060","1000","32150","27570"
"In post","2022","Undeclared","Male","North West (England)","2210","2110","32290","27570"
"In post","2022","Undeclared","Male","Northern Ireland","140","130","29820","27370"
"In post","2022","Undeclared","Male","Overseas","220","220","47490","42340"
"In post","2022","Undeclared","Male","Scotland","1420","1370","34990","30840"
"In post","2022","Undeclared","Male","South East (England)","2070","1970","34090","31880"
"In post","2022","Undeclared","Male","South West (England)","2550","2450","37900","36160"
"In post","2022","Undeclared","Male","Unknown","50","50","35230","31370"
"In post","2022","Undeclared","Male","Wales","1870","1790","33300","29430"
"In post","2022","Undeclared","Male","West Midlands (England)","1170","1110","32590","28800"
"In post","2022","Undeclared","Male","Yorkshire and The Humber","1580","1510","33740","30980"
"In post","2022","Undeclared","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","East Midlands (England)","2360","2080","28120","26820"
"In post","2022","Unknown","Female","East of England","2110","1850","30170","27570"
"In post","2022","Unknown","Female","London","11200","10580","41270","34770"
"In post","2022","Unknown","Female","North East (England)","4220","3570","26540","22080"
"In post","2022","Unknown","Female","North West (England)","7660","6760","27750","25700"
"In post","2022","Unknown","Female","Northern Ireland","470","420","28030","24890"
"In post","2022","Unknown","Female","Overseas","320","320","49870","46600"
"In post","2022","Unknown","Female","Scotland","7760","6990","30890","27230"
"In post","2022","Unknown","Female","South East (England)","3600","3180","30890","27570"
"In post","2022","Unknown","Female","South West (England)","3710","3300","31880","27570"
"In post","2022","Unknown","Female","Unknown","440","430","33080","29250"
"In post","2022","Unknown","Female","Wales","3590","3160","27860","24500"
"In post","2022","Unknown","Female","West Midlands (England)","3790","3360","28970","26820"
"In post","2022","Unknown","Female","Yorkshire and The Humber","3930","3500","30080","27130"
"In post","2022","Unknown","Male","East Midlands (England)","1990","1900","29650","27130"
"In post","2022","Unknown","Male","East of England","1800","1710","31730","29050"
"In post","2022","Unknown","Male","London","9570","9400","44260","37930"
"In post","2022","Unknown","Male","North East (England)","3230","3070","29650","26820"
"In post","2022","Unknown","Male","North West (England)","6070","5830","30320","27350"
"In post","2022","Unknown","Male","Northern Ireland","530","520","27700","24880"
"In post","2022","Unknown","Male","Overseas","340","340","51000","52430"
"In post","2022","Unknown","Male","Scotland","7300","7000","32750","29900"
"In post","2022","Unknown","Male","South East (England)","4050","3840","34720","31020"
"In post","2022","Unknown","Male","South West (England)","4250","4120","36220","32630"
"In post","2022","Unknown","Male","Unknown","1810","1800","37710","33570"
"In post","2022","Unknown","Male","Wales","2960","2840","31570","27470"
"In post","2022","Unknown","Male","West Midlands (England)","2800","2680","31450","27570"
"In post","2022","Unknown","Male","Yorkshire and The Humber","3680","3540","31640","27570"
"In post","2022","Unknown","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","East Midlands (England)","370","320","26790","22080"
"Leaver CS","2021","Heterosexual / straight","Female","East of England","400","350","28000","24180"
"Leaver CS","2021","Heterosexual / straight","Female","London","1290","1180","40040","32650"
"Leaver CS","2021","Heterosexual / straight","Female","North East (England)","340","280","25820","21010"
"Leaver CS","2021","Heterosexual / straight","Female","North West (England)","740","620","27760","22570"
"Leaver CS","2021","Heterosexual / straight","Female","Northern Ireland","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Overseas","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Scotland","400","330","30260","26570"
"Leaver CS","2021","Heterosexual / straight","Female","South East (England)","660","580","28420","25110"
"Leaver CS","2021","Heterosexual / straight","Female","South West (England)","640","560","29420","26000"
"Leaver CS","2021","Heterosexual / straight","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Female","Wales","430","350","28410","22160"
"Leaver CS","2021","Heterosexual / straight","Female","West Midlands (England)","450","380","28220","25470"
"Leaver CS","2021","Heterosexual / straight","Female","Yorkshire and The Humber","500","420","28990","26120"
"Leaver CS","2021","Heterosexual / straight","Male","East Midlands (England)","360","340","29210","27380"
"Leaver CS","2021","Heterosexual / straight","Male","East of England","400","370","32750","27570"
"Leaver CS","2021","Heterosexual / straight","Male","London","1140","1080","44340","36530"
"Leaver CS","2021","Heterosexual / straight","Male","North East (England)","260","230","28640","21430"
"Leaver CS","2021","Heterosexual / straight","Male","North West (England)","560","510","29960","25780"
"Leaver CS","2021","Heterosexual / straight","Male","Northern Ireland","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Overseas","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Scotland","410","380","34930","30950"
"Leaver CS","2021","Heterosexual / straight","Male","South East (England)","780","720","30670","27670"
"Leaver CS","2021","Heterosexual / straight","Male","South West (England)","790","740","35500","32670"
"Leaver CS","2021","Heterosexual / straight","Male","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Male","Wales","420","390","32060","26890"
"Leaver CS","2021","Heterosexual / straight","Male","West Midlands (England)","370","340","32170","26120"
"Leaver CS","2021","Heterosexual / straight","Male","Yorkshire and The Humber","470","430","31780","26670"
"Leaver CS","2021","Heterosexual / straight","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","London","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","London","100","90","42000","33300"
"Leaver CS","2021","LGBO","Female","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","North West (England)","40","30","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","South East (England)","50","50","[c]","[c]"
"Leaver CS","2021","LGBO","Female","South West (England)","50","50","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Female","West Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2021","LGBO","Female","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","London","110","100","45100","40350"
"Leaver CS","2021","LGBO","Male","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","North West (England)","50","50","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","South East (England)","40","40","[c]","[c]"
"Leaver CS","2021","LGBO","Male","South West (England)","40","40","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Male","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","East Midlands (England)","50","50","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","East of England","60","50","27190","24700"
"Leaver CS","2021","Undeclared","Female","London","190","170","41350","35200"
"Leaver CS","2021","Undeclared","Female","North East (England)","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","North West (England)","80","70","29940","24210"
"Leaver CS","2021","Undeclared","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Scotland","110","90","28830","22820"
"Leaver CS","2021","Undeclared","Female","South East (England)","110","100","29270","26670"
"Leaver CS","2021","Undeclared","Female","South West (England)","100","80","29130","26780"
"Leaver CS","2021","Undeclared","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Wales","80","60","28010","21590"
"Leaver CS","2021","Undeclared","Female","West Midlands (England)","70","50","29860","27570"
"Leaver CS","2021","Undeclared","Female","Yorkshire and The Humber","90","70","28150","26920"
"Leaver CS","2021","Undeclared","Male","East Midlands (England)","70","60","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","East of England","70","60","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","London","200","170","46940","40470"
"Leaver CS","2021","Undeclared","Male","North East (England)","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","North West (England)","80","70","28040","26780"
"Leaver CS","2021","Undeclared","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Scotland","110","100","30610","27570"
"Leaver CS","2021","Undeclared","Male","South East (England)","120","110","35250","32430"
"Leaver CS","2021","Undeclared","Male","South West (England)","120","110","34410","33010"
"Leaver CS","2021","Undeclared","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Wales","60","60","30510","24950"
"Leaver CS","2021","Undeclared","Male","West Midlands (England)","60","50","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Yorkshire and The Humber","70","60","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","East Midlands (England)","430","360","25050","21170"
"Leaver CS","2021","Unknown","Female","East of England","470","390","27750","26890"
"Leaver CS","2021","Unknown","Female","London","1150","960","36750","31060"
"Leaver CS","2021","Unknown","Female","North East (England)","620","470","25650","21050"
"Leaver CS","2021","Unknown","Female","North West (England)","690","560","26160","21180"
"Leaver CS","2021","Unknown","Female","Northern Ireland","80","60","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Overseas","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Scotland","670","550","31260","26160"
"Leaver CS","2021","Unknown","Female","South East (England)","470","390","27800","24370"
"Leaver CS","2021","Unknown","Female","South West (England)","330","280","30020","27570"
"Leaver CS","2021","Unknown","Female","Unknown","300","300","39690","28000"
"Leaver CS","2021","Unknown","Female","Wales","500","410","25730","21590"
"Leaver CS","2021","Unknown","Female","West Midlands (England)","530","430","29640","22570"
"Leaver CS","2021","Unknown","Female","Yorkshire and The Humber","680","530","27970","25490"
"Leaver CS","2021","Unknown","Male","East Midlands (England)","280","260","26510","25640"
"Leaver CS","2021","Unknown","Male","East of England","350","320","32170","27570"
"Leaver CS","2021","Unknown","Male","London","1080","940","39770","31880"
"Leaver CS","2021","Unknown","Male","North East (England)","370","320","25260","21240"
"Leaver CS","2021","Unknown","Male","North West (England)","520","460","27330","24920"
"Leaver CS","2021","Unknown","Male","Northern Ireland","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Scotland","590","530","33830","29190"
"Leaver CS","2021","Unknown","Male","South East (England)","450","400","31510","26890"
"Leaver CS","2021","Unknown","Male","South West (England)","400","370","33430","27570"
"Leaver CS","2021","Unknown","Male","Unknown","330","320","40710","32400"
"Leaver CS","2021","Unknown","Male","Wales","430","380","28650","23320"
"Leaver CS","2021","Unknown","Male","West Midlands (England)","350","330","30580","25140"
"Leaver CS","2021","Unknown","Male","Yorkshire and The Humber","480","430","33070","27570"
"Leaver CS","2021","Unknown","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","London","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Female","East Midlands (England)","690","610","27820","26670"
"Leaver CS","2022","Heterosexual / straight","Female","East of England","930","830","30230","27570"
"Leaver CS","2022","Heterosexual / straight","Female","London","2980","2720","40060","33400"
"Leaver CS","2022","Heterosexual / straight","Female","North East (England)","680","560","28120","23780"
"Leaver CS","2022","Heterosexual / straight","Female","North West (England)","1390","1180","28580","25220"
"Leaver CS","2022","Heterosexual / straight","Female","Northern Ireland","50","50","27800","24530"
"Leaver CS","2022","Heterosexual / straight","Female","Overseas","30","30","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Female","Scotland","740","650","30640","27570"
