"Status","Year","Organisation","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Unknown","50","50","30360","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Unknown","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Declared non-disabled","70","70","32780","29180"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Declared non-disabled","110","100","32120","29840"
"In post","2021","Animal and Plant Health Agency","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Declared non-disabled","80","80","37750","31800"
"In post","2021","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Declared disabled","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Declared non-disabled","220","200","28030","24920"
"In post","2021","Animal and Plant Health Agency","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Declared non-disabled","90","90","32310","27720"
"In post","2021","Animal and Plant Health Agency","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Declared disabled","90","90","31650","28550"
"In post","2021","Animal and Plant Health Agency","South East (England)","Declared non-disabled","520","490","33180","28630"
"In post","2021","Animal and Plant Health Agency","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Unknown","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Declared disabled","60","50","26270","21050"
"In post","2021","Animal and Plant Health Agency","South West (England)","Declared non-disabled","300","280","29900","25190"
"In post","2021","Animal and Plant Health Agency","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Declared disabled","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Declared non-disabled","240","230","28900","25190"
"In post","2021","Animal and Plant Health Agency","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Declared non-disabled","200","190","29530","26520"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Declared disabled","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Declared non-disabled","140","140","30600","26300"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Unknown","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Declared disabled","490","480","48060","43890"
"In post","2021","Cabinet Office (excl. agencies)","London","Declared non-disabled","3430","3370","52450","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Undeclared","190","190","50830","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Unknown","2390","2370","46220","34290"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Declared disabled","60","50","28220","23850"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Declared non-disabled","260","240","28780","24870"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Unknown","70","70","34790","28630"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Declared non-disabled","150","150","44990","37300"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Unknown","260","260","48790","49700"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Unknown","70","70","50160","50260"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Declared non-disabled","70","70","38930","33620"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Unknown","120","120","47120","36460"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Declared non-disabled","70","60","43790","37300"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Unknown","110","110","60090","53320"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Declared non-disabled","130","120","42240","37190"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","450","440","34640","32000"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Unknown","50","50","36330","29250"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Declared disabled","60","50","34630","33300"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Declared non-disabled","310","290","36070","33300"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Undeclared","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Unknown","340","330","37210","29250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Declared non-disabled","310","300","33150","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Unknown","120","110","39770","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Declared non-disabled","80","80","32070","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Unknown","60","50","33890","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Charity Commission","London","Unknown","30","30","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Declared non-disabled","160","150","32980","29160"
"In post","2021","Charity Commission","North West (England)","Unknown","130","120","32520","29160"
"In post","2021","Charity Commission","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Charity Commission","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Declared disabled","70","60","32210","25100"
"In post","2021","Companies House","Wales","Declared non-disabled","630","590","32410","27460"
"In post","2021","Companies House","Wales","Undeclared","60","60","30200","25460"
"In post","2021","Companies House","Wales","Unknown","270","240","28130","22490"
"In post","2021","Competition and Markets Authority","London","Declared disabled","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Declared non-disabled","660","640","59810","56360"
"In post","2021","Competition and Markets Authority","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Unknown","80","70","72600","74650"
"In post","2021","Competition and Markets Authority","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Declared disabled","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Declared non-disabled","160","150","27760","22720"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Undeclared","70","70","23640","22570"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Unknown","110","100","33760","31670"
"In post","2021","Crown Commercial Service","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Declared non-disabled","110","110","40100","35290"
"In post","2021","Crown Commercial Service","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Unknown","260","260","37280","34800"
"In post","2021","Crown Commercial Service","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","South West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Unknown","80","70","33290","29900"
"In post","2021","Crown Commercial Service","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Yorkshire and The Humber","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Declared disabled","100","100","37590","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Declared non-disabled","1800","1670","35540","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Undeclared","70","70","41450","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Declared disabled","60","50","35350","28430"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Declared non-disabled","280","250","40700","38760"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Unknown","110","100","33780","27470"
"In post","2021","Crown Prosecution Service","East of England","Declared disabled","50","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","East of England","Declared non-disabled","340","300","42160","36240"
"In post","2021","Crown Prosecution Service","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East of England","Unknown","90","90","33550","26970"
"In post","2021","Crown Prosecution Service","London","Declared disabled","170","160","46850","40800"
"In post","2021","Crown Prosecution Service","London","Declared non-disabled","1150","1080","45900","40800"
"In post","2021","Crown Prosecution Service","London","Unknown","370","360","39170","30110"
"In post","2021","Crown Prosecution Service","North East (England)","Declared disabled","50","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","North East (England)","Declared non-disabled","230","210","39800","34480"
"In post","2021","Crown Prosecution Service","North East (England)","Unknown","70","60","33730","28430"
"In post","2021","Crown Prosecution Service","North West (England)","Declared disabled","110","100","39930","32680"
"In post","2021","Crown Prosecution Service","North West (England)","Declared non-disabled","660","610","39880","33310"
"In post","2021","Crown Prosecution Service","North West (England)","Unknown","190","180","37220","38000"
"In post","2021","Crown Prosecution Service","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","South East (England)","Declared disabled","60","60","45590","44320"
"In post","2021","Crown Prosecution Service","South East (England)","Declared non-disabled","420","390","44150","39750"
"In post","2021","Crown Prosecution Service","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","South East (England)","Unknown","210","200","37330","30240"
"In post","2021","Crown Prosecution Service","South West (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","South West (England)","Declared non-disabled","190","180","40820","34480"
"In post","2021","Crown Prosecution Service","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","South West (England)","Unknown","60","60","36110","34480"
"In post","2021","Crown Prosecution Service","Wales","Declared disabled","40","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Wales","Declared non-disabled","260","240","41740","38760"
"In post","2021","Crown Prosecution Service","Wales","Unknown","70","60","39530","38000"
"In post","2021","Crown Prosecution Service","West Midlands (England)","Declared disabled","50","50","41270","42090"
"In post","2021","Crown Prosecution Service","West Midlands (England)","Declared non-disabled","360","330","40730","38000"
"In post","2021","Crown Prosecution Service","West Midlands (England)","Unknown","140","140","37710","36240"
"In post","2021","Crown Prosecution Service","Yorkshire and The Humber","Declared disabled","100","90","43100","38650"
"In post","2021","Crown Prosecution Service","Yorkshire and The Humber","Declared non-disabled","670","610","42430","41570"
"In post","2021","Crown Prosecution Service","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Yorkshire and The Humber","Unknown","160","160","36170","30130"
"In post","2021","Crown Prosecution Service Inspectorate","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","London","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","London","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","London","Unknown","110","110","58840","51550"
"In post","2021","Defence Electronics and Components Agency","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Wales","Declared non-disabled","200","190","28680","28750"
"In post","2021","Defence Electronics and Components Agency","Wales","Undeclared","140","140","28960","28750"
"In post","2021","Defence Electronics and Components Agency","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","West Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","West Midlands (England)","Undeclared","40","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","East Midlands (England)","Declared non-disabled","170","160","35690","34320"
"In post","2021","Defence Equipment and Support","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","East of England","Declared disabled","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","East of England","Declared non-disabled","160","160","34310","33180"
