"Status","Year","Ethnicity","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Other ethnicity","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","AA/AO","270","210","20620","20180"
"Leaver CS","2021","Undeclared","Female","EO","150","120","27590","27150"
"Leaver CS","2021","Undeclared","Female","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","SEO/HEO","130","110","36650","35610"
"Leaver CS","2021","Undeclared","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","AA/AO","220","200","21740","20180"
"Leaver CS","2021","Undeclared","Male","EO","170","150","28730","27570"
"Leaver CS","2021","Undeclared","Male","G6/G7","90","80","59610","57680"
"Leaver CS","2021","Undeclared","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","SEO/HEO","230","210","37450","36100"
"Leaver CS","2021","Undeclared","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","AA/AO","1490","1310","20960","21010"
"Leaver CS","2021","Unknown","Female","EO","720","630","27020","27570"
"Leaver CS","2021","Unknown","Female","G6/G7","240","200","61360","58740"
"Leaver CS","2021","Unknown","Female","SCS","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","SEO/HEO","470","410","35460","34550"
"Leaver CS","2021","Unknown","Female","Unknown","340","310","[c]","[c]"
"Leaver CS","2021","Unknown","Male","AA/AO","1370","1300","21430","21010"
"Leaver CS","2021","Unknown","Male","EO","660","600","27340","27570"
"Leaver CS","2021","Unknown","Male","G6/G7","300","260","59990","57780"
"Leaver CS","2021","Unknown","Male","SCS","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Male","SEO/HEO","560","510","36890","35900"
"Leaver CS","2021","Unknown","Male","Unknown","310","300","35460","32400"
"Leaver CS","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Female","AA/AO","4260","3420","20820","21010"
"Leaver CS","2021","White","Female","EO","2160","1750","27020","27570"
"Leaver CS","2021","White","Female","G6/G7","730","640","60010","57380"
"Leaver CS","2021","White","Female","SCS","130","110","92860","87630"
"Leaver CS","2021","White","Female","SEO/HEO","1770","1560","36680","36030"
