"Status","Year","Function_of_post","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Analysis","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","EO","70","70","25230","24260"
"In post","2021","Analysis","South East (England)","G6/G7","290","270","50950","49100"
"In post","2021","Analysis","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","SEO/HEO","490","470","33610","34020"
"In post","2021","Analysis","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","EO","80","70","25880","25460"
"In post","2021","Analysis","South West (England)","G6/G7","90","90","54500","54540"
"In post","2021","Analysis","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","SEO/HEO","280","260","34880","35900"
"In post","2021","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","AA/AO","50","50","19430","19130"
"In post","2021","Analysis","Wales","EO","160","140","24410","23520"
"In post","2021","Analysis","Wales","G6/G7","220","210","52510","50090"
"In post","2021","Analysis","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","SEO/HEO","630","610","33580","33020"
"In post","2021","Analysis","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","EO","50","40","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","G6/G7","130","130","54040","51480"
"In post","2021","Analysis","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","SEO/HEO","150","140","35910","33880"
"In post","2021","Commercial","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","30","30","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO/HEO","70","70","40260","39620"
"In post","2021","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","EO","50","50","26520","26670"
"In post","2021","Commercial","East of England","G6/G7","70","70","59650","56190"
"In post","2021","Commercial","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","SEO/HEO","220","210","37710","36970"
"In post","2021","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","100","90","24160","24370"
"In post","2021","Commercial","London","EO","160","160","29020","29000"
"In post","2021","Commercial","London","G6/G7","660","650","65510","61480"
"In post","2021","Commercial","London","SCS","360","350","98860","84350"
"In post","2021","Commercial","London","SEO/HEO","590","580","41320","40650"
"In post","2021","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","G6/G7","30","30","[c]","[c]"
"In post","2021","Commercial","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","EO","100","90","25520","25560"
"In post","2021","Commercial","North West (England)","G6/G7","230","220","58540","53430"
"In post","2021","Commercial","North West (England)","SCS","50","40","[c]","[c]"
"In post","2021","Commercial","North West (England)","SEO/HEO","360","350","35650","35290"
"In post","2021","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","AA/AO","80","70","23070","22430"
"In post","2021","Commercial","Scotland","EO","50","50","[c]","[c]"
"In post","2021","Commercial","Scotland","G6/G7","60","60","58890","53320"
"In post","2021","Commercial","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","SEO/HEO","180","180","37950","38500"
"In post","2021","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","AA/AO","80","70","22320","21300"
"In post","2021","Commercial","South East (England)","EO","140","130","27070","26670"
"In post","2021","Commercial","South East (England)","G6/G7","90","90","64440","62500"
"In post","2021","Commercial","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","SEO/HEO","330","320","38600","38160"
"In post","2021","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","AA/AO","80","70","21620","20920"
"In post","2021","Commercial","South West (England)","EO","140","130","26230","26670"
"In post","2021","Commercial","South West (England)","G6/G7","300","290","57250","54540"
"In post","2021","Commercial","South West (England)","SCS","50","50","[c]","[c]"
"In post","2021","Commercial","South West (England)","SEO/HEO","630","610","37500","37420"
"In post","2021","Commercial","South West (England)","Unknown","170","160","41750","38240"
"In post","2021","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","AA/AO","40","40","[c]","[c]"
"In post","2021","Commercial","Wales","EO","80","70","26410","26700"
"In post","2021","Commercial","Wales","G6/G7","50","50","55260","52960"
"In post","2021","Commercial","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","SEO/HEO","180","170","35950","34800"
"In post","2021","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","AA/AO","40","40","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","EO","70","60","25660","25630"
"In post","2021","Commercial","West Midlands (England)","G6/G7","60","60","60930","57110"
"In post","2021","Commercial","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","SEO/HEO","160","160","38990","38210"
"In post","2021","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","G6/G7","130","130","58230","53860"
"In post","2021","Commercial","Yorkshire and The Humber","SCS","40","40","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","SEO/HEO","240","230","36400","36820"
"In post","2021","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","EO","280","280","25620","25560"
"In post","2021","Communications","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","SEO/HEO","190","180","33420","31810"
"In post","2021","Communications","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","EO","30","30","[c]","[c]"
"In post","2021","Communications","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Communications","London","AA/AO","80","70","24330","24290"
"In post","2021","Communications","London","EO","400","380","26290","27350"
"In post","2021","Communications","London","G6/G7","700","680","59600","58250"
"In post","2021","Communications","London","SCS","120","110","90370","83110"
"In post","2021","Communications","London","SEO/HEO","1160","1140","38830","38750"
"In post","2021","Communications","North East (England)","AA/AO","220","180","20830","20660"
"In post","2021","Communications","North East (England)","EO","830","790","25690","25560"
"In post","2021","Communications","North East (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","SEO/HEO","460","440","33210","31810"
"In post","2021","Communications","North West (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Communications","North West (England)","EO","330","320","25730","25560"
"In post","2021","Communications","North West (England)","G6/G7","50","50","54540","52580"
"In post","2021","Communications","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","SEO/HEO","300","290","33420","31810"
"In post","2021","Communications","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","EO","90","80","26790","28120"
"In post","2021","Communications","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","SEO/HEO","100","100","35400","35000"
"In post","2021","Communications","South East (England)","AA/AO","40","30","[c]","[c]"
"In post","2021","Communications","South East (England)","EO","110","100","26070","26670"
"In post","2021","Communications","South East (England)","G6/G7","30","30","[c]","[c]"
"In post","2021","Communications","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","SEO/HEO","150","150","36060","36030"
"In post","2021","Communications","South West (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Communications","South West (England)","EO","70","70","25970","26670"
"In post","2021","Communications","South West (England)","G6/G7","60","60","55140","54430"
"In post","2021","Communications","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","SEO/HEO","190","180","35380","35000"
"In post","2021","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","AA/AO","60","50","21010","21440"
"In post","2021","Communications","Wales","EO","540","520","25660","25560"
"In post","2021","Communications","Wales","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","SEO/HEO","320","310","33590","31810"
"In post","2021","Communications","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","EO","150","150","25640","25560"
"In post","2021","Communications","West Midlands (England)","G6/G7","30","30","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","SEO/HEO","160","150","35310","32270"
"In post","2021","Communications","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","EO","380","370","25540","25560"
"In post","2021","Communications","Yorkshire and The Humber","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","SEO/HEO","210","210","33710","31810"
"In post","2021","Counter Fraud","East Midlands (England)","AA/AO","40","30","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","EO","180","170","26050","25560"
"In post","2021","Counter Fraud","East Midlands (England)","G6/G7","70","70","55920","52580"
"In post","2021","Counter Fraud","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","SEO/HEO","250","240","34300","31870"
"In post","2021","Counter Fraud","East of England","AA/AO","130","110","20750","20140"
"In post","2021","Counter Fraud","East of England","EO","160","140","26460","25560"
"In post","2021","Counter Fraud","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","SEO/HEO","150","140","34250","32100"
"In post","2021","Counter Fraud","London","AA/AO","140","130","25000","25630"
"In post","2021","Counter Fraud","London","EO","730","710","30120","29570"
"In post","2021","Counter Fraud","London","G6/G7","370","350","61760","59160"
"In post","2021","Counter Fraud","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","1050","1020","38390","36580"
"In post","2021","Counter Fraud","North East (England)","AA/AO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","EO","200","190","25830","25560"
"In post","2021","Counter Fraud","North East (England)","G6/G7","60","50","53640","52580"
"In post","2021","Counter Fraud","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","SEO/HEO","240","230","33640","31810"
"In post","2021","Counter Fraud","North West (England)","AA/AO","140","120","20720","20140"
"In post","2021","Counter Fraud","North West (England)","EO","580","550","25970","25560"
"In post","2021","Counter Fraud","North West (England)","G6/G7","200","190","55400","52580"
"In post","2021","Counter Fraud","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","SEO/HEO","770","730","34280","31810"
"In post","2021","Counter Fraud","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","EO","170","160","25990","25560"
"In post","2021","Counter Fraud","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","SEO/HEO","170","160","33940","31810"
"In post","2021","Counter Fraud","Scotland","AA/AO","100","80","20830","21400"
"In post","2021","Counter Fraud","Scotland","EO","350","320","26290","25560"
"In post","2021","Counter Fraud","Scotland","G6/G7","60","50","55110","52580"
"In post","2021","Counter Fraud","Scotland","SEO/HEO","350","330","33680","31810"
"In post","2021","Counter Fraud","South East (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","EO","210","190","26860","25560"
"In post","2021","Counter Fraud","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","SEO/HEO","180","170","34940","32690"
"In post","2021","Counter Fraud","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","EO","130","120","26210","25560"
"In post","2021","Counter Fraud","South West (England)","G6/G7","80","70","56880","52580"
"In post","2021","Counter Fraud","South West (England)","SEO/HEO","170","160","34600","31840"
"In post","2021","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","AA/AO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Wales","EO","150","140","25990","25560"
"In post","2021","Counter Fraud","Wales","G6/G7","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","SEO/HEO","180","160","33650","31810"
"In post","2021","Counter Fraud","West Midlands (England)","AA/AO","80","60","20770","20780"
"In post","2021","Counter Fraud","West Midlands (England)","EO","260","230","26090","25560"
"In post","2021","Counter Fraud","West Midlands (England)","G6/G7","70","70","55200","52580"
"In post","2021","Counter Fraud","West Midlands (England)","SEO/HEO","330","310","34360","31810"
"In post","2021","Counter Fraud","Yorkshire and The Humber","AA/AO","80","70","20910","21440"
"In post","2021","Counter Fraud","Yorkshire and The Humber","EO","310","290","25940","25560"
"In post","2021","Counter Fraud","Yorkshire and The Humber","G6/G7","100","100","54580","52580"
"In post","2021","Counter Fraud","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","SEO/HEO","380","360","34010","31810"
"In post","2021","Debt","East Midlands (England)","AA/AO","210","190","20360","20140"
"In post","2021","Debt","East Midlands (England)","EO","40","40","[c]","[c]"
"In post","2021","Debt","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","East of England","AA/AO","80","70","21850","21440"
"In post","2021","Debt","East of England","EO","50","50","28110","28130"
"In post","2021","Debt","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","AA/AO","390","340","24870","24670"
"In post","2021","Debt","London","EO","130","120","30940","32310"
"In post","2021","Debt","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Debt","North East (England)","AA/AO","490","450","20370","20140"
"In post","2021","Debt","North East (England)","EO","80","70","25400","25560"
"In post","2021","Debt","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","North West (England)","AA/AO","230","210","20650","20140"
"In post","2021","Debt","North West (England)","EO","80","70","26340","25560"
"In post","2021","Debt","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","North West (England)","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Debt","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Scotland","AA/AO","1170","1060","20380","20140"
"In post","2021","Debt","Scotland","EO","210","190","26100","25560"
"In post","2021","Debt","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Scotland","SEO/HEO","50","50","32910","31810"
"In post","2021","Debt","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South East (England)","EO","70","60","27660","28130"
"In post","2021","Debt","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Wales","AA/AO","210","190","20250","20140"
"In post","2021","Debt","Wales","EO","100","90","25630","25560"
"In post","2021","Debt","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","West Midlands (England)","AA/AO","340","300","20440","20140"
"In post","2021","Debt","West Midlands (England)","EO","70","70","25320","25560"
"In post","2021","Debt","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Yorkshire and The Humber","AA/AO","280","250","20450","20140"
"In post","2021","Debt","Yorkshire and The Humber","EO","100","90","26050","25560"
"In post","2021","Debt","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Yorkshire and The Humber","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","East Midlands (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","East Midlands (England)","EO","70","60","26870","26670"
"In post","2021","Digital, Data & Technology","East Midlands (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","East Midlands (England)","SEO/HEO","170","160","37670","36740"
"In post","2021","Digital, Data & Technology","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","East of England","EO","110","110","26540","26200"
"In post","2021","Digital, Data & Technology","East of England","G6/G7","70","70","54340","52580"
"In post","2021","Digital, Data & Technology","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","East of England","SEO/HEO","320","310","35520","34800"
"In post","2021","Digital, Data & Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","London","AA/AO","60","60","24460","24310"
"In post","2021","Digital, Data & Technology","London","EO","330","330","29190","29200"
"In post","2021","Digital, Data & Technology","London","G6/G7","1490","1460","60230","58620"
"In post","2021","Digital, Data & Technology","London","SCS","130","130","93040","86870"
"In post","2021","Digital, Data & Technology","London","SEO/HEO","1380","1350","39160","39030"
"In post","2021","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","North East (England)","EO","100","100","25970","25560"
"In post","2021","Digital, Data & Technology","North East (England)","G6/G7","180","180","53770","52580"
"In post","2021","Digital, Data & Technology","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","North East (England)","SEO/HEO","460","440","34910","33840"
"In post","2021","Digital, Data & Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","North West (England)","EO","140","130","26640","26670"
"In post","2021","Digital, Data & Technology","North West (England)","G6/G7","220","220","54290","52580"
"In post","2021","Digital, Data & Technology","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","North West (England)","SEO/HEO","490","470","34850","34800"
"In post","2021","Digital, Data & Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scotland","EO","150","140","27930","26670"
"In post","2021","Digital, Data & Technology","Scotland","G6/G7","120","110","55570","54550"
"In post","2021","Digital, Data & Technology","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scotland","SEO/HEO","370","370","36850","35720"
"In post","2021","Digital, Data & Technology","South East (England)","AA/AO","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","South East (England)","EO","210","200","27530","26670"
"In post","2021","Digital, Data & Technology","South East (England)","G6/G7","190","180","55440","52590"
"In post","2021","Digital, Data & Technology","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","South East (England)","SEO/HEO","450","430","36400","36030"
"In post","2021","Digital, Data & Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","South West (England)","AA/AO","100","90","21240","21040"
"In post","2021","Digital, Data & Technology","South West (England)","EO","440","420","27750","27000"
"In post","2021","Digital, Data & Technology","South West (England)","G6/G7","470","450","54040","52460"
"In post","2021","Digital, Data & Technology","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","South West (England)","SEO/HEO","1270","1220","38190","38450"
"In post","2021","Digital, Data & Technology","South West (England)","Unknown","60","50","38030","37560"
"In post","2021","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wales","AA/AO","70","60","21430","21590"
