"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","United Kingdom Statistics Authority","150","140","36730","36030"
"In post","2021","Analysis","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","300","290","32240","29270"
"In post","2021","Analysis","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Competition and Markets Authority","110","110","58380","56360"
"In post","2021","Analysis","Declared non-disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Defence Science and Technology Laboratory","290","280","40220","37360"
"In post","2021","Analysis","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","190","44870","37820"
"In post","2021","Analysis","Declared non-disabled","Department for Digital, Culture, Media and Sport","110","110","52410","50400"
"In post","2021","Analysis","Declared non-disabled","Department for Education (excl. agencies)","290","280","45690","45250"
"In post","2021","Analysis","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","37780","32560"
"In post","2021","Analysis","Declared non-disabled","Department for International Trade","140","140","44110","38560"
"In post","2021","Analysis","Declared non-disabled","Department for Transport (excl. agencies)","290","280","48220","45140"
"In post","2021","Analysis","Declared non-disabled","Department of Health and Social Care (excl. agencies)","80","80","51670","53360"
"In post","2021","Analysis","Declared non-disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Government Actuary's Department","120","120","74390","68330"
"In post","2021","Analysis","Declared non-disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","HM Revenue and Customs (excl. agencies)","430","410","45830","38630"
"In post","2021","Analysis","Declared non-disabled","HM Treasury (excl. agencies)","90","80","53020","55530"
"In post","2021","Analysis","Declared non-disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Ministry of Defence (excl. agencies)","150","150","40300","37460"
"In post","2021","Analysis","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","160","160","46570","43190"
"In post","2021","Analysis","Declared non-disabled","Ministry of Justice (excl. agencies)","280","270","45750","40480"
"In post","2021","Analysis","Declared non-disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","130","120","40640","35010"
"In post","2021","Analysis","Declared non-disabled","Office of Gas and Electricity Markets","60","60","54760","52000"
"In post","2021","Analysis","Declared non-disabled","Office of Rail and Road","40","40","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
