"Status","Year","Parent_department","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","White","230","220","88040","82540"
"In post","2021","Attorney General's Departments","SEO/HEO","Asian","130","130","37090","38090"
"In post","2021","Attorney General's Departments","SEO/HEO","Black","90","90","36420","35010"
"In post","2021","Attorney General's Departments","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Mixed","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Unknown","150","150","36470","36240"
"In post","2021","Attorney General's Departments","SEO/HEO","White","980","950","36530","37730"
"In post","2021","Attorney General's Departments","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Unknown","180","170","21470","20920"
"In post","2021","Cabinet Office","AA/AO","White","310","290","21770","20920"
"In post","2021","Cabinet Office","EO","Asian","80","80","27800","27500"
"In post","2021","Cabinet Office","EO","Black","60","60","27890","27500"
"In post","2021","Cabinet Office","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Undeclared","30","30","[c]","[c]"
"In post","2021","Cabinet Office","EO","Unknown","180","180","27330","27500"
"In post","2021","Cabinet Office","EO","White","500","490","26970","27500"
"In post","2021","Cabinet Office","G6/G7","Asian","170","170","58360","56340"
"In post","2021","Cabinet Office","G6/G7","Black","70","70","59070","56340"
"In post","2021","Cabinet Office","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Mixed","70","70","58270","54700"
"In post","2021","Cabinet Office","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Undeclared","100","90","58680","57820"
"In post","2021","Cabinet Office","G6/G7","Unknown","980","960","61500","56340"
"In post","2021","Cabinet Office","G6/G7","White","1610","1570","58740","56340"
"In post","2021","Cabinet Office","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Unknown","490","480","88880","73700"
"In post","2021","Cabinet Office","SCS","White","410","400","95770","84560"
"In post","2021","Cabinet Office","SEO/HEO","Asian","180","170","36950","35590"
"In post","2021","Cabinet Office","SEO/HEO","Black","110","100","36970","35590"
"In post","2021","Cabinet Office","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Mixed","80","80","35670","34640"
"In post","2021","Cabinet Office","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Undeclared","80","80","36640","34810"
"In post","2021","Cabinet Office","SEO/HEO","Unknown","2210","2200","31460","29250"
"In post","2021","Cabinet Office","SEO/HEO","White","1340","1320","36210","35590"
"In post","2021","Chancellor's other departments","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","White","130","120","80370","73600"
"In post","2021","Chancellor's other departments","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","White","100","90","42070","42470"
"In post","2021","Charity Commission","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","White","80","70","24830","24440"
"In post","2021","Charity Commission","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","White","50","40","[c]","[c]"
"In post","2021","Charity Commission","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Unknown","40","40","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","White","180","170","32820","29550"
"In post","2021","Competition and Markets Authority","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","White","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Asian","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","White","310","300","65940","62890"
"In post","2021","Competition and Markets Authority","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","White","90","90","107800","99920"
"In post","2021","Competition and Markets Authority","SEO/HEO","Asian","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","White","110","110","37540","34940"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Asian","90","80","21900","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Black","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Undeclared","50","50","22060","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","450","440","21110","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","White","830","740","21770","21140"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Asian","120","120","27610","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Black","70","70","28260","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Mixed","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Undeclared","70","60","27510","26750"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Unknown","500","490","25370","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","White","1130","1070","26620","26380"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Asian","160","160","57700","54560"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Black","80","80","55990","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Mixed","100","100","57460","55500"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Undeclared","230","220","58100","55730"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","380","370","57540","56040"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","White","2620","2520","57900","56960"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","White","310","300","83960","75450"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Asian","320","320","37360","36110"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Black","190","190","36920","35520"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Mixed","140","130","37740","37820"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Undeclared","250","250","39330","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","940","910","37480","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","White","3790","3650","37900","38550"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","White","100","100","27570","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Asian","50","50","58340","55800"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Mixed","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Unknown","80","80","58980","58600"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","White","580","570","58550","56540"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","White","100","100","87150","76320"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Asian","50","50","37640","35090"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Black","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","80","80","36760","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","White","430","430","36820","34020"
"In post","2021","Department for Education","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","White","70","70","21430","21000"
"In post","2021","Department for Education","EO","Asian","130","130","26530","25000"
"In post","2021","Department for Education","EO","Black","60","60","28160","28500"
"In post","2021","Department for Education","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","EO","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Education","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","EO","Unknown","150","150","26730","26000"
"In post","2021","Department for Education","EO","White","540","520","26410","26000"
"In post","2021","Department for Education","G6/G7","Asian","170","170","55390","53420"
"In post","2021","Department for Education","G6/G7","Black","70","70","55640","54160"
"In post","2021","Department for Education","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","G6/G7","Mixed","70","60","56280","53760"
"In post","2021","Department for Education","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","G6/G7","Undeclared","110","110","57540","54400"
"In post","2021","Department for Education","G6/G7","Unknown","310","300","56570","53810"
"In post","2021","Department for Education","G6/G7","White","2120","2040","56540","54160"
"In post","2021","Department for Education","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","White","240","230","84170","75290"
"In post","2021","Department for Education","SEO/HEO","Asian","380","370","35800","36500"
"In post","2021","Department for Education","SEO/HEO","Black","150","140","37030","36750"
"In post","2021","Department for Education","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SEO/HEO","Mixed","80","80","37160","37100"
"In post","2021","Department for Education","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SEO/HEO","Undeclared","150","150","36090","36530"
"In post","2021","Department for Education","SEO/HEO","Unknown","400","390","35690","36500"
"In post","2021","Department for Education","SEO/HEO","White","2460","2370","35480","36500"
"In post","2021","Department for Education","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Black","[c]","[c]","[c]","[c]"
