"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Office of the Secretary of State for Scotland","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Scotland","80","80","48520","49860"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Accountant in Bankruptcy","Scotland","110","100","32650","30040"
"In post","2022","Scottish Government","Crown Office and Procurator Fiscal Service","Scotland","2350","2210","36710","31540"
"In post","2022","Scottish Government","Disclosure Scotland","Scotland","360","330","29150","23230"
"In post","2022","Scottish Government","Education Scotland","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Education Scotland","Scotland","330","320","57370","62170"
"In post","2022","Scottish Government","Food Standards Scotland","Scotland","300","290","35950","31540"
"In post","2022","Scottish Government","Forestry and Land Scotland","Scotland","1020","980","32870","31060"
"In post","2022","Scottish Government","Forestry and Land Scotland","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","National Records of Scotland","Scotland","460","430","36140","33070"
"In post","2022","Scottish Government","Office of the Scottish Charity Regulator","Scotland","40","40","[c]","[c]"
"In post","2022","Scottish Government","Registers of Scotland","Scotland","1180","1130","33920","30840"
"In post","2022","Scottish Government","Revenue Scotland","Scotland","80","80","39500","36130"
"In post","2022","Scottish Government","Scottish Courts and Tribunals Service","Scotland","1920","1750","28590","23780"
"In post","2022","Scottish Government","Scottish Fiscal Commission","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Scottish Forestry","Scotland","190","180","36060","31060"
"In post","2022","Scottish Government","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Scottish Government (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Scottish Government (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Scottish Government (excl. agencies)","Scotland","8810","8460","44030","39660"
"In post","2022","Scottish Government","Scottish Housing Regulator","Scotland","50","50","53340","51490"
"In post","2022","Scottish Government","Scottish Prison Service","Scotland","4560","4270","32780","35000"
"In post","2022","Scottish Government","Scottish Public Pensions Agency","Scotland","310","280","30300","25930"
"In post","2022","Scottish Government","Social Security Scotland","Scotland","2450","2380","30730","27230"
"In post","2022","Scottish Government","Student Awards Agency for Scotland","Scotland","230","220","31560","27230"
"In post","2022","Scottish Government","Transport Scotland","Scotland","530","510","45450","43000"
"In post","2022","The National Archives","The National Archives","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","The National Archives","London","570","550","35690","33260"
"In post","2022","The National Archives","The National Archives","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","The National Archives","The National Archives","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","London","470","470","53170","49000"
"In post","2022","UK Export Finance","UK Export Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","UK Statistics Authority","London","340","330","45480","39840"
"In post","2022","UK Statistics Authority","UK Statistics Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","UK Statistics Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","UK Statistics Authority","South East (England)","2490","2040","29780","24250"
"In post","2022","UK Statistics Authority","UK Statistics Authority","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","UK Statistics Authority","Wales","3010","2860","35760","31700"
"In post","2022","UK Supreme Court","UK Supreme Court","London","50","50","38660","31960"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","London","80","80","65430","63240"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","West Midlands (England)","180","170","49710","43270"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","Wales","5850","5520","41870","38160"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Welsh Government (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Government","Welsh Revenue Authority","Wales","80","80","43730","39130"
"In post","2022","Welsh Government","Welsh Revenue Authority","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","London","70","60","46420","50520"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","North West (England)","30","30","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","South East (England)","40","30","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service","Yorkshire and The Humber","40","30","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Government Legal Department","London","110","100","55770","53070"
"Leaver CS","2021","Attorney General's Departments","Government Legal Department","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Government Legal Department","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","London","200","190","49410","43180"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","Unknown","120","120","54570","38670"
"Leaver CS","2021","Cabinet Office","Cabinet Office (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","National Savings and Investments","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","London","80","70","52540","46330"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Companies House","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Companies House","Wales","40","40","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","190","190","48990","40730"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Met Office","South West (England)","80","70","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Wales","40","30","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","80","80","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","London","140","140","46610","40940"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","North West (England)","30","30","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Department for Education (excl. agencies)","Yorkshire and The Humber","50","40","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Institute for Apprenticeships and Technical Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Standards and Testing Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Standards and Testing Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","South East (England)","50","50","27060","24370"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","London","140","140","38410","33050"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","30","30","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Department for International Trade","London","130","130","37430","31220"
"Leaver CS","2021","Department for International Trade","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Department for Transport (excl. agencies)","London","90","90","42620","35430"
"Leaver CS","2021","Department for Transport","Department for Transport (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Licensing Agency","Wales","280","220","23360","21590"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","East Midlands (England)","30","30","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Driver and Vehicle Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","South East (England)","50","50","37140","32700"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Maritime and Coastguard Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Vehicle Certification Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Vehicle Certification Agency","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Vehicle Certification Agency","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East Midlands (England)","240","210","24880","25480"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East of England","270","230","26450","27570"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","London","490","460","32330","31060"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North East (England)","480","400","25250","21010"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North West (England)","840","720","25550","21010"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Scotland","370","310","24650","21010"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South East (England)","340","300","26280","26890"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South West (England)","290","230","24580","21010"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Wales","230","190","24430","21010"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","West Midlands (England)","320","260","25180","26120"
"Leaver CS","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","460","390","28660","27570"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","North West (England)","40","40","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
