"Status","Year","Sexual_orientation","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Male","HM Revenue and Customs (excl. agencies)","15910","15310","33940","31810"
"In post","2021","Heterosexual / straight","Male","HM Treasury (excl. agencies)","760","750","48800","52500"
"In post","2021","Heterosexual / straight","Male","Home Office (incl. agencies)","13290","12720","32440","27370"
"In post","2021","Heterosexual / straight","Male","Insolvency Service","370","360","37000","35240"
"In post","2021","Heterosexual / straight","Male","Institute for Apprenticeships and Technical Education","60","60","53620","50620"
"In post","2021","Heterosexual / straight","Male","Legal Aid Agency","360","350","31140","25310"
"In post","2021","Heterosexual / straight","Male","Maritime and Coastguard Agency","550","540","40990","36180"
"In post","2021","Heterosexual / straight","Male","Medicines and Healthcare Products Regulatory Agency","320","310","48110","41040"
"In post","2021","Heterosexual / straight","Male","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Ministry of Defence (excl. agencies)","15810","15550","32870","29670"
"In post","2021","Heterosexual / straight","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","920","910","46700","41980"
"In post","2021","Heterosexual / straight","Male","Ministry of Justice (excl. agencies)","1490","1470","44070","40480"
"In post","2021","Heterosexual / straight","Male","National Crime Agency","2260","2250","42390","40170"
"In post","2021","Heterosexual / straight","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","National Records of Scotland","90","80","35710","34370"
"In post","2021","Heterosexual / straight","Male","National Savings and Investments","60","60","54980","49010"
"In post","2021","Heterosexual / straight","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Office for Standards in Education, Children's Services and Skills","450","440","52440","51360"
"In post","2021","Heterosexual / straight","Male","Office of Gas and Electricity Markets","250","240","43170","37130"
"In post","2021","Heterosexual / straight","Male","Office of Qualifications and Examinations Regulation","60","60","49940","46660"
"In post","2021","Heterosexual / straight","Male","Office of Rail and Road","90","80","52380","51730"
"In post","2021","Heterosexual / straight","Male","Office of the Public Guardian","450","430","22210","19930"
"In post","2021","Heterosexual / straight","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Planning Inspectorate","310","300","48540","47660"
"In post","2021","Heterosexual / straight","Male","Public Health England","1310","1250","46470","39430"
"In post","2021","Heterosexual / straight","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Registers of Scotland","310","310","33750","30080"
"In post","2021","Heterosexual / straight","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Rural Payments Agency","410","390","28810","26030"
"In post","2021","Heterosexual / straight","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Scottish Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Scottish Government (excl. agencies)","2160","2120","44500","39660"
"In post","2021","Heterosexual / straight","Male","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Scottish Prison Service","1100","1030","34360","33650"
"In post","2021","Heterosexual / straight","Male","Scottish Public Pensions Agency","70","70","31660","26160"
"In post","2021","Heterosexual / straight","Male","Serious Fraud Office","190","190","47790","41490"
"In post","2021","Heterosexual / straight","Male","Social Security Scotland","340","330","33970","29190"
"In post","2021","Heterosexual / straight","Male","Standards and Testing Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Student Awards Agency for Scotland","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Submarine Delivery Agency","960","950","43310","41000"
"In post","2021","Heterosexual / straight","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","The National Archives","100","90","38400","35130"
"In post","2021","Heterosexual / straight","Male","Transport Scotland","180","180","48600","46600"
"In post","2021","Heterosexual / straight","Male","UK Export Finance","200","190","55450","50430"
"In post","2021","Heterosexual / straight","Male","UK Hydrographic Office","370","360","35160","33290"
"In post","2021","Heterosexual / straight","Male","UK Intellectual Property Office","400","390","42840","40720"
"In post","2021","Heterosexual / straight","Male","UK Space Agency","70","70","50420","49080"
"In post","2021","Heterosexual / straight","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","United Kingdom Statistics Authority","1440","1300","34100","30130"
"In post","2021","Heterosexual / straight","Male","Valuation Office Agency","1000","960","37300","33250"
"In post","2021","Heterosexual / straight","Male","Vehicle Certification Agency","120","120","39470","37790"
"In post","2021","Heterosexual / straight","Male","Veterinary Medicines Directorate","50","50","47800","49920"
"In post","2021","Heterosexual / straight","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Welsh Government (excl. agencies)","1840","1800","42480","37410"
"In post","2021","Heterosexual / straight","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Animal and Plant Health Agency","70","70","26970","24920"
"In post","2021","LGBO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Cabinet Office (excl. agencies)","170","160","41470","34640"
"In post","2021","LGBO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","LGBO","Female","Crown Prosecution Service","120","110","37240","28430"
"In post","2021","LGBO","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Defence Equipment and Support","120","110","30080","27540"
"In post","2021","LGBO","Female","Defence Science and Technology Laboratory","70","70","34120","33240"
"In post","2021","LGBO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","200","200","45960","40220"
"In post","2021","LGBO","Female","Department for Digital, Culture, Media and Sport","80","80","41960","34130"
"In post","2021","LGBO","Female","Department for Education (excl. agencies)","160","160","42200","39780"
"In post","2021","LGBO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","43180","38750"
"In post","2021","LGBO","Female","Department for International Trade","60","60","43870","38540"
"In post","2021","LGBO","Female","Department for Transport (excl. agencies)","80","80","43640","40480"
"In post","2021","LGBO","Female","Department for Work and Pensions (excl. agencies)","1690","1590","27670","27570"
"In post","2021","LGBO","Female","Department of Health and Social Care (excl. agencies)","80","80","42650","36820"
"In post","2021","LGBO","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Driver and Vehicle Licensing Agency","90","80","23080","21590"
"In post","2021","LGBO","Female","Driver and Vehicle Standards Agency","50","50","27440","26610"
"In post","2021","LGBO","Female","Education and Skills Funding Agency","40","30","[c]","[c]"
"In post","2021","LGBO","Female","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","130","130","43550","38600"
"In post","2021","LGBO","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Government Legal Department","60","60","50820","51250"
"In post","2021","LGBO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Health and Safety Executive","50","50","37920","31710"
"In post","2021","LGBO","Female","HM Courts and Tribunals Service","260","250","23710","20650"
"In post","2021","LGBO","Female","HM Land Registry","60","50","27730","22350"
"In post","2021","LGBO","Female","HM Prison and Probation Service","1820","1770","29510","27380"
"In post","2021","LGBO","Female","HM Revenue and Customs (excl. agencies)","880","820","31730","28130"
"In post","2021","LGBO","Female","HM Treasury (excl. agencies)","70","70","47210","52500"
"In post","2021","LGBO","Female","Home Office (incl. agencies)","490","470","31680","25960"
"In post","2021","LGBO","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Ministry of Defence (excl. agencies)","410","410","30490","26670"
"In post","2021","LGBO","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","100","100","42750","39600"
"In post","2021","LGBO","Female","Ministry of Justice (excl. agencies)","130","130","38250","35290"
"In post","2021","LGBO","Female","National Crime Agency","110","110","36350","36410"
"In post","2021","LGBO","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office for Standards in Education, Children's Services and Skills","50","50","50620","46360"
"In post","2021","LGBO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Public Health England","140","130","36130","31280"
"In post","2021","LGBO","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","LGBO","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Scottish Government (excl. agencies)","180","180","39910","35110"
"In post","2021","LGBO","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Scottish Prison Service","50","50","31970","33650"
"In post","2021","LGBO","Female","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Social Security Scotland","40","40","[c]","[c]"
"In post","2021","LGBO","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","United Kingdom Statistics Authority","110","110","31450","29540"
"In post","2021","LGBO","Female","Valuation Office Agency","50","50","31420","30000"
