"Status","Year","Region_ITL1","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","50-59","Black","190","170","29380","27570"
"In post","2021","East Midlands (England)","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Mixed","70","70","33460","27570"
"In post","2021","East Midlands (England)","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","50-59","Undeclared","380","350","30890","27570"
"In post","2021","East Midlands (England)","50-59","Unknown","520","490","29920","27130"
"In post","2021","East Midlands (England)","50-59","White","5210","4870","31590","27570"
"In post","2021","East Midlands (England)","60-64","Asian","90","80","25930","21440"
"In post","2021","East Midlands (England)","60-64","Black","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","60-64","Undeclared","100","80","27530","27570"
"In post","2021","East Midlands (England)","60-64","Unknown","130","110","29090","25560"
"In post","2021","East Midlands (England)","60-64","White","1390","1140","28680","27130"
"In post","2021","East Midlands (England)","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","65+","Unknown","50","40","29310","23820"
"In post","2021","East Midlands (England)","65+","White","360","270","27930","26060"
"In post","2021","East of England","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","16-19","White","30","30","[c]","[c]"
"In post","2021","East of England","20-29","Asian","180","160","26320","25380"
"In post","2021","East of England","20-29","Black","80","80","26780","27570"
"In post","2021","East of England","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Mixed","100","90","28000","27570"
"In post","2021","East of England","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","East of England","20-29","Unknown","540","530","25880","25560"
"In post","2021","East of England","20-29","White","1910","1880","26650","26330"
"In post","2021","East of England","30-39","Asian","280","260","28870","27570"
"In post","2021","East of England","30-39","Black","120","120","29930","29290"
"In post","2021","East of England","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Mixed","100","90","29350","27570"
"In post","2021","East of England","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","30-39","Undeclared","160","150","31820","30400"
"In post","2021","East of England","30-39","Unknown","430","410","29380","27880"
"In post","2021","East of England","30-39","White","2940","2750","30530","29270"
"In post","2021","East of England","40-49","Asian","340","310","31470","27570"
"In post","2021","East of England","40-49","Black","140","130","32370","29290"
"In post","2021","East of England","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","40-49","Mixed","90","90","32570","29290"
"In post","2021","East of England","40-49","Other ethnicity","30","30","[c]","[c]"
"In post","2021","East of England","40-49","Undeclared","240","230","32200","29290"
"In post","2021","East of England","40-49","Unknown","400","380","30950","28130"
"In post","2021","East of England","40-49","White","4030","3740","32120","29290"
"In post","2021","East of England","50-59","Asian","220","200","33720","28410"
"In post","2021","East of England","50-59","Black","210","200","31550","29290"
"In post","2021","East of England","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","50-59","Mixed","100","90","32550","31650"
"In post","2021","East of England","50-59","Other ethnicity","40","40","[c]","[c]"
"In post","2021","East of England","50-59","Undeclared","450","430","31820","29290"
"In post","2021","East of England","50-59","Unknown","500","470","31530","27570"
"In post","2021","East of England","50-59","White","5960","5610","32220","29290"
"In post","2021","East of England","60-64","Asian","70","60","30060","28130"
"In post","2021","East of England","60-64","Black","30","30","[c]","[c]"
"In post","2021","East of England","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","60-64","Undeclared","130","110","30090","28130"
"In post","2021","East of England","60-64","Unknown","130","120","30550","27570"
"In post","2021","East of England","60-64","White","1720","1460","29730","27570"
"In post","2021","East of England","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","65+","Undeclared","60","40","30010","27570"
"In post","2021","East of England","65+","Unknown","60","50","27440","24180"
"In post","2021","East of England","65+","White","540","400","28390","26780"
"In post","2021","East of England","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","16-19","Unknown","40","40","[c]","[c]"
"In post","2021","London","16-19","White","80","80","25350","25170"
"In post","2021","London","20-29","Asian","2640","2620","33270","31060"
"In post","2021","London","20-29","Black","1500","1490","31650","31060"
"In post","2021","London","20-29","Chinese","130","130","38810","35070"
"In post","2021","London","20-29","Mixed","1050","1030","35130","32560"
"In post","2021","London","20-29","Other ethnicity","270","270","35290","32950"
"In post","2021","London","20-29","Undeclared","500","490","37000","34320"
"In post","2021","London","20-29","Unknown","5900","5870","34850","32000"
"In post","2021","London","20-29","White","11020","10970","37530","34550"
"In post","2021","London","30-39","Asian","3390","3250","39150","35070"
"In post","2021","London","30-39","Black","1780","1730","35340","31130"
"In post","2021","London","30-39","Chinese","180","180","46090","42410"
"In post","2021","London","30-39","Mixed","990","970","43570","40050"
"In post","2021","London","30-39","Other ethnicity","320","300","43070","38690"
"In post","2021","London","30-39","Undeclared","940","910","45590","42590"
"In post","2021","London","30-39","Unknown","4040","3940","46120","42200"
"In post","2021","London","30-39","White","12680","12290","49020","51250"
"In post","2021","London","40-49","Asian","3520","3290","39770","34520"
"In post","2021","London","40-49","Black","2160","2070","36420","31880"
"In post","2021","London","40-49","Chinese","170","160","43690","38860"
"In post","2021","London","40-49","Mixed","670","640","46210","41700"
"In post","2021","London","40-49","Other ethnicity","290","270","44100","37210"
"In post","2021","London","40-49","Undeclared","1060","1010","44390","39060"
"In post","2021","London","40-49","Unknown","2670","2560","51450","47520"
"In post","2021","London","40-49","White","11770","11180","53070","53320"
"In post","2021","London","50-59","Asian","2710","2560","36980","31880"
"In post","2021","London","50-59","Black","3550","3450","35030","31060"
"In post","2021","London","50-59","Chinese","90","90","44240","37910"
"In post","2021","London","50-59","Mixed","550","520","41420","35980"
"In post","2021","London","50-59","Other ethnicity","280","260","43670","35200"
"In post","2021","London","50-59","Undeclared","1630","1570","41140","35890"
"In post","2021","London","50-59","Unknown","2270","2200","48250","40180"
"In post","2021","London","50-59","White","13140","12680","48930","42410"
"In post","2021","London","60-64","Asian","810","700","32910","30110"
"In post","2021","London","60-64","Black","740","690","32380","30630"
"In post","2021","London","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","60-64","Mixed","120","110","37780","32090"
"In post","2021","London","60-64","Other ethnicity","90","70","43170","32520"
"In post","2021","London","60-64","Undeclared","380","330","38680","32090"
"In post","2021","London","60-64","Unknown","460","420","42980","36160"
"In post","2021","London","60-64","White","3080","2720","45380","38030"
"In post","2021","London","65+","Asian","470","360","30360","27490"
"In post","2021","London","65+","Black","230","200","29890","26280"
"In post","2021","London","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","London","65+","Other ethnicity","30","30","[c]","[c]"
"In post","2021","London","65+","Undeclared","140","120","38840","31880"
"In post","2021","London","65+","Unknown","190","160","40530","32520"
"In post","2021","London","65+","White","1120","920","41370","32740"
"In post","2021","London","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","16-19","Unknown","40","40","[c]","[c]"
"In post","2021","North East (England)","16-19","White","50","50","21220","21010"
"In post","2021","North East (England)","20-29","Asian","90","80","24420","21220"
"In post","2021","North East (England)","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","20-29","Mixed","50","50","[c]","[c]"
"In post","2021","North East (England)","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","North East (England)","20-29","Unknown","1120","1090","24180","22350"
"In post","2021","North East (England)","20-29","White","2620","2560","25240","24440"
"In post","2021","North East (England)","30-39","Asian","150","140","28360","25560"
"In post","2021","North East (England)","30-39","Black","40","40","[c]","[c]"
"In post","2021","North East (England)","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","30-39","Mixed","60","60","28100","25560"
"In post","2021","North East (England)","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","30-39","Undeclared","150","140","28590","25560"
"In post","2021","North East (England)","30-39","Unknown","1080","1010","26990","25560"
"In post","2021","North East (England)","30-39","White","4710","4370","28410","25790"
"In post","2021","North East (England)","40-49","Asian","90","90","30040","25710"
"In post","2021","North East (England)","40-49","Black","60","50","27630","25560"
"In post","2021","North East (England)","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","40-49","Mixed","60","60","32100","27570"
"In post","2021","North East (England)","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","40-49","Undeclared","290","270","29880","27230"
"In post","2021","North East (England)","40-49","Unknown","870","800","27860","24250"
"In post","2021","North East (England)","40-49","White","6080","5570","30040","27570"
"In post","2021","North East (England)","50-59","Asian","50","50","29530","21580"
"In post","2021","North East (England)","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","50-59","Mixed","40","40","[c]","[c]"
"In post","2021","North East (England)","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","50-59","Undeclared","450","410","29320","26520"
"In post","2021","North East (England)","50-59","Unknown","880","770","26750","21440"
"In post","2021","North East (England)","50-59","White","7860","7010","29490","27570"
"In post","2021","North East (England)","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","60-64","Undeclared","80","70","27980","21440"
"In post","2021","North East (England)","60-64","Unknown","280","210","24270","21440"
"In post","2021","North East (England)","60-64","White","2470","1830","26340","21440"
"In post","2021","North East (England)","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","65+","Undeclared","30","20","[c]","[c]"
"In post","2021","North East (England)","65+","Unknown","80","50","23480","21420"
"In post","2021","North East (England)","65+","White","570","410","24750","21440"
"In post","2021","North East (England)","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","16-19","Unknown","50","40","[c]","[c]"
"In post","2021","North West (England)","16-19","White","90","80","21300","21010"
"In post","2021","North West (England)","20-29","Asian","610","590","25540","25320"
"In post","2021","North West (England)","20-29","Black","110","100","26830","25560"
"In post","2021","North West (England)","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","20-29","Mixed","160","150","25130","24890"
"In post","2021","North West (England)","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","20-29","Undeclared","110","110","26940","27000"
"In post","2021","North West (England)","20-29","Unknown","1990","1960","24780","24120"
"In post","2021","North West (England)","20-29","White","5330","5230","25810","24890"
"In post","2021","North West (England)","30-39","Asian","830","770","27650","26000"
"In post","2021","North West (England)","30-39","Black","200","190","29020","27570"
"In post","2021","North West (England)","30-39","Chinese","40","40","[c]","[c]"
"In post","2021","North West (England)","30-39","Mixed","190","180","29060","25560"
"In post","2021","North West (England)","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","30-39","Undeclared","310","300","29880","27570"
"In post","2021","North West (England)","30-39","Unknown","1820","1720","28080","25560"
"In post","2021","North West (England)","30-39","White","8640","8140","29500","27570"
"In post","2021","North West (England)","40-49","Asian","720","640","28360","25560"
"In post","2021","North West (England)","40-49","Black","200","190","28520","26750"
"In post","2021","North West (England)","40-49","Chinese","40","30","[c]","[c]"
"In post","2021","North West (England)","40-49","Mixed","190","170","31300","27570"
"In post","2021","North West (England)","40-49","Other ethnicity","50","50","30420","27570"
"In post","2021","North West (England)","40-49","Undeclared","620","590","30620","27570"
"In post","2021","North West (England)","40-49","Unknown","1470","1370","30330","26120"
"In post","2021","North West (England)","40-49","White","11270","10470","31250","27570"
"In post","2021","North West (England)","50-59","Asian","350","320","29850","25560"
"In post","2021","North West (England)","50-59","Black","170","160","29240","27370"
"In post","2021","North West (England)","50-59","Chinese","40","40","[c]","[c]"
"In post","2021","North West (England)","50-59","Mixed","170","160","31090","27570"
"In post","2021","North West (England)","50-59","Other ethnicity","50","50","32700","27570"
"In post","2021","North West (England)","50-59","Undeclared","860","800","30720","27570"
"In post","2021","North West (England)","50-59","Unknown","1460","1360","30460","25670"
"In post","2021","North West (England)","50-59","White","15110","13970","30940","27570"
"In post","2021","North West (England)","60-64","Asian","40","30","[c]","[c]"
"In post","2021","North West (England)","60-64","Black","40","40","[c]","[c]"
"In post","2021","North West (England)","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","60-64","Mixed","40","30","[c]","[c]"
"In post","2021","North West (England)","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","60-64","Undeclared","240","180","31610","27570"
"In post","2021","North West (England)","60-64","Unknown","370","310","26530","21440"
"In post","2021","North West (England)","60-64","White","3910","3060","28190","26580"
"In post","2021","North West (England)","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","65+","Undeclared","70","50","27970","26580"
"In post","2021","North West (England)","65+","Unknown","100","70","26620","21440"
"In post","2021","North West (England)","65+","White","1140","810","26950","24250"
"In post","2021","North West (England)","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","20-29","Unknown","180","170","22070","20140"
"In post","2021","Northern Ireland","20-29","White","230","220","24290","21430"
"In post","2021","Northern Ireland","30-39","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","30-39","Unknown","190","180","26010","24880"
"In post","2021","Northern Ireland","30-39","White","610","580","28670","25560"
"In post","2021","Northern Ireland","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","40-49","Undeclared","30","30","[c]","[c]"
"In post","2021","Northern Ireland","40-49","Unknown","130","120","26540","23380"
"In post","2021","Northern Ireland","40-49","White","820","780","28370","25560"
"In post","2021","Northern Ireland","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","50-59","Undeclared","40","30","[c]","[c]"
"In post","2021","Northern Ireland","50-59","Unknown","110","100","31200","26590"
"In post","2021","Northern Ireland","50-59","White","1060","1010","29620","26670"
"In post","2021","Northern Ireland","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","60-64","White","240","200","26800","22330"
"In post","2021","Northern Ireland","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","65+","White","80","60","26920","21430"
"In post","2021","Northern Ireland","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","20-29","Unknown","70","70","39150","38600"
"In post","2021","Overseas","20-29","White","200","200","36770","33860"
"In post","2021","Overseas","30-39","Asian","50","50","[c]","[c]"
"In post","2021","Overseas","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","30-39","Mixed","40","40","[c]","[c]"
"In post","2021","Overseas","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","30-39","Undeclared","40","40","[c]","[c]"
"In post","2021","Overseas","30-39","Unknown","200","200","50650","52750"
"In post","2021","Overseas","30-39","White","710","700","46800","50430"
"In post","2021","Overseas","40-49","Asian","60","60","[c]","[c]"
"In post","2021","Overseas","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","40-49","Mixed","30","30","[c]","[c]"
"In post","2021","Overseas","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","40-49","Undeclared","70","70","46900","40430"
"In post","2021","Overseas","40-49","Unknown","180","180","54600","53490"
"In post","2021","Overseas","40-49","White","790","790","52380","54470"
