"Status","Year","Function_of_post","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Glasgow City","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","20-29","50","50","34480","30730"
"In post","2021","Analysis","Leeds","30-39","40","40","[c]","[c]"
"In post","2021","Analysis","Leeds","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicester","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","20-29","110","110","33840","31810"
"In post","2021","Analysis","Manchester","30-39","50","50","42940","42220"
"In post","2021","Analysis","Manchester","40-49","40","30","[c]","[c]"
"In post","2021","Analysis","Manchester","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","20-29","350","350","31500","29540"
"In post","2021","Analysis","Monmouthshire and Newport","30-39","330","310","37050","37020"
"In post","2021","Analysis","Monmouthshire and Newport","40-49","190","170","41640","37020"
"In post","2021","Analysis","Monmouthshire and Newport","50-59","130","130","39820","36030"
"In post","2021","Analysis","Monmouthshire and Newport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Northamptonshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","20-29","30","30","[c]","[c]"
"In post","2021","Analysis","Sheffield","30-39","40","30","[c]","[c]"
"In post","2021","Analysis","Sheffield","40-49","40","30","[c]","[c]"
"In post","2021","Analysis","Sheffield","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Somerset","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","20-29","150","150","32220","29540"
"In post","2021","Analysis","South Hampshire","30-39","120","110","38320","37020"
"In post","2021","Analysis","South Hampshire","40-49","90","90","42840","38990"
"In post","2021","Analysis","South Hampshire","50-59","60","60","40390","36030"
"In post","2021","Analysis","South Hampshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Nottinghamshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","20-29","50","50","[c]","[c]"
"In post","2021","Analysis","Suffolk","30-39","120","110","32490","29750"
"In post","2021","Analysis","Suffolk","40-49","80","80","36110","35900"
"In post","2021","Analysis","Suffolk","50-59","80","80","38650","37280"
"In post","2021","Analysis","Suffolk","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","20-29","210","210","38170","36160"
"In post","2021","Analysis","Tower Hamlets","30-39","210","200","53500","56530"
"In post","2021","Analysis","Tower Hamlets","40-49","150","140","57170","58720"
"In post","2021","Analysis","Tower Hamlets","50-59","100","90","61630","59150"
"In post","2021","Analysis","Tower Hamlets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","20-29","1190","1190","38860","35590"
"In post","2021","Analysis","Westminster","30-39","610","600","52730","53760"
"In post","2021","Analysis","Westminster","40-49","380","360","56330","56660"
"In post","2021","Analysis","Westminster","50-59","230","220","55670","57670"
"In post","2021","Analysis","Westminster","60-64","40","40","[c]","[c]"
"In post","2021","Analysis","Westminster","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wiltshire","20-29","30","30","[c]","[c]"
"In post","2021","Analysis","Wiltshire","30-39","40","40","[c]","[c]"
"In post","2021","Analysis","Wiltshire","40-49","30","30","[c]","[c]"
"In post","2021","Analysis","Wiltshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wiltshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wiltshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wirral","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wirral","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","120","120","31260","30520"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","160","150","39380","39480"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","150","140","50340","42630"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","170","170","52610","44710"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","40","30","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","40-49","30","30","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","50-59","50","50","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","20-29","[c]","[c]","[c]","[c]"
