"Status","Year","Region_ITL1","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","G6/G7","70","70","54660","50630"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","SEO/HEO","110","100","35540","36500"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","AA/AO","1510","1260","20820","21010"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","EO","2610","2350","27490","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","G6/G7","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","SEO/HEO","340","320","33400","32470"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","AA/AO","80","80","24400","24840"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","EO","230","220","27120","26780"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","SEO/HEO","190","190","36920","34800"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","EO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","EO","70","70","27550","27410"
"In post","2021","East Midlands (England)","Health and Safety Executive","G6/G7","110","100","60890","58330"
"In post","2021","East Midlands (England)","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","SEO/HEO","180","170","38870","39390"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","AA/AO","960","830","19090","19450"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","EO","200","190","22200","21870"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","G6/G7","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","SEO/HEO","160","150","32730","30990"
"In post","2021","East Midlands (England)","HM Land Registry","AA/AO","230","210","22340","22350"
"In post","2021","East Midlands (England)","HM Land Registry","EO","320","280","27170","27130"
"In post","2021","East Midlands (England)","HM Land Registry","G6/G7","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","SEO/HEO","270","250","36750","33840"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","AA/AO","2740","2590","25000","24440"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","EO","610","590","29870","28800"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","G6/G7","50","50","74070","71840"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","SEO/HEO","640","610","40170","38160"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Unknown","960","880","29420","28260"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","AA/AO","860","760","20520","20140"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","EO","940","880","25920","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","G6/G7","490","470","55030","52580"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","SEO/HEO","1470","1400","33980","31810"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","EO","140","130","25920","25310"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","SEO/HEO","50","50","33040","31100"
"In post","2021","East Midlands (England)","Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","SEO/HEO","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","AA/AO","100","90","19160","18890"
"In post","2021","East Midlands (England)","Legal Aid Agency","EO","50","50","22700","21750"
"In post","2021","East Midlands (England)","Legal Aid Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","SEO/HEO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","AA/AO","940","900","21050","20920"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","EO","290","280","28230","26670"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","SEO/HEO","290","280","37380","35300"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","SEO/HEO","80","80","36910","35640"
"In post","2021","East Midlands (England)","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","EO","70","70","32630","32770"
"In post","2021","East Midlands (England)","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","SEO/HEO","70","70","42410","42780"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","AA/AO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","SEO/HEO","70","70","42770","39850"
"In post","2021","East Midlands (England)","Office of the Public Guardian","AA/AO","220","200","18970","18880"
"In post","2021","East Midlands (England)","Office of the Public Guardian","EO","140","140","21480","21170"
"In post","2021","East Midlands (England)","Office of the Public Guardian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","SEO/HEO","50","50","27600","24000"
"In post","2021","East Midlands (England)","Public Health England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","G6/G7","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","SEO/HEO","90","80","34630","36330"
"In post","2021","East Midlands (England)","Rural Payments Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Standards and Testing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Standards and Testing Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Standards and Testing Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","EO","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","SEO/HEO","70","60","37950","41230"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","EO","60","60","26100","25520"
"In post","2021","East of England","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","SEO/HEO","70","60","35100","32830"
"In post","2021","East of England","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","G6/G7","40","40","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","40","40","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","EO","80","70","25090","24920"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","90","90","51910","48080"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","250","240","33020","30660"
"In post","2021","East of England","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","SEO/HEO","110","100","33270","33340"
"In post","2021","East of England","Crown Prosecution Service","AA/AO","110","100","22440","23520"
"In post","2021","East of England","Crown Prosecution Service","EO","110","100","28640","28430"
"In post","2021","East of England","Crown Prosecution Service","G6/G7","190","170","58620","59930"
"In post","2021","East of England","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","SEO/HEO","70","70","37160","38000"
"In post","2021","East of England","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","SEO/HEO","180","180","34600","33710"
"In post","2021","East of England","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Science and Technology Laboratory","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","50","50","51610","48980"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","90","80","33570","34710"
"In post","2021","East of England","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","AA/AO","1020","850","22720","22980"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","EO","3170","2870","28780","29290"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","SEO/HEO","360","340","35340","35120"
"In post","2021","East of England","Driver and Vehicle Standards Agency","AA/AO","80","80","26400","26580"
"In post","2021","East of England","Driver and Vehicle Standards Agency","EO","240","220","28210","26780"
"In post","2021","East of England","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","SEO/HEO","50","50","33970","32490"
"In post","2021","East of England","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Education and Skills Funding Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","EO","60","50","27580","26750"
"In post","2021","East of England","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","SEO/HEO","70","70","45050","45100"
"In post","2021","East of England","HM Courts and Tribunals Service","AA/AO","720","620","19390","19570"
"In post","2021","East of England","HM Courts and Tribunals Service","EO","170","160","23590","23530"
"In post","2021","East of England","HM Courts and Tribunals Service","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","SEO/HEO","150","140","33990","32660"
"In post","2021","East of England","HM Land Registry","AA/AO","70","70","22360","22350"
"In post","2021","East of England","HM Land Registry","EO","90","80","27210","27130"
"In post","2021","East of England","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","SEO/HEO","110","100","36800","33840"
"In post","2021","East of England","HM Prison and Probation Service","AA/AO","3040","2890","26520","26630"
"In post","2021","East of England","HM Prison and Probation Service","EO","600","590","30830","32040"
"In post","2021","East of England","HM Prison and Probation Service","G6/G7","70","70","73660","69760"
"In post","2021","East of England","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Prison and Probation Service","SEO/HEO","620","600","39610","38160"
"In post","2021","East of England","HM Prison and Probation Service","Unknown","1020","930","28610","28200"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","AA/AO","370","320","21040","21400"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","EO","450","410","26810","25560"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","G6/G7","170","160","54930","52580"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","SEO/HEO","680","630","35090","34380"
"In post","2021","East of England","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office (incl. agencies)","AA/AO","640","570","21160","21430"
"In post","2021","East of England","Home Office (incl. agencies)","EO","990","880","26530","25410"
"In post","2021","East of England","Home Office (incl. agencies)","G6/G7","30","30","[c]","[c]"
"In post","2021","East of England","Home Office (incl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office (incl. agencies)","SEO/HEO","300","290","33480","31690"
"In post","2021","East of England","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Insolvency Service","AA/AO","50","50","21010","20880"
"In post","2021","East of England","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Insolvency Service","SEO/HEO","60","60","37520","38510"
"In post","2021","East of England","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal Aid Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","EO","50","50","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","G6/G7","100","100","59650","53970"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","150","150","38140","40450"
"In post","2021","East of England","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","AA/AO","1480","1410","22440","20920"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","EO","720","700","29320","26930"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","G6/G7","180","180","64150","59730"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","SEO/HEO","1170","1130","38270","36460"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
