"Status","Year","Sexual_orientation","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","SEO/HEO","50-59","25200","24370","37880","36910"
"In post","2021","Heterosexual / straight","SEO/HEO","60-64","5360","4550","38200","36840"
"In post","2021","Heterosexual / straight","SEO/HEO","65+","1350","1060","38530","36960"
"In post","2021","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","20-29","1980","1950","26310","24020"
"In post","2021","Heterosexual / straight","Unknown","30-39","2780","2580","31020","31300"
"In post","2021","Heterosexual / straight","Unknown","40-49","2840","2630","33950","33950"
"In post","2021","Heterosexual / straight","Unknown","50-59","2830","2680","34200","32690"
"In post","2021","Heterosexual / straight","Unknown","60-64","890","780","32290","28880"
"In post","2021","Heterosexual / straight","Unknown","65+","290","240","33010","30350"
"In post","2021","LGBO","AA/AO","16-19","40","40","[c]","[c]"
"In post","2021","LGBO","AA/AO","20-29","1720","1690","22530","21010"
"In post","2021","LGBO","AA/AO","30-39","1200","1160","23300","21430"
"In post","2021","LGBO","AA/AO","40-49","780","730","22850","21010"
"In post","2021","LGBO","AA/AO","50-59","860","810","22860","21130"
"In post","2021","LGBO","AA/AO","60-64","230","190","21820","21010"
"In post","2021","LGBO","AA/AO","65+","90","70","21550","21010"
"In post","2021","LGBO","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","20-29","1480","1470","27120","27570"
"In post","2021","LGBO","EO","30-39","1340","1310","27640","27570"
"In post","2021","LGBO","EO","40-49","990","960","27760","27570"
"In post","2021","LGBO","EO","50-59","900","860","28220","27570"
"In post","2021","LGBO","EO","60-64","200","160","28220","27570"
"In post","2021","LGBO","EO","65+","50","40","27750","27570"
"In post","2021","LGBO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","20-29","420","420","54660","53380"
"In post","2021","LGBO","G6/G7","30-39","990","970","57250","55460"
"In post","2021","LGBO","G6/G7","40-49","760","750","60030","58810"
"In post","2021","LGBO","G6/G7","50-59","530","520","61260","59470"
"In post","2021","LGBO","G6/G7","60-64","70","60","63080","61010"
"In post","2021","LGBO","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","30-39","80","80","79610","74250"
"In post","2021","LGBO","SCS","40-49","160","150","87430","80090"
"In post","2021","LGBO","SCS","50-59","80","80","95180","83230"
"In post","2021","LGBO","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","20-29","1630","1620","34550","33610"
"In post","2021","LGBO","SEO/HEO","30-39","1530","1510","36130","35580"
"In post","2021","LGBO","SEO/HEO","40-49","1010","990","37160","36480"
"In post","2021","LGBO","SEO/HEO","50-59","860","840","37680","36710"
"In post","2021","LGBO","SEO/HEO","60-64","120","100","38000","37390"
"In post","2021","LGBO","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","20-29","160","160","24590","22920"
"In post","2021","LGBO","Unknown","30-39","190","190","28750","27730"
"In post","2021","LGBO","Unknown","40-49","150","140","32120","32690"
"In post","2021","LGBO","Unknown","50-59","110","100","34550","37170"
"In post","2021","LGBO","Unknown","60-64","30","30","[c]","[c]"
"In post","2021","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","16-19","40","40","[c]","[c]"
"In post","2021","Undeclared","AA/AO","20-29","1200","1160","22650","21300"
"In post","2021","Undeclared","AA/AO","30-39","1810","1650","22780","21430"
"In post","2021","Undeclared","AA/AO","40-49","2640","2360","22680","21400"
"In post","2021","Undeclared","AA/AO","50-59","4620","4130","22510","21160"
"In post","2021","Undeclared","AA/AO","60-64","1740","1390","21770","21010"
"In post","2021","Undeclared","AA/AO","65+","620","460","21450","21010"
"In post","2021","Undeclared","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","20-29","1120","1110","27340","27570"
"In post","2021","Undeclared","EO","30-39","1690","1610","27720","27570"
"In post","2021","Undeclared","EO","40-49","2640","2470","27820","27570"
"In post","2021","Undeclared","EO","50-59","4600","4260","28210","27570"
"In post","2021","Undeclared","EO","60-64","1430","1130","28060","27570"
"In post","2021","Undeclared","EO","65+","430","310","28360","27570"
"In post","2021","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","20-29","280","280","55050","53560"
"In post","2021","Undeclared","G6/G7","30-39","1220","1190","57240","55080"
"In post","2021","Undeclared","G6/G7","40-49","1550","1500","59420","57620"
"In post","2021","Undeclared","G6/G7","50-59","1830","1790","60970","59160"
"In post","2021","Undeclared","G6/G7","60-64","340","290","62770","60830"
"In post","2021","Undeclared","G6/G7","65+","100","80","63890","61860"
"In post","2021","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","30-39","60","60","78660","75640"
"In post","2021","Undeclared","SCS","40-49","160","150","85000","80140"
"In post","2021","Undeclared","SCS","50-59","200","200","92750","84830"
"In post","2021","Undeclared","SCS","60-64","50","40","[c]","[c]"
"In post","2021","Undeclared","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","20-29","1230","1220","34870","33980"
"In post","2021","Undeclared","SEO/HEO","30-39","2140","2080","36660","36000"
"In post","2021","Undeclared","SEO/HEO","40-49","2960","2860","37490","37130"
"In post","2021","Undeclared","SEO/HEO","50-59","4400","4240","38220","37410"
"In post","2021","Undeclared","SEO/HEO","60-64","1040","880","38560","37350"
"In post","2021","Undeclared","SEO/HEO","65+","260","210","38370","37090"
"In post","2021","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","20-29","110","110","26350","24500"
"In post","2021","Undeclared","Unknown","30-39","230","220","31830","31420"
"In post","2021","Undeclared","Unknown","40-49","350","320","35880","37170"
"In post","2021","Undeclared","Unknown","50-59","360","350","37560","37170"
"In post","2021","Undeclared","Unknown","60-64","140","120","35540","37170"
"In post","2021","Undeclared","Unknown","65+","50","40","36810","37170"
"In post","2021","Unknown","AA/AO","16-19","370","350","20550","20140"
"In post","2021","Unknown","AA/AO","20-29","8170","7960","22140","21010"
"In post","2021","Unknown","AA/AO","30-39","6470","5810","22500","21010"
"In post","2021","Unknown","AA/AO","40-49","7080","6190","22470","21010"
"In post","2021","Unknown","AA/AO","50-59","10080","8850","22760","21100"
"In post","2021","Unknown","AA/AO","60-64","3480","2710","22300","21010"
"In post","2021","Unknown","AA/AO","65+","1280","950","22260","21010"
"In post","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","16-19","90","90","21380","20900"
"In post","2021","Unknown","EO","20-29","4850","4790","26720","26410"
"In post","2021","Unknown","EO","30-39","5300","5010","27510","27570"
"In post","2021","Unknown","EO","40-49","5760","5250","27980","27570"
"In post","2021","Unknown","EO","50-59","7890","7250","28570","27570"
"In post","2021","Unknown","EO","60-64","2160","1650","28480","27570"
"In post","2021","Unknown","EO","65+","680","470","28350","27570"
"In post","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","20-29","1020","1010","54540","53420"
"In post","2021","Unknown","G6/G7","30-39","3280","3190","57040","54700"
"In post","2021","Unknown","G6/G7","40-49","3730","3570","59010","57170"
"In post","2021","Unknown","G6/G7","50-59","3490","3370","60150","58850"
"In post","2021","Unknown","G6/G7","60-64","600","520","60960","59160"
"In post","2021","Unknown","G6/G7","65+","210","160","62890","61010"
"In post","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","30-39","310","300","77790","73200"
"In post","2021","Unknown","SCS","40-49","600","580","90860","81760"
"In post","2021","Unknown","SCS","50-59","520","510","100710","91060"
"In post","2021","Unknown","SCS","60-64","80","70","107010","102010"
"In post","2021","Unknown","SCS","65+","30","30","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","20-29","6190","6170","33330","32000"
"In post","2021","Unknown","SEO/HEO","30-39","5880","5710","35950","35430"
"In post","2021","Unknown","SEO/HEO","40-49","5290","5050","37200","36740"
"In post","2021","Unknown","SEO/HEO","50-59","5840","5620","37840","36990"
"In post","2021","Unknown","SEO/HEO","60-64","1210","1000","38470","37230"
"In post","2021","Unknown","SEO/HEO","65+","390","290","38660","37700"
"In post","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","16-19","50","50","18300","16780"
"In post","2021","Unknown","Unknown","20-29","720","710","26640","24020"
"In post","2021","Unknown","Unknown","30-39","680","650","33900","32690"
"In post","2021","Unknown","Unknown","40-49","650","620","37170","34460"
"In post","2021","Unknown","Unknown","50-59","720","690","39930","35380"
"In post","2021","Unknown","Unknown","60-64","190","180","36860","35380"
"In post","2021","Unknown","Unknown","65+","50","40","33120","32400"
"In post","2022","Heterosexual / straight","AA/AO","16-19","460","440","21410","21260"
"In post","2022","Heterosexual / straight","AA/AO","20-29","15390","14990","22970","21550"
"In post","2022","Heterosexual / straight","AA/AO","30-39","16250","14890","23350","21680"
"In post","2022","Heterosexual / straight","AA/AO","40-49","16450","14790","23030","21380"
"In post","2022","Heterosexual / straight","AA/AO","50-59","24690","22390","22860","21300"
"In post","2022","Heterosexual / straight","AA/AO","60-64","9650","7960","22290","21260"
"In post","2022","Heterosexual / straight","AA/AO","65+","3490","2730","22080","21260"
"In post","2022","Heterosexual / straight","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","EO","16-19","180","180","23870","24880"
"In post","2022","Heterosexual / straight","EO","20-29","14960","14790","27410","27540"
"In post","2022","Heterosexual / straight","EO","30-39","18020","17070","27740","27570"
"In post","2022","Heterosexual / straight","EO","40-49","19220","17950","27900","27570"
"In post","2022","Heterosexual / straight","EO","50-59","26130","24380","28250","27570"
"In post","2022","Heterosexual / straight","EO","60-64","7640","6190","28290","27570"
"In post","2022","Heterosexual / straight","EO","65+","2170","1650","28350","27570"
"In post","2022","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","G6/G7","20-29","3100","3090","54700","53420"
"In post","2022","Heterosexual / straight","G6/G7","30-39","12410","12040","57340","55210"
"In post","2022","Heterosexual / straight","G6/G7","40-49","14750","14180","59410","57600"
"In post","2022","Heterosexual / straight","G6/G7","50-59","13830","13510","60650","58850"
"In post","2022","Heterosexual / straight","G6/G7","60-64","2350","2090","61990","60650"
"In post","2022","Heterosexual / straight","G6/G7","65+","600","470","63280","61440"
"In post","2022","Heterosexual / straight","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","30-39","740","710","79890","75500"
"In post","2022","Heterosexual / straight","SCS","40-49","2110","2040","87200","80000"
"In post","2022","Heterosexual / straight","SCS","50-59","1910","1880","94300","85970"
"In post","2022","Heterosexual / straight","SCS","60-64","290","270","102540","94500"
"In post","2022","Heterosexual / straight","SCS","65+","60","50","109230","99320"
"In post","2022","Heterosexual / straight","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SEO/HEO","20-29","14870","14790","35040","33760"
"In post","2022","Heterosexual / straight","SEO/HEO","30-39","23740","23020","36790","36130"
"In post","2022","Heterosexual / straight","SEO/HEO","40-49","23580","22690","37810","37300"
"In post","2022","Heterosexual / straight","SEO/HEO","50-59","27020","26170","38240","37420"
"In post","2022","Heterosexual / straight","SEO/HEO","60-64","6100","5230","38400","37100"
"In post","2022","Heterosexual / straight","SEO/HEO","65+","1570","1250","38900","37120"
"In post","2022","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","20-29","2610","2570","26210","24270"
"In post","2022","Heterosexual / straight","Unknown","30-39","3530","3290","30640","30210"
"In post","2022","Heterosexual / straight","Unknown","40-49","3820","3560","33970","33920"
"In post","2022","Heterosexual / straight","Unknown","50-59","3800","3600","33600","30200"
"In post","2022","Heterosexual / straight","Unknown","60-64","1300","1130","32130","28200"
"In post","2022","Heterosexual / straight","Unknown","65+","430","340","31740","28200"
"In post","2022","LGBO","AA/AO","16-19","40","40","[c]","[c]"
"In post","2022","LGBO","AA/AO","20-29","2020","1980","22750","21260"
"In post","2022","LGBO","AA/AO","30-39","1310","1270","23600","21680"
"In post","2022","LGBO","AA/AO","40-49","810","770","23370","21260"
"In post","2022","LGBO","AA/AO","50-59","900","840","23430","21490"
"In post","2022","LGBO","AA/AO","60-64","230","200","22700","21300"
"In post","2022","LGBO","AA/AO","65+","90","70","22310","21260"
"In post","2022","LGBO","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","EO","20-29","1720","1700","27320","27570"
"In post","2022","LGBO","EO","30-39","1560","1530","27840","27570"
"In post","2022","LGBO","EO","40-49","1020","990","27900","27570"
"In post","2022","LGBO","EO","50-59","930","890","28500","27570"
"In post","2022","LGBO","EO","60-64","230","190","28260","27570"
"In post","2022","LGBO","EO","65+","60","50","28260","27570"
"In post","2022","LGBO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","G6/G7","20-29","530","530","54900","53480"
"In post","2022","LGBO","G6/G7","30-39","1250","1240","57120","55210"
"In post","2022","LGBO","G6/G7","40-49","890","880","59960","58190"
"In post","2022","LGBO","G6/G7","50-59","560","550","61590","60740"
"In post","2022","LGBO","G6/G7","60-64","80","70","62590","62170"
"In post","2022","LGBO","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","30-39","90","80","78900","74700"
"In post","2022","LGBO","SCS","40-49","180","180","86490","79330"
"In post","2022","LGBO","SCS","50-59","90","90","95700","83970"
"In post","2022","LGBO","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","20-29","2090","2070","35080","33930"
"In post","2022","LGBO","SEO/HEO","30-39","2030","2000","36550","36050"
"In post","2022","LGBO","SEO/HEO","40-49","1160","1130","37610","36720"
"In post","2022","LGBO","SEO/HEO","50-59","940","920","38130","37000"
"In post","2022","LGBO","SEO/HEO","60-64","150","130","38360","37410"
"In post","2022","LGBO","SEO/HEO","65+","30","30","[c]","[c]"
"In post","2022","LGBO","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","20-29","310","300","24900","23170"
"In post","2022","LGBO","Unknown","30-39","280","270","28660","25620"
"In post","2022","LGBO","Unknown","40-49","220","210","34110","31420"
"In post","2022","LGBO","Unknown","50-59","170","160","34930","37170"
"In post","2022","LGBO","Unknown","60-64","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","20-29","1060","1030","22980","21300"
"In post","2022","Undeclared","AA/AO","30-39","1470","1340","23340","21680"
"In post","2022","Undeclared","AA/AO","40-49","2310","2060","23070","21490"
"In post","2022","Undeclared","AA/AO","50-59","4060","3640","23020","21490"
"In post","2022","Undeclared","AA/AO","60-64","1630","1300","22190","21260"
"In post","2022","Undeclared","AA/AO","65+","580","440","22130","21380"
"In post","2022","Undeclared","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","EO","20-29","1180","1160","27420","27270"
"In post","2022","Undeclared","EO","30-39","1590","1520","27970","27570"
"In post","2022","Undeclared","EO","40-49","2290","2150","28050","27570"
"In post","2022","Undeclared","EO","50-59","4360","4050","28350","27570"
"In post","2022","Undeclared","EO","60-64","1370","1090","28210","27570"
"In post","2022","Undeclared","EO","65+","450","330","28760","27580"
"In post","2022","Undeclared","G6/G7","20-29","430","420","55060","53380"
"In post","2022","Undeclared","G6/G7","30-39","1440","1410","57490","55200"
"In post","2022","Undeclared","G6/G7","40-49","1750","1690","59620","57460"
"In post","2022","Undeclared","G6/G7","50-59","1990","1950","61190","59650"
"In post","2022","Undeclared","G6/G7","60-64","370","320","62440","60640"
"In post","2022","Undeclared","G6/G7","65+","100","80","63430","61440"
"In post","2022","Undeclared","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","30-39","80","70","78080","74370"
"In post","2022","Undeclared","SCS","40-49","190","190","85040","80000"
"In post","2022","Undeclared","SCS","50-59","220","220","92260","84760"
"In post","2022","Undeclared","SCS","60-64","50","40","[c]","[c]"
"In post","2022","Undeclared","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","20-29","1610","1610","35170","33710"
"In post","2022","Undeclared","SEO/HEO","30-39","2450","2390","37190","36820"
"In post","2022","Undeclared","SEO/HEO","40-49","2960","2860","37860","37450"
"In post","2022","Undeclared","SEO/HEO","50-59","4360","4210","38580","37980"
"In post","2022","Undeclared","SEO/HEO","60-64","1130","970","38510","37010"
"In post","2022","Undeclared","SEO/HEO","65+","310","240","39350","38160"
"In post","2022","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","20-29","140","130","26250","24540"
"In post","2022","Undeclared","Unknown","30-39","240","220","31790","31420"
"In post","2022","Undeclared","Unknown","40-49","370","350","35150","37170"
"In post","2022","Undeclared","Unknown","50-59","430","400","35910","37170"
"In post","2022","Undeclared","Unknown","60-64","150","130","34970","34630"
"In post","2022","Undeclared","Unknown","65+","60","40","36930","37170"
"In post","2022","Unknown","AA/AO","16-19","360","340","21430","21250"
"In post","2022","Unknown","AA/AO","20-29","8090","7870","22680","21300"
"In post","2022","Unknown","AA/AO","30-39","6330","5760","23130","21300"
"In post","2022","Unknown","AA/AO","40-49","6260","5500","22920","21260"
"In post","2022","Unknown","AA/AO","50-59","8770","7710","23210","21650"
"In post","2022","Unknown","AA/AO","60-64","3260","2560","22810","21380"
"In post","2022","Unknown","AA/AO","65+","1160","870","23000","21650"
"In post","2022","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","16-19","100","100","22520","24100"
"In post","2022","Unknown","EO","20-29","5300","5250","27200","26820"
"In post","2022","Unknown","EO","30-39","5480","5210","27940","27570"
"In post","2022","Unknown","EO","40-49","5380","4920","28140","27570"
"In post","2022","Unknown","EO","50-59","7210","6600","28850","27570"
"In post","2022","Unknown","EO","60-64","2060","1590","28950","27570"
"In post","2022","Unknown","EO","65+","620","430","28820","27570"
"In post","2022","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","20-29","990","990","55700","54700"
"In post","2022","Unknown","G6/G7","30-39","3530","3450","57590","55210"
"In post","2022","Unknown","G6/G7","40-49","4000","3830","59370","57480"
"In post","2022","Unknown","G6/G7","50-59","3590","3480","60650","58920"
"In post","2022","Unknown","G6/G7","60-64","700","620","60870","58710"
"In post","2022","Unknown","G6/G7","65+","210","160","63110","62120"
"In post","2022","Unknown","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","30-39","180","170","81630","77060"
"In post","2022","Unknown","SCS","40-49","480","470","92870","84680"
"In post","2022","Unknown","SCS","50-59","420","410","103100","94900"
"In post","2022","Unknown","SCS","60-64","80","70","108230","96650"
"In post","2022","Unknown","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","20-29","6980","6960","33830","33080"
"In post","2022","Unknown","SEO/HEO","30-39","6270","6120","36460","35900"
"In post","2022","Unknown","SEO/HEO","40-49","5150","4950","37610","37290"
"In post","2022","Unknown","SEO/HEO","50-59","5360","5170","38380","37930"
"In post","2022","Unknown","SEO/HEO","60-64","1270","1060","39020","38070"
"In post","2022","Unknown","SEO/HEO","65+","390","290","39560","38890"
"In post","2022","Unknown","Unknown","16-19","50","50","[c]","[c]"
"In post","2022","Unknown","Unknown","20-29","1200","1180","25740","24090"
"In post","2022","Unknown","Unknown","30-39","1280","1200","30510","28200"
"In post","2022","Unknown","Unknown","40-49","1140","1050","34110","32250"
"In post","2022","Unknown","Unknown","50-59","1300","1210","35330","32690"
"In post","2022","Unknown","Unknown","60-64","420","370","33210","31520"
"In post","2022","Unknown","Unknown","65+","140","100","31690","28850"
"Leaver CS","2021","Heterosexual / straight","AA/AO","16-19","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","AA/AO","20-29","1450","1420","21420","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","30-39","770","710","21520","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","40-49","520","480","21230","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","50-59","860","770","21610","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","60-64","690","570","21490","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","65+","860","650","20680","20720"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","20-29","470","460","26070","26670"
"Leaver CS","2021","Heterosexual / straight","EO","30-39","380","350","27080","27570"
"Leaver CS","2021","Heterosexual / straight","EO","40-49","320","300","27720","27570"
"Leaver CS","2021","Heterosexual / straight","EO","50-59","600","550","27820","27570"
"Leaver CS","2021","Heterosexual / straight","EO","60-64","510","420","27830","27570"
"Leaver CS","2021","Heterosexual / straight","EO","65+","390","280","27420","27570"
"Leaver CS","2021","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","G6/G7","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","G6/G7","30-39","250","240","56830","54570"
"Leaver CS","2021","Heterosexual / straight","G6/G7","40-49","210","190","60540","57260"
"Leaver CS","2021","Heterosexual / straight","G6/G7","50-59","330","320","61910","60270"
"Leaver CS","2021","Heterosexual / straight","G6/G7","60-64","260","230","62810","60830"
"Leaver CS","2021","Heterosexual / straight","G6/G7","65+","90","70","62130","61010"
"Leaver CS","2021","Heterosexual / straight","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SCS","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SCS","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SCS","40-49","60","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SCS","50-59","80","70","102420","98980"
"Leaver CS","2021","Heterosexual / straight","SCS","60-64","70","60","98600","95620"
"Leaver CS","2021","Heterosexual / straight","SCS","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","20-29","340","340","33940","33300"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","30-39","460","450","36740","36890"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","40-49","350","320","37090","36960"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","50-59","610","570","38070","37320"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","60-64","510","450","38660","37410"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","65+","310","240","37920","36230"
"Leaver CS","2021","Heterosexual / straight","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
