"Status","Year","Ethnicity","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Department for Education","90","90","36580","35500"
"In post","2021","Asian","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Department of Health and Social Care","60","60","44300","40860"
"In post","2021","Asian","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","HM Revenue and Customs","100","100","39960","36160"
"In post","2021","Asian","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Home Office","180","180","48660","45200"
"In post","2021","Asian","Digital, Data and Technology","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Ministry of Justice","80","80","45460","41080"
"In post","2021","Asian","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Asian","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Department for Education","90","90","38220","36500"
"In post","2021","Asian","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Department for Transport","50","50","[c]","[c]"
"In post","2021","Asian","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Department of Health and Social Care","60","60","38720","36820"
"In post","2021","Asian","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","HM Revenue and Customs","90","80","37330","32520"
"In post","2021","Asian","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Home Office","70","60","40990","36010"
"In post","2021","Asian","Finance","Ministry of Defence","110","110","38720","34990"
"In post","2021","Asian","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Ministry of Justice","100","90","37690","36800"
"In post","2021","Asian","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Asian","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Home Office","70","70","38590","35070"
"In post","2021","Asian","Human Resources","Ministry of Defence","60","60","31220","26670"
"In post","2021","Asian","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Ministry of Justice","50","50","35390","31180"
"In post","2021","Asian","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Home Office","130","120","29690","29010"
"In post","2021","Asian","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","HM Treasury","50","50","[c]","[c]"
"In post","2021","Asian","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Department for International Trade","90","90","44900","38540"
"In post","2021","Asian","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Attorney General's Departments","470","430","54290","51770"
"In post","2021","Asian","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Department for Transport","[c]","[c]","[c]","[c]"
